row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
41,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.379Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Latin.,|lat,Latin,Q397
42,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.379Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Latin.,lat,Latin,Q397
43,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Latin.,,Latin,Q397
44,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Middle French.,frm,Middle French,Q1473289
45,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Old Norse.,,Old Norse,Q35505
46,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Persian.,,Persian,Q9168
47,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Persian.,|per,Persian,Q9168
48,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Persian; written in a professional nastaʻlīq script in black ink; ʻunwān and illustrations in colors and gold ; text rubricated.,,Persian,Q9168
49,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",In Sanskrit,san,Sanskrit,Q11059
50,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",Italian,,Italian,Q652
51,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",Italian and Latin.,ita|lat,Italian|Latin,Q652|Q397
52,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.380Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.283Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.551Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.020Z",Italian with a short section in Latin (f. 49r-49v).,ita|lat,Italian|Latin,Q652|Q397
