subject_as_recorded,source_authority_uri,authorized_label,structured_value
"Education, Greek",,"Education, Greek",http://id.worldcat.org/fast/903002
"Education, Greek--Controversial literature",,"Education, Greek|Controversial literature",http://id.worldcat.org/fast/903002|http://id.worldcat.org/fast/1423907
Education--Early works to 1800,,Education|Early works,http://id.worldcat.org/fast/902499|http://id.worldcat.org/fast/1411636
Education--Poetry--Early works to 1800,,Education|Poetry|Early works,http://id.worldcat.org/fast/902499|http://id.worldcat.org/fast/1423828|http://id.worldcat.org/fast/1411636
"Education--Turkey--History--Ottoman Empire, 1288-1918",,Education;Turkey;History;1288-1918,http://id.worldcat.org/fast/902499;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1355456
Eichstätt (Germany)--Church history--Sources,,Germany--Eichstätt|Church history|Sources,http://id.worldcat.org/fast/1214415|http://id.worldcat.org/fast/1411629|http://id.worldcat.org/fast/1423900
Elchingen (Germany),,Germany--Elchingen,http://id.worldcat.org/fast/1208592
Election law (Canon law),,Election law (Canon law),http://id.worldcat.org/fast/904314
Election law (Canon law)--Early works to 1800,,Election law (Canon law)|Early works,http://id.worldcat.org/fast/904314|http://id.worldcat.org/fast/1411636
Elections,,Elections,http://id.worldcat.org/fast/904324
Elections--Early works to 1800,,Elections|Early works,http://id.worldcat.org/fast/904324|http://id.worldcat.org/fast/1411636
Electors (Kurfürsten),,Electors (Kurfürsten),http://id.worldcat.org/fast/904389
"Elegiac poetry, Latin",,"Elegiac poetry, Latin",http://id.worldcat.org/fast/907836
Emperors--Rome--Biography,,Emperors|Italy--Rome|Biographies,http://id.worldcat.org/fast/908898|http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1919896
Emperors--Rome--Drama,,Emperors|Italy--Rome|Drama,http://id.worldcat.org/fast/908898|http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1423879
Encyclopedias and dictionaries,,Encyclopedias and dictionaries,http://id.worldcat.org/fast/909533
"Encyclopedias and dictionaries, Persian",,"Encyclopedias and dictionaries, Persian",http://id.worldcat.org/fast/909604
"Encyclopedias and dictionaries, Persian--Early works to 1600",,"Encyclopedias and dictionaries, Persian|Early works",http://id.worldcat.org/fast/909604|http://id.worldcat.org/fast/1411636
Encyclopedias and dictionaries--Early works to 1600,,Encyclopedias and dictionaries;Early works,http://id.worldcat.org/fast/909533;http://id.worldcat.org/fast/1411636
End of the world,,End of the world,http://id.worldcat.org/fast/909634
End of the world--Early works to 1800,,End of the world|Early works,http://id.worldcat.org/fast/909634|http://id.worldcat.org/fast/1411636
England,,England,http://id.worldcat.org/fast/1219920
England--Cheshire,,England--Cheshire,http://id.worldcat.org/fast/1211757
England--Derbyshire,,England--Derbyshire,http://id.worldcat.org/fast/1202650
England--Devon,,England--Devon,http://id.worldcat.org/fast/1206047
England--Lancashire,,England--Lancashire,http://id.worldcat.org/fast/1204978
England--Nottinghamshire,,England--Nottinghamshire,http://id.worldcat.org/fast/1206866
England--Suffolk,,England--Suffolk,http://id.worldcat.org/fast/1212535
England--Warwickshire,,England--Warwickshire,http://id.worldcat.org/fast/1212375
English literature,,English literature,http://id.worldcat.org/fast/911989
English literature--16th century,,English literature|Sixteenth century,http://id.worldcat.org/fast/911989|http://id.worldcat.org/fast/1119851
English literature--Middle English,,English literature--Middle English,http://id.worldcat.org/fast/1710961
"English literature--Middle English, 1100-1500",,English literature--Middle English,http://id.worldcat.org/fast/1710961
English poetry,,English poetry,http://id.worldcat.org/fast/912278
English poetry--16th century,,English poetry|Sixteenth century,http://id.worldcat.org/fast/912278|http://id.worldcat.org/fast/1119851
English poetry--Middle English,,English poetry--Middle English,http://id.worldcat.org/fast/1710964
"English poetry--Middle English, 1100-1500",,English poetry--Middle English,http://id.worldcat.org/fast/1710964
Ephemerides,,Ephemerides,http://id.worldcat.org/fast/913680
Ephemerides--Early works to 1800,,Ephemerides;Early works,http://id.worldcat.org/fast/913680;http://id.worldcat.org/fast/1411636
"Epic poetry, Persian",,"Epic poetry, Persian",http://id.worldcat.org/fast/1741636
"Epic poetry, Persian--Early works to 1800",,"Epic poetry, Persian;Early works",http://id.worldcat.org/fast/1741636;http://id.worldcat.org/fast/1411636
"Epigrams, Latin",,"Epigrams, Latin",http://id.worldcat.org/fast/914156
"Epigrams, Latin (Medieval and modern)",,"Epigrams, Latin (Medieval and modern)",http://id.worldcat.org/fast/914160
"Erotic literature, Arabic--Early works to 1800",,"Erotic literature, Arabic;Early works",http://id.worldcat.org/fast/914800;http://id.worldcat.org/fast/1411636
Essex (England)--Early works to 1800,,England--Essex|Early works,http://id.worldcat.org/fast/1212484|http://id.worldcat.org/fast/1411636
Essex (England)--Economic conditions,,England--Essex|Economic history,http://id.worldcat.org/fast/1212484|http://id.worldcat.org/fast/901974
Ethics,,Ethics,http://id.worldcat.org/fast/915833
"Ethics, Medieval",,"Ethics, Medieval",http://id.worldcat.org/fast/915880
Ethics--Early works to 1800,,Ethics;Early works,http://id.worldcat.org/fast/915833;http://id.worldcat.org/fast/1411636
Eunomianism,,Eunomianism,http://id.worldcat.org/fast/916499
Eunomianism--Sermons,,Eunomianism|Sermons,http://id.worldcat.org/fast/916499|http://id.worldcat.org/fast/1423904
Europe,,Europe,http://id.worldcat.org/fast/1245064
Eutychians,,Eutychians,http://id.worldcat.org/fast/916956
Eutychians--Early works to 1800,,Eutychians|Early works,http://id.worldcat.org/fast/916956|http://id.worldcat.org/fast/1411636
Evangeliaries,,Evangeliaries,http://id.worldcat.org/fast/916991
Evangeliaries--Specimens,,Evangeliaries|Specimens,http://id.worldcat.org/fast/916991|http://id.worldcat.org/fast/1423861
Evreux (France)--History--Economic conditions--14th century,,France--Evreux|History|Economic history|Fourteenth century,http://id.worldcat.org/fast/1214013|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/901974|http://id.worldcat.org/fast/933420
Excommunication,,Excommunication,http://id.worldcat.org/fast/917737
Excommunication--Catholic Church,,Excommunication--Catholic Church,http://id.worldcat.org/fast/2023918
Excommunication--Early works to 1800,,Excommunication|Early works,http://id.worldcat.org/fast/917737|http://id.worldcat.org/fast/1411636
Exile (Punishment) in literature,,Exile (Punishment) in literature,http://id.worldcat.org/fast/918135
Explosives,,Explosives,http://id.worldcat.org/fast/918611
Explosives--Early works to 1800,,Explosives;Early works,http://id.worldcat.org/fast/918611;http://id.worldcat.org/fast/1411636
Falconry,,Falconry,http://id.worldcat.org/fast/919992
Falconry--Early works to 1800,,Falconry|Early works,http://id.worldcat.org/fast/919992|http://id.worldcat.org/fast/1411636
Families,,Families,http://id.worldcat.org/fast/1728849
Farm life,,Farm life,http://id.worldcat.org/fast/921052
Farm life--Italy--History,,Farm life|Italy|History,http://id.worldcat.org/fast/921052|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1411628
Farm management,,Farm management,http://id.worldcat.org/fast/921070
Farm management--Italy,,Farm management|Italy,http://id.worldcat.org/fast/921070|http://id.worldcat.org/fast/1204565
Farm rents,,Farm rents,http://id.worldcat.org/fast/921233
Farm rents--France--History,,Farm rents|France|History,http://id.worldcat.org/fast/921233|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628
Fear of God,,Fear of God,http://id.worldcat.org/fast/922060
Fear of God--Early works to 1800,,Fear of God|Early works,http://id.worldcat.org/fast/922060|http://id.worldcat.org/fast/1411636
Ferrara (Italy)--History--15th century,,Italy--Ferrara|History|Fifteenth century,http://id.worldcat.org/fast/1204575|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962
Ferrara (Italy)--History--Sources,,Italy--Ferrara|History|Sources,http://id.worldcat.org/fast/1204575|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1423900
Festivals,,Festivals,http://id.worldcat.org/fast/923329
Festivals--Italy--Florence,,Festivals|Italy|Italy--Florence,http://id.worldcat.org/fast/923329|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204699
Feudal law,,Feudal law,http://id.worldcat.org/fast/923484
Feudal law--Achaea (Principality),,Feudal law,http://id.worldcat.org/fast/923484
Feudal law--Europe,,Feudal law|Europe,http://id.worldcat.org/fast/923484|http://id.worldcat.org/fast/1245064
Feudal law--Italy,,Feudal law|Italy,http://id.worldcat.org/fast/923484|http://id.worldcat.org/fast/1204565
Feudal law--Jerusalem--Sources,,Feudal law|Middle East--Jerusalem|Sources,http://id.worldcat.org/fast/923484|http://id.worldcat.org/fast/1216276|http://id.worldcat.org/fast/1423900
Feudalism,,Feudalism,http://id.worldcat.org/fast/923488
Feudalism--France--History--16th century,,Feudalism|France|History|Sixteenth century,http://id.worldcat.org/fast/923488|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
Fever,,Fever,http://id.worldcat.org/fast/923528
Fever--Early works to 1800,,Fever;Early works,http://id.worldcat.org/fast/923528;http://id.worldcat.org/fast/1411636
Fiefs,,Fiefs,http://id.worldcat.org/fast/923815
Fiefs--France,,Fiefs|France,http://id.worldcat.org/fast/923815|http://id.worldcat.org/fast/1204289
Fiefs--Italy,,Fiefs|Italy,http://id.worldcat.org/fast/923815|http://id.worldcat.org/fast/1204565
Fiesole (Italy)--History,,Italy--Fiesole|History,http://id.worldcat.org/fast/1207345|http://id.worldcat.org/fast/1411628
Finale Ligure (Italy)--History,,Italy--Finale Ligure|History,http://id.worldcat.org/fast/1218149|http://id.worldcat.org/fast/1411628
Finance,,Finance,http://id.worldcat.org/fast/924349
Finance--Italy--Early works to 1800,,Finance|Italy|Early works,http://id.worldcat.org/fast/924349|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1411636
Finance--Spain--Early works to 1800,,Finance|Spain|Early works,http://id.worldcat.org/fast/924349|http://id.worldcat.org/fast/1204303|http://id.worldcat.org/fast/1411636
Fireworks,,Fireworks,http://id.worldcat.org/fast/1198494
Fireworks--Early works to 1800,,Fireworks|Early works,http://id.worldcat.org/fast/1198494|http://id.worldcat.org/fast/1411636
Flanders,,Europe--Flanders,http://id.worldcat.org/fast/1245991
Florence (Italy),,Italy--Florence,http://id.worldcat.org/fast/1204699
Florence (Italy)--Church history,,Italy--Florence|Church history,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411629
Florence (Italy)--Commerce,,Italy--Florence|Commerce,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/869279
Florence (Italy)--Foreign relations--Italy--Papal States,,Italy--Florence|International relations|Italy|Europe--Papal States,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/977053|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1205528
Florence (Italy)--Foreign relations--Italy--Siena,,Italy--Florence|International relations|Italy|Italy--Siena,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/977053|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204409
Florence (Italy)--Foreign relations--Italy--Venice,,Italy--Florence|International relations|Italy|Italy--Venice,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/977053|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204473
Florence (Italy)--Genealogy,,Italy--Florence|Genealogy,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1423818
Florence (Italy)--History,,Italy--Florence|History,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628
Florence (Italy)--History--1421-1737,,Italy--Florence|History,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628
Florence (Italy)--History--14th century,,Italy--Florence|History|Fourteenth century,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/933420
Florence (Italy)--History--15th century,,Italy--Florence|History|Fifteenth century,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962
Florence (Italy)--History--16th century,,Italy--Florence|History|Sixteenth century,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
Florence (Italy)--History--16th century--Economic aspects,,Italy--Florence|History|Sixteenth century|Economics,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851|http://id.worldcat.org/fast/902116
Florence (Italy)--History--16th century--Sources,,Italy--Florence|History|Sixteenth century|Sources,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851|http://id.worldcat.org/fast/1423900
Florence (Italy)--History--17th century--Economic aspects,,Italy--Florence|History|Seventeenth century|Economics,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1113663|http://id.worldcat.org/fast/902116
Florence (Italy)--History--Early works to 1800,,Italy--Florence|History|Early works,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1411636
Florence (Italy)--History--Economic aspects,,Italy--Florence|History|Economics,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/902116
Florence (Italy)--History--Religious aspects,,Italy--Florence|History|Religion,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1093763
Florence (Italy)--History--Religious aspects--Early works to 1800,,Italy--Florence|History|Religion|Early works,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1093763|http://id.worldcat.org/fast/1411636
Florence (Italy)--Politics and government--1421-1737,,Italy--Florence|Politics and government,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1919741
Florence (Italy)--Politics and government--To 1421,,Italy--Florence|Politics and government,http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1919741
Flour mills,,Flour mills,http://id.worldcat.org/fast/927744
Flour mills--Italy,,Flour mills|Italy,http://id.worldcat.org/fast/927744|http://id.worldcat.org/fast/1204565
Forgiveness of sin,,Forgiveness of sin,http://id.worldcat.org/fast/932869
Forgiveness of sin--Early works to 1800,,Forgiveness of sin|Early works,http://id.worldcat.org/fast/932869|http://id.worldcat.org/fast/1411636
Forlì (Italy),,Italy--Forlì,http://id.worldcat.org/fast/1208452
Fortune,,Fortune,http://id.worldcat.org/fast/933058
Four elements (Philosophy),,Four elements (Philosophy),http://id.worldcat.org/fast/933376
Four elements (Philosophy)--Early works to 1800,,Four elements (Philosophy)|Early works,http://id.worldcat.org/fast/933376|http://id.worldcat.org/fast/1411636
Four temperaments in art,,Four temperaments in art,http://id.worldcat.org/fast/933383
France,,France,http://id.worldcat.org/fast/1204289
France.,,France,http://id.worldcat.org/fast/1204289
France--Alsace,,France--Alsace,http://id.worldcat.org/fast/1211525
France--Douai,,France--Douai,http://id.worldcat.org/fast/1213826
France--Economic conditions,,France|Economic history,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/901974
France--Economic conditions--15th century,,France|Economic history|Fifteenth century,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/901974|http://id.worldcat.org/fast/923962
France--Economic policy--16th century,,France|Economic policy|Sixteenth century,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/902025|http://id.worldcat.org/fast/1119851
France--Foreign relations--Italy,,France|International relations|Italy,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/977053|http://id.worldcat.org/fast/1204565
France--Foreign relations--Spain,,France|International relations|Spain,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/977053|http://id.worldcat.org/fast/1204303
France--Foreign relations--Turkey,,France|International relations|Turkey,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/977053|http://id.worldcat.org/fast/1208963
"France--History, Military--1328-1589--Sources",,"France|History, Military|Sources",http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1353231|http://id.worldcat.org/fast/1423900
France--History--14th century,,France|History|Fourteenth century,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/933420
France--History--14th century--Economic aspects,,France|History|Fourteenth century|Economics,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/933420|http://id.worldcat.org/fast/902116
France--History--14th century--Economic conditions,,France|History|Fourteenth century|Economic history,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/933420|http://id.worldcat.org/fast/901974
France--History--15th century,,France|History|Fifteenth century,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962
France--History--15th century--Economic aspects,,France|History|Fifteenth century|Economics,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962|http://id.worldcat.org/fast/902116
France--History--16th century--Economic aspects,,France|History|Sixteenth century|Economics,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851|http://id.worldcat.org/fast/902116
"France--History--Bourbons, 1589-1789",,France|History|1589-1789,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355633
"France--History--Charles IX, 1560-1574",,France|History|1560-1574,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355610
"France--History--Charles VIII, 1483-1498--Sources",,France|History|1483-1498|Sources,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355559|http://id.worldcat.org/fast/1423900
"France--History--Henry II, 1547-1559",,France|History|1547-1559,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355597
"France--History--House of Valois, 1328-1589",,France|History,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628
"France--History--Medieval period, 987-1515--Economic aspects",,France|History|987-1515|Economics,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1356009|http://id.worldcat.org/fast/902116
France--Kings and rulers--Genealogy--Early works to 1800,,France;Kings and rulers;Genealogy;Early works,http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/987694;http://id.worldcat.org/fast/1423818;http://id.worldcat.org/fast/1411636
France--Lyon,,France--Lyon,http://id.worldcat.org/fast/1214593
France--Politics and government--1562-1598,,France|Politics and government|Wars of the Huguenots (France : 1562-1598),http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1919741|http://id.worldcat.org/fast/1355311
France--Toulouse,,France--Toulouse,http://id.worldcat.org/fast/1206080
Franche-Comté (France)--History--14th century,,France--Franche-Comté|History|Fourteenth century,http://id.worldcat.org/fast/1210888|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/933420
Franciscan convents,,Franciscan convents,http://id.worldcat.org/fast/933659
Franciscan convents--France,,Franciscan convents|France,http://id.worldcat.org/fast/933659|http://id.worldcat.org/fast/1204289
Franciscans--Italy,,Franciscans|Italy,http://id.worldcat.org/fast/530004|http://id.worldcat.org/fast/1204565
French poetry,,French poetry,http://id.worldcat.org/fast/934799
French poetry--16th century,,French poetry|Sixteenth century,http://id.worldcat.org/fast/934799|http://id.worldcat.org/fast/1119851
French poetry--To 1500,,French poetry,http://id.worldcat.org/fast/934799
Friendship,,Friendship,http://id.worldcat.org/fast/935174
Friendship--Early works to 1800,,Friendship|Early works,http://id.worldcat.org/fast/935174|http://id.worldcat.org/fast/1411636
Friuli (Italy)--History,,Italy--Friuli|History,http://id.worldcat.org/fast/1245492|http://id.worldcat.org/fast/1411628
Frosinone (Italy : Province),,Italy--Frosinone (Province),http://id.worldcat.org/fast/1331460
Fucecchio (Italy)--History--15th century,,Italy--Fucecchio|History|Fifteenth century,http://id.worldcat.org/fast/1249683|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962
Funeral orations,,Funeral orations,http://id.worldcat.org/fast/936221
Funeral orations--Early works to 1800,,Funeral orations|Early works,http://id.worldcat.org/fast/936221|http://id.worldcat.org/fast/1411636
Funeral rites and ceremonies,,Funeral rites and ceremonies,http://id.worldcat.org/fast/936223
Funeral service--Catholic Church,,Funeral service--Catholic Church,http://id.worldcat.org/fast/1766782
Gambling--Religious aspects--Islam--Early works to 1800,,Gambling--Religious aspects;Islam;Early works,http://id.worldcat.org/fast/937414;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636
Games--Religious aspects--Islam--Early works to 1800,,Games--Religious aspects;Islam;Early works,http://id.worldcat.org/fast/937550;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636
Gardening,,Gardening,http://id.worldcat.org/fast/937852
Gardening--Early works to 1800,,Gardening|Early works,http://id.worldcat.org/fast/937852|http://id.worldcat.org/fast/1411636
Gascony (France),,France--Gascony,http://id.worldcat.org/fast/1224668
Genealogy,,Genealogy,http://id.worldcat.org/fast/1423818
Genoa (Italy)--History,,Italy--Genoa|History,http://id.worldcat.org/fast/1225559|http://id.worldcat.org/fast/1411628
Genoa (Italy)--History--1528-1789,,Italy--Genoa|History,http://id.worldcat.org/fast/1225559|http://id.worldcat.org/fast/1411628
Genoa (Italy)--Politics and government,,Italy--Genoa|Politics and government,http://id.worldcat.org/fast/1225559|http://id.worldcat.org/fast/1919741
Geography,,Geography,http://id.worldcat.org/fast/940469
"Geography, Ancient",,"Geography, Ancient",http://id.worldcat.org/fast/940567
"Geography, Ancient--Early works to 1800",,"Geography, Ancient|Early works",http://id.worldcat.org/fast/940567|http://id.worldcat.org/fast/1411636
"Geography, Arab",,"Geography, Arab",http://id.worldcat.org/fast/940571
"Geography, Arab--Early works to 1800",,"Geography, Arab;Early works",http://id.worldcat.org/fast/940571;http://id.worldcat.org/fast/1411636
"Geography, Medieval",,"Geography, Medieval",http://id.worldcat.org/fast/940573
Geography--Early works to 1800,,Geography;Early works,http://id.worldcat.org/fast/940469;http://id.worldcat.org/fast/1411636
Geomancy,,Geomancy,http://id.worldcat.org/fast/940820
Geomancy--Islamic countries--Early works to 1800,,Geomancy;Islamic countries;Early works,http://id.worldcat.org/fast/940820;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1411636
Geometry,,Geometry,http://id.worldcat.org/fast/940864
Geometry--Arab countries--History,,Geometry;Arab countries;History,http://id.worldcat.org/fast/940864;http://id.worldcat.org/fast/1240128;http://id.worldcat.org/fast/1411628
Geometry--Early works to 1800,,Geometry;Early works,http://id.worldcat.org/fast/940864;http://id.worldcat.org/fast/1411636
Geometry--Islamic countries--History,,Geometry;Islamic countries;History,http://id.worldcat.org/fast/940864;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1411628
German language,,German language,http://id.worldcat.org/fast/941408
"German language--Middle High German, 1050-1500--Glossaries, vocabularies, etc.--Early works to 1800",,"German language--Middle High German|Glossaries, vocabularies, etc.|Early works",http://id.worldcat.org/fast/1710971|http://id.worldcat.org/fast/1423786|http://id.worldcat.org/fast/1411636
German poetry,,German poetry,http://id.worldcat.org/fast/941930
German poetry--Early modern,,German poetry--Early modern,http://id.worldcat.org/fast/1710978
"German poetry--Early modern, 1500-1700",,German poetry--Early modern,http://id.worldcat.org/fast/1710978
German poetry--Middle High German,,German poetry--Middle High German,http://id.worldcat.org/fast/1710979
"German poetry--Middle High German, 1050-1500",,German poetry--Middle High German,http://id.worldcat.org/fast/1710979
Germanic peoples,,Germanic peoples,http://id.worldcat.org/fast/942049
Germanic peoples--History--Early works to 1800,,Germanic peoples|History|Early works,http://id.worldcat.org/fast/942049|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1411636
Germany,,Germany,http://id.worldcat.org/fast/1210272
Germany--Bavaria,,Germany--Bavaria,http://id.worldcat.org/fast/1211843
Germany--Franconia,,Germany--Franconia,http://id.worldcat.org/fast/1244296
Germany--History--16th century,,Germany|History|Sixteenth century,http://id.worldcat.org/fast/1210272|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
Germany--History--Sources,,Germany|History|Sources,http://id.worldcat.org/fast/1210272|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1423900
Germany--History--To 843,,Germany|History,http://id.worldcat.org/fast/1210272|http://id.worldcat.org/fast/1411628
Germany--Nuremberg,,Germany--Nuremberg,http://id.worldcat.org/fast/1207726
"Ghazals, Persian--Early works to 1800",,"Ghazals, Persian;Early works",http://id.worldcat.org/fast/942362;http://id.worldcat.org/fast/1411636
Gifts,,Gifts,http://id.worldcat.org/fast/942628
Gifts--France--History--14th century,,Gifts|France|History|Fourteenth century,http://id.worldcat.org/fast/942628|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/933420
God,,God,http://id.worldcat.org/fast/944037
God (Islam)--Mercy--Early works to 1800,,God (Islam)--Mercy|Early works,http://id.worldcat.org/fast/944148|http://id.worldcat.org/fast/1411636
God--Early works to 1800,,God|Early works,http://id.worldcat.org/fast/944037|http://id.worldcat.org/fast/1411636
God--Knowableness,,God--Knowableness,http://id.worldcat.org/fast/944070
God--Knowableness--Sermons,,God--Knowableness|Sermons,http://id.worldcat.org/fast/944070|http://id.worldcat.org/fast/1423904
God--Omnipotence,,God--Omnipotence,http://id.worldcat.org/fast/944090
God--Omnipotence--Early works to 1800,,God--Omnipotence|Early works,http://id.worldcat.org/fast/944090|http://id.worldcat.org/fast/1411636
God--Worship and love,,God--Worship and love,http://id.worldcat.org/fast/944127
God--Worship and love--Early works to 1800,,God--Worship and love|Early works,http://id.worldcat.org/fast/944127|http://id.worldcat.org/fast/1411636
Gold,,Gold,http://id.worldcat.org/fast/944368
Gold--Early works to 1800,,Gold|Early works,http://id.worldcat.org/fast/944368|http://id.worldcat.org/fast/1411636
Graduals (Chants),,Graduals (Chants),http://id.worldcat.org/fast/1761754
Graduals (Chants)--Specimens,,Graduals (Chants)|Specimens,http://id.worldcat.org/fast/1761754|http://id.worldcat.org/fast/1423861
Graduals (Liturgical books),,Graduals (Liturgical books),http://id.worldcat.org/fast/945809
Graduals (Liturgical books)--Specimens,,Graduals (Liturgical books)|Specimens,http://id.worldcat.org/fast/945809|http://id.worldcat.org/fast/1423861
Great Britain,,Great Britain,http://id.worldcat.org/fast/1204623
"Great Britain--History--Elizabeth, 1558-1603",,Great Britain|History|1558-1603,http://id.worldcat.org/fast/1204623|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355606
Great Britain--Kings and rulers--Genealogy--Early works to 1800,,Great Britain;Kings and rulers;Genealogy;Early works,http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/987694;http://id.worldcat.org/fast/1423818;http://id.worldcat.org/fast/1411636
Great Britain--Kings and rulers--Heraldry,,Great Britain|Kings and rulers|Heraldry,http://id.worldcat.org/fast/1204623|http://id.worldcat.org/fast/987694|http://id.worldcat.org/fast/955273
Great Britain--Politics and government--1399-1485,,Great Britain|Politics and government|1399-1485,http://id.worldcat.org/fast/1204623|http://id.worldcat.org/fast/1919741|http://id.worldcat.org/fast/1355517
Great Britain--Relations--Ireland,,Great Britain|International relations|Ireland,http://id.worldcat.org/fast/1204623|http://id.worldcat.org/fast/977053|http://id.worldcat.org/fast/1205427
Greece,,Greece,http://id.worldcat.org/fast/1208380
Greece--History--1453-1821,,Greece|History,http://id.worldcat.org/fast/1208380|http://id.worldcat.org/fast/1411628
Greek language--Grammar,,Greek language--Grammar,http://id.worldcat.org/fast/947212
Greek language--Grammar--Early works to 1500,,Greek language--Grammar|Early works,http://id.worldcat.org/fast/947212|http://id.worldcat.org/fast/1411636
Greek literature,,Greek literature,http://id.worldcat.org/fast/947441
Greek literature--Early works to 1800,,Greek literature|Early works,http://id.worldcat.org/fast/947441|http://id.worldcat.org/fast/1411636
Gregorian chants,,Gregorian chants,http://id.worldcat.org/fast/947816
