genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
Manuscripts--India--19th century,aat,,manuscripts (documents);India;Nineteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1037841,,
Manuscripts--Indonesia--19th century,aat,,manuscripts (documents);Indonesia;Nineteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1209242;http://id.worldcat.org/fast/1037841,,
Manuscripts--Iran--16th century,aat,,manuscripts (documents);Iran;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1119851,,
Manuscripts--Iran--19th century,aat,,manuscripts (documents);Iran;Nineteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1037841,,
Manuscripts--Iran--20th century,aat,,manuscripts (documents);Iran;Twentieth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1159810,,
Manuscripts--Italy--13th century,aat,,manuscripts (documents);Italy;Thirteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,,
Manuscripts--Italy--14th century,aat,,,,manuscripts (documents);Italy;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420
Manuscripts--Italy--15th century,aat,,,,manuscripts (documents);Italy;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962
Manuscripts--Italy--Bologna--14th century,aat,,manuscripts (documents);Italy--Bologna;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204551;http://id.worldcat.org/fast/933420,,
Manuscripts--Italy--Ferrara--15th century,aat,,manuscripts (documents);Italy--Ferrara;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204575;http://id.worldcat.org/fast/923962,,
Manuscripts--Italy--Florence--15th century,aat,,manuscripts (documents);Italy--Florence;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/923962,,
Manuscripts--Japan--15th century,aat,,manuscripts (documents);Japan;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/923962,,
Manuscripts--Japan--17th century,aat,,manuscripts (documents);Japan;Seventeenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/1113663,,
Manuscripts--Nigeria--19th century,aat,,manuscripts (documents);Nigeria;Nineteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1205229;http://id.worldcat.org/fast/1037841,,
Manuscripts--Spain--15th century,aat,,,,manuscripts (documents);Spain;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/923962
Manuscripts--Spain--16th century,aat,,manuscripts (documents);Spain;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,,
Manuscripts--Spain--17th century,aat,,manuscripts (documents);Spain;Seventeenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,,
Manuscripts--Spain--18th century,aat,,manuscripts (documents);Spain;Eighteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/904058,,
Manuscripts--Spain--Valladolid--16th century,aat,,manuscripts (documents);Spain--Valladolid;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1207327;http://id.worldcat.org/fast/1119851,,
Manuscripts--Sri Lanka--18th century,aat,,manuscripts (documents);Sri Lanka;Eighteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1208730;http://id.worldcat.org/fast/904058,,
Manuscripts--Syria--16th century,aat,,manuscripts (documents);Syria;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/1119851,,
Manuscripts--Turkey--16th century,aat,,manuscripts (documents);Turkey;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1119851,,
Miniatures (Illuminations)--Spain--Valladolid--16th century,gmgpc,,Illumination of books and manuscripts;Spain--Valladolid;Sixteenth century,http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1207327;http://id.worldcat.org/fast/1119851,,
Palm leaf--Burma--18th century,aat,,palm leaf (material);Burma;Eighteenth century,http://vocab.getty.edu/aat/300011894;http://id.worldcat.org/fast/1207835;http://id.worldcat.org/fast/904058,,
Palm leaf--Sri Lanka--18th century,aat,,palm leaf (material);Sri Lanka;Eighteenth century,http://vocab.getty.edu/aat/300011894;http://id.worldcat.org/fast/1208730;http://id.worldcat.org/fast/904058,,
Peciae--Italy--13th century,aat,,peciae;Italy;Thirteenth century,http://vocab.getty.edu/aat/300207627;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,,
Persian scripts,aat,,,,,
Poetry--Iran--16th century,aat,,poetry;Iran;Sixteenth century,http://vocab.getty.edu/aat/300055931;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1119851,,
Poetry--Iran--20th century,aat,,poetry;Iran;Twentieth century,http://vocab.getty.edu/aat/300055931;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1159810,,
Prayer books--Turkey--16th century,aat,,prayer books;Turkey;Sixteenth century,http://vocab.getty.edu/aat/300026476;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1119851,,
Psalters--France--15th century,aat,,psalters (books);France;Fifteenth century,http://vocab.getty.edu/aat/300026477;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,,
Seals (artifacts)--France--14th century,aat,,seals (marks);France;Fourteenth century,http://vocab.getty.edu/aat/300417667;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,,
Syriac scripts--Syria--16th century,aat,,Syriac scripts;Syria;Sixteenth century,http://vocab.getty.edu/aat/300379151;http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/1119851,,
Vellum bindings (Binding)--19th century,rbbin,,Vellum bindings,http://id.loc.gov/vocabulary/rbmscv/cv00543,,
Vellum bindings (Binding)--21st century,rbbin,,Vellum bindings,http://id.loc.gov/vocabulary/rbmscv/cv00543,,
documentary scripts,aat,(CStmoGRI)aatgf300200828,,,documentary scripts,http://vocab.getty.edu/aat/300200828
leaf (plant material),aat,(CStmoGRI)aatgf300011892,leaf (plant material),http://vocab.getty.edu/aat/300011892,,
seals (artifacts),aat,(CStmoGRI)aatgf300028877,,,seals (artifacts),http://vocab.getty.edu/aat/300028877
