name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Vaz, Fernan",author,,,human,Fernan Vaz,Q131623269,DSNAME7238,Q67484,,,,
Catholic Church. Pope (1592-1605 : Clement VIII),author,,,,,,,,organization;human,Catholic Church;Clement VIII,Q9592;Q170395,Q425;Q40414
William Bishop of Achaden,author,,,human,William Bishop of Achaden,Q131623270,DSNAME7239,Q67485,,,,
"Wimpheling, Jakob, 1450-1528",author,,,human,Jakob Wimpfeling,Q71848,DSNAME7372,Q67618,,,,
Virgil,author,,http://id.loc.gov/authorities/names/n79014062,,,,,,human,Virgil,Q1398,Q6128
"Askew, Anthony, 1722-1774",former owner,,,,,,,,human,Anthony Askew,Q4772033,Q40189
"Shuckburgh-Evelyn, George Augustus William, Sir, 1751-1804",former owner,,,human,George Shuckburgh-Evelyn,Q3300195,DSNAME7373,Q67619,,,,
"Bondi, Johannes",author,,,human,Giovanni Bóndi,Q125500784,DSNAME7374,Q67620,,,,
Languedoc (France). États généraux,author,,,organization,Estates of Languedoc,Q3591894,DSNAME7439,Q67685,,,,
"Hodson, Laurence W",former owner,,,,,,,,human,Laurence William Hodson,Q116378155,Q1583
"Walker, Fountaine",former owner,,,human,Fountaine Walker,Q75409799,DSNAME7375,Q67621,,,,
"Bishop, Cortlandt F. 1870-1935",former owner,,http://id.loc.gov/authorities/names/n85239145,,,,,,human,Cortlandt F. Bishop,Q5173352,Q1631
"Perkins, Oliver Henry, -1912",former owner,,,,,,,,human,Oliver Henry Perkins,Q114242410,Q18639
"Rigaux, Hector, abbé",former owner,,,human,Hector Rigaux,Q11289847,DSNAME7376,Q67622,,,,
"Malian, Jean de",author,,,human,Jean de Malian,Q131623271,DSNAME7240,Q67486,,,,
"Ravizi, Giovanni",author,,,human,Giovanni Ravizi,Q131623273,DSNAME7241,Q67487,,,,
"Velasco, Luis de",author,,,human,Luis Velasco,Q68912324,DSNAME7377,Q67623,,,,
"Raumburger, Andreas",author,,,human,Andreas Raumburger,Q125490311,DSNAME7378,Q67624,,,,
Martial,author,,,,,,,,human,Martial,Q2098,Q6136
"Rooryck, André, 1923-2010",former owner,,,human,André Rooryck,Q116573665,DSNAME1145,Q3743,,,,
"Pappus, of Alexandria",author,,,human,Pappus of Alexandria,Q211783,DSNAME7379,Q67625,,,,
"Clarke, Adam, approximately 1762-1832",former owner,,,,,,,,human,Adam Clarke,Q3292302,Q3778
Lane Theological Seminary,former owner,,,organization,Lane Theological Seminary,Q6485448,DSNAME7440,Q67686,,,,
"Messalla Corvinus, Marcus Valerius, 64 B.C.-approximately 8 A.D",author,,,human,Marcus Valerius Messalla Corvinus,Q508117,DSNAME7380,Q67626,,,,
"Barbaro, Francesco, 1390-1454",author,,,,,,,,human,Francesco Barbaro,Q712032,Q16515
