name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Sindī, Muḥammad ibn ʻAbd al-Hādī, -1726",author,,,human,Muḥammad ibn ʿAbd al-Hādī Sindī,Q27907496,DSNAME7525,Q67811,,,,
"Nawawī, 1233-1277",author,,http://id.loc.gov/authorities/names/n82009538 http://id.loc.gov/authorities/names/n82009538 http://viaf.org/viaf/sourceID/LC%7cn82009538,,,,,,human,Al-Nawawi,Q293571,Q12416
"Ḥumaydī, Muḥammad ibn Fattūḥ, -1095",author,,,human,Al-Humaydī,Q4170233,DSNAME7472,Q67758,,,,
"Ibn al-Kharrāṭ, ʻAbd al-Ḥaqq ibn ʻAbd al-Raḥmān, 1116 or 1117-1185",author,,http://id.loc.gov/authorities/names/nr92014850,,,,,,human,Ibn al-Kharrāṭ,Q12222548,Q12297
"Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī, 817 or 818-889",author,,,human,Abu Dawood,Q336558,DSNAME7526,Q67812,,,,
"Mundhirī, ʻAbd al-ʻAẓīm ibn ʻAbd al-Qawī, 1185-1258",author,,,,,,,,human,Mundhirī,Q12193844,Q12433
"Tirmidhī, Muḥammad ibn ʻĪsá, -892",author,,,,,,,,human,Abu Isa at-Tirmidhi,Q293578,Q12384
"Nasāʼī, Aḥmad ibn Shuʻayb, 830 or 831-915",author,,,,,,,,human,Al-Nasa'i,Q293535,Q12434
"Ibn Mājah, Muḥammad ibn Yazīd, -887",author,,,human,Ibn Majah,Q381469,DSNAME7473,Q67759,,,,
"Mizzī, Yūsuf ibn al-Zakī ʻAbd al-Raḥmān, 1256-1341",author,,,human,Yusuf ibn Abd al-Rahman al-Mizzi,Q3607449,DSNAME7527,Q67813,,,,
"Mālik ibn Anas, -795",author,,,,,,,,human,Malik ibn Anas,Q312299,Q12431
"Mālik ibn Anas, -795",author,,,,,,,,human,Malik ibn Anas,Q312299,Q12431
"Qārī al-Harawī, ʻAlī ibn Sulṭān Muḥammad, -1605 or 1606",author,,http://id.loc.gov/authorities/names/n82091823,,,,,,human,Ali al-Qari,Q2836379,Q12385
"Zurqānī, Muḥammad ibn ʻAbd al-Bāqī, 1645-1710",author,,http://id.loc.gov/authorities/names/n82078406,,,,,,human,Muhammad al-Zurqani,Q16859425,Q12441
"Ibn Ḥanbal, Aḥmad ibn Muḥammad, 780-855",author,,,human,Ahmad ibn Hanbal,Q194442,DSNAME7528,Q67814,,,,
"Ibn Zaknūn, ʻAlī ibn al-ḥusayn, d. 1434",author,,,human,Ibn ʻurwah,Q124768345,DSNAME7474,Q67760,,,,
"Quḍāʻī, Muḥammad ibn Salāmah, -1062",author,,http://id.loc.gov/authorities/names/n88059513,,,,,,human,Al-Quda'i,Q15431116,Q12436
"Bayhaqī, Aḥmad ibn al-Ḥusayn, 994-1066",author,,http://id.loc.gov/authorities/names/n84182370 http://id.loc.gov/authorities/names/n84182370 http://viaf.org/viaf/sourceID/LC%7cn84182370,,,,,,human,Al-Bayhaqi,Q293663,Q12437
"Ibn al-Turkmānī, ʻAlī ibn ʻUthmān, d. 1349",author,,,human,ʻAlī ibn ʻUthmān Ibn al-Turkmānī,Q131690038,DSNAME7475,Q67761,,,,
"Baghawī, al-Ḥusayn ibn Masʻūd, -1117",author,,http://id.loc.gov/authorities/names/n81020342,,,,,,human,Al-Baghawi,Q48210,Q12296
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286",author,,http://id.loc.gov/authorities/names/n82085851,,,,,,human,Baidawi,Q287573,Q12426
"Tūrabushtī, Faḍl Allāh ibn ḥasan, 14th cent",author,,,human,Faḍl Allāh ibn ḥasan Tūrabushtī,Q131690039,DSNAME7476,Q67762,,,,
