subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Bible--Critique, interprétation, etc.--Histoire--600-1500 (Moyen Âge)--Ouvrages avant 1800",6,a--x--x--y--v,(CaQQLa)201-0072796--(CaQQLa)201-0072796--(CaQQLa)201-0072796--(CaQQLa)201-0072796--(CaQQLa)201-0377050,"Bible;Criticism, interpretation, etc.;History;500-1500;Early works",http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355938;http://id.worldcat.org/fast/1411636,Q4267;Q177;Q6879;Q4252;Q300,,,
Bible,fast,a,(OCoLC)fst01356024,,,,Bible,http://id.worldcat.org/fast/1356024,Q4267
"Talmud. Shevuʻot--Criticism, interpretation, etc.--Early works to 1800",0,a;p--x--v,,"Talmud. Shevuʻot;Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/1371726;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636,Q74917;Q177;Q300,,,
"Talmud. Arakhin--Criticism, interpretation, etc.--Early works to 1800",0,a;p--x--v,,"Talmud. Arakhin;Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/1371647;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636,Q74915;Q177;Q300,,,
"Talmud. Makkot--Criticism, interpretation, etc.--Early works to 1800",0,a;p--x--v,,"Talmud. Makkot;Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/1368677;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636,Q74916;Q177;Q300,,,
Talmud. Arakhin,fast,a;p,(OCoLC)fst01371647,Talmud. Arakhin,http://id.worldcat.org/fast/1371647,Q74915,,,
Talmud. Makkot,fast,a;p,(OCoLC)fst01368677,Talmud. Makkot,http://id.worldcat.org/fast/1368677,Q74916,,,
Talmud. Shevuʻot,fast,a;p,(OCoLC)fst01371726,Talmud. Shevuʻot,http://id.worldcat.org/fast/1371726,Q74917,,,
Talmud. Beẓah--Early works to 1800,0,a;p--v,,Talmud. Beẓah;Early works,http://id.worldcat.org/fast/1368524;http://id.worldcat.org/fast/1411636,Q75346;Q300,,,
Talmud. Megillah--Early works to 1800,0,a;p--v,,Talmud. Megillah;Early works,http://id.worldcat.org/fast/1359630;http://id.worldcat.org/fast/1411636,Q75338;Q300,,,
Talmud. Moʻed katan--Early works to 1800,0,a;p--v,,Talmud. Moʻed katan;Early works,http://id.worldcat.org/fast/1366632;http://id.worldcat.org/fast/1411636,Q75394;Q300,,,
Talmud. Zevaḥim--Early works to 1800,0,a;p--v,,Talmud. Zevaḥim;Early works,http://id.worldcat.org/fast/1361026;http://id.worldcat.org/fast/1411636,Q75395;Q300,,,
"Aaron ben Joseph, ha-Rofe, approximately 1250-1320. sefer ha-Mivḥar",0,a;c;d;t,,,,,,,
Bible. Proverbs--Commentaries--Early works to 1800,0,a;p--v--v,,Bible. Proverbs;Commentaries;Early works,http://id.worldcat.org/fast/1808095;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q38606;Q2812;Q300,,,
Sifra di-tseniʻuta,0,a,http://id.loc.gov/authorities/names/n86039533,Sifra di-tseniʻuta,http://id.worldcat.org/fast/1358065,Q74940,,,
Idra rabba,0,a,http://id.loc.gov/authorities/names/nr91006770,Idra rabba,http://id.worldcat.org/fast/1373724,Q74918,,,
Idra zuta,0,a,http://id.loc.gov/authorities/names/n89126481,Idra zuta,http://id.worldcat.org/fast/1374366,Q74919,,,
Sefer Yeẓirah,0,a,http://id.loc.gov/authorities/names/n79094719,,,,Sefer Yeẓirah,http://id.worldcat.org/fast/1357837,Q38773
Abraham (Biblical patriarch)--in Hebrew literature--Early works to 1800,0,a;c--x--v,,Abraham (Biblical patriarch);Hebrew literature;Early works,http://id.worldcat.org/fast/37599;http://id.worldcat.org/fast/954363;http://id.worldcat.org/fast/1411636,Q12595;Q74847;Q300,,,
Bible. Song of Solomon--Commentaries--19th century,0,a;p--x--y,,Bible. Song of Solomon;Commentaries;Nineteenth century,http://id.worldcat.org/fast/1892948;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1037841,Q2980;Q2812;Q3538,,,
Bible. Song of Solomon,fast,a;p,(OCoLC)fst01892948,,,,Bible. Song of Solomon,http://id.worldcat.org/fast/1892948,Q2980
Sefer Yeẓirah--Commentaries--Early works to 1800,0,a--x--v,,Sefer Yeẓirah;Commentaries;Early works,http://id.worldcat.org/fast/1357837;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q38773;Q2812;Q300,,,
Sefer Yeẓirah,fast,a,(OCoLC)fst01357837,Sefer Yeẓirah,http://id.worldcat.org/fast/1357837,Q38773,,,
Talmud. Menaḥot--Early works to 1800,0,a;p--v,,Talmud. Menaḥot;Early works,http://id.worldcat.org/fast/1368998;http://id.worldcat.org/fast/1411636,Q75396;Q300,,,
Bible. Psalms--Commentaries,0,a;p--v,,,,,Bible. Psalms;Commentaries,http://id.worldcat.org/fast/1808097;http://id.worldcat.org/fast/1423723,Q4257;Q2812
Bible. Song of Solomon--Commentaries,0,a;p--v,,,,,Bible. Song of Solomon;Commentaries,http://id.worldcat.org/fast/1892948;http://id.worldcat.org/fast/1423723,Q2980;Q2812
Mishnah. Sanhedrin--Commentaries--Early works to 1800,0,a;p--v--v,,Mishnah. Sanhedrin;Commentaries;Early works,http://id.worldcat.org/fast/1363149;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q75397;Q2812;Q300,,,
