title_as_recorded,titles-cluster,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
al-Tārīkh al-kanāʼisī,al-Tārīkh al-kanāʼisī,التاريخ الكنائسي,,,History of the Christian Church,Q75940,,
Manshāʼ inshāʼ al-kalām,Manshāʼ inshāʼ al-kalām,منشاء انشاء الكلام,,,,,,
Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār ...,,دلائل الخيرات و شوارق الانوار في ذكر الصلاة على النبي المختار ...,Dalāʼil al-khayrāt,دلائل الخيرات,,,Dala'il al-Khayrat,Q18568
Collection of prayers and selections from the Qurʼān,,,,,,,Qurʼan,Q3697
Bughyat al-ṭullāb fī sharḥ Munyat al-ḥussāb,,بغية الطلاب في شرح منية الحساب,Bughyat al-ṭullāb ʻalá Munyat al-ḥussāb,بغية الطلاب على منية الحساب,,,Bughyat al-ṭullāb ʻalá Munyat al-ḥussāb,Q27604
Sharḥ-i bīst bāb,,شرح بيست باب,,,,,Sharḥ-i bīst bāb,Q27522
Hādhā kitāb sih zabān,,هذا کتاب سه زبان,,,,,Kitāb sih zabān,Q27584
Ziyārat-i ʻĀshūrāʼ,,زیارات عاشوراء,,,,,Ziyārat-i ʻĀshūrāʼ,Q27624
Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,,جنة الأمان الواقية وجنة الايمان الباقية,,,,,Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,Q27802
Sharḥ-i ṣad kalimah-i Baṭlamyūs,,شرح صد کلمه بطلميوس,,,,,Sharḥ-i ṣad kalimah-i Baṭlamyūs,Q27640
Bīst bāb dar ʻilm-i usṭurlāb,,بىست باب در علم اسطرلاب,,,,,Treatise on astrolabes,Q27631
al-Juzʼ al-thāmin ʻashar,,الجزء الثامن عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
Risālah bar usṭurlāb,,رساله بر اسطرلاب,,,,,Risālah bar usṭurlāb,Q27818
Vīdēvdād,,,Avesta,,,,Avesta,Q27724
Khulāṣat al-ḥisāb. al-Risālah al-Muḥammadīyah,,خلاصة الحساب. الرسالة المحمدية,,,,,Khulāṣat al-ḥisāb,Q27667
Kitāb Talkhīṣ al-Miftāḥ ...,,كتاب تلخيص المفتاح ...,,,,,Kitāb Talkhīṣ al-Miftāḥ,Q27586
Kitāb al-qawl al-mubdiʻ fī sharḥ al-Muqniʻ,,كتاب القول المبدع في شرح المقنع,,,,,Kitāb al-qawl al-mubdiʻ fī sharḥ al-Muqniʻ,Q27628
Badīʻ al-ḥisāb,,بدىع الحساب,,,,,Badīʻ al-ḥisāb,Q27809
Badāʼiʻ al-funūn,,بدائع الفنون,,,,,Badāʼiʻ al-funūn,Q27669
al-Juzʼ al-ḥādī wa-al-ʻishrūn,,الجزء الحادي والعشرون,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-ḥādī ʻashr,,الجزء الحادي عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-sādis,,الجزء السادس,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-rābiʻ ʻashar min al-rabʻah al-sharīfah,,الجزء الرابع عشر من الربعة الشريفة,Qurʼan,قرآن,,,Qurʼan,Q3697
Kitāb nafīs yufṣaḥu fīhi ʻan al-lughah al-Turkīyah,,كتاب نفيس يفصح فيه عن اللغة التركية,,,,,Kitāb nafīs yufṣaḥu fīhi ʻan al-lughah al-Turkīyah,Q27712
Dalāʼil al-khayrāt,,دلائل الخيرات,,,,,Dala'il al-Khayrat,Q18568
al-Juzʼ al-khāmis ʻashar,,الجزء الخامس عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-ḥādī ʻashar,,الجزء الحادي عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-ʻishrūn,,الجزء العشرون,Qurʼan,قرآن,,,Qurʼan,Q3697
Bahār-i dānish,,بهار دانش,,,,,Bahar-i Danish,Q27519
Questions and answers on Christianity,,,,,,,Questions and answers on Christianity,Q27691
Tuḥfat al-ʻirfān,,تحفة العرفان,,,,,Tuḥfat al-ʻirfān,Q27567
Dīvān,,ديوان,Poems,,,,Diwan,Q11912
Hādhā ḥijāb ʻaẓīm al-shaʼn wa-al-burhān,,هذا حجاب عظيم الشأن والبرهان,Ḥijāb al-ʻaẓīm,حجاب العظيم,,,Ḥijāb al-ʻaẓīm,Q27550
Coptic-Arabic glossary,,,,,,,Coptic-Arabic glossary,Q27535
Qur'ān leaf,,,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Ṣaḥīfah al-kāmilah,,الصحيفة الكاملة,,,,,al-Ṣaḥīfah al-kāmilah,Q27822
Uṣūl al-handasah wa-al-ḥisāb /,,اصول الهندسة والحساب /,Elements,,,,Elements,Q3121
Kitāb al-ukar,,كتاب الاكر,De sphaericis,,,,De sphaericis,Q27777
Treatise on composing letters,,,,,,,Treatise on composing letters,Q27581
Khulāṣat al-ḥisāb,,خلاصة الحساب,,,,,Khulāṣat al-ḥisāb,Q27667
Calendar for year 1064 AH,,,,,,,Calendar,Q1122
al-Mulakhkhaṣ fī al-hayʼah,al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة,,,Mulahhas fī al-Hay'a,Q75941,,
Qurʼān leaves,,,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-khāmis,,الجزء الخامس,Qurʼan,قرآن,,,Qurʼan,Q3697
Fatḥ al-qarīb al-mujīb fī sharḥ alfāẓ al-Taqrīb,,فتح القريب المجيب في شرح الفاظ التقريب,,,,,Sharah alfaz al-taqribi,Q27559
Khamsah,,خمسه,Khamsah,خمسه,,,Khamsa,Q18558
On charms and talismans,,,,,,,On charms and talismans,Q27751
Fī al-falak wa-al-handasah wa-al-ḥisāb,,في الفلك والهندسة والحساب,,,,,Mathematical text,Q12185
Sharḥ Khulāṣat al-ḥisāb,,شرح خلاصة الحساب,,,,,Sharḥ Khulāṣat al-ḥisāb,Q27600
Sharḥ Hidāyat al-ḥikmah. Risālah fī ʻilm al-hayʼah,,شرح هداية الحكمة. رسالة في علم الهيئة,,,,,Risālah fī ʻilm al-hayʼah,Q27671
Rubʻ min Dalāʼil al-khayrāt,,ربع من دلائل الخيرات,Dalāʼil al-khayrāt,دلائل الخيرات,,,Dala'il al-Khayrat,Q18568
Collection of Persian poetry and stories,,,,,,,Persian texts,Q7568
Khamsah,,خمسه,Khamsah,خمسة,,,Khamsa,Q18558
al-Juzʼ... min kitāb Tārīkh madīnat Dimashq,,الجزء...من كتاب تاريخ مدينة دمشق,Tārīkh madīnat Dimashq,تاريخ مدينة دمشق,,,Tārīkh madīnat Dimashq,Q27773
Qurʼān folio,,,Qurʼan,قرآن,,,Qurʼan,Q3697
Tuhfe-yi Șāhidī,,تحفه شاهدى,,,,,Tuhfe-yi Șāhidī,Q27660
Laylī va Majnūn,Laylī va Majnūn,ليلى و مجنون,Laylī and Majnūn,,Layla and Majnun,Q18445,,
Kitāb fī sharḥ al-Mulakhkhaṣ ...,,كتاب في شرح الملخص ...,,,,,Kitāb fī sharḥ al-Mulakhkhaṣ,Q27762
Risālah dar hayʼat,,رساله در هيئت,Risālah fī al-hayʼah,رسالة في الهيئة,,,Risālah fī al-hayʼah,Q27552
Kharīdat al-ʻajāyib wa-farīdat al-gharāyib,,خريدة العجايب وفريدة الغرايب,Kharīdat al-ʻajāʼib wa-farīdat al-gharāʼib,خريدة العجائب وفريدة الغرائب,,,Kharīdat al-ʻajāʼib wa farīḍat al-gharāʼib,Q3700
Kitāb-i Ṣuwar al-kawākib,,کتاب صور الکواکب,Ṣuwar al-kawākib,صور الکواکب,,,Ṣuwar al-kawākib,Q27656
Subḥat al-abrār,,سبحت الابرار,Haft awrang,هفت اورنگ,,,Haft Awrang,Q27579
Leaf from Khusraw va Shīrīn,,,Khusraw va Shīrīn,خسرو و شيرين,,,Khosrow and Shirin,Q27727
Two illustrations from Qurʼānic stories,,,,,,,Qur'anic stories,Q27825
Taqdīm Abī Bakr,,تقديم ابي بكر,,,,,Taqdīm Abī Bakr,Q27772
Framed lacquer painting,,,,,,,Painting,Q38348
Sharḥ-i Bīst bāb-i usṭurlāb,,شرح بيست باب اسطرلاب,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,شرح بيست باب در معرفت اسطرلاب,,,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,Q27596
Fatḥ al-quddūs fī sharḥ khuṭbat al-Qāmūs,,فتح القدوس في شرح خطبة القاموس,,,,,Sharḥ khuṭbat al-Qāmūsa,Q27693
Ḥamlah-i Ḥaydarī,,حمله حىدرى,,,,,Ḥamlah-i Ḥaydarī,Q27641
Khordah Avesta,,,Avesta,,,,Avesta,Q27724
Jalāʼ al-adhhān wa-jalāʼ al-aḥzān fī tafsīr al-Qurʼān,,جلاء الاذهان وجلاء الاحزان فى تفسير القرآن,,,,,Jalāʼ al-adhhān wa-jalāʼ al-aḥzān fī tafsīr al-Qurʼān,Q27816
Two mounted Qurʼān leaves,,,Qurʼan,قرآن,,,Qurʼan,Q3697
Chand risālah dar ḥisāb va hayʼāt,,چند رساله در حساب و هيئات,,,,,On accounting and commissions,Q27731
Vendidad Sade,,,Avesta,,,,Avesta,Q27724
Arabic poem with painting,,,,,,,Arabic poetry,Q12007
Wooden writing tablet for teaching grammar and religion,,,,,,,Wooden writing tablet,Q27569
Mukhtaṣar-i Bīst dar maʻrifat-i usṭurlāb,,مختصر بيست در معرفت اسطرلاب,Bīst dar maʻrifat-i usṭurlāb,بيست در معرفت اسطرلاب,,,Bīst dar maʻrifat-i usṭurlāb,Q27748
Leaf with ghazal of Ḥāfiẓ,,,,,,,Ghazal,Q27668
Tarjumah-i kitāb-i Taḥrīr-i Uqlīdus-i dar uṣūl-i handasah va ḥisāb,,ترجمه کتاب تحرير اقليدس در اصول هندسه و حساب,,,,,Tarjumah-i kitāb-i Taḥrīr-i Uqlīdus-i dar uṣūl-i handasah va ḥisāb,Q27794
Leaf from the Qurʼān,,,Qurʼan,قرآن,,,Qurʼan,Q3697
Two Persian miniatures,,,,,,,Miniatures,Q20429
Adventures of Hatim Tai,,,Qiṣṣah-i Ḥātim Ṭāʼī (Romance),قصه حاتم طائى (Romance),,,Qiṣṣah-i Ḥātim Ṭāʼī,Q27823
Ḥafīrat al-taʼsīs min taʼlīf al-Qass Alīʻāzar,,حفيرة التأسيس من تأليف القس اليعازر,,,,,Ḥafīrat al-taʼsīs min taʼlīf al-Qass Alīʻāzar,Q27815
Leaf from Yūsuf va Zulaykhā,,,Yūsuf va Zulaykhā,یوسف و زلیخا,,,Yusuf and Zulaikha,Q3708
Tuḥfat al-mulūk,,تحفة الملوك,,,,,Tuḥfat al-mulūk,Q27775
Sūrat al-Anʻām,,سورة الانعام,Qurʼan,قرآن,,,Qurʼan,Q3697
