title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Taḳanat ḥakhme Adrianople,תקנת חכמי אדריאנופול,Taḳanot [Edirne,תקנות אדריאנופול,Taḳanot;Legal texts,Q76010;Q6030,,
Pinḳas ḥevrat biḳur ḥolim be-Korfu; be-shanim 1628-1645,פנקס חברת בקור חולים בקורפו,,,Pinkas;Records,Q76009;Q8300,,
Mikhtav; el beni ṿe-yedidi Yaʻaḳov Shalish /,מכתב,,,Hebrew texts,Q44123,,
Mikhtavim el Yosef Nasʹi; petiḥot melitsiyot,מכתבים אל יוסף נשיא,,,Hebrew texts,Q44123,,
Megilat Mitsrayim,מגלת מצרים,,,Megillot,Q76008,,
Igeret; el Yosef Yung ha-melamed /,אגרת,,,Letter;Hebrew text,Q1454;Q75984,,
Igeret /,אגרת,Letter,אגרת,Letter;Hebrew text,Q1454;Q75984,,
Igeret; le-Shimʻon mi-Brod] /,אגרת,,,Letter;Hebrew text,Q1454;Q75984,,
Maʼamar Shabatot YY,מאמר שבתות יי,,,Hebrew texts,Q44123,,
"Torah; Be-reshit 31:23-32:3, 36:37-37:29",תורה,Bible,תורה,Torah,Q42434,,
Ḥokhmat ha-yad,חכמת היד,Folklore,פולקלור,Ḥokhmat ha-yad,Q76011,,
Pinḳas terumot; le-bet ha-keneset be-Casale Monferrato,פנקס תרומות,Pinkas,פנקס,Pinkas;Records,Q76009;Q8300,,
"Pinḳas; bet ha-keneset ha-gedolah bi-Mantova, 1654-1657",פנקס,Pinḳas,פנקס,Pinkas;Records,Q76009;Q8300,,
"Pinḳas; bet ha-keneset ha-gedolah bi-Mantova, 1691-1693",פנקס,Pinḳas,פנקס,Pinkas;Records,Q76009;Q8300,,
"Pinḳas; bet ha-keneset ha-gedolah bi-Mantova, 1729-1734",פנקס,Pinḳas,פנקס,Pinkas;Records,Q76009;Q8300,,
"Pinḳas; bet ha-keneset ha-gedolah bi-Mantova, 1747-1751",פנקס,Pinḳas,פנקס,Pinkas;Records,Q76009;Q8300,,
"Pinḳas; bet ha-keneset ha-gedolah bi-Mantova, 1775-1793",פנקס,Pinḳas,פנקס,Pinkas;Records,Q76009;Q8300,,
Pinḳas; bet ha-keneset ha-gedolah bi-Mantova,פנקס,Pinḳas,פנקס,Pinkas;Records,Q76009;Q8300,,
"Pinḳas; ḳehilat Adrianopole, 1873-1875",פנקס,Pinḳas,פנקס,Pinkas;Records,Q76009;Q8300,,
Meḳor ha-shemot,מקור השמות,Jewish folklore,פולקלור,Hebrew text;Jewish folklore,Q75984;Q76012,,
Ṿiduyim ṿe-seliḥot,וידויים וסליחות,,,Seliḥot,Q76013,,
ʻEvronot,עברונות,,,Hebrew texts,Q44123,,
Taḳanot; shel megorashe Kasʹṭilia asher be-Fas,תקנות,Taḳanot,תקנות,Taḳanot;Legal texts,Q76010;Q6030,,
Pene Mosheh; ʻal sefer Bereshit /,פני משה,,,Hebrew texts,Q44123,,
Be-ʻasʹarah devarim hi nivḥenet ahavat ha-bore yitbarakh ba-adam,בעשרה דברים היא נבחנת אהבת הבורא ית' באדם,Jewish ethics,מוסר,Hebrew text;Ethical treatise,Q75984;Q12100,,
Igeret ha-musar; be-ḳitsur /,אגרת המוסר,,,Letter;Hebrew text,Q1454;Q75984,,
Maʻasʹeh gezirat ha-shemad ʻal yehude Roma,מעשה גזירת השמד על יהודי רומא,,,Hebrew texts,Q44123,,
Shaʻar tiḳune teshuvah,שער תקוני תשובה,,,Legal texts;Hebrew texts,Q6030;Q44123,,
Segulot,סגולות,,,Segulot,Q76014,,
Sefer ha-Yashar,ספר הישר,,,Hebrew texts,Q44123,,
Maʻasʹeh beriḥat Mosheh; she-halakh li-bene Kush vẹ-ʻasʹauhu melekh,"מעשה בריחת משה כת""י",,,Hebrew texts,Q44123,,
Perush ha-Torah ʻal parashiyot Be-shalakh ṿe-Yitro[; be-Aramit ḥadashah,פרוש התורה על פרשיות בשלח ויתרו,Torah (commentary),תורה (פרשנות),Torah commentary,Q44107,,
Perush ketuvim le-Ravʻa; Tehilim 109:24-113:7,"פרוש כתובים לראב""ע",,,Hebrew commentary,Q75988,,
Yeshaʻyah; perush be-ʻAravit,ישעיה,Prophets (commentaries),נביאים (פרשנות),Commentary on Isaiah,Q38370,,
Ḳuntres ha-ḥidushim,קונטריס החידושים,,,Responsa,Q75989,,
Derashot le-Pesaḥ,דרשות לפסח,Sermons,דרשות,Sermons,Q1400,,
Derashah le-shabat sheḳalim,דרשה לשבת שקלים,Sermons,דרשות,Sermons,Q1400,,
Pilpul ʻal zeman zemanim zemanehem,פלפול על זמן זמנים זמניהם,,,Hebrew texts,Q44123,,
"Ḥidushim ʻal piskaʼot meha-Talmud; Yevamot, Rosh ha-Shanah, Shabbat, Ḥagigah, Megillah, Pesaḥim ve-Niddah",חדושים על פסקאות מהתלמוד,Talmud (commentary),תלמוד (פרשנות),Talmudic text,Q76002,,
"Ḳovets maʻasʹiyot; Eldad ha-Dani, Maʻasʹeh nemalah, Maʻasʹeh Yosef ha-ganan, Maʻasʹeh ha-sus, Midrash Ke-tapuaḥ be-ʻatse ha-yaʻar, Maʻasʹeh, Maʻasʹeh shelaḥ ʻal pene ha-maya, Maʻasʹeh be-ḥasid, Maʻasʹeh bi-shene soḥarim yedidim",קובץ מעשיות,,,Midrash,Q76015,,
Ke-tapuaḥ be-ʻetse ha-yaʻar,כתפוח בעצי היער,Midrash,מדרש,Midrash,Q76015,,
Maʻasʹeh mitat Mosheh R.ʻa.h,"מעשה מיתת משה רע""ה",Midrash,מדרש,Midrash,Q76015,,
Maʻasʹeh Yosef Dela Reina; ḳeṭaʻ,מעשה יוסף דילה ריינה,,,Hebrew texts,Q44123,,
"Midrash rabah; shemot, liḳuṭim",מדרש רבה,Midrash rabbah,מדרש רבה,Midrash,Q76015,,
