title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Liber de amore et dilectione dei ... [etc.,,,,Liber de doctrina dicendi et tacendi,Q19982,,
Statutes and membership lists,,,,,,Statute,Q7024
Manuscript fragment of the Seven Sleepers of Ephesus,,Seven sleepers of Ephesus,,,,Seven sleepers of Ephesus,Q8062
Uguccioni and Marucelli miscellany,,,,,,Miscellany,Q3673
Medical and magical compilation,,,,Medical texts|Magical texts,Q817|Q38350,,
Appointment of attorney-at-law,,,,,,Appointment,Q8180
Legal records,,,,,,Legal document,Q3666
Stefano d'Andrea appointment,,,,,,Appointment,Q8180
"Speculum historiale, Books 25-28",,Speculum historiale,,,,Speculum historiale,Q360
Inventions or devises,,,,,,Inventions,Q39459
Paolo del Calandra deed of gift,,,,,,Deed,Q1319
Regolatori delle entrate e delle uscite order,,,,,,Regulations,Q3135
Liber de astronomia,,,,,,De astronomia,Q7832
Consilium generale legal document,,,,,,Legal document,Q3666
Alfonso Petrucci public instrument,,,,,,Instrument,Q8175
Pope Clement VII bull,,,,,,Bull,Q1362
Vittoria Piccolomini dowry arrangement,,,,,,Dowry arrangement,Q8186
"Assise del alta corte del regno di Hierusalem et Cypro, tradutte da francese in lingua italiana, de ordine dela ser[enissi]mo ducal signoria de Venetia /",,Livre des assises,,Livre des assises,Q7270,,
Theologia naturalis,,,,,,Theologia naturalis,Q7570
Ledger of Medici debtors and creditors and accounts,,,,,,Ledger,Q5484
Theological miscellany,,,,,,Theological texts,Q822
Shesh kenafayim,,,,,,Shesh kenafayim,Q345
Taḥrīr Uṣūl al-handasah wa-al-ḥisāb,تحرير اصول الهندسة والحساب,,,,,Taḥrīr Uṣūl al-handasah wa-al-ḥisāb,Q40047
Illustrations to Georg von Peurbach's Novae theoricae planetarum,,,,,,Novae theoricae planetarum,Q3701
Astronomical anthology,,,,,,Astronomical texts,Q3129
Regulations for mills and bakeries,,,,,,Regulations,Q3135
Chrestomathy of Latin authors,,,,,,Chrestomathy of Latin authors,Q7814
Anne de Montmorency nomination,,,,,,Nomination,Q8049
Comitis Gabutii de Montealbodio juveniles & amatoriae epistolae,,,,,,Letters,Q5068
Nicolaccio de' Mignanellis deed,,,,,,Deed,Q1319
Tommaso di Aringhello power of attorney,,,,,,Power of attorney,Q8176
La vita e ... la conversione del nostro segniore [jhesu] [christo,,,,Life of Christ,Q19961,,
Charter granting a dowry to his daughter,,,,,,Charter,Q8385
La declaracion de tous les haulx fais et glorieuses aventures du duc Phelippe du Bourgoingne,,,,,,La declaracion de tous les haulx fais et glorieuses aventures du duc Phelippe,Q7844
Psalter fragment,,Bible,,,,Bible;Psalter,Q661;Q660
Breviary fragments; use of Sarum,,Breviary (Salisbury),,Breviary,Q657,,
Orthodox liturgical roll fragments,,Liturgy of St. Basil,,,,Liturgy of Saint Basil,Q8396
"Manuscript leaf of most of Deuteronomy XV, 6-XVI, 10, with Masorah",קטע דברים,Bible,,,,Bible,Q661
"Records of agreements between members of the Bragadin family, regarding property and obligations",,,,,,Family documents,Q6997
Distribution of property,,,,,,Distribution of property,Q8052
Letter to Don Juan Ponce de Leon,,,,,,Letter,Q1454
Commentaries on the De generatione et corruptione and Analytica,,,,,,Commentary on Aristotle,Q3120
Summa de vitiis,,Summa de vitiis,,,,Summa de vitiis,Q5074
Johannis Tostii clarissimorum Witebergensium professorum descriptio,,,,,,Johannis tostii clarissimorum witebergensium professorum descriptio,Q7806
Leaf of De fide Sanctae Trinitatis shaped into envelope,,,,,,De fide Sanctae Trinitatis,Q8397
Manuscript leaf from Régime du corps,,Régime du corps,,,,Régime du corps,Q824
"Vita, morte e miracoli di Bartolomeo Garosi detto Brandano e volgarmente detto il Pazzo di Gesù Christo ... [etc.",,,,"Vita, morte e miracoli di Bartolomeo Garosi",Q7518,,
Kitāb Mīzān al-ḥikmah,كتاب ميزان الحكمة,Mīzān al-ḥikmah,ميزان الحكمة,,,Mīzān al-ḥikmah,Q3124
Petrino Blassori power of attorney,,,,,,Power of attorney,Q8176
"Sentenzia arbitraria ... sobre el monte de Axzaedo, y otras cosas ano 1459 ante Juan Alfonso de Bene[.?",,,,Sentenzia arbitraria,Q7000,,
La destruction de Troye ... [etc.,,Istoire de la destruction de Troye la grant,,History of Troy,Q68701,,
John Elys deed,,,,,,Deed,Q1319
Feuerwerkbuch,,,,,,Feuerwerkbuch,Q5489
Michele di Fidanza power of attorney,,,,,,Power of attorney,Q8176
Sidur =; Prayer book of Italian rite,סדור,Siddur (Italian),,Siddur,Q40025,,
De philosophia mundi] ... [etc.,,Philosophia mundi,,Philosophia mundi,Q3157,,
"Abbreviation of Peter of Tarentaise's commentary on Peter Lombard's Sententiarum, libri IV",,,,,,Commentary on Sentences,Q7516
Ledger of Risaliti accounts,,,,,,Ledger,Q5484
Joannes Thomas Beltamino will,,,,,,Will,Q1422
Letters addressed to Pietro Vettori,,,,,,Letter,Q1454
Feuer Buech,,,,,,Feuer Buech,Q5026
Genealogical chronicle of the kings of England to Edward IV,,,,,,Genealogical chronicle,Q8387
Contra impedimiam,,,,,,Contra impedimiam,Q8383
Memoriale ad passagium mortis tute faciendum /,,,,,,Memoriale ad passagium mortis tute faciendum,Q5027
In Aristotelis libros de generatione et corruptione ... [etc.,,,,Commentary on Aristotle,Q3120,,
Notarial document excerpt,,,,,,Notarial document,Q5065
"Carta executoria de hidalguia a pedim[iento; de Al[ons]o de Mo[n]talva[n], v[e]z[in]o de la ciudad de Sevilla",,,,Carta ejecutoria,Q3718,,
Francesco Cosci appointment,,,,,,Appointment,Q8180
Manuscript pastedowns from De proprietatibus rerum,,De proprietatibus rerum,,,,De proprietatibus rerum,Q3154
In quatuor Evangelistas,,,,,,In quatuor evangelistas,Q7555
Medicina cordis,,,,,,Medicina cordis,Q7249
Liber mirabilium,,,,,,Liber mirabilium,Q3684
Collection of alphabets and encoded correspondence,,,,,,Alphabets;Correspondence,Q3693;Q38385
Hebrew Bible,,Bible,,,,Bible,Q661
Ledger of Amadori accounts and memoranda,,,,,,Ledger,Q5484
Balia of Siena privilege,,,,,,Privileges,Q4353
Sermones varii,,,,,,Sermons,Q1400
Monocordium,,,,,,Monocordium,Q7845
Quaternus protocollorum,,,,,,Quaternus protocollorum,Q5077
Tribunal nomination of guardian,,,,,,Nomination,Q8049
Pontifical bifolium,,,,,,Pontifical,Q1375
Textus tertius libri sententiarum,,Libri quattuor sententiarum,,,,Libri quattuor sententiarum,Q5079
Pawilhar,,,,,,Pawilhar,Q5072
