title_as_recorded,title_as_recorded_agr,QID,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Daśarathalalitāvrata,दशरथललिताव्रत,,Puranas,,,,Puranas,Q27588
Collection of late Vedic upaniṣads and rituals,,,,,Upanishads,Q27718,,
Subhāṣita,सुभाषित,,,,,,,
Paramāmṛta,परमामृत,,,,,,,
Mahālakṣmīstotra,महालक्ष्मीस्तोत्र,,,,Stotras,Q76780,,
Athabhīṣmastavarājaprārambhaḥ,अथभीष्मस्तवराजप्रारम्भः,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Manoramāmūla,मनोरमामूल,,,,,,,
Āraṇyaka,आरण्यक,,Aranyakas,,,,Aranyakas,Q27607
Amaruśataka,अमरुशतक,,,,Amaruśataka,Q27744,,
Veṅkaṭeśa aṣṭottaraśatanāma,वेङ्कटेश अष्टोत्तरशतनाम,,Puranas,,,,Puranas,Q27588
Śaktivāda,शक्तिवाद,,,,,,,
Ṣoḍaśayoga,षोडशयोग,,,,,,,
Anuvākasaṃkhya,अनुवाकसंख्य,,Kātyāyanaśrautasūtra,,,,Kātyāyanaśrautasūtra,Q27542
Nārāyaṇacaraṇāṣṭaka,नारायणचरणाष्टक,,,,,,,
Rasaratna,रसरत्न,,,,,,,
Janmāṣṭamīvrata,जन्माष्टमीव्रत,,,,,,,
Devīmāhātmya,देवीमाहात्म्य,Q27588,,,Puranas,Q27588,,
Tattvacintāmaṇi pratyakṣakhaṇḍa,तत्त्वचिन्तामणि प्रत्यक्षखण्ड,,,,,,,
Varṣalagnagraha,वर्षलग्नग्रह,,,,,,,
Devyatharvaśīrṣa,,,,,,,,
Arundhatīkathā,अरुन्धतीकथा,,Puranas,,,,Puranas,Q27588
Somotpatti,सोमोत्पत्ति,,,,,,,
Caṇḍeśvarapraśnavidyā,चण्डेश्वरप्रश्नविद्या,,,,,,,
Pārthivaliṅgapūjāvidhi,,,Puruṣārthacintāmaṇi,,,,Puruṣārthacintāmaṇi,Q27561
Pāpapraṇāśanastotra,पार्वणश्राद्धविधि,,,,Stotras,Q76780,,
Sārasvatīsūtra,सारस्वतीसूत्र,,,,,,,
Guṇakāraṇdavyūhasūtra,गुणकारण्दव्यूहसूत्र,,Tripiṭaka,,,,Tripitaka,Q12750
Rāmāyaṇīyasāra,रामायणीयसार,,,,,,,
Vyutpattivāda,व्युत्पत्तिवाद,,,,,,,
Amarakośa,अमरकोश,,Amarakośa,,,,Amarakośa,Q27725
Athaśivasahasranāmaprāṃbhaḥ,अथशिवसहस्रनामप्रारम्भः,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Mīmāṅasāpadārthadīpa,मीमांसापदार्थदीप,,,,,,,
Haribhaktavilāsa,हरिभक्तविलास,,Haribhaktivilāsa,,,,Haribhaktivilāsa,Q27618
Malamāsavrata,मलमासव्रत,,Puranas,,,,Puranas,Q27588
Veṅkaṭeśavavaca,वेङ्कटेशकवच,,Puranas,,,,Puranas,Q27588
Pañcasaṃdhi,पञ्चसंधि,,,,,,,
Darśapaurṇamāsa prayoga,दर्शपौर्णमास प्रयोग,,,,Hindu ritual text,Q76765,,
Nādabindūpaniṣad,नादबिन्दूपनिषद्,,,,Upanishads,Q27188,,
Advaitasiddhiṭīkā,अद्वैतसिद्धिटीका,,Gauḍabrahmānandī,,,,Gauḍabrahmānandī,Q27826
Maṇḍaladevatāpūjana,,,,,Hindu religious manual,Q76774,,
Nārāyaṇalīlā,नारायणलीला,,,,,,,
Budhāṣṭamīvratapūjākathā,बुधाष्टमीव्रतपूजाकथा,,Puranas,,,,Puranas,Q27588
Ānandalaharīstotra,आनन्दलहरीस्तोत्र,,,,Stotras,Q76780,,
Sāhityadarpaṇa,साहित्यदर्पण,,,,,,,
Yoginīdaśāphala,योगिनीदशाफल,,,,,,,
Tattvasamāsa,तत्त्वसमास,,Sāṅkhyasūtra,,,,Sāṅkhyasūtra,Q27819
Athagītābhāṣyaṭīkāprāraṃbhaḥ,अथगीताभाष्यटीकाप्रारंभः,,Bhagavadgītā,भगवद्गीता,,,Bhagavad Gita,Q27759
Saṅkṣepaśārīraka,संक्षेपशारीरक,,,,,,,
Śrāddhasaṃkalpavidhi,श्राद्धसंकल्पविधि,,,,,,,
Agnisthāpanavidhi,अग्निस्थापनविधि,,,,Hindu ritual text,Q76765,,
Kathitaṃ tava gāṅgeyaḥ,कथितं तव गाङ्गेयः,,Puranas,,,,Puranas,Q27588
Śrīgītābhāṣya tritīyodhyāyaḥ prāraṃbhaḥ,श्रीगीताभाष्य त्रितीयोध्यायः प्रारम्भः,,Bhagavadgītā,भगवद्गीता,,,Bhagavad Gita,Q27759
Sarvopaniṣad,सर्वोपनिषद्,Q27718,,,Upanishads,Q27718,,
Vedāntasaṃjñā,वेदान्तसंज्ञा,,,,,,,
Apāmārjanastotra,अपामार्जनस्तोत्र,,Puranas,,,,Puranas,Q27588
Ajñānabodhinī,अज्ञानबोधिनी,,,,,,,
Paramātmasāra,परमात्मसार,,,,,,,
Umāmaheśvaravratodyāpana,उमामहेश्वरव्रतोद्यापन,,,,,,,
Ghaṭakharparakāvya,घटखर्परकाव्य,,,,,,,
Saṃdhyāvandanamantrabhāṣya,ऋग्वेदसंध्यावन्दनभाष्य,,,,,,,
Smārtaprāyaścitta,स्मार्तप्रायश्चित्त,,,,,,,
Viṣṇusahasranāmapatra 12,विष्णुसहस्रनामपत्र 12,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Hanumānaṣṭaka,हनुमानष्टक,,,,,,,
Śrīśrīdharasvāmiviracitāyāṃ daśamaskandhaṭīkāyāṃ śrībhāgavatabhāvārthadīpikāyāṃ navatitamo'dhyāyaḥ,श्रीश्रीधरस्वामिविरचितायां दशमस्कन्धटीकायां श्रीभागवतभावार्थदीपिकायां नवतितमो'ध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Āśvinasahasra,आश्विनसहस्र,,,,,,,
Haritālikāpūjānakathāvratodyāpana,हरितालिकापूजानकथाव्रतोद्यापन,,Puranas,,,,Puranas,Q27588
Lakṣmīstotra,लक्ष्मीस्तोत्र,,Puranas,,,,Puranas,Q27588
Malamāsavrata,मलमासव्रत,Q27588,,,Puranas,Q27588,,
Vidyānanda,विद्यानन्द,,Pañcadaśī,,,,Pañcadaśī,Q27684
Ṭīkāratnāvalī brahmānandī,टीकारत्नावली ब्रह्मानन्दी,,Gauḍabrahmānandī,,,,Gauḍabrahmānandī,Q27826
Gurucaramamañjarī,गुरुचरममञ्जरी,,,,,,,
Hariharanāmāvalīstotra,हरिहरनामावलीस्तोत्र,,Puranas,,,,Puranas,Q27588
Pārāśarī,पाराशरी,,Parāśarasmr̥ti,,,,Parāśarasmr̥ti,Q27580
Śivaśasahasranāmakathana,शिवशसहस्रनामकथन,,Tantras,,,,Tantras,Q27776
Satsāi yā dohā,सतसाइ या दोहा,,,,,,,
Śabdānuśāsana,शब्दानुशासन,,Siddhahemacandraśabdānuśāsana,,,,Siddhahemacandraśabdānuśāsana,Q27574
Taddhitaprakriyā,तद्धितप्रक्रिया,,,,,,,
Maṇḍapakuṇḍasiddhi,मण्डपकुण्डसिद्धि,,,,,,,
Gopālasahasranāma,गोपालसहस्रनाम,,,,,,,
Nirṇayoddhāra,निर्णयोद्धार,,,,,,,
Pātasāraṇīvivṛti,पातसारणीविवृति,,,,,,,
Tīrthottaraprabandha,तीर्थोत्तरप्रबन्ध,,,,,,,
Saṃkaṣṭacaturthīvrata,संकष्टचतुर्थीव्रत,,Puranas,,,,Puranas,Q27588
Sūryasiddhānta,सूर्यसिद्धान्त,,,,,,,
Manaviśrāmopaniṣad,मनविश्रामोपनिषद्,,,,Upanishads,Q27188,,
Yāmaprayoga,यामप्रयोग,,,,Hindu ritual text,Q76765,,
Śivanāmasahasra,शिवनामसहस्र,,,,,,,
Kumārasaṃhitā,कुमारसंहिता,,,,,,,
Yogaranākara,योगरत्नाकर,,,,,,,
Trikālasaṃdhyā,त्रिकालसंध्या,,,,,,,
Śrībhāgavatanavamaskandha,श्रीभागवतनवमस्कन्ध,,Puranas,पुराण,,,Puranas,Q27588
Anumānagrantha,अनुमानग्रन्थ,,Tattvacintāmaṇi,,,,Tattvacintāmaṇi,Q27786
Śikṣācatuṣṭa,शिक्षाचतुष्ट,,,,,,,
Haritālikakathā,हरितालिककथा,,,,,,,
Gaṇeśopaniṣad,गणेशोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Māgha,माघ,,Śiśupālavadha,,,,Śiśupālavadha,Q27800
Talavakāropaniṣaddīpikā,तलवकारोपनिषद्दीपिका,,,,Commentary on Upanishads,Q76788,,
Ṛṣipañcamīvratakathā,ऋषिपञ्चमीव्रतकथा,,Puranas,,,,Puranas,Q27588
Pañcatantra,पञ्चतन्त्र,,,,Panchatantra,Q76814,,
Gāyatrīhṛdaya,,,,,,,,
Dakṣiṇāmūrtistotra saṭīkā,दक्षिणामूर्तिस्तोत्र सटीका,,Dakṣiṇāmūrtistotra,,,,Dakṣiṇāmūrtistotra,Q27533
Keśavapaddhati,केशवपद्धति,,,,,,,
Śarabhakavaca,शरभकवचस्तोत्र,,Tantras,,,,Tantras,Q27776
Dvaitanirṇayasiddhāntasaṃgraha,द्वैतनिर्णयसिद्धान्तसंग्रह,,,,,,,
Vāyavyaṃ śvetaṃ,वायव्यं श्वेतं,,Vedas,,,,Vedas,Q27715
Kāśīsārasaṃgraha,काशीसरसंग्रह,,,,,,,
Śubhāśubhaphala,शुभाशुभफल,,,,,,,
Yajñopavītadhāraṇa,यज्ञोपवीतधारण,,,,,,,
Pūrvapakṣāvalī,पूर्वपक्षावली,,,,,,,
Śrīviṣṇordivyasahasranāmāstotraṃ saṃpūrṇaṃ,श्रीविष्णोर्दिव्यसहस्रनामस्तोत्रं संपूर्णं,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Pañcādhyāya,पञ्चाध्याय,,Rāsapañcādhyāyī,,,,Rāsapañcādhyāyī,Q27575
Pārthivanirṇayapūjana,पार्थिवनिर्णयपूजन,,,,,,,
Br̥hadāraṇyakavyākhyāmitākṣāra,बृहदारण्यकव्याख्याख्यामिताक्षार,,,,,,,
Samidādhāna,समिदाधान,,,,,,,
Kālaprabodha,कालप्रबोध,,,,,,,
Kṛṣṇastotra,कृष्णस्तोत्र,,Puranas,,,,Puranas,Q27588
Ajīrṇamañjarī,अजीर्णमञ्जरी,,,,,,,
Vināyakaśānti,विनायकशान्ति,,,,,,,
Advaitasiddhi,अद्वैतसिद्धि,,Advaitabrahmasiddhi,,,,Advaitabrahmasiddhi,Q27537
Bhūmivarga,भूमिवर्ग,,,,,,,
Ātmārpaṇastuti,आत्मार्पणस्तुति,,,,,,,
Kṛtyamañjarī,कृत्यमञ्जरी,,,,,,,
Collection of Jain scripture,,,,,Jain scriptures,Q76815,,
Sinhalese protective charm yantras,,,,,Yantras,Q76816,,
Gurugītā,गुरुगीता,,Puranas,,,,Puranas,Q27588
Vedāntavibhāvanāṭīkā,वेदान्तविभावनाटीका,,,,,,,
Aduḥkhanavamīvratakathā,अदुःखनवमीव्रतकथा,,Puranas,,,,Puranas,Q27588
Atharvaśīrṣa,अथर्वशीर्ष,,,,,,,
Viduranīti,विदुरनीति,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Svaraprakaraṇa,स्वरप्रकरण,,Siddhāntakaumudī,,,,Siddhāntakaumudī,Q27632
Tīrthaśrādhavidhi,तीर्थश्राधविधि,,,,,,,
Yantrabhedadarśana,यन्त्रभेददर्शन,,,,,,,
Ātharvaṇopaniṣad praśnabhāṣya,आथर्वणोपनिषद् प्रश्नभाष्य,,Muṇḍakopaniṣadvīraśaivabhāṣya,,,,Muṇḍakopaniṣadvīraśaivabhāṣya,Q27646
Śrīmadbhagavadgītābhāṣyasya hanumadracitasya prāraṃbho'yaṃ,श्रीमद्भगवद्गीताभाष्यस्य हनुमद्रचितस्य प्रारम्भो'यम्,,Bhagavadgītā,भगवद्गीता,,,Bhagavad Gita,Q27759
Hārītapraṇīta,हारीतप्रणीत,,,,,,,
Jñānabodhaprakaraṇa,ज्ञानबोधप्रकरण,,,,,,,
Vṛttamuktāvalī,वृत्तमुक्तावली,,,,,,,
Śivasahasranānmāvalistotra,शिवसहस्रनान्मावलिस्तोत्र,,,,Stotras,Q76780,,
Athasatyanārāyaṇakathāprarambhaḥ,अथसत्यनारायणकथाप्ररम्भः,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Nirālambopaniṣad,निरालम्बोपनिषद्,,,,Upanishads,Q27188,,
Śatakatraya,शतकत्रय,,,,,,,
Anantapūjā,अनन्तपूजा,,Puranas,,,,Puranas,Q27588
Muhūrtamārtaṇḍaṭīkā,मुहूर्तमार्तण्डटीका,,,,,,,
Tattvārthacintāmaṇi,,,,,,,,
Ayodhyākāṇḍa,सुन्दरकाण्ड,,Puranas,,,,Puranas,Q27588
Subodhinīvajrasūcī,सुबोधिनीवज्रसूची,,,,,,,
Kirātārjunīya,किरातार्जुनीय,,Kirātārjunīya,,,,Kirātārjunīya,Q27768
Kaustubhānusārīprāyaścittaprayoga,कौस्तुभानुसारीप्रायश्चित्तप्रयोग,,,,Hindu ritual text,Q76765,,
Śukāṣṭaka,शुकाष्टक,,,,,,,
Taittirīyasamhitā Aṣṭaka 3,,,Vedas,,,,Vedas,Q27715
Gāyatrīpuraścaraṇa,गायत्रीपुरश्चरण,,,,,,,
Nityacaṇḍyādijāppa viddhāna,नित्यचण्ड्यादिजाप्प विद्धान,,,,,,,
Mathurāsāmānyalakṣaṇā,मथुरासामान्यलक्षणा,,,,,,,
Tristhalīvarṇana,त्रिस्थलीवर्णन,,,,,,,
Vyadhikaraṇadharmāvacchinnābhāvakhaṇḍana,व्यधिकरणधर्मावच्छिन्नाभावखण्डन,,,,,,,
Rātrisūktam,,,Vedas,,,,Vedas,Q27715
Āsurīprayoga,,,,,,,,
Śabdalakṣaṇa,शब्दलक्षण,,,,,,,
Athaviṣṇusahasranāmaprārambho'yam,अथविष्णुसहस्रनामप्रारम्भो'यम्,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Pañcāṅgarudrāṇa,पञ्चाङ्गरुद्राण,,,,,,,
Maṇikarṇikāṣṭakastotra,मणिकर्णिकाष्टकस्तोत्र,,,,Stotras,Q76780,,
Naiṣadīyaprakāśa sarga 8,नैषदीयप्रकाश सर्ग ८,,,,,,,
R̥gveda,,,Vedas,,,,Vedas,Q27715
Nirukta pūrvaṣaṭka,निरुक्त पुर्वशट्क,,Nirukta,,,,Nirukta,Q27771
Śrautasūtrapūrvaṣaṭka,सूत्रपूर्वषट्क,,Āśvalāyanaśrautasūtra,,,,Āśvalāyanaśrautasūtra,Q27534
Sveṣṭanityajapavidhi,स्वेष्टनित्यजपविधि,,,,,,,
Hanumadāṣṭakastotra,हनुमदाष्टकस्तोत्र,,,,Stotras,Q76780,,
Jāgādīśīṭīkā,जागदीशीटीका,,,,,,,
Nṛsiṃhasundarīkavaca,नृसिंहसुन्दरीकवच,,,,,,,
Baudhāyanamatānusārīsomabhakṣa,बौधायनमतानुसारीसोमभक्ष,,,,,,,
Manovināyakavrata,मनोविनायकव्रत,,Puranas,,,,Puranas,Q27588
Rudrapūjāvidhāna,रुद्रपूजाविधान,,,,,,,
Śivadharmaśastra,शिवधर्मशस्त्र,,,,,,,
"Nirukta, purvaṣaṭka",,,Nirukta,,,,Nirukta,Q27771
Apamṛtyuharastotra,अपमृत्युहरस्तोत्र,,,,Stotras,Q76780,,
Āhnikaprayoga,,,,,Hindu text,Q76770,,
Nṛsiṃhacampūkāvya,नृसिंहचम्पूकाव्य,,,,,,,
Bāvaṁnākṣarī,,,,,,,,
Prayāgasnānavidhi,प्रयागस्नानविधि,,,,,,,
Śivakavaca,शिवकवच,,Puranas,,,,Puranas,Q27588
Saptaślokī,सप्तश्लोकी,,,,,,,
Viṣṇudivyasahasranāmastotra,विष्णुदिव्यसहस्रनामस्तोत्र,,,,Stotras,Q76780,,
Ādityahṛdaya,आदित्यहृदय,,Rāmāyaṇa,,,,Ramayana,Q27562
Athasūtra uttaraṣaṭkaprāraṃbhaḥ,,,Āśvalāyanaśrautasūtra,,,,Āśvalāyanaśrautasūtra,Q27534
Vedāntagranthaviśeṣa,वेदान्तग्रन्थविशेष,,,,,,,
Prauḍhmanoramā tiṅanta,प्रौढ्मनोरमा तिङन्त,,,,Grammatical text,Q6010,,
"Bhāgavatamahāpurāṇa, dvitīyaskaṃdha","भागवतमहापुराण, द्वितीयस्कंध",,Puranas,,,,Puranas,Q27588
Rātrisūkta,रात्रिसूक्त,,Vedas,,,,Vedas,Q27715
Saurasūkta,सौरसूक्त,,Vedas,,,,Vedas,Q27715
Trailokyavijayarāmakavaca,,,Tantras,,,,Tantras,Q27776
Sumukhatattvacandrikā,,,,,,,,
Prakīrṇaka,प्रकीर्णक,,Līlāvatī,,,,Līlāvatī,Q27705
Viśiṣṭavaiśiṣṭyabodhavicāra,विशिष्टवैशिष्ट्यबोधविचार,,,,,,,
Kālakācaryakathā,कालकाचर्यकथा,,,,,,,
Āśvalāyanaśākhā śrāddhaprayoga,आश्वलायनशाखा श्राद्धप्रयोग,,,,Hindu ritual text,Q76765,,
Jaiminīyopadeśasūtra,जैमिनीयोपदेशसूत्र,,Jaiminisūtra,,,,Jaiminisūtra,Q27711
Parāśarahorā,पराशरहोरा,,,,,,,
Saṃtānagopālamantravidhi,संतानगोपालमन्त्रविधि,,Saṃskāraratnamālā,,,,Saṃskāraratnamālā,Q27614
Kādambarīsāra,कादम्बरीसार,,,,,,,
Śrutibodhaṭīkā,श्रुतिबोधटीका,,Śrutabodhaṭīkā,,,,Śrutabodhaṭīkā,Q27827
Praṇamyakāṭhaka agni kramapaddhati,प्रणम्यकाठक अग्निक्रमपद्धति,,,,,,,
Vedoktapitṛsūkta,वेदोक्तपितृसूक्त,,,,,,,
Śakunaprakunaprakāra,शकुनप्रकुनप्रकार,,,,,,,
Sudarśanasaṃhitā,सुदर्शनसंहिता,,,,,,,
Maṭhāmnāyaprakaraṇa,मठाम्नायप्रकरण,,,,,,,
Nṛsiṃhakavaca,नृसिंहकवच,Q27588,,,Puranas,Q27588,,
Rāmāṣṭottaraśatanāma,रामाष्टोत्तरशतनाम,,Puranas,,,,Puranas,Q27588
Siddhāntamañjarī,सिद्धान्तमञ्जरी,,,,,,,
Baudhāyanacarakasautrāmaṇīvyākhyā,बौधायनचरकसौत्रामणीव्याख्या,,,,,,,
Agnivisarjanamantra,अग्निविसर्जनमन्त्र,,,,Hindu ritual text,Q76765,,
Śakuntalā,शकुन्तला,,Śakuntalā,,,,Śakuntalā,Q27524
Rāmotaratāpatiya,,,Atharvaṇarahasya,,,,Atharvaṇarahasya,Q27677
Piṇḍapradāna,पिण्डप्रदान,,,,,,,
Saṃkṣepata śrāddhapaddhati,संक्षेपतश्राद्धपद्धति,,,,,,,
Vratahemādri,व्रतहेमाद्रि,,Caturvargacintāmaṇi,,,,Caturvargacintāmaṇi,Q27700
Pratiyogyasamnādhikaraṇa,प्रतियोग्यसम्नाधिकरण,,Tattvacintāmaṇidīdhiti,,,,Tattvacintāmaṇidīdhiti,Q27835
Satpratipakṣarasya,सत्प्रतिपक्षरस्य,,Gādādharī,,,,Gādādharī,Q27605
Rudrabhāṣya,रुद्रभाष्य,,Ribhu gīta,,,,Ribhu gīta,Q27541
Rasaviṣayakograntha,रसविषयकोग्रन्थ,,,,,,,
Saṃgrahavākyakṛti,वाक्यवृत्ति,,,,Upanishads,Q27718,,
Āryāsaptaśatī,आर्यासप्तशती,,,,,,,
Muktāvalī,मुक्तावली,,,,,,,
Kaivalya upaniṣad,कैवल्य उपनिषद्,,Upanishads,,,,Upanishads,Q27718
Saṃkṣiptavedānta śāstraprakriya,संक्षिप्तवेदान्त शास्त्रप्रक्रिय,,,,,,,
Vāgbhatālaṃkāra,वाग्भतालंकार,,,,,,,
Devapūjānirṇaya,देवपूजानिर्णय,,,,,,,
Āśvalāyanaśrautasūtra pūrvaṣaṭkavṛtti,आश्वलायनश्रौतसूत्र पूर्वषट्कवृत्ति,,,,,,,
Śivapūjāpaddhati,शिवपूजापद्धति,,,,,,,
Mahāgaṇapataye namaḥ,महागणपतये नमः,,,,,,,
Mūlamathurāparāmarśa,मूलमथुरापरामर्श,,Tattvacintāmaṇi,,,,Tattvacintāmaṇi,Q27786
Maṇikarṇikāṣṭaka,मणिकर्णिकाष्ट,,,,,,,
Uṇādivṛtti,उणादिवृत्ति,,,,,,,
Āśvalāyanaśākalapadapāṭha,,,Vedas,,,,Vedas,Q27715
Gāyatryartha,गायत्र्यर्थ,,,,,,,
Pāpamocany ekādaśīmāhātmya,पापमोचन्येकादशीमाहात्म्य,,Puranas,,,,Puranas,Q27588
Padapāṭha,पदपाठ,,Vedas,,,,Vedas,Q27715
Tattvaśodhana,तत्त्वशोधन,,,,,,,
Śrībhāgavate mahāpurāṇe caturthaskandhe,श्रीभागवते महापुराणे चतुर्थस्कन्धे,,Puranas,पुराण,,,Puranas,Q27588
Muhūrtamuktāvalī,मुहूर्तमुक्तावली,,,,,,,
Sārīrakamīmāṅsāsūtra,शारीरकमीमाङ्सासूत्र,,Brahmasūtra,,,,Brahmasūtra,Q27662
Ādityahṛdayastotra,आदित्यहृदयस्तोत्र,Q27588,,,Puranas,Q27588,,
Saṃdhyāpañcīkaraṇa,संध्यापञ्चीकरण,,Pañcīkaraṇa,,,,Pañcīkaraṇa,Q27608
Saptasaṃsthānirṇayaprayoga,सप्तसंस्थानिर्णयप्रयोग,,,,Hindu ritual text,Q76765,,
Viṣayatāvicāra,विषयताविचार,,,,,,,
Jyotiṣa,ज्योतिष,,,,Astrological text,Q20378,,
Upaśamaprakaraṇa,उपशमप्रकरण,,Mokṣopāya,,,,Mokṣopāya,Q27521
Agnikṛtiśāntiprayoga,अग्निकृतिशान्तिप्रयोग,,,,Hindu ritual text,Q76765,,
Tarkabhāṣāprakāśa,तर्कभाषाप्रकाश,,,,,,,
Āhnikaprayoga,आह्निकप्रयोग,,,,Hindu text,Q76770,,
Damayantīkathā,दमयन्तीकथा,,,,,,,
Gurucaritra,गुरुचरित्र,,,,,,,
Sarvatobhadracakra,सर्वतोभद्रचक्र,,,,,,,
Āśvalāyanagṛhyasutra,आश्वलायनगृह्यसुत्र,,Āśvalāyanagr̥hyasūtra,,,,Āśvalāyanagr̥hyasūtra,Q27709
Aparādhasundarastotra,मनीषापञ्चक,,,,Hindu prayer collection,Q76795,,
Bodhavai bhava,बोधवै भव,,,,,,,
Atharvaṇaśikhānārāyaṇopāniṣad,अथर्वणशिखानारायणोपानिषद्,,Vedas,,,,Vedas,Q27715
Vagalāsahasranāman,वगलासहस्रनामन्,,Tantras,,,,Tantras,Q27776
Alakopākhyāna,अलकोपाख्यान,,,,,,,
Rāghavapāṇḍavīya,राघवपाण्डवीय,,,,,,,
Tithitattva,তিথিতত্ত্ৱ,,,,,,,
Smṛtisārasaṃgraha,स्मृतिसारसंग्रह,,,,,,,
Gakārādisahasranāmastotra,गकारादिसहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Ātmānanda,आत्मानन्द,,Pañcadaśī,,,,Pañcadaśī,Q27684
Prātaḥsaṃdhyāprayoga,प्रातःसंध्याप्रयोग,,,,Hindu ritual text,Q76765,,
Viṣṇoḥ sahasranāmāvalī,विष्णोः सहस्रनामावली,,,,,,,
Lalitānityāka,ललितानित्याक,,Tantras,,,,Tantras,Q27776
Liṅgayātrā,लिङ्गयात्रा,,,,,,,
Mahāsthānavaibhava,महास्थानवैभव,,,,,,,
Subarthavicāra,सुबर्थविचार,,,,,,,
Pavanapāvana,पवनपावन,,,,,,,
Smṛtikaumudī,,,,,,,,
Sāmānyapūjā,सामान्यपूजा,,,,,,,
Taittirīyāraṇyakabhāṣya,,,,,,,,
Gaṅgāsahasranāman,गङ्गासहस्रनामन्,,Puranas,,,,Puranas,Q27588
Mahāgaṇapatimantra,,,,,,,,
Anumānakroḍapattra,अनुमानक्रोडपत्त्र,,,,,,,
Bagalāmukhīkavaca,,,Tantras,,,,Tantras,Q27776
Kavaca,कवच,,Vedas,,,,Vedas,Q27715
Kuṇḍakalpadruma,कुण्डकल्पद्रुम,,,,,,,
Yoginīdaśāntardaśaphala,योगिनीदशान्तर्दशफल,,,,,,,
Āśvalāyanopayogyādhāna prakaraṇa,आश्वलायनोपयोग्याधान प्रकरण,,,,,,,
Trikālasaṃdhya,त्रिकालसंध्य,,,,,,,
Hanumatstavarāja,हनुमत्स्तवराज,,Puranas,,,,Puranas,Q27588
Trikālasaṃdhyātarpaṇa,त्रिकालसंध्यातर्पण,,,,,,,
Pañcamāyudhastotra,पञ्चमायुधस्तोत्र,,,,Stotras,Q76780,,
Sūryāryā,सूर्यार्या,,,,,,,
Parokṣānubhūti,अपरोक्षानुभूति,Q27595,,,Aparokṣānubhūti,Q27595,,
Vājinabhakṣavicāra,वाजिनभक्षविचार,,,,,,,
Śṛṅgāraśataka,शृङ्गारशतक,,,,,,,
Lakṣmīnṛsṃhastotra,लक्ष्मीनृसिंहस्तोत्र,,Puranas,,,,Puranas,Q27588
Mitākṣarā,मीताक्षरा,,Brahmasūtramitākṣarā,,,,Brahmasūtramitākṣarā,Q27842
Sahasraśo ye rudra,सहस्रशो ये रुद्र,,Vedas,,,,Vedas,Q27715
Ghaṭṭādhivāsanotsargaprayoga,घट्टाधिवासनोत्सर्गप्रयोग,,,,Hindu ritual text,Q76765,,
Advaitadīpikāvivaraṇa,अद्वैतदीपिकाविवरण,,,,,,,
Nakṣatraśānti,नक्षत्रशान्ति,,,,,,,
Yogasaṃgraha,योगसंग्रह,,,,,,,
Laghuvaiyākaraṇasiddhāntamañjūṣā,लघुवैयाकरणसिद्धान्तमञ्जूषा,,Vaiyākaraṇasiddhāntalaghumañjūṣā,,,,Vaiyākaraṇasiddhāntalaghumañjūṣā,Q27573
Sāṃkhyapravacanasūtravṛtti,सांख्यप्रवचनसूत्रवृत्ति,,,,,,,
Pustakabhāgavatasaptamaskandhaḥpatrā 61,पुस्तकभागवतसप्तमस्कन्धःपत्रा 61,,Puranas,पुराण,,,Puranas,Q27588
Bhṛguvalyupaniṣad,भृगुवल्ल्युपनिषद्,,Upanishads,,,,Upanishads,Q27718
Gāyatrīstavarājastotra,,,Tantras,,,,Tantras,Q27776
Collection of upaniṣads and mantras,,,,,Upanishads,Q27718,,
Sadyovṛṣṭilakṣaṇa,सद्योवृष्टिलक्षण,,Atharvapariśiṣṭa,,,,Atharvapariśiṣṭa,Q27603
Śrāddhāsaṃkalpa,श्राद्धासंकल्प,,,,,,,
Kapilācāryasūtrāṇi,कपिलाचार्यसूत्राणि,,Sāṅkhyasūtra,,,,Sāṅkhyasūtra,Q27819
Meṣadānavidhi,मेषदानविधि,,,,,,,
Śāntiratna,,,Śāntikamalākara,,,,Śāntikamalākara,Q27637
Tripurasundarīvidyā,त्रिपुरसुन्दरीविद्या,,Tantras,,,,Tantras,Q27776
Tithicintāmaṇisāriṇī,तिथिचिन्तामणिसारिणी,,,,,,,
Aitareyabrāhmaṇa,ऐतरेयब्राह्मण,,Brahmanas,,,,Brahmanas,Q27806
Śivamahimnastotra,शिवमहिम्नस्तोत्र,,,,Stotras,Q76780,,
Rasarājalakṣmī,रसराजलक्ष्मी,,,,,,,
Rājayogavināhaṭha,राजयोगविनाहठ,,,,,,,
Laghusiddhāntakaumudī avyayāni,लघुसिद्धान्तकौमुदी अव्ययानि,,,,,,,
Mahāsarasvatīdhāraṇāstotra,महासरस्वतीधारणास्तोत्र,,,,Stotras,Q76780,,
Nṛsiṃhastotra,नृसिंह,,,,Stotras,Q76780,,
