title_as_recorded,title_as_recorded_agr,QID,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Darśapaurṇamāsa,दर्शपौर्णमास,,,,Hindu ritual text,Q76765,,
Yogabhāṣya,योगभाष्य,,,,Philosophical text,Q5996,,
Vedāntaparibhāṣā,वेदान्तपरिभाषा,,,,Philosophical text,Q5996,,
Saṃnyāsādīpikā,संन्यासादीपिका,,,,Hindu ritual text,Q76765,,
Nividādhyāya prāraṃbhaḥ,,,Vedas,,,,Vedas,Q27715
Vakratuṇḍamahāmantra,वक्रतुण्डमहामन्त्र,,,,Mantras,Q76777,,
Anumānaprāmāṇya,अनुमानप्रामाण्य,,Tattvacintāmaṇidīdhiti,,,,Tattvacintāmaṇidīdhiti,Q27835
Gāyatrīkavaca,,,Pāñcarātra,,,,Pāñcarātra,Q27765
Varadagaṇeśasahasranāmastotra,वरदगणेशसहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Kāśīvihārapuṣkariṇī,काशीविहारपुष्करिणी,,,,Pilgrimage manual,Q54841,,
Dvadaśamañjarikāstotra,द्वदशमञ्जरिकास्तोत्र,,Bhajagovinda,,,,Bhajagovinda,Q27553
Muhūrtacintāmaṇi,मुहूर्तचिन्तामणि,,,,Divination texts,Q27675,,
Brahmayajña,ब्रह्मयज्ञ,,,,Vedas,Q27715,,
Nividādhyāya,निविदाध्याय,,,,Hindu ritual text,Q76765,,
Sāmānyapraghaṭṭaka,सामान्यप्रघट्टक,,Tristhalīsetu,,,,Tristhalīsetu,Q27781
Gītā mahātama,,,,,,,,
Śāradātilaka,,,Tantras,,,,Tantras,Q27776
Hariharastotra,हरिहरस्तोत्र,,Puranas,,,,Puranas,Q27588
Arundhatyāvrata,अरुन्धत्याव्रत,,Puranas,,,,Puranas,Q27588
Vaiśākhamāhātmya,वैशाखमाहात्म्य,,Puranas,,,,Puranas,Q27588
Padārthakhaṇḍanaśiromaṇi,पदार्थखण्डनशिरोमणि,,,,Philosophical text,Q5996,,
Saṃjñātantra,संज्ञातन्त्र,,,,Divination texts,Q27675,,
Trikālasaṃdhyāvidhiḥ,त्रिकालसंध्याविधि,,,,Hindu religious manual,Q76774,,
