File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-subjects-penn-marcxml-combined.csv,Women's clothing--Italy--Florence--History--16th century,0,a--z--z--x--y,,,,,Women's clothing;Italy--Florence;History,http://id.worldcat.org/fast/1178707;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235,Q6894;Q3604;Q6879
20250313-subjects-penn-marcxml-combined.csv,Women's clothing,fast,a,http://id.worldcat.org/fast/1178707,,,,Women's clothing,http://id.worldcat.org/fast/1178707,Q6894
20250313-subjects-penn-marcxml-combined.csv,Ferrara (Italy)--History--Sources,0,a--x--x,,,,,Italy--Ferrara;History--Sources,http://id.worldcat.org/fast/1204575;http://id.worldcat.org/fast/958295,Q7179;Q8335
20250313-subjects-penn-marcxml-combined.csv,Inquisition--Spain--Valencia,0,a--z--z,,,,,Inquisition;Spain--Valencia,http://id.worldcat.org/fast/973796;http://id.worldcat.org/fast/1204165,Q3615;Q3530
20250313-subjects-penn-marcxml-combined.csv,Moriscos--Spain--Valencia,0,a--z--z,,,,,Moriscos;Spain--Valencia,http://id.worldcat.org/fast/1026209;http://id.worldcat.org/fast/1204165,Q4168;Q3530
20250313-subjects-penn-marcxml-combined.csv,Moriscos,fast,a,http://id.worldcat.org/fast/1026209,,,,Moriscos,http://id.worldcat.org/fast/1026209,Q4168
20250313-subjects-penn-marcxml-combined.csv,Valencia (Spain : Region)--Church history,0,a--x,,,,,Spain--Valencia (Region);Church history,http://id.worldcat.org/fast/1331329;http://id.worldcat.org/fast/860740,Q4231;Q38895
20250313-subjects-penn-marcxml-combined.csv,Spain--Valencia,fast,a--z,http://id.worldcat.org/fast/1204165,,,,Spain--Valencia,http://id.worldcat.org/fast/1204165,Q3530
20250313-subjects-penn-marcxml-combined.csv,Inquisition--Spain,0,a--z,http://id.loc.gov/authorities/subjects/sh85066550,,,,Inquisition;Spain,http://id.worldcat.org/fast/973796;http://id.worldcat.org/fast/1204303,Q3615;Q343
20250313-subjects-penn-marcxml-combined.csv,Jews--Persecutions--Spain,0,a--x--z,http://id.loc.gov/authorities/subjects/sh00008504,,,,Jews--Persecutions;Spain,http://id.worldcat.org/fast/983322;http://id.worldcat.org/fast/1204303,Q4184;Q343
