title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Early midrash on Genesis 40:18-41:3; 46:28-47:1,,,,Book of Genesis;Torah,Q7274;Q42434,,
Sidur =; Prayer book of Italian rite,סדור,Siddur (Italian),,Siddur,Q40025,,
Samaritan prayer book for the feast of Passover,,,,Prayer book,Q1486,,
"Ketubah; Tangier, Morocco",כתובה,,,Ketubah,Q76000,,
Deuteronomy 5:1-14,,Bible,,Deuteronomy;Torah,Q20449;Q42434,,
"2nd Kings 23:3-24:3, with Masorah magna and parva (partial)",,Bible,,Second Book of Kings;Bible,Q1117;Q661,,
Hilkhot sheḥitah,,,,,,Laws for slaughtering,Q76021
Karaite prayer-book,,,,Prayer book,Q1486,,
Hebrew Bible,,Bible,,,,Bible,Q661
"Maḥazor for Hoshaʹna raba, Shemini ʹatseret, ʹSimḥat Torah",,Maḥzor,,Maḥzor,Q3712,,
"Prayer book, incipit",,Siddur,,Siddur,Q40025,,
Samaritan prayers for the Pentecost,תפילת חג הקציר,Maḥzor,,Maḥzor,Q3712,,
Classified lists of responsa,,,,Responsa,Q75989,,
Cabalistic commentary on Masekhet Berakhot 3a,,,,Hebrew commentary,Q75988,,
Judeo-Arabic version of the Mi kamokhah for Zakhor by Judah ha-Levi,,Mi kamokha,,Judeo-Arabic text,Q76595,,
Collected liturgical poems for mourners,,,,Liturgical poems,Q76594,,
Mikhtav baḳashah le-maʻanaḳ li-nesiʻa,מכתב בקשה למענק לנסיעה מניו יורק לצרפת,,,Hebrew text,Q75984,,
Liturgy for the seventh of Passover : rite of Gorizia,לימוד לליל שביעי של פסח,,,Liturgy,Q1325,,
Meditational verses for the High Holidays,פסוקים וצרופי שמות על דרך הקבלה לראש השנה ולימים נוראים,,,,,,
Igeret orḥot ʻolam] ... [etc.,,,,Hebrew texts,Q44123,,
Eve of Hoshana Rabba liturgy; rite of Provence,סדר ליל הושענא רבה,,,Liturgy,Q1325,,
Seliḥot for the Four Fasts; rite of Carpentras,סליחות לארבעה צומות,Seliḥot (Carpentras),סליחות (קרפינטרס),Seliḥot,Q76013,,
Seder ha-tefilot she-ʼomerot ha-nashim ḳodem le-mitsṿot ha-muṭalot ʻalehen; na. ḥa. h. le-hitpalel lifne ha-maḳom ʻal benehen asher yaldu ...,סדר התפלות שאומרות הנשים קודם למצות המוטלות עליהן,"Seder tefilot nidah, ḥalah, hadlaḳah","סדר תפילות נדה, חלה, הדלקה",Seder prayers,Q75992,,
Letter to the Nagid Mevorakh ben Seʹadyah,,,,Letter,Q1454,,
Chain of Samaritan high priests,,,,Samaritan text,Q76593,,
Fragment of a Psalter,קטע מספר תהלים,Bible,"תנ""ך",Psalter,Q660,,
Mrs. Daw's travel diaries,,,,Travel writings,Q48579,,
Asāṫīr,,,,Aramaic text,Q76024,,
"Part of a Judeo-Arabic version of the Azharah, enumerating the 613 precepts",,Maḥzor,,Maḥzor,Q3712,,
"Talmud, Yevamot, 22b-24b",,Talmud,,Talmudic text,Q76002,,
Dirge for the Ninth of Av,,,,Lamentations,Q75996,,
"Sidur Rav Seʾadyah Gaʾon, Selections",,Siddur (Saadia ben Joseph),,Siddur,Q40025,,
"Prayer book, morning Psalms",,Bible,,Prayer book,Q1486,,
Judeo-Arabic commentary to Exodus XXV,"פירוש על שמות כ""ה ביהודית-ערבית",,,Torah commentary,Q44107,,
