material_as_recorded,authorized_label,structured_value,ds_qid_uri
"[""paper ; 216 x 159 (155 x 90) mm. bound to 214 x 167 mm""]",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"[""paper ; 220 x 162 (195 x 125) mm. bound to 220 x 160 mm""]",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"[""paper.""]",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"[""Paper""]",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"[""paper""]",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"[""paper and parchment, color illustrations""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q31;https://catalog.digital-scriptorium.org/entity/Q33
"[""paper and parchment, illuminations""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q31;https://catalog.digital-scriptorium.org/entity/Q33
"[""paper and parchment, music""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q31;https://catalog.digital-scriptorium.org/entity/Q33
"[""paper and parchment""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q31;https://catalog.digital-scriptorium.org/entity/Q33
"[""paper illustrations""]",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"[""papyrus""]",papyrus,http://vocab.getty.edu/aat/300014127,https://catalog.digital-scriptorium.org/entity/Q32
"[""parchment, coats of arms""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, color""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, colored illustration""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, color illustrations, coats of arms""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, color illustrations, maps""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, color illustrations, music""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, color illustrations""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, decorated initials, music (neumes)""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, decorated initials""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, ill., music""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, ill. ; 550 x 382 (365 x 270) mm""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, ill""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illuminated, miniatures""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illuminated""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illuminations, frontispiece, coat of arms""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illuminations, genealogical tables""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illuminations, portraits, coat of arms""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illuminations, portraits, genealogical tables""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illuminations""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illustration""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illustrations, maps""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illustrations, music""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, illustrations (miniatures)""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, initials""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, miniatures""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, music, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, music""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, music (diastematic neumes)""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, orn, decorated initials""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, orn, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, orn, initial""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, orn: drawing: eagle""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, ornamented initial, penwork""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, orn initial""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment, paper""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"[""parchment""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment (9 paper)""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"[""parchment (framed)""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""parchment and paper, color illustrations, music""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"[""parchment and paper, color illustrations""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"[""parchment and paper, ill.""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"[""parchment and paper, illustrations""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"[""parchment and paper""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"[""rag paper""]",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"[""vellulm""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""vellum, ink, manuscript, music""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""vellum""]",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"[""wove paper""]",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
[],undetermined,http://vocab.getty.edu/aat/300379012,
banana leaf,leaf,http://vocab.getty.edu/aat/300011892,https://catalog.digital-scriptorium.org/entity/Q26
Chancery 2° paper,paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
Chancery 2° paper;,paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
cloth,cloth,http://vocab.getty.edu/aat/300162391,https://catalog.digital-scriptorium.org/entity/Q26528
"European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
European laid paper with watermarks,paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
