title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Laṭāyif al-ṭavāyif,لطاىف الطواىف,,,,,Laṭāyif al-ṭavāyif,Q51987
Dībājah-i musammāh bi-Fuṣūl al-najāt va lubāb al-ishārāt jadval-i hizār va yiknām-i ʻalīm-i ʻallām-i musammá bi-Futūḥāt-i ʻAbbāsī,دىباجه مسماة بفصول النجات و لباب الاشارات جدول هزار و ىکنام علىم علام مسمى بفتوحات عباسى,Fuṣūl al-najāt va lubāb al-ishārāt,فصول النجات و لباب الاشارات,,,Fuṣūl al-najāt va lubāb al-ishārāt,Q44097
Siḥr-i ḥalāl,سحر حلال,,,,,Siḥr-i ḥalāl,Q51988
Kitāb-i ʻĀlamʹārā-yi ʻAbbāsī,کتاب عالم‌آراى عباسى,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,Tarikh-e Alam-ara-ye Abbasi,Q51778
Sirāj al-ṭarīq,سراج الطرىق,,,,,Sirāj al-ṭarīq,Q51989
Ṭūr-i Sīnāʼ,طور سىناء,,,,,Ṭūr-i Sīnāʼ,Q51990
Jām-i jam] ... [etc.,جام جم,,,,,Jaam-e Jam,Q51991
Uṣūl al-ʻaqāyid va jāmiʻ al-favāyid,اصول العقاىد و جامع الفواىد,,,,,Uṣūl al-ʻaqāyid va jāmiʻ al-favāyid,Q51992
Khusraw Shīrīn,خسرو شىرىن,,,,,Khosrow and Shirin,Q39470
Sharḥ-i Muʻammāʼ-yi Mīr Ḥusayn] ... [etc.,شرح معمائى مىر حسىن,,,,,Sharḥ-i Muʻammāʼ-yi Amīr Ḥusayn,Q51993
"Commonplace book of Persian poetry, Sufi extracts, letters, prayers, and notices",,,,,,Commonplace book,Q7822
Treatise on Arabic literary devices] ... [etc.,,,,,,Arabic text,Q38349
Treatise on astrology,,,,,,Astrological text,Q20378
Tārīkh-i inqilāb-i mashrūṭah-ʾi Īrān; az tārīkh-i sanah-i 1324 qamarī ilá sanah-i 1328 qamarī /,تارىخ انقلاب مشروطۀ ايران,Persian revolution of 1905-1909,,,,Persian Revolution of 1905-1909,Q51994
Commonplace book of Persian poetry,,,,,,Persian poetry,Q18530
Commonplace book of prayers and extracts,,,,,,Prayers,Q798
Commonplace book of Persian poetry and prose,,,,,,Persian poetry,Q18530
Lubb-i lubāb-i Kāshif al-asrār /,لب لباب کاشف الاسرار /,,,,,Lubb-i lubāb-i Kāshif al-asrār,Q51995
Collection of ḥadīths on ʻAlī ibn Abī Ṭālib] ... [etc.,,,,,,Hadiths,Q11863
Jannat al-bāqiyah ... [etc.,جنة الباقية,Junnah al-wāqiyah wa-al-jannah al-bāqiyah,جنة الواقية والجنة الباقية,,,Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,Q27802
Dar ʻilm-i nujūm va taqvīm va maʻrifat-i zāyijah] ... [etc.,در علم نجوم و تقوىم و معرفت زاىجه,,,,,Astronomical texts,Q3129
Sharḥ-i lughāt va qaṣāʾid-i Anvarī,شرح لغات و قصائد انورى,,,,,Sharḥ-i lughāt va qaṣāʾid-i Anvarī,Q51996
Account book; of the Royal Arsenal of Iran,,,,,,Account book,Q1387
Ḥifẓ al-ṣiḥḥah ... [etc.,حفظ الصحة,Zād al-musāfirīn,زاد المسافرين,,,Zād al-musāfirīn,Q51849
Jung al-ashʻār,جنگ الاشعار,,,,,Jung al-ashʻār,Q51997
Kitāb Fawāʼid al-mashāhid /,كتاب فوائد المشاهد /,Fawāʼid al-mashāhid wa-natāʼij al-maqāṣid,فوائد المشاهد ونتائج المقاصد,,,Fawāʼid al-mashāhid wa-natāʼij al-maqāṣid,Q18450
Ḥusaynʹnāmah /,حسىن‌نامه /,,,,,Ḥusaynʹnāmah,Q51998
Commentary on the section on inheritance from al-Mukhtaṣar al-nāfiʻ,,,,,,Commentary on al-Mukhtaṣar al-nāfiʻ,Q18497
Treatise on akhlāq,,,,,,Treatise on akhlāq,Q51999
Dar bayān-i mawz̤ūʻ va ʻilm-i kīmiyā ʻumūman va iksīr khuṣūṣan ... [etc.,در بىان موضوع و علم کىمىا عموماً و اکسىر خصوصاً,,,,,Scientific texts,Q7521
Majmūʻah-i inshāʾ-i dībāchah-i nivishtajāt,مجموعه انشاء دىباچه نوشتجات,,,,,Majmūʻah,Q18453
Majmūʻah az taʾlīfāt-i marḥūm-i Āghā Jaʻfar Vāʻiẓ,مجموعة از تألىفات مرحوم آغا جعفر واعظ,,,,,Majmūʻah az taʾlīfāt-i marḥūm-i Āghā Jaʻfar Vāʻiẓ,Q52000
Jung-i akhbār,جنگ اخبار,,,,,Jung-i akhbār,Q52001
Kitāb-i Hamyān ... [etc.,کتاب همىان,Hamyān,همىان,,,Hamyān,Q39823
Qaṣīdahā nafá al-ṣifāt ʻanhu taʻlālá dar madḥ-i Amīr-i Muʾminān /,قصىدها نفى الصفات عنه تعلالى در مدح امىر مؤمنان /,,,,,Qaṣīdahā nafá al-ṣifāt ʻanhu taʻlālá dar madḥ-i Amīr-i Muʾminān,Q52002
Nubz̲ah dar vājibāt va muhimmāt az furūʻ-i dīnīyah ... [etc.,نبذه در واجبات و مهمات از فروع دىنية,,,,,Nubz̲ah dar vājibāt va muhimmāt az furūʻ-i dīnīyah,Q52003
Collection of Persian and Arabic fragments,,,,,,Persian texts;Arabic texts,Q7568;Q12258
Commonplace book of ḥadīth,,,,,,Commonplace book;Hadith,Q7822;Q3679
Muntahá al-amal rajāʾan min Allāh an yahdī bihi al-ṭālibīn ilá aḥsan al-ʻamal ... [etc.,منتهى الامل رجاءن من الله ان يهدي به الطالبين الى احسن العمل,,,,,Muntahá al-amal rajāʾan min Allāh an yahdī bihi al-ṭālibīn ilá aḥsan al-ʻamal,Q52004
Vaṣl al-fuṣūl ... [etc.,وصل الفصول,,,,,Vaṣl al-fuṣūl,Q52005
Dar ʻilm-i shīmī urganīk ... [etc.,در علم شىمى ارگنىک,,,,,Scientific texts,Q7521
Metrical introduction to the French language,,,,,,Grammatical text,Q6010
Tadhkirat al-salāṭīn fī ighāthat al-malhūfīn,تذكرة السلاطين في اغاثة الملهوفين,,,,,Tadhkirat al-salāṭīn fī ighāthat al-malhūfīn,Q52006
Maqṣad-i aqṣá] ... [etc.,مقصد اقصى ... الخ,,,,,Maqṣad-i aqṣá,Q52007
Sirāj al-ẓulmah wa-al-raḥmah ... [etc.,سراج الظلمة والرحمة,,,,,Sirāj al-ẓulmah wa-al-raḥmah,Q52008
Marāḥil al-sālikīn /,مراحل السالکىن /,,,,,Marāḥil al-sālikīn,Q52009
Sharḥ-i Fārsī-i hayʼat-i Qūshjī /,شرح فارسى هيئت قوشجى /,Sharḥ-i Risālah dar hayʼat,شرح رساله در هيئت,,,Sharḥ-i Risālah dar hayʼat,Q27610
Sharḥ-i Ṣaḥīfah-i kāmilah,شرح صحىفه کامله,,,,,Sharḥ-i Ṣaḥīfah-i kāmilah,Q52010
Kitāb-i mustaṭāb-i Majālis al-muʼminīn,کتاب مستطاب مجالس المؤمنىن,Majālis al-muʼminīn,مجالس المؤمنين,,,Majalis al-muminin,Q51856
Z̲ākhirah-ʼi Khvārazmshāhī,ذاخرۀ خوارزمشاهى,Z̲ākhirah-i Khvārazmshāhī,ذاخره خوارزمشاهى,,,Zakhireye Khwarazmshahi,Q40055
Ganjīnah,گنجىنه,,,,,Ganjīnah,Q12037
Hadīyah-ʼi Sulaymānī,هديۀ سلىمانى,,,,,Hadīyah-ʼi Sulaymānī,Q27649
Favātiḥ,فواتح,,,,,Favātiḥ,Q18488
Dīvān-i Maghribī maʻa Dīvān-i Āz̲arī,دىوان مغربى مع دىوان آذرى,,,,,Diwan,Q11912
Akhbār al-akhyār,اخبار الاخىار,,,,,Akhbār al-akhyār,Q27689
Dastūrāt-i Tuḥfat al-muʼminīn,دستورات تحفت المؤمنىن,Tuḥfat al-muʼminīn,تحفت المؤمنىن,,,Tuḥfat al-muʼminīn,Q51692
Baḥr al-maʻārif,بحر المعارف,,,,,Baḥr al-maʻārif,Q27792
Maṣābīḥ al-aḥvāl,مصابىح الاحوال,,,,,Maṣābīḥ al-aḥvāl,Q52011
Collection of hadiths] ... [etc.,,,,,,Hadiths,Q11863
Ḥizb al-aʻẓam ... [etc.,حزب الاعظم,,,,,Ḥizb al-aʻẓam,Q52012
Qaṣīd-i Burdah-i sharḥī /,قصىد برده شرحى /,,,,,Qaṣīd-i Burdah-i sharḥī,Q52013
al-Risālah al-quds li-ahl al-uns /,الرسالة القدس لاهل الانس /,,,,,al-Risālah al-quds li-ahl al-uns,Q39950
Dānishʹnāmah-ʼi shāhī /,دانش‌نامۀ شاهى /,,,,,Dictionary,Q7823
Taḥqīq dar dīn-i Yahūd va Naṣārá,تحقىق در دىن ىهود و نصارى,,,,,Taḥqīq dar dīn-i Yahūd va Naṣārá,Q52014
Inshāʼ-i Ṭughrā,انشاء طغرا,,,,,Inshāʼ-i Ṭughrā,Q52015
Ṣaydīyah-i Ṣafdarīyah,صىديه صفدره,,,,,Ṣaydīyah-i Ṣafdarīyah,Q52016
Mas̲navī-i Ghanīmat,مثنوى غنىمت,,,,,Masnavi,Q27606
Nayrang-i Bahār,نىرنگ بهار,,,,,Nayrang-i Bahār,Q52017
Dīvān-i Ghaws̲,دىوان غوث,,,,,Diwan,Q11912
Awṣāf al-ashrāf ... [etc.,اوصاف الاشراف ... الخ,,,,,Awṣāf al-ashrāf,Q18403
Tuḥfah-i naṣāyiḥ,تحفه نصاىح,,,,,Tuḥfah-i naṣāyiḥ,Q52018
Dīvān-i afz̤al-i Khvājah Ḥāfiẓ al-shuʻarā va al-mutakallimīn,دىوان افضل خواجه حافظ الشعرا و المتکلمىن,Dīvān,,,,Diwan,Q11912
Ṭibb-i kimīyāʾī,طب کميائي,Ṭibb al-jadīd al-kimiyāʾī,طب الجديد الكميائي,,,Ṭibb al-jadīd al-kimiyāʾī,Q52019
ʻIqd al-fiḍḍah; mawsūm bi-Javāhirāt,عاقد الفضه,,,,,ʻIqd al-fiḍḍah,Q52020
Intikhābāt-i Kitāb-i Maẓhar /,انتخابات کتاب مظهر /,Maẓhar al-ʻajāʾib,مظهر العجائب,,,Maẓhar al-ʻajāʾib,Q52021
Kitāb-i Shāhnāmah,کتاب شاهنامه,Shāhnāmah,شاهنامه,,,Shahnameh,Q18627
Collection of six Sufi texts,,,,,,Sufi texts,Q27797
Hāz̲ā Dīvān /,هذا دىوان /,Dīvān-i Samjhū Sūratī,دىوان سمجهو سورتى,,,Dīvān-i Samjhū Sūratī,Q20454
Kitāb-i Bahrām Gulʹandām,کتاب بهرام گل ا‌ندام,Bahrām va Gulandām,بهرام و گلندام,,,Bahrām va Gulandām,Q39676
Majmūʻah-i ghazalīyāt va mas̲navīyāt va mukhammas va rasāʾil-i Shaykh ʻAlī Ḥazīn,مجموعه غزليات و مثنويات و مخمس و رسائل شىخ على حزىن,,,,,Majmūʻah,Q18453
Khulāṣat al-qiṣaṣ,خلاصت القصص,,,,,Khulāṣat al-qiṣaṣ,Q52022
Safīnat al-najāt,سفينة النجات,,,,,Safīnat al-najāt,Q52023
Vāridāt,واردات,,,,,Vāridāt,Q52024
Gulzār-i ḥāl,گلزار حال,Prabodhachandrodaya,,,,Prabodhachandrodaya,Q51912
Nuskhah-i Maṭālib-i rashīdī,نسخه مطالب رشىدى,Maṭālib-i rashīdī,مطالب رشىدى,,,Maṭālib-i rashīdī,Q52025
Guldastah-i chaman,گلدسته چمن,,,,,Guldastah-i chaman,Q27760
Jāmiʻ al-favāʼid,,,,,,Jāmiʻ al-favāyid,Q51861
Majmūʻah-yi ashʻār,,,,,,Majmūʻah,Q18453
Inshā; Khazān va bahār,,,,,,Inshā,Q52026
Collection of five Persian texts on riddles,,,,,,Persian riddles,Q52027
Zubdat al-taṣānīf,,,,,,Zubdat al-taṣānīf,Q51731
Kīmiyā-yi saʻādat,,,,,,Alchemy of Happiness,Q27836
Taʼrikh-i Hasht bihisht,,Hasht bihisht,,,,Hasht-Bihisht,Q12765
Kulliyāt,,Works,,,,Works,Q5989
Farhang-i Jahāngīrī,,,,,,Farhang-i Jahangiri,Q18405
Gulistān-i Raḥmat,,,,,,Gulistan,Q3702
Bahār-i ʻAjam,,,,,,Bahar-i Ajam,Q18434
Ātishkadah,,,,Ātishkadah,Q27681,,
Dīvān-i ḥālī,,,,,,Diwan,Q11912
Burhān-i qāṭiʻ,,,,,,Burhan-i Qati,Q27539
Farhang-i Irtiz̤āʼī,,,,,,Farhang-i Irtiz̤āʼī,Q18506
Muʼayyid al-fuz̤alāʼ,,,,,,Muʼayyid al-fuz̤alāʼ,Q52028
Ṭibb al-akhlāq,,,,,,Ṭibb al-akhlāq,Q52029
Tārīkh-i Kashmīr,,,,Tārīkh-i Kashmīr,Q18508,,
Collection of Arabic and Persian dictionaries,,,,,,Dictionary,Q7823
Maktūbāt,,Correspondence,,,,Correspondence,Q38385
Persian and Urdu miscellany,,,,,,Persian texts;Urdu texts,Q7568;Q52079
Rasīdan-i Sikandar bihbāgh-i īn mard tamāshā kardī...,رسىدن سکندر بهباغ اين مرد تماشا کردى...,,,,,Rasīdan-i Sikandar bihbāgh-i īn mard tamāshā kardī,Q52030
Anthology of Persian poetry and miniatures,,,,,,Persian poetry,Q18530
Tuḥfah-i Shāhīyah-i ʻAbbāsīyah dar sharḥ-i Risālah-i Riz̤awīyah ... [etc.,تحفه شاهية عباسية در شرح رساله رضوية,,,,,Tuḥfah-i Shāhīyah-i ʻAbbāsīyah dar sharḥ-i Risālah-i Riz̤awīyah,Q52031
Risālātī az Nasafī va ghayrih,رسالاتى از نسفى و غيره,,,,,Risālātī az Nasafī va ghayrih,Q52032
Ramz al-ḥaqāʾiq,رمز الحقائق,,,,,Ramz al-ḥaqāʾiq,Q52033
Khulāṣat al-ʻaysh-i ʻĀlam Shāhī,خلاصت العىش عالم شاهى,,,,,Khulāṣat al-ʻaysh-i ʻĀlam Shāhī,Q52034
William McElwee Miller collection of Bābī writings and other Iranian texts,,,,,,Iranian texts,Q52080
Risālah-i Majdīyah dar intiqād az ruʾūs-i ḥukūmat va sulṭānī-i Īrān dar ʻahd-i Qājārī /,رساله مجدية در انتقاد از رؤوس حکومت و سلطانى ايران در عهد قاجارى /,,,,,Risālah-i Majdīyah dar intiqād az ruʾūs-i ḥukūmat va sulṭānī-i Īrān dar ʻahd-i Qājārī,Q52035
Shabīh-i mubārak Shihāb al-Dīn Muḥammad Shāh Jihān Pādshāh-i Hind,شبىه مبارک شهاب الدىن محمد شاه جهان پادشاه هند,,,,,Shabīh-i mubārak Shihāb al-Dīn Muḥammad Shāh Jihān Pādshāh-i Hind,Q52036
Garden scene with ten male figures and a horse,,,,,,Garden scene,Q12783
Maṣābīḥ al-mustakhīr wa-mafātīḥ al-mustashīr,مصابيح المستخير ومفاتيح المستشير,,,,,Maṣābīḥ al-mustakhīr wa-mafātīḥ al-mustashīr,Q52037
Khulāṣah-i kalimāt-i rāviyān akhbār-i anbiyāʼ ʻālamqadār,خلاصه کلمات راوىان اخبار انبىاء عالمقدار,,,,,Khulāṣah-i kalimāt-i rāviyān akhbār-i anbiyāʼ ʻālamqadār,Q52038
Silsilat al-z̲ahab,,,,,,Silsalat al-z̲ahab,Q51742
Dīvān-i Anvarī,دىوان انورى,,,,,Diwan,Q11912
Rukn-i sivvum az miʻrāj al-nubūwah,رکن سوم از معراج النبوه,Maʻārij al-nubūwah fī madārij al-futūwah,معارج النبوة في مدارج الفتوة,,,Maʻārij al-nubūwah fī madārij al-futūwah,Q52039
Qism-i avval dar z̲ikr-i anbiyāʾ-i kubār va ḥukamāʾ-i ʻuẓām va mulūk-i ʻajam,قسم اول در ذكر انبياء كبار وحكماء عظام و ملوك عجم,Rawz̤at al-ṭāhirīn,روضة الطاهرين,,,Rawz̤at al-ṭāhirīn,Q52040
Kitāb Naẓar al-insān bi-tarjamat Wafayāt al-aʻyān,كتاب نظر الانسان بترجمة وفيات الاعيان,Wafayāt al-aʻyān,وفيات الاعيان,,,Wafayat al-Ayan,Q52041
Majmūʻah-ʾi naẓm-i zar az Haft awrang-i /,مجموعۀ نظم زر از هفت اورنگ /,Haft awrang,هفت اورنگ,,,Haft Awrang,Q27579
Nafaḥāt al-uns min haḍarāt al-quds,نفحات الانس من حضرات القدس,,,,,Nafaḥāt al-uns min haḍarāt al-quds,Q51684
Risālah-i salāmat al-safar min malāmat al-khaṭar,رساله سلامة السفر من ملامة الخطر,,,,,Risālah-i salāmat al-safar min malāmat al-khaṭar,Q52042
Qaṣīdah-i Shāh va gadā,قصيدۀ شاه وگدا,Shāh va gadā,شاه وگدا,,,Shāh va gadā,Q52043
Kitāb-i Nūr al-ʻuyūn /,كتاب نور العيون /,,,,,Kitāb-i Nūr al-ʻuyūn,Q52044
Risālat al-muʻammá,رسالة المعمى,,,,,Risālat al-muʻammá,Q52045
Khuṭbah-ʼi quds ast bi-malik-i qadīm,خطبۀ قدس است بملك قديم,Khamsah,خمسة,,,Khamsah,Q18558
Mihr va Mushtarī,مهر ومشتري,,,,,Mihr and Mushtari,Q51907
Tarjamah-i Hidāyah,ترجمه هداىه,Hidāyah,هداىه,,,Hidayah,Q39473
Tarjamah-i Qānūnchah,ترجمه قانونچه,Qānūnchah,قانونچه,,,Qānūnchah,Q52046
Sharḥ-i Qaṣīdah-i Burdah,شرح قصىده برده,,,,,Sharḥ-i Qaṣīdah-i Burdah,Q52047
Tārīkh-i dilgushā-yi Shamshīrkhānī,تارىخ دلگشاى شمشىرخانى,,,,,Tārīkh-i dilgushā-yi Shamshīrkhānī,Q52048
Qaṣāʼid] ... [etc.,,Selections,,,,Selections,Q12769
Dastūr al-mubtadī ... [etc.,دستور المبتدى,,,,,Dastūr al-mubtadī,Q19952
Intikhāb-i Mas̲navī ... [etc.,انتخاب مثنوى ... الخ,,,,,Intikhāb-i Mas̲navī,Q52049
Sāqīʹnāmah /,ساقى‌نامه /,,,,,Sāqīʹnāmah,Q52050
Kitāb-i ʻumdah,کتاب عمده,Aḥkām al-aʻwām,احکام الاعوام,,,Aḥkām al-aʻwām,Q39857
Sharḥ-i Viqāyah,شرح وقاىه,Sharḥ al-Wiqāyah,شرح الوقاية,,,Sharḥ al-Wiqāyah,Q11990
Intikhāb-i nuskhah-i Abvāb al-jinān ... [etc.,انتخاب نسخه ابواب الجنان ... الخ,,,,,Intikhāb-i nuskhah-i Abvāb al-jinān,Q52051
Maktūbāt-i Shaykh Aḥmad al-Fārūqī al-Naqshabandī ... [etc,مکتوبات شىخ احمد الفاروقى النقشبندى,Correspondence,,,,Correspondence,Q38385
Mukātabāt-i ʻAllāmī,مکاتبات علامى,,,,,Correspondence,Q38385
Jild-i avval-i Hidāyah,جلد اول هداىه,Hidāyah,هداىة,,,Hidayah,Q39473
Selections from the Z̲ākhirah-i Khvārazmshāhī,,Z̲ākhirah-i Khvārazmshāhī,ذاخره خوارزمشاهى,,,Zakhireye Khwarazmshahi,Q40055
Sirāj-i anvār-i rawshan,سراج انوار روشن,,,,,Sirāj-i anvār-i rawshan,Q52052
Sharḥ-i Kāfiyah,شرح کافىه,,,,,Sharḥ-i Kāfiyah,Q52053
Havāmiʻ ... [etc.,هوامع ... الخ,,,,,Havāmiʻ,Q52054
Sikandarnāmah /,سکندرنامه /,Iskandarnāmah,اسکندرنامه,,,Iskandarnama,Q16440
Z̤arūr al-mukallaf ... [etc,ضرور المکلف ... الخ,,,,,Z̤arūr al-mukallaf,Q52055
Jalāʼ al-ʻuyūn] ... [etc.,جلاء العيون,,,,,Jalāʼ al-ʻuyūn,Q51702
Ruqʻāt-i Abū al-Faz̤l] ... [etc.,رقعات ابو الفضل,,,,,Ruqʻāt-i Abū al-Faz̤l,Q52056
Ṭūṭīʹnāmah / Z̤iyāʼ al-Dīn Nakhshabī,طوطى‌نامه / ضىاء الدىن نخشبى,,,,,Ṭūṭīʹnāmah,Q48573
"Commonplace book of fatwas, poems, and other texts",,,,,,Commonplace book,Q7822
Sharḥ-i Būstān,شرح بوستان,,,,,Sharḥ-i Būstān,Q52057
Sharḥ-i Mishkāt; jild-i duvīm,شرح مشکات,Ashiʻʻat al-lamaʻāt,اشعة اللمعات,,,Ashiʻʻat al-lamaʻāt,Q27602
Mujallad-i s̲ālis̲ min Rawz̤at al-ṣafā,مجلد ثالث من روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Arabic-Persian dictionary,,,,,,Dictionary,Q7823
Persian occult text,,,,,,Persian occult text,Q52058
Khulāṣat al-tavārīkh,خلاصت التوارىخ,,,,,Khulāṣat al-tavārīkh,Q52059
Maz̲hab-i ʻishq,مذهب عشق,Qiṣṣah-ʾi Gul-i Bakāvalī,قصۀ گل بکاولى,,,Qiṣṣah-ʾi Gul-i Bakāvalī,Q52060
Kitāb-i Ḥamlah-i Ḥaydarī,کتاب حمله حىدرى,Ḥamlah-i Ḥaydarī,حمله حىدرى,,,Ḥamlah-i Ḥaydarī,Q27641
Kitāb-i Alif bāʾ fārisī va turkī va ʻarabī bijihat-i taʻlīm-i zabān-i Islāmī /,کتاب الف باء فارسى و ترکى و عربى بجهت تعلىم زبان اسلامى /,Alif bāʾ fārisī va turkī va ʻarabī bijihat-i taʻlīm-i zabān-i Islāmi,الف باء فارسى و ترکى و عربى بجهت تعلىم زبان اسلام,,,Alif bāʾ fārisī va turkī va ʻarabī bijihat-i taʻlīm-i zabān-i Islāmi,Q27536
Woman reading on a large stool,,,,,,Woman reading on a large stool,Q52061
Dīvān-i Nūr al-Dīn Niʻmat Allāh,,Poems,,,,Diwan;Poetry,Q11912;Q1330
Kāristan-i Munīr,,Kārnāmah,,,,Kārnāmah,Q52062
Risālah-i Latʹhah bāzī,,Latʹhah bāzī,,,,Latʹhah bāzī,Q52063
Tashrīd al-nawm bi-mawʻiẓat al-yawm,,,,,,Tashrīd al-nawm bi-mawʻiẓat al-yawm,Q52064
Sharḥ-i Gulshan-i rāz,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,,,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,Q51750
Muntakhab-i ashʻār; mas̲navī,,,,,,Poetry,Q1330
Būstān,,,,Būstān,Q18625,,
Tuḥfat al-aḥrār,,,,,,Tuhfat al-Ahrar,Q51837
Gawhar-i murād,,,,,,Gawhar-i murād,Q39790
Sharḥ-i Bīst bāb dar taqvīm,,,,,,Sharḥ-i bīst bāb,Q27522
Muntakhab-i ashʻār,,,,,,Poetry,Q1330
Khamsīn maqālāt,,,,,,Khamsīn maqālāt,Q52065
Iskandarnāmah,,,,,,Iskandarnama,Q16440
Haft paykar,,,,,,Haft Paykar,Q18433
Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,,,,,,Hadiqat al Haqiqa,Q39306
Risālah-i manẓūm dar dīnīyāt,,,,,,Risālah-i manẓūm dar dīnīyāt,Q52066
Laylá va Majnūn,,,,,,Layla and Majnun,Q18445
Rūḥ al-arvāḥ va mūnis al-ashbāḥ,,,,,,Rūḥ al-arvāḥ va mūnis al-ashbāḥ,Q52067
Irshād al-zirāʻah,,,,,,Irshād al-zirāʻah,Q52068
Khamsah-i Niẓāmī,,Khamsah,,,,Khamsah,Q18558
Jung-i ashʻār,,,,,,Jung-i ashʻār,Q51783
Majmūʻah-i ashʻār,,,,,,Majmūʻah,Q18453
Kanz al-ishtihā,,,,,,Kanz al-ishtihā,Q52069
Selections of poetry,,Dīvān,,,,Diwan,Q11912
Dīvān-i aṭʻimah,,,,,,Diwan,Q11912
Bayān al-vaqāʼiʻ,,,,,,Bayān al-vaqāʼiʻ,Q39754
Risale fi'l-muamma,,,,,,Risale fi'l-muamma,Q52070
Naṣīḥat nāmah; majmūʻah-i ashʻār,,,,,,Naṣīḥat nāmah,Q52071
Kullīyāt-i dīvān-i ashʻār,,Poems,,,,Diwan;Poetry,Q11912;Q1330
Manṭiq al-ṭayr,,,,,,Mantiq Al-Tayr,Q52072
Gulistān,,,,Gulistān,Q3702,,
Bahāristān,,,,,,Baharestan,Q39215
Dīvān-i Ṣāʼib,,Poems,,,,Diwan;Poetry,Q11912;Q1330
Dīvān-i rubāʻīyāt,,,,,,Diwan,Q11912
Akhlāq-i Muḥsinī,,,,,,Akhlāq-i Muḥsinī,Q11746
Dīvān-i ʻUrfī Shīrāzī,,Poems,,,,Diwan;Poetry,Q11912;Q1330
Lubb-i lubāb-i Mas̲navī,,Mas̲navī,,,,Masnavi,Q27606
Sāqīnāmah,,,,,,Sāqīʹnāmah,Q52050
Divan,,,,,,Diwan,Q11912
Risālah dar bāb-i taḥrīm shurb al-muskirāt,,,,,,Risālah dar bāb-i taḥrīm shurb al-muskirāt,Q52073
Sharḥ-i muʻammā-i Amīr Ḥusaynī dar asmāʼ al-ḥusná,,,,,,Sharḥ-i Muʻammāʼ-yi Amīr Ḥusayn,Q51993
Risālah dar asrār-i ḥurūfīyah,,,,,,Risālah dar asrār-i ḥurūfīyah,Q52074
Nāmah-ʼi nāmī,,,,,,Nāmah-ʼi nāmī,Q52075
Dīvān-i Naʻīmī,,,,,,Diwan,Q11912
Jāvīdān nāmah,,,,,,Jāvīdān nāmah,Q52076
Tafsīr-i Qurʼān,,,,,,Tafsīr al-Qurʼān,Q11674
Ṭabaqāt-i akbarī,,,,,,Ṭabaqāt-i akbarī,Q52077
