source_title,source_catalog_or_lot_number,titles,authors,dates,artists,scribes,languages,materials,places,provenance
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10240,Lectionary,,s. XV(1); 1400-1450,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 167"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10241,Breviary,,s. XV(1); 1400-1450,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 168"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10242,Breviary?,,s. XV(1); 1400-1450,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 169"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10243,Breviary,,s. XV(1); 1400-1450,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 170"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10244,Breviary,,s. XIV/XV; 1390-1410,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 171"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10245,Missal,,s. XV(1); 1400-1450,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 172"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10246,Martyrologium,Usuardus,s. XV; 1400-1499,,,Latin,parchment,France?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 173"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10251,Life of our Lady,John Lydgate,s. XV(2); 1450-1499,,,English,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 178"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10252,Regulations for monks,,s. XV(1); 1400-1450,,,French,parchment,France,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 179"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10253,Theological text,,s. XV; 1400-1499,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 180"
