holding_institution,shelfmark,url
indiana,Ricketts 177,https://archive.org/details/Ricketts177_40
indiana,Ricketts 17,https://archive.org/details/Ricketts17_40
indiana,Ricketts 189,https://archive.org/details/Ricketts189_40
indiana,Ricketts 191,https://archive.org/details/Ricketts191_40
indiana,Ricketts 193,https://archive.org/details/Ricketts193_40
indiana,Ricketts 198,https://archive.org/details/Ricketts198_40
indiana,Ricketts 19,https://archive.org/details/Ricketts19_40
indiana,Ricketts 205,https://archive.org/details/Ricketts205_40
indiana,Ricketts 206,https://archive.org/details/Ricketts206_40
indiana,Ricketts 20,https://archive.org/details/Ricketts20_40
indiana,Ricketts 215,https://archive.org/details/Ricketts215_40
indiana,Ricketts 222,https://archive.org/details/Ricketts222_40
indiana,Ricketts 225,https://archive.org/details/Ricketts225_40
indiana,Ricketts 233,https://archive.org/details/Ricketts233_40
indiana,Ricketts 240,https://archive.org/details/Ricketts240_40
indiana,Ricketts 24,https://archive.org/details/Ricketts24_40
indiana,Ricketts 259,https://archive.org/details/Ricketts259_40
indiana,Ricketts 26,https://archive.org/details/Ricketts26_40
indiana,Ricketts 274,https://archive.org/details/Ricketts274_40
indiana,Ricketts 28,https://archive.org/details/Ricketts28_40
indiana,Ricketts 2,https://archive.org/details/Ricketts2_40
indiana,Ricketts 30,https://archive.org/details/Ricketts30_40
indiana,Ricketts 47,https://archive.org/details/Ricketts47_40
indiana,Ricketts 51,https://archive.org/details/Ricketts51_40
indiana,Ricketts 63,https://archive.org/details/Ricketts63_40
indiana,Ricketts 65,https://archive.org/details/Ricketts65_40
indiana,Ricketts 75,https://archive.org/details/Ricketts75_40
indiana,Ricketts 79,https://archive.org/details/Ricketts79_40
indiana,Ricketts 86,https://archive.org/details/Ricketts86_40
indiana,Ricketts 97,https://archive.org/details/Ricketts97_40
indiana,Ricketts 9,https://archive.org/details/Ricketts9_40
indiana,Ricketts C: 1,https://archive.org/details/RickettsC1_40
indiana,Ricketts C: 3,https://archive.org/details/RickettsC3_40
indiana,Ricketts D: 5,https://archive.org/details/RickettsD5_40
indiana,Ricketts H: 21,https://archive.org/details/RickettsH21_40
indiana,Ricketts III: 25,https://archive.org/details/RickettsIII25_40
indiana,Ricketts III: 53,https://archive.org/details/RickettsIII53_40
indiana,Ricketts K: 4,https://archive.org/details/RickettsK4_40
indiana,Ricketts K: 6,https://archive.org/details/RickettsK6_40
indiana,Ricketts K: 8,https://archive.org/details/RickettsK8_40
indiana,Ricketts L: 1,https://archive.org/details/RickettsL1_40
indiana,Ricketts L: 2,https://archive.org/details/RickettsL2_40
indiana,Ricketts L: 3,https://archive.org/details/RickettsL3_40
kansas,MS 9/1:A10,https://archive.org/details/1A10_30
kansas,MS 9/1:A11,https://archive.org/details/1A11_30
kansas,MS 9/1:A12,https://archive.org/details/1A12_30
kansas,MS 9/1:A13,https://archive.org/details/1A13_30
kansas,MS 9/1:A14,https://archive.org/details/1A14_30
kansas,MS 9/1:A15,https://archive.org/details/1A15_30
kansas,MS 9/1:A16,https://archive.org/details/1A16_30
kansas,MS 9/1:A17,https://archive.org/details/1A17_30
kansas,MS 9/1:A18,https://archive.org/details/1A18_30
kansas,MS 9/1:A19,https://archive.org/details/1A19_30
kansas,MS 9/1:A1,https://archive.org/details/1A1_30
kansas,MS 9/1:A20,https://archive.org/details/1A20_30
kansas,MS 9/1:A21,https://archive.org/details/1A21_30
kansas,MS 9/1:A22,https://archive.org/details/1A22_30
kansas,MS 9/1:A23,https://archive.org/details/1A23_30
kansas,MS 9/1:A24,https://archive.org/details/1A24_30
kansas,MS 9/1:A2,https://archive.org/details/1A2_30
kansas,MS 9/1:A3,https://archive.org/details/1A3_30
kansas,MS 9/1:A4,https://archive.org/details/1A4_30
kansas,MS 9/1:A5,https://archive.org/details/1A5_30
kansas,MS 9/1:A6,https://archive.org/details/1A6_30
kansas,MS 9/1:A7,https://archive.org/details/1A7_30
kansas,MS 9/1:A8,https://archive.org/details/1A8_30
kansas,MS 9/1:A9,https://archive.org/details/1A9_30
kansas,MS 9/1:B10,https://archive.org/details/1B10_30
kansas,MS 9/1:B1,https://archive.org/details/1B1_30
kansas,MS 9/1:B3,https://archive.org/details/1B3_30
kansas,MS 9/1:B4,https://archive.org/details/1B4_30
kansas,MS 9/1:B5,https://archive.org/details/1B5_30
kansas,MS 9/1:B6,https://archive.org/details/1B6_30
kansas,MS 9/1:B7,https://archive.org/details/1B7_30
kansas,MS 9/1:B9,https://archive.org/details/1B9_30
kansas,MS 9/1:C1,https://archive.org/details/1C1_30
kansas,MS 9/1:C3,https://archive.org/details/1C3_30
kansas,MS 9/1:C4,https://archive.org/details/1C4_30
kansas,MS 9/2:10,https://archive.org/details/210_30
kansas,MS 9/2:12,https://archive.org/details/212_30
kansas,MS 9/2:13,https://archive.org/details/213_30
kansas,MS 9/2:14,https://archive.org/details/214_30
kansas,MS 9/2:15,https://archive.org/details/215_30
kansas,MS 9/2:16,https://archive.org/details/216_30
kansas,MS 9/2:17,https://archive.org/details/217_30
kansas,MS 9/2:18,https://archive.org/details/218_30
kansas,MS 9/2:19,https://archive.org/details/219_30
kansas,MS 9/2:1,https://archive.org/details/21_30
kansas,MS 9/2:20,https://archive.org/details/220_30
kansas,MS 9/2:24,https://archive.org/details/224_30
kansas,MS 9/2:27,https://archive.org/details/227_30
kansas,MS 9/2:29,https://archive.org/details/229_30
kansas,MS 9/2:2,https://archive.org/details/22_30
kansas,MS 9/2:30,https://archive.org/details/230_30
kansas,MS 9/2:31,https://archive.org/details/231_30
kansas,MS 9/2:3,https://archive.org/details/23_30
kansas,MS 9/2:4,https://archive.org/details/24_30
kansas,MS 9/2:5,https://archive.org/details/25_30
kansas,MS 9/2:6,https://archive.org/details/26_30
kansas,MS 9/2:7,https://archive.org/details/27_30
kansas,MS 9/2:8,https://archive.org/details/28_30
kansas,MS 9/2:9,https://archive.org/details/29_30
kansas,MS 18E:1,https://archive.org/details/MS18E1_30
kansas,MS 191:10,https://archive.org/details/MS19110_30
kansas,MS 191:11,https://archive.org/details/MS19111_30
kansas,MS 191:12,https://archive.org/details/MS19112_30
kansas,MS 191:13,https://archive.org/details/MS19113_30
kansas,MS 191:14,https://archive.org/details/MS19114_30
kansas,MS 191:15,https://archive.org/details/MS19115_30
kansas,MS 191:1,https://archive.org/details/MS1911_30
kansas,MS 191:2,https://archive.org/details/MS1912_30
kansas,MS 191:3,https://archive.org/details/MS1913_30
kansas,MS 191:4,https://archive.org/details/MS1914_30
kansas,MS 191:5,https://archive.org/details/MS1915_30
kansas,MS 191:6,https://archive.org/details/MS1916_30
kansas,MS 191:7,https://archive.org/details/MS1917_30
kansas,MS 191:8,https://archive.org/details/MS1918_30
kansas,MS 191:9,https://archive.org/details/MS1919_30
kansas,MS 220C:1,https://archive.org/details/MS220C1_30
