row_index,workflow_history,place_as_recorded,authorized_label,structured_value
41,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",England? Wales?,England;Wales,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443
42,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z",Europe (but not England),Europe,http://vocab.getty.edu/tgn/1000003
43,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z",Flanders,Flanders,http://vocab.getty.edu/tgn/7024097
44,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z",Flanders?,Flanders,http://vocab.getty.edu/tgn/7024097
45,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z","Florence, Italy",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
46,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z","Florence?, Italy",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
47,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z",France,France,http://vocab.getty.edu/tgn/1000070
48,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z",France (?),France,http://vocab.getty.edu/tgn/1000070
49,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z",France (Normandy),France;Normandy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002886
50,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.785Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.187Z",France (Paris),France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038
