title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
Girolamo and Pandolfo Corbinelli power of attorney,,,,Power of attorney,Power of attorney
Girolamo de Piglis deed,,,,Deed,Deed
Giulio Antonio absolution,,,,,
Gli amori di Tibullo e Glicera,,,,Gli amori di Tibullo e Glicera,Gli amori di Tibullo e Glicera
Glossa ordinaria fragments,,Glossa ordinaria.,,Glossa ordinaria,Glossa ordinaria
Glossed psalter,,,,Psalter,Psalter
Glossed psalter leaf,,Bible.,,Psalter,Psalter
Gondi-Medici miscellany,,,,,
Gospel lessons for the Office of the Dead,,Book of hours.,,Book of hours,Book of hours
Graduale /,,Gradual (Diocese of Bressanone),,Gradual,Gradual
Grammatica latina,,,,,
Grecismus Cornutus ... etc,,,,,
Gregorio di San Miniato deed,,,,Deed,Deed
Gregory de Chastellar agreement,,,,,
Guelf party affiliation excerpt,,,,,
Guerino Meschino,,Guerrino il Meschino,,,
Guglielmo Maro power of attorney,,,,Power of attorney,Power of attorney
Guida di Stefano power of attorney,,,,Power of attorney,Power of attorney
Guido di Biagio di Carlo Piccolomini will,,,,Will,Will
Guild records,,,,,
Guild regulations,,,,,
Handbook of commercial arithmetic,,,,,
Hādhā min Khawāṣs al-manāzil wa-hiya fī al-maghrib anwāʼ,هذا من خواص المنازل وهي في المغرب انواء.,,,,
Hebrew Bible,,Bible.,,Bible,Bible
Herbal ... etc,,,,,
Herbal in the tradition of Dioscorides,,,,,
Historia Troiana,,Historia destructionis Troiae,,Historia destructionis Troiae,Historia destructionis Troiae
Historia de Papa Allexandro et Phridrico Barba Rossa,,,,,
Historical miscellany,,,,Historical miscellany,Historical miscellany
Historical miscellany concerning Poland,,,,Historical miscellany,Historical miscellany
History of the Reformation in Switzerland from mid-1529 through 1532 ... etc,,,,,
Horae de Sancta Katherina,,,,Book of hours,Book of hours
Horalogium sapientiae,,Horologium sapientiae,,Horologium sapientiae,Horologium sapientiae
Hybrid book of hours,,,,Book of hours,Book of hours
"Hybrid book of letters of Poliziano, Symmachus, and Laudinus",,,,,
Hybrid compendium of Seneca's tragedies and scholarly apparatus,,,,,
Hymni cum glossis,,,,Hymns,Hymns
Hymns and prayers,,,,Hymns,Hymns
Ḥall al-Mūjiz,حل الموجز.,,,,
Ḥaṭṭ al-niqāb ʻan wujūh aʻmāl al-ḥisāb,حط النقاب عن وجوه اعمال الحساب.,,,,
Ḥeshbon mahalkhot ha-kokhavim,,,,,
Ibn Malak ʻalá al-Manār fī uṣūl al-fiqh,ابن ملك على المنار في اصول الفقه.,Sharḥ Manār al-anwār fī uṣūl al-fiqh,شرح منار الانوار في اصول الفقه,Sharḥ Manār al-anwār fī uṣūl al-fiqh,Sharḥ Manār al-anwār fī uṣūl al-fiqh
Igeret orḥot ʻolam ... etc,,,,,
Ikhtiṣār lil-maqālāt min kitāb Uqlīdis,اختصار للمقالات من كتاب اقليدس.,Elements.,,Elements,Elements
Il Genesi,,,,Genesis; Bible,Genesis; Bible
Il Publico di Lorenzo Spirito Perugino nel quale si contiene il Lamento di Perugia essendo sogiogata,,,,,
Il tempio di castitade,,,,,
Il vendemmiatore ... etc. /,,,,,
Ildibrandinus legal document,,,,Legal documents,Legal documents
Illuminated leaf from a printed book of hours,,Penitential Psalms.,,Penitential Psalms,Penitential Psalms
Illuminated missal,,,,Missal,Missal
Illumineirr buch künstlich alle Farben zu machen und bereidenn allen Briefmalern sampt andern solcher kunsten liebhabern nutzlich unnd gutt zu wissen,,,,,
Illustrations to Georg von Peurbach's Novae theoricae planetarum,,,,,
In Aristotelis libros de generatione et corruptione ... etc,,,,Commentary on Aristotle's De generatione et corruptione,Commentary on Aristotle's De generatione et corruptione
In metaphysica Aristotelis,,,,Commentary on Aristotle's Metaphysics,Commentary on Aristotle's Metaphysics
In physicam seu philosophiam naturalem commentarius una cum quaestionibus,,,,Commentary on Aristotle's Physics,Commentary on Aristotle's Physics
In quatuor Evangelistas,,,,,
In universam Aristotelis physicam,,,,Commentary on Aristotle's Physics,Commentary on Aristotle's Physics
Indictio currens,,,,,
Indulgence,,,,,
Informacio recepta super conversione sarracenorum ad fidem catholicam,,,,,
Inni della Beata Vergine Maria,,,,Hymns,Hymns
Innocent IV privilege,,,,,
Instructions to Nicolaus Theupulo,,,,,
Instrumenta della condizione dei beni di Santa Crestina a livello perpetuo fatte l'anno 1490 da Antonio di Dominice di Ciacco Ciacchi e si paga lire sette servono per fare celebrare lo messe...,,,,,
Instrumenta feudorum castri Sone,,,,,
Instrumenta magnificorum fratrum de Tartaleonibus,,,,,
Inventions or devises,,,,,
Inventory of the possessions of Abbot Balthasar Dason,,,,,
"Istromenti di quittanze, ed altri contratti a favore del Sr.? Cesare Ressano &? suoi interessi particolari",,,,,
Istruzioni a voi Signor Pietro d'Agostino della relazione che s'aver à Sua Maestà delle cose di Sicilia ... etc,,,,,
"Istruzioni, memoriali, lettere, ricordi",,,,,
Italian alchemical miscellany,,,,Alchemical miscellany,Alchemical miscellany
Italian historical miscellany,,,,Historical miscellany,Historical miscellany
Italian religious miscellany,,,,Religious miscellany,Religious miscellany
"Iuramentum capitulare, advocatorum per offitia rivoalti",,,,Advocati Rivoalti,Advocati Rivoalti
Īḍāḥ al-maqāṣid li-farāʼid al-fawāʼid,ايضاح المقاصد لفرائد الفوائد.,,,,
Īn kitāb dar ṭibb,اين کتاب در طب.,Nūr al-fuʼād,نور الفؤاد,Nūr al-fuʼād,Nūr al-fuʼād
Jacopo Nannis de Piccolomini debt agreement,,,,,
Jadāvil-i ikhtiyārāt,جداول اختيارات.,,,,
Jāmiʻ al-ʻulūm,جامع العلوم.,,,,
Jesuit miscellany,,,,Religious miscellany,Religious miscellany
Joanna I grant of pension,,,,,
Joannes Thomas Beltamino will,,,,Will,Will
Joannis Passeratii Coniecturarum et opinionum liber,,,,Coniecturarum liber,Coniecturarum liber
Johannis Tostii clarissimorum Witebergensium professorum descriptio,,,,,
John Eyr mortgage,,,,,
"Juramentbuech, darinnen aller Beambten alsz Burgermaister, Ratsherinn, Stattschreiber, neuen Burger und anderer Aide, den sie in Antrettung ihrer Dienst und Pflichten publice laysten müssen, zu finden",,,,,
Kāmil al-sināʻah al-tibbīyah ... etc,,,,,
Kharīdat al-ʻajāʼib wa farīḍat al-gharāʼib,خريدة العجائب و فريضة الغرائب.,,,,
Kitāb Alghāz fī al-lughah al-ʻArabīyah,كتاب الغاز في اللغة العربية.,,,,
Kitāb Mīzān al-ḥikmah,كتاب ميزان الحكمة.,Mīzān al-ḥikmah.,ميزان الحكمة.,Mīzān al-ḥikmah,Mīzān al-ḥikmah
Kitāb Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn,كتاب روض الرياحين في حكايات الصالحين ،,Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn,روض الرياحين في حكايات الصالحين,Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn,Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn
Kitāb al-Kashf wa-al-bayān. Īḍāḥ al-rumūz fī al-burhān,كتاب الكشف والبيان. ايضاح الرموز في البرهان.,,,,
Kitāb al-Miṣbāḥ wa-nuzʹhat al-arwāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-falsafīyah wa al-natījah al-ʻalīyah,كتاب المصباح ونزهة الارواح في علم المفتاح في الحكمة الالاهية والصناعة الفلسفية و النتيجة العلية.,Miṣbāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-ḥikmīyah,مصباح في علم المفتاح في الحكمة الالاهية والصناعة الحكمية,Miṣbāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-ḥikmīyah,Miṣbāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-ḥikmīyah
Kitāb al-Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá,كتاب الشفا بتعريف حقوق المصطفى.,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفا بتعريف حقوق المصطفى,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
Kitāb al-Siyāsah al-sharʻīyah al-musammá tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,كتاب السياسة الشرعية المسمى تسهيل النظر وتعجيل الظفر.,Tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,تسهيل النظر وتعجيل الظفر,Tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,Tasʹhīl al-naẓar wa-taʻjīl al-ẓafar
Kitāb al-Siyāsah fī tadbīr al-riyāsah,كتاب السياسة في تدبير الرياسة.,Secretum secretorum.,,Secretum secretorum,Secretum secretorum
Kitāb fī istīʻāb al-wujūh al-mumkinah fī ṣanʻat al-asṭurlāb,كتاب في استيعاب الوجوه الممكنة في صنعة الاسطرلاب.,,,,
Kitāb-i Advār,کتاب ادوار.,Adwār.,ادوار.,Adwār,Adwār
Kitāb-i Gulistān,کتاب گلستان.,Gulistān,گلستان,Gulistān,Gulistān
Kitāb-i Tīmūrnāmah,کتاب تىمورنامه.,Tīmūrnāmah,تىمورنامه,Tīmūrnāmah,Tīmūrnāmah
Koran,,Qurʼan.,قرآن.,Qurʼan,Qurʼan
"Kurtze Verzeichnus was auf den drittenn Tag Heuwmonats Anno 1582 zwijschen Herrenn Jacob Christoffel Blaarer Bischoff zu Brundruth und den? Unnderthonen der Herrschaft zu Pfeffingen, durch die Gesandten der siben catholischen Orthen der Eijdtgnossschaft, als Lutzern, Urij, Schwijtz, Underwalden, Zug, Frijburg und Solothurn, von wegen Religions sachen fürgenommen uund verhandlet worden, wie volgt",,,,,
Kıya-yı Hazret-i Yûsuf Zulaykhâ,كيايۀ حضرت يوسف زليخا.,Yūsuf va Zulaykhā.,ىوسف و زلىخا.,Yūsuf va Zulaykhā,Yūsuf va Zulaykhā
L'arbre des batailles,,Arbre des batailles,,Arbre des batailles,Arbre des batailles
L'arte de la medicina de le bestie,,Mulomedicina,,Mulomedicina,Mulomedicina
L'arte del navegare,,,,L'arte del navegare,L'arte del navegare
L'evangile de l'enfance ...etc,,,,,
L'image del monde ... etc,,Image du monde.,,Image du monde,Image du monde
L'introduttione di Pietro Magno nell' antica republica Romana,,,,,
"La chimie, couleurs, parfumerie",,,,,
La declaracion de tous les haulx fais et glorieuses aventures du duc Phelippe du Bourgoingne,,,,,
La destruction de Troye ... etc,,Istoire de la destruction de Troye la grant,,Historia destructionis Troiae,Historia destructionis Troiae
La fontaine de toute science,,Livre de Sydrac,,Book of Sydrac,Book of Sydrac
La legenda di sanctissimi Thebey soto Dioclitiano & Maximiano imperatori,,,,Legend of the Theban legion,Legend of the Theban legion
La regla y constituciones de la cofradia y congregacion y cofrades del glorioso y bienaventurado señor sant Pedro martyr,,,,,
La vita de Sancto Orso,,,,,
La vita e ... la conversione del nostro segniore jhesu christo,,,,,
"La vray-disant, advocate des dames",,,,,
Ladino manuscript,,,,,
Land sale contract,,,,,
Lanndtafel dess Fürstenthümbs Obern und Nidern Bairn,,,,,
"Lantrecht van Zallant, van Twenthe, van Vullenhoe, van Drenthe, mit anderen priviligien des landes van Overijssel",,,,,
Lapa Torti power of attorney,,,,Power of attorney,Power of attorney
Lapo di Michele and Bartolomeo Fiori power of attorney,,,,Power of attorney,Power of attorney
Lapo di Niccolò power of attorney,,,,Power of attorney,Power of attorney
Latin miscellany,,,,Miscellany,Miscellany
Laṭāʼif al-kalām fī aḥkām al-aʻwām,لطائف الكلام في احكام الاعوام.,,,,
Le Château périlleux,,,,,
Le constitutione delle Suore della penitentia de Santo Domenico del Terzo Ordine del Monasterio di Santo Vincentio di Firenze vocato Annalena,,,,,
Le epistole,,Epistolae.,,Epistolae,Epistolae
Le livre des Eneydes,,Aeneis.,,Aeneid,Aeneid
Leaf of De fide Sanctae Trinitatis shaped into envelope,,,,De fide Sanctae Trinitatis,De fide Sanctae Trinitatis
Lease of San Miniato land,,,,,
Leaves from a manuscript compilation of works of Thomas More,,,,,
Lectiones eximi philosophi Marciantonii Genuae super libros physicorum Aristotelis,,,,,
Lectura super capitali Firmiter credimus,,,,,
Ledger fragment,,,,,
Ledger of Amadori accounts,,,,,
Ledger of Amadori accounts and memoranda,,,,,
Ledger of Amadori debtors and creditors,,,,,
Ledger of Amadori memoranda,,,,,
Ledger of Arrigucci debtors and creditors and memoranda,,,,,
Ledger of Concini debtors and creditors,,,,,
Ledger of Concini debtors and creditors and miscellaneous accounts,,,,,
Ledger of Concini receipts,,,,,
Ledger of Davanzati (?) accounts,,,,,
Ledger of Davanzati accounts,,,,,
Ledger of Detti accounts,,,,,
Ledger of Detti accounts and memoranda,,,,,
Ledger of Detti debtors and creditors,,,,,
Ledger of Gerardi accounts,,,,,
Ledger of Gondi accounts,,,,,
Ledger of Gondi accounts and debtors and creditors,,,,,
Ledger of Gondi accounts and memoranda,,,,,
Ledger of Gondi household expenses,,,,,
Ledger of Guasconi debtors and creditors and memoranda,,,,,
Ledger of Medici accounts,,,,,
Ledger of Medici accounts and debtors and creditors,,,,,
Ledger of Medici accounts and memoranda,,,,,
Ledger of Medici debtors and creditors,,,,,
Ledger of Medici debtors and creditors and accounts,,,,,
Ledger of Medici debtors and creditors and memoranda,,,,,
"Ledger of Medici debtors and creditors, accounts and memoranda",,,,,
"Ledger of Medici debtors and creditors, memoranda and other records",,,,,
Ledger of Medici receipts,,,,,
Ledger of Pesciori debtors and creditors,,,,,
Ledger of Risaliti accounts,,,,,
Ledger of Risaliti debtors and creditors,,,,,
Ledger of Risaliti debtors and creditors and accounts,,,,,
Ledger of accounts,,,,,
Ledger of debtors and creditors,,,,,
Ledger of debtors and creditors and memoranda,,,,,
Ledger of the hospital of San Bartolomeo accounts,,,,,
Legal decision,,,,Legal documents,Legal documents
Legal document,,,,Legal documents,Legal documents
Legal documents,,,,Legal documents,Legal documents
Legal proceedings,,,,Legal documents,Legal documents
Legal records,,,,Legal documents,Legal documents
Legenda aurea,,,,Legenda Aurea,Legenda Aurea
Leggendario delle Sante Virgini,,,,,
Lena Risaliti power of attorney,,,,Power of attorney,Power of attorney
Leticha /,,,,Nicomachean Ethics,Nicomachean Ethics
Letra missa per Dominicum Caberico? per quendam nuncium ...,,,,,
Letter from Hippocrates to Caesar,,,,,
Letter of appeal,,,,,
Letter to Don Juan Ponce de Leon,,,,,
"Letter to Francesco Maria Sforza, Duke of Milan",,,,,
Letter to Rodolfo Pio da Carpi,,,,,
Letter to the Duke of Arcos,,,,,
Letter to the count of Palamos,,,,,
Lettere amorose e capitoli,,,,,
Lettere di diversi principi et huomini illustri in varii negotii spettanti al secolo 1500,,,,,
Lettere e scritture passate nel concilio di Trento,,,,,
Lettere havute da Monsignor Zuccati,,,,,
Lettere scritte a Pier Francesco Portinari della republica fiorentina quando era suo ambasciatore a Siena l'anno 1529,,,,,
Letters addressed to Pietro Vettori,,,,,
Libellus de speculativa mistice theologie /,,,,De mystica theologia,De mystica theologia
Libellus super electionibus faciendis et earum ordinandis,,,,Libellus super electionibus faciendis et earum ordinandis,Libellus super electionibus faciendis et earum ordinandis
Libellus super electionibus faciendis et earum processibus ordinandis,,,,Libellus super electionibus faciendis et earum ordinandis,Libellus super electionibus faciendis et earum ordinandis
Liber Rabani Anglici Horroscopo intitulatus translatus de Hebraico in Latinum a Dandalo Ylardensi ad instantiam abbatis P. de Visula ... etc,,,,,
Liber canonis,,Qānūn fī al-ṭibb.,,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
Liber de amore et dilectione dei ... etc,,,,De amore et dilectione dei,De amore et dilectione dei
Liber de astronomia,,,,De astronomia,De astronomia
Liber de homine,,,,,
Liber epistularum Senecae ad Lucillium,,,,Epistulae ad Lucilium,Epistulae ad Lucilium
Liber ethicorum Aristotelis,,,,Nicomachean Ethics,Nicomachean Ethics
Liber ettichorum Aristottelis in vulgari,,,,Nicomachean Ethics,Nicomachean Ethics
Liber mayor Prisciani de ordinatione partium orationis,,Institutio de arte grammaticae,,Institutio de arte grammaticae,Institutio de arte grammaticae
Liber mirabilium,,,,,
Liber privilegiorum septem comunium montanearum Agri Vicentini,,,,,
Liber rethoricorum /,,Rhetorica ad Herennium.,,Rhetorica ad Herennium,Rhetorica ad Herennium
Liber sive quaternus reformationum communitatis et hominum terrae Montis Rubiani,,,,,
Liber tastharium domini Batide Rolandi et Polafoli,,,,,
Libri animalium notata supra librum animalium Aristotelis,,,,De animalibus,De animalibus
"Libro del signor capitano di Fivizzano nel quale sono registrate ricevute, suppliche e lettere di diversi anni",,,,,
Libro della divina potentia,,,,,
Libro di Santo Justo Paladino,,,,Cantare di Giusto Paladino,Cantare di Giusto Paladino
Libro di crediti,,,,,
Libro di ricordanze,,,,,
Libro fortune,,Liber fortunae.,,Liber fortunae,Liber fortunae
"Life of the Virgin Mary, together with two poems on the Passion and Resurrection of Christ",,,,Life of the Virgin Mary,Life of the Virgin Mary
Linea de los Reyes de Aragon /,,,,,
List of Sienese government officials,,,,,
List of prisoners in battle and notes,,,,,
Lists of names,,,,,
Literary miscellany,,,,Literary miscellany,Literary miscellany
Liturgical miscellany,,,,Liturgical miscellany,Liturgical miscellany
Livre des cens et rentes,,,,,
Loan payment receipt,,,,,
Lodovico Bandinelli dowry receipt,,,,,
Logica parva,,,,Logica parva,Logica parva
Lorenzo di Antonio power of attorney,,,,Power of attorney,Power of attorney
Lorenzo di Pierfrancesco de' Medici power of attorney,,,,Power of attorney,Power of attorney
Los Benavides,,,,Los Benavides,Los Benavides
"Los dos tratados del Papa, i de la Misa",,,,,
Louis XII debt commitment letter,,,,,
Loyca parva ... etc,,Logica parva,,Logica parva,Logica parva
Ludovici Heliani Vercellensis Christianissimi Francorum regis senatoris ac oratioris de bello suscipiendo adversus Venetianos et Turcas gratio Maximiliano Augusto in conventu presulum electorum et civitatum Romani Imperii dicta in Augusta Vindelica quarta Idus Aprilis anno a partu virginis millesimoquingentesimodecimo,,,,,
Luigi Gaddi power of attorney,,,,Power of attorney,Power of attorney
Luigi de Covoni power of attorney,,,,Power of attorney,Power of attorney
Luigi di Giovanni power of attorney,,,,Power of attorney,Power of attorney
Lumen confessorum,,,,,
Maḥazor minhag Ashkenaz le-Yamim ha-noraʼim ule-Sukot,מחזור מנהג אשכנז לימים הנוראים ולסוכות.,Maḥzor.,מחזור.,Maḥzor,Maḥzor
Malavolti family records of guardianship,,,,Family documents,Family documents
Malefitzsachen veindlicher Bekhanntnusser ingefangen den 30 Maii anno 1572 ... etc,,,,,
Manresa legal documents,,,,Legal documents,Legal documents
"Manual of a Venetian consigliere, written for Giovanni Francesco Basadonna",,,,,
Manuale Bernardi Canal notarii de Rippis,,,,,
Manuscript bifolia from Liber aggregatus in medicinis simplicibus,,,,,
Manuscript fragment of the Seven Sleepers of Ephesus,,Seven sleepers of Ephesus.,,Seven sleepers of Ephesus,Seven sleepers of Ephesus
Manuscript leaf,,,,,
Manuscript leaf from Aurora,,,,Aurora,Aurora
Manuscript leaf from Diaeta salutis,,Diaeta salutis,,Diaeta salutis,Diaeta salutis
Manuscript leaf from In libros De caelo et mundo Aristotelis,,In libros De caelo et mundo Aristotelis,,In libros De caelo et mundo Aristotelis,In libros De caelo et mundo Aristotelis
Manuscript leaf from Physics,,Physics.,,Physics,Physics
Manuscript leaf from Régime du corps,,Régime du corps,,Régime du corps,Régime du corps
Manuscript leaf from Vulgate Deuteronomy,,Bible.,,Bible,Bible
Manuscript leaf from a book of hours,,Book of hours.,,Book of hours,Book of hours
Manuscript leaf from a prose version of the Tristan legend,,,,,
Manuscript leaf from an Ashkenazic maḥzor for Pesaḥ,,,,Maḥzor,Maḥzor
Manuscript leaf from an account of the Jewish Wars,,,,,
Manuscript leaf from the Book of Numbers,,Bible.,,Bible,Bible
Manuscript leaf of glossed Gospel of John,,Bible.,,Bible,Bible
"Manuscript leaf of most of Deuteronomy XV, 6-XVI, 10, with Masorah",קטע דברים.,Bible.,,Bible,Bible
Manuscript leaves from Defecerunt scrutantes scrutinio,,Defecerunt scrutantes scrutinio.,,Defecerunt scrutantes scrutinio,Defecerunt scrutantes scrutinio
Manuscript leaves from a breviary,,Breviary.,,Breviary,Breviary
Manuscript leaves from a canon law text,,Decretales Gregorii IX.,,Decretales Gregorii IX,Decretales Gregorii IX
Manuscript leaves from an Ashkenazic Maḥzor for the High Holidays,,Maḥzor.,מחזור.,Maḥzor,Maḥzor
Manuscript leaves from legal text,,,,,
Manuscript list of manuscript and printed books,,,,,
Manuscript pastedowns from De proprietatibus rerum,,De proprietatibus rerum.,,De proprietatibus rerum,De proprietatibus rerum
Map of district in Tarn-et-Garonne,,,,,
Maqālah fī al-ʻamal bi-al-yad,مقالة في العمل باليد.,,,,
Maqālah fī khalq al-insān,مقالة في خلق الانسان.,,,,
Maria Riccomanni copies of legal proceedings,,,,Legal documents,Legal documents
Maria de Bonzi record of house sale,,,,,
Mariotto Cresci power of attorney,,,,Power of attorney,Power of attorney
Marriage document,,,,,
Martini family deed of gift and power of attorney,,,,Power of attorney; Deed,Power of attorney; Deed
Martini family power of attorney,,,,Power of attorney,Power of attorney
Marʼeh ha-ofanim ... etc,,Sphaera mundi.,,Sphaera mundi,Sphaera mundi
Masālik al-abṣār fī mamālik al-amṣār,مسالك الابصار في ممالك الامصار.,Masālik al-abṣār fī mamālik al-amṣār.,مسالك الابصار في ممالك الامصار.,Masālik al-abṣār fī mamālik al-amṣār,Masālik al-abṣār fī mamālik al-amṣār
Mattea Petrini power of attorney,,,,Power of attorney,Power of attorney
Matteo Piccolomini land contract,,,,,
Matteo d'Alessandro d'Andrea Todeschini Piccolomini legal brief,,,,Legal documents,Legal documents
Matteo di Santi record of house sale,,,,,
Mea Lupi power of attorney,,,,Power of attorney,Power of attorney
Medical and astrological miscellany,,,,Medical miscellany; Astrological miscellany,Medical miscellany; Astrological miscellany
Medical and astronomical miscellany,,,,Medical miscellany; Astronomical miscellany,Medical miscellany; Astronomical miscellany
Medical and magical compendium,,,,Medical miscellany; magical miscellany,Medical miscellany; magical miscellany
Medical manual and prescriptions ... etc,,,,Medical miscellany,Medical miscellany
Medical miscellany,,,,Medical miscellany,Medical miscellany
Medici contracts,,,,,
Medici inventories for the L'Agliata estate,,,,,
Medicina cordis,,,,Medicina cordis,Medicina cordis
Meditationes /,,,,,
Meditationes in duodecim primos psalmos Davidis prophetae in honorem 12 apostolorum,,,,,
Megilat Ester ... etc,,Bible.,,Bible,Bible
Meḳitse nirdamim,,,,,
Memoranda and account book,,,,Account book,Account book
Memoriale ad passagium mortis tute faciendum /,,,,,
Memorie manuscritte relative alla famiglia de Medici et all'istoria fiorentina,,,,,
Mercantia notarial document,,,,Notarial documents,Notarial documents
Metaphysics,,Metaphysics.,,Metaphysics,Metaphysics
Mémoires d'estat,,,,,
Michele Chiari power of attorney,,,,Power of attorney,Power of attorney
Michele di Fidanza power of attorney,,,,Power of attorney,Power of attorney
Michele di Niccolò deed,,,,Deed,Deed
Miniato di Cimatore and Antonio dei Biffoli power of attorney,,,,Power of attorney,Power of attorney
Miracoli e leggende,,,,Religious miscellany,Religious miscellany
Miscellanea storica di Guastalla,,,,Historical miscellany,Historical miscellany
Miscellaneous manuscripts,,,,Miscellany,Miscellany
Miscellaneous manuscripts (Large),,,,Miscellany,Miscellany
Miscellaneous manuscripts (Large),,Bible.,,Bible,Bible
Miscellaneous manuscripts (Large),,Missal.,,Missal,Missal
Miscellaneous manuscripts (Large),,In Evangelium Iohannis tractatus.,,In Evangelium Iohannis tractatus,In Evangelium Iohannis tractatus
"Miscellaneous manuscripts, (Large)",,,,Miscellany,Miscellany
Miscellany,,,,Miscellany,Miscellany
Miscellany of religious verse and prose,,,,Religious miscellany,Religious miscellany
Miscellany of religious works,,,,Religious miscellany,Religious miscellany
Miscellany of scientific treatises,,,,Scientific miscellany,Scientific miscellany
Miscellany of theological and devotional works,,,,Religious miscellany,Religious miscellany
"Miscellany of theological, devotional and liturgical works",,,,Religious miscellany,Religious miscellany
"Miscellany of works on Catholic doctrine, canon law and religious life",,,,Religious miscellany,Religious miscellany
Missal leaf,,,,Missal,Missal
Monastic ritual and Passion sequence,,,,,
Monocordium,,,,,
Monticchiello notarial document,,,,Notarial documents,Notarial documents
Moralia sunt figuris utriusque testamenti ... etc,,,,,
Morte dell'illustrissimo sig. Troilo Savello decapitato in Roma nel Castello Sant' Angelo alli 18 d'aprile 1592 /,,,,,
Mughnī al-labīb,مغني اللبيب.,Mughnī al-labīb ʻan kutub al-aʻārīb,مغني اللبيب عن كتب الاعاريب,Mughnī al-labīb ʻan kutub al-aʻārīb,Mughnī al-labīb ʻan kutub al-aʻārīb
Mulakhkhaṣ fī al-hayʼah,ملخص في الهيئه.,,,,
Muntahá al-irādāt fī jamʻ al-Muqniʻ maʻa al-Tanqīḥ wa-ziyādāt,منتهى الارادات في جمع المقنع مع التنقيح وزيادات.,,,,
Mystical miscellany,,,,Religious miscellany,Religious miscellany
Nado de Tolomeo assumption of guardianship,,,,,
Naples legal document,,,,Legal documents,Legal documents
Nastasia Falcucci power of attorney,,,,Power of attorney,Power of attorney
Neoplatonic and neopythagorean translations,,,,,
Nepo Brunelleschi power of attorney,,,,Power of attorney,Power of attorney
New Testament in the translation of John Wycliffe,,Bible.,,Bible,Bible
Niccolò de Marignis power of attorney,,,,Power of attorney,Power of attorney
Nicola Antonio Marini deed,,,,Deed,Deed
Nicola di Primo deed,,,,Deed,Deed
Nicolaccio de' Mignanellis deed,,,,Deed,Deed
Nonnina Balducci power of attorney,,,,Power of attorney,Power of attorney
Nonus Almansoris cum annotationibus Doctoris S?,,,,,
Notarial document,,,,Notarial documents,Notarial documents
Notarial document concerning sale of horses,,,,Notarial documents,Notarial documents
Notarial document excerpt,,,,Notarial documents,Notarial documents
Notarial documents,,,,Notarial documents,Notarial documents
Notarized account of Jacopo de Piccolomini agreement,,,,,
Notated breviary,,,,Breviary,Breviary
Notated office book,,,,,
Note on land transaction,,,,,
Notebook of Amadori memoranda,,,,,
Notebook of Giomi debtors and creditors,,,,,
Notebook of Medici (?) accounts,,,,,
Notebook of Medici accounts,,,,,
Notebook of Medici(?) accounts and memoranda,,,,,
Notebook of Ridolfi accounts,,,,,
Notebook of Seccrani debtors and creditors,,,,,
Notebook of memoranda,,,,,
Notes on Aristotle's Ethics and Metaphysics,,,,,
Novum testamentum domini nostri Jesu Christi,,Bible.,,Bible,Bible
Oculus sacerdotis,,,,Oculus sacerdotis,Oculus sacerdotis
Officii et magistrati,,,,,
Omnes ad praeda venient,,,,Omnes ad praeda venient,Omnes ad praeda venient
Opuscula,,,,,
Opuscula varia,,,,,
Oraisons et confessions extraicts de plusieurs livres bien devotes,,,,,
"Orationes legatorum Caroli VIII, regis Francorum ... etc",,,,,
Orationi...sopra le discordie civile di Siena /,,,,,
Ordo judicarius,,,,,
Organon,,,,,
Orthodox liturgical roll fragments,,Liturgy of St. Basil.,,Liturgy of St. Basil,Liturgy of St. Basil
Orvieto border arbitration,,,,,
Ox payment decision,,,,,
Panormia,,,,Panormia,Panormia
Paolo Bertini power of attorney,,,,Power of attorney,Power of attorney
Paolo del Calandra deed of gift,,,,Deed,Deed
Partnership agreement,,,,,
Pasquillus in aulicos,,,,Pasquillus in aulicos,Pasquillus in aulicos
Passio sancti Blasii ... etc,,,,Passio sancti Blasii,Passio sancti Blasii
"Passion of Christ and apocryphal stories, including translations from the Nicodemus Gospel",,,,Gospel of Nicodemus,Gospel of Nicodemus
Passione del nostro signore cio e del venerdi sancto,,,,,
