row_index,workflow_history,place_as_recorded,authorized_label,structured_value
35,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z",Belgium / Flanders,Belgium|Flanders,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7024097
36,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z",Belgium or Germany,Belgium|Germany,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7000084
37,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Antwerp",Belgium|Antwerp,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7007856
38,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Belgium",Belgium,http://vocab.getty.edu/tgn/1000063
39,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Belgium (?)",Belgium,http://vocab.getty.edu/tgn/1000063
40,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Belgium (Liege?)",Belgium|Liège,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7007945
41,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Brabant",Belgium|Brabant,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7003463
42,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Bruges",Belgium|Bruges,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7007867
43,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, East Flanders",Belgium|East Flanders,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7003457
44,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.831970400Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Flanders",Belgium|Flanders,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7024097
