row_index,workflow_history,place_as_recorded,authorized_label,structured_value
38,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Worcestershire",England|Worcestershire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/5000227
39,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",England?,England,http://vocab.getty.edu/tgn/7002445
40,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",England? France?,England|France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070
41,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",England? Wales?,England|Wales,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443
42,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Europe (but not England),Europe,http://vocab.getty.edu/tgn/1000003
43,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Flanders,Flanders,http://vocab.getty.edu/tgn/7024097
44,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Flanders?,Flanders,http://vocab.getty.edu/tgn/7024097
45,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","Florence, Italy",Florence|Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
46,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","Florence?, Italy",Florence|Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
47,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",France,France,http://vocab.getty.edu/tgn/1000070
48,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",France (?),France,http://vocab.getty.edu/tgn/1000070
49,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",France or Flanders,France|Flanders,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097
