title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Jāmiʻ al-favāyid ... [etc.,جامع الفواىد,,,,,Jāmiʻ al-favāyid,
Kitāb-i Bahār-i dānish,کتاب بهار دانش,Bahār-i dānish,بهار دانش,,,Bahār-i dānish,Q27519
Kullīyāt-i Ḥakīm Anvarī,کليات حکىم انورى,Poems,,,,Poems,Q1455
Kitāb-i Ḥadīqah-i Ḥakīm,کتاب حدىقه حکىم,Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,حديقة الحقيقة وشريعة الطريقة,,,Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,
Jild-i duvīm-i Abvāb al-jinān /,جلد دوىم ابواب الجنان /,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,
Jild-i panjum az tārīkh-i Muḥammad ibn Khāvandshāh kih shahīr bi-Tārīkh-i Rawz̤at al-ṣafāst,جلد پنجم از تارىخ محمد بن خاوندشاه که شهىر بتارىخ روضة الصفاست,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Tanbīhāt al-munajjimīn] ... [etc.,تنبيهات المنجمين ... الخ,,,,,Tanbīhāt al-munajjimīn,
Tārīkh-i Ṣafavīyah,تارىخ صفوية,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,
Ṣaḥīfah-i duvvum az ʻĀlamʹārā-yi ʻAbbāsī,صحىفه دوم از عالم‌آراى عباسى,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,
Ikhtiyārāt-i Badīʻī,اختىارات بدىعى,,,,,Ikhtiyārāt-i Badīʻī,
Jalāʼ al-ʻuyūn,جلاء العيون,,,,,Jalāʼ al-ʻuyūn,
Zād al-musāfirīn ... [etc.,زاد المسافرين,,,,,Zād al-musāfirīn,
Third volume of the Mas̲navī,,Mas̲navī,مثنوى,,,Mas̲navī,Q27606
Selections from the Haft awrang] ...[etc.,,Haft awrang,هفت اورنگ,,,Haft awrang,Q27579
Silsilat al-z̲ahab] ... [etc.,سلسلة الذهب,Haft awrang,هفت اورنگ,,,Haft awrang,Q27579
Ṭibb-i qarābādīn-i chāpī,طب قرابادىن چاپى,,,,,Ṭibb-i qarābādīn-i chāpī,
Risālah dar hayʾat,رساله در هيئت,,,,,Risālah dar hayʾat,
Collection of stories and poems in Persian,,,,,,Stories and poems,
Persian treatise on ethics,,,,,,Ethical treatise,Q12100
Kitāb-i Gulistān,کتاب گلستان,Gulistān,گلستان,Gulistān,Q3702,,
Sharḥ-i Mullā ʻAbd al-ʻAlī Birjandī bar Bīst bāb-i asṭurlāb-i Khvājah Naṣīr Ṭūsī,شرح ملا عبد العلى برجندى بر بىست باب اسطرلاب خواجه نصىر طوسى,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,شرح بىست باب در معرفت اسطرلاب,,,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,
Hāz̲ā Sharḥ-i Sī faṣl ... [etc.,هذا شرح سى فصل,Sharḥ-i Sī faṣl,شرح سى فصل,,,Sharḥ-i Sī faṣl,
Zīj-i Muḥammad Shāhī,زىج محمد شاهى,,,,,Zīj-i Muḥammad Shāhī,
Manāsik-i ḥajj] ... [etc,مناسک حج ... الخ,,,,,Manāsik-i ḥajj,
Bāznāmah-i Nāṣirī ... [etc.,بازنامه ناصرى,,,,,Bāznāmah-i Nāṣirī,
Maṭlaʻ al-anvār /,مطلع الانوار /,,,,,Maṭlaʻ al-anvār,
Āyīnah-ʼi ʻAbbāsī dar namāyish-i ḥaqq shināsī /,آىىنۀ عباسى در نماىش حق شناسى /,,,,,Āyīnah-ʼi ʻAbbāsī dar namāyish-i ḥaqq shināsī,
Asrār al-ghuyūb,اسرار الغيوب,,,,,Asrār al-ghuyūb,
Tafsīr-i Manhaj al-ṣādiqīn,تفسىر منهج الصادقىن,Manhaj al-ṣādiqīn fī ilzām al-mukhālifīn,منهج الصادقين في الزام المخالين,,,Manhaj al-ṣādiqīn fī ilzām al-mukhālifīn,
7 risālah /,7 رساله /,Selections,,,,Selections,Q12769
Kitāb-i Kullīyāt /,کتاب کليات /,Poems,,,,Poems,Q1455
Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah al-aṭhār,تحفة الابرار الملتقط من آثار الائمة الاطهار,,,,,Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah,
Kitāb-i Tārīkh-i Rawz̤at al-ṣafā,کتاب تارىخ روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Jild-i s̲ānī-i Abvāb al-jinān,جلد ثانى ابواب الجنان,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,
Hāz̲ā Kitāb-i Minhāj al-ṣināʻah,هذا کتاب منهاج الصناعة,Minhāj al-ṣināʻah,منهاج الصناعة,,,Minhāj al-ṣināʻah,
Kifāyah-i Mujāhidīyah,كفايه مجاهديه,,,,,Kifāyah-i Mujāhidīyah,
Tarjamat al-Ḥusnīyah,ترجمة الحسنية,Ḥusnīyah,حسنية,,,Ḥusnīyah,
Dar sitāyash-i Tilimāk,در ستاىش تلماک,Aventures de Télémaque,,,,Aventures de Télémaque,
Ḥusnīyah-i khaṭṭī,حسنية خطى,Ḥasanīyah,حسنية,,,Ḥasanīyah,
Ḥadīqat al-muttaqīn fī maʻrifat aḥkām al-dīn li-irtiqāʾ maʻārij al-yaqīn,حديقة المتقين في معرفة احكام الدين لارتقاء معارج اليقين,Ḥadīqat al-muttaqīn,حدىقة المتقىن,,,Ḥadīqat al-muttaqīn,
Durj-i durar va ganj-i guhar; tārīkh-i ḥabīb al-siyar,درج درر و گنج گهر,Habīb al-siyar,حبىب السىر,,,Habīb al-siyar,
Chemistry notebook,,,,,,Chemistry notebook,
Ḥujjat al-Islām; wa-al-mulaqqab bi-Burhān al-millah /,حجة الاسلام,,,,,Ḥujjat al-Islām,
Intikhāb-i Kitāb-i Burhān al-kifāyah,انتخاب کتاب برهان الکفاىه,,,,,Intikhāb-i Kitāb-i Burhān al-kifāyah,
Sharḥ-i Bīst bāb,شرح بىست باب,Sharḥ-i Bīst bāb,شرح بىست باب,Sharḥ-i bīst bāb,Q27522,,
Sharḥ-i Bīst bāb,شرح بىست باب,,,Sharḥ-i bīst bāb,Q27522,,
Selections of poetry,,Poems,,,,Poems,Q1455
al-Risālah Sipah Sālār,الرسالة سپه سالار,Risālah-ʾi Sipahsālār,رساله سپهسالار,,,Risālah-ʾi Sipahsālār,
Tafsīr lil-Fātiḥah wa-li-Sūrat al-Mulk ilá ākhir al-Kitāb ... [etc.,تفسير للفاتحة ولسورة الملك الى آخر الكتاب,,,,,Tafsīr lil-Fātiḥah wa-li-Sūrat al-Mulk ilá ākhir al-Kitāb,
Yūsuf va Zulaykhā,,,,Yūsuf va Zulaykhā,Q3708,,
Bishārat-i s̲āqib,بشارت ثاقب,,,,,Bishārat-i s̲āqib,
Dīvān-i Imāmī Hiravī ... [etc.,دىوان امامى هروى,Poems,,,,Poems,Q1455
Qiblat al-āfāq /,قبلة الافاق /,,,,,Qiblat al-āfāq,
Ḥall al-masāʼil,حل المسائل,,,,,Ḥall al-masāʼil,
Risālah dar mabdaʼ va maʻād ... [etc.,,,,,,Risālah dar mabdaʼ va maʻād,
Anwār al-qulūb,انوار القلوب,Anwār al-qulūb,انوار القلوب,,,Anwār al-qulūb,
Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,تجزية الامصار وتزجية الاعصار,Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,تجزية الامصار وتزجية الاعصار,,,Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,
Jāmiʻ al-shatāt; mashhūr bi-Ajvibat al-masāʼil,جامع الشتات,,,,,Jāmiʻ al-shatāt,
Tarjamah-i Makārim al-akhlāq /,ترجمه مکارم الاخلاق /,Makārim al-akhlāq,مكارم الاخلاق,,,Makārim al-akhlāq,
Kitāb Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ /,كتاب بهجات الارواح وفرحات الاشباح /,Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ,بهجات الارواح وفرحات الاشباح,,,Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ,
Kitāb-i Baḥr al-maṣāʾib-i Gawharī /,کتاب بحر المصائب گوهرى /,Baḥr al-maṣāʾib,بحر المصائب,,,Baḥr al-maṣāʾib,
Jild-i avval-i Rawz̤at al-ṣafā,جلد اول روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Risālat Niṣāb al-ṣibyān ... [etc,رسالة نصاب الصبيان,Niṣāb al-ṣibyān,نصاب الصبىان,,,Niṣāb al-ṣibyān,Q48578
Sharḥ-i Bīst bāb /,شرح بىست باب /,,,,,Sharḥ-i bīst bāb,Q27522
Gawhar-i murād /,گوهر مراد /,,,,,Gawhar-i murād,
Kitāb al-Ḥudūd ... [etc.,كتاب الحدود,Ḥudūd,حدود,,,Ḥudūd,
Kitāb-i Sī faṣl ... [etc.,کتاب سى فصل,Sī faṣl,سى فصل,,,Sī faṣl,Q27750
Risālah-ʾi maʻādīyah,رسالۀ معاديه,,,,,Risālah-ʾi maʻādīyah,
Ḥāshiyah-i Mīrzā ʻAlī Riz̤ā,حاشىه مىرزا على رضا,,,,,Ḥāshiyah-i Mīrzā ʻAlī Riz̤ā,
Lavāyiḥ al-qamar /,لواىح القمر /,,,,,Lavāyiḥ,Q48521
Risālah-ʼi Ādāb al-mashq /,رسالۀ آداب المشق /,Ādāb al-mashq,آداب المشق,,,Ādāb al-mashq,
Ḥirz al-amān-i Kāshifī /,حرز الامان کاشفى /,Ḥirz al-amān min fitan al-zamān,حرز الامان من فتن الزمان,,,Ḥirz al-amān min fitan al-zamān,
Dīvān-i Ḥājj Mullā Hādī Sabzavārī; mutakhalliṣ bih Asrār,دىوان حاج ملا هادى سبزوارى,Poems,,,,Poems,Q1455
al-Wajīzah /,الوجيزة /,,,,,al-Wajīzah,
Dīvān-i qaṣāyid-i Mawlānā Arjāsb Umīdī Ṭihrānī,دىوان قصاىد مولانا ارجاسب امىدى طهرانى,,,,,Dīwān,Q11912
Dīvān-i Bābā Faghānī Shīrāzī,دىوان بابا فغانى شىرازى,Poems,,,,Poems,Q1455
al-Mazāhir,المزاهر,,,,,al-Mazāhir,
Dīvān-i Riz̤vān,دىوان رضوان,Poems,,,,Poems,Q1455
Ikhtiyārāt al-ayyām] ... [etc.,اختيارات الايام,,,,,Ikhtiyārāt al-ayyām,
Qiyāmatʹnāmah,قىامت‌نامه,,,,,Qiyāmatʹnāmah,
Sharḥ-i Bīst bāb-i Muẓaffar,شرح بىست باب مظفر,,,,,Sharḥ-i bīst bāb,Q27522
Sharḥ al-Ṣaḥīfah,شرح الصحيفة,,,,,Sharḥ al-Ṣaḥīfah,
Dar tawḥīd va ṣifāt-i thubūtīyah va salbīyah,در توحىد و صفات ثبوتيه و سلبيه,,,,,Dar tawḥīd va ṣifāt-i thubūtīyah va salbīyah,
Tarjamah-ʾi Muhaj al-daʻawāt /,ترجمۀ مهج الدعوات /,Muhaj al-daʻawāt wa-manhaj al-ʻibādāt,مهج الدعوات ومنهج العبادات,,,Muhaj al-daʻawāt wa-manhaj al-ʻibādāt,
Qarābādīn-i Shifāyī ... [etc.,قرابادىن شفاىى,Qarābādīn-i Shifāʾī,قرابادىن شفائي,,,Qarābādīn-i Shifāʾī,
Tārīkh,تارىخ,,,,,Tārīkh,
Risālah-i mawsūm bih Nūr al-anvār,رساله موسوم به نور الانوار,Nūr al-anvār,نور الانوار,,,Nūr al-anvār,
Kanz al-kaḥḥālīn va Rūshanʹnāmah,کنز الکحالىن و روشن‌نامه,,,,,Kanz al-kaḥḥālīn va Rūshanʹnāmah,
Bāb-i siyum az Kitāb-i Anīs al-qabr,باب سىم از کتاب انىس القبر,Anīs al-qabr,انىس القبر,,,Anīs al-qabr,
Saḥīfah-ʼi z̲awqīyah va maqālah-ʼi shawqīyah ... [etc.,سحىفۀ ذوقية و مقالۀ شوقية,,,,,Saḥīfah-ʼi z̲awqīyah va maqālah-ʼi shawqīyah,
Hāz̲ā Kitāb-i Riyāz̤ al-zāhidīn dar adʻiyah va az̲kār va aʻmāl-i sāl va khavāṣ bārah-i aʻmāl va ashyāʼī,هذا کتاب رىاض الزاهدىن در ادعىه و اذکار و اعمال سال و خواص باره اعمال و اشىائي,Riyāz̤ al-zāhidīn,رىاض الزاهدىن,,,Riyāz̤ al-zāhidīn,
Khamsah] ... [etc.,خمسه,,,,,Khamsah,Q18558
Hādhihi al-kitāb Ḥadīqat al-Shīʻah,هذه الكتاب حديقة الشيعة,Ḥadīqat al-Shīʻah,حديقة الشيعة,,,Ḥadīqat al-Shīʻah,
Jild-i duvvum-i Rawz̤at al-ṣafāʾ,جلد دوم روضة الصفاء,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Sharḥ-i Kitāb Man lā yaḥḍuruhu al-faqīh; al-musammá bi-Lavāmiʻ-i Ṣāḥibʹqirānī /,شرح کتاب من لا ىحضره الفقىه,Lavāmiʻ-i Ṣāḥibʹqirānī,لوامع صاحب‌قرانى,,,Lavāmiʻ-i Ṣāḥibʹqirānī,
al-Muntakhab /,المنتخب /,,,,,al-Muntakhab,
Sharḥ-i Uṣūl-i Kāfī /,شرح اصول کافى /,Ṣāfī fī sharḥ al-Kāfī. Kitāb al-ḥujjah,صافي في شرح الكافي,,,Ṣāfī fī sharḥ al-Kāfī,
al-Mujalladah al-thāniyah min al-mujalladatayn min tafsīr Manhaj al-ṣādiqīn fī ilzām al-mukhālifīn,المجلدة الثانية من المجلدتين من تفسير منهج الصادقين في الزام المخالين,Khulāṣat al-Manhaj,خلاصة المنهج,,,Khulāṣat al-Manhaj,
Risālah fī al-shakk wa-al-sahw,رسالة في الشك والسهو,,,,,Risālah fī al-shakk wa-al-sahw,
Kanz al-lughāt,كنز اللغات,,,,,Kanz al-lughāt,
Kitāb Ḥadāʼiq al-muqarrabīn /,کتاب حدائق المقربىن /,Ḥadāʼiq al-muqarrabīn,حدائق المقربين,,,Ḥadāʼiq al-muqarrabīn,
Hādhā Kitāb al-Mathnawī al-maʻnawī,هذا كتاب المثنوي المعنوي,Mas̲navī,مثنوى,,,Mas̲navī,Q27606
Mirʼāt al-hadāt fī kashf asrār al-ṣalāh,مرآت الهدات فى کشف اسرار الصلوة,,,,,Mirʼāt al-hadāt fī kashf asrār al-ṣalāh,
Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,تجزية الامصار وتزجية الاعصار,,,,,Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,
Zubdat al-ḥikmah ... [etc.,زبدة الحکمة,,,,,Zubdat al-ḥikmah,
Kunūz al-ʻārifīn fī irshād al-sālikīn ... [etc.,كنوز العارفين في ارشاد السالين,,,,,Kunūz al-ʻārifīn fī irshād al-sālikīn,
Vājibāt-i ḥasanīyah ... [etc.,واجبات حسنية,,,,,Vājibāt-i ḥasanīyah,
Hāz̲ā Kitāb-i Sī faṣl ... [etc.,هذا کتاب سى فصل ... الخ,,,,,Hāz̲ā Kitāb-i Sī faṣl,
History of Muḥammad and the Imāms,,,,,,Persian historical texts,
Kitāb Ḥadīqat al-Shīʻah /,کتاب حدىقة الشىعة /,Ḥadīqat al-Shīʻah,حديقة الشيعة,,,Ḥadīqat al-Shīʻah,
Laṭāyif al-kalām fī aḥkām al-[a]ʻvām,لطاىف الکلام فى احکام الاعوام,,,,,Laṭāʼif al-kalām fī aḥkām al-aʻwām,Q3706
Khazān va bahār dar akhlāq,خزان و بهار در اخلاق,Khazān va bahār,خزان و بهار,,,Khazān va bahār,
Muṣṭalaḥāt-i Vārastah,مصطلحات وارسته,Farhang-i muṣṭalaḥāt al-shuʻarāʼ,فرهنگ مصطلحات الشعراء,,,Farhang-i muṣṭalaḥāt al-shuʻarāʼ,
Commonplace book on the Prophet Muḥammad and the Imāms,,,,,,Commonplace book on the Prophet Muḥammad and the Imāms,
Tawḥīd-i Zunūzī va Ḥisāb-i Fārsī,توحىد زنوزى و حساب فارسى,,,,,Tawḥīd-i Zunūzī va Ḥisāb-i Fārsī,
Risālah dar bayān-i maʻrifat-i Allāh ... [etc,رساله در بىان معرفت الله,,,,,Risālah dar bayān-i maʻrifat-i Allāh,
Risālah dar asrār-i ṭarīqat bi-zabān-i Fārsī,رساله در اسرار طرىقت بزبان فارسى,,,,,Treatise on Farsi,
Dīwān Bāqī Afandī wa-baʻḍ ghazalīyāt wa-qaṣāyid,ديوان باقي افندي وبعض غزليات وقصايد,,,,,Dīwān,Q11912
Risālah] bar qānūn-i niẓām,رساله بر قانون نظام,,,,,Risālah bar qānūn-i niẓām,
Hāz̲ā Kitāb-i Khuff-i ʻAlāʼī,هذا كتاب خف علائي,Khuffī-i ʻAlāʼī,خفى علائي,,,Khuffī-i ʻAlāʼī,
Hāz̲ā Kitāb-i Fārsī-i ḥisāb,هذا کتاب فارسى حساب,Fārsī-i ḥisāb,فارسى حساب,,,Fārsī-i ḥisāb,
Hāz̲ā Kitāb-i Khulāṣat al-az̲kār,هذا کتاب خلاصة الاذکار,Khulāṣat al-adhkār,خلاصة الاذكار,,,Khulāṣat al-adhkār,
Tarjumah-i Junnat al-vāqiyah,ترجمه جنة الواقىه,Junnah al-wāqiyah wa-al-jannah al-bāqiyah,جنة الواقية والجنة الباقية,,,Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,Q27802
Lawāmiʻ al-anwār fī maʻrifat [al]-aʼimmah al-aṭhār ... [etc.,لوامع الانوار في معرفة الائمة الاطهار,,,,,Lawāmiʻ al-anwār fī maʻrifat al-aʼimmah al-aṭhār,
Anīs al-abrār fī faḍl al-aʼimmah al-aṭhār min ṭaraf al-jāhidīn wa-al-fujjār,انيس الابرار في فضل الائمة الاطهار من طرف الجاهدين والفجار,,,,,Anīs al-abrār fī faḍl al-aʼimmah al-aṭhār min ṭaraf al-jāhidīn wa-al-fujjār,
Kitāb-i Mihr va Mushtarī,کتاب مهر و مشترى,Mihr va Mushtarī,مهر و مشترى,,,Mihr va Mushtarī,
Hāz̲ā kitāb Tafsīr-i Fārsī,هذا کتاب تفسىر فارسى,,,,,Persian interpretation text,
Kitāb-i Ḥilyat al-muttaqīn,كتاب حلية المتقين,Ḥilyat al-muttaqīn,حلية المتقين,,,Ḥilyat al-muttaqīn,
Kitāb-i Shīrīn-i Farhād ... [etc.,کتاب شىرىن فرهاد,,,,,Kitāb-i Shīrīn-i Farhād,
Sharḥ-i Uṣūl-i Kāfī,شرح اصول کافى,Ṣāfī fī sharḥ al-Kāfī,صافي في شرح الكافي,,,Ṣāfī fī sharḥ al-Kāfī,
Sharḥ-i Furūʻ-i Kāfī /,شرح فروع کافى /,Ṣāfī fī sharḥ al-Kāfī,صافي في شرح الكافي,,,Ṣāfī fī sharḥ al-Kāfī,
al-Ṣāfī sharḥ al-Kāfī /,الصافي شرح الكافي /,Ṣāfī fī sharḥ al-Kāfī,صافي في شرح الكافي,,,Ṣāfī fī sharḥ al-Kāfī,
Shamʻ al-yaqīn /,شمع اليقين /,,,,,Shamʻ al-yaqīn,
Rawz̤at al-shuhadāʼ,روضت الشهداء,,,,,Rawz̤at al-shuhadāʼ,
Risālah-i Ḥudūd /,رساله حدود /,Ḥudūd,حدود,,,Ḥudūd,
Risālah-i muʻammā /,رساله معما /,,,,,Risālah-i muʻammā,
Anthologie de poésie persane,,,,,,Persian poetry,Q18530
Kitāb-i Gulzār-i ḥāl; dar ʻirfān ast,کتاب گلزار حال,Prabodhachandrodaya,,,,Prabodhachandrodaya,
Ṣuḥuf-i Ibrāhīm,صحف ابراهىم,,,,,Ṣuḥuf-i Ibrāhīm,
Selections of ghazalīyāt,,Poems. Selections,,,,Poems,Q1455
Laylá va Majnūn /,لىلى و مجنون /,,,,,Laylá va Majnūn,Q18445
Min kalām Khayyām,من كلام خيام,Rubāʻīyāt,رباعيات,,,v,
Selections from Ḥadīqat al-ḥaqīqah with commentary,,,,,,Ḥadīqat al-ḥaqīqah,
Dīvān-i Vaḥshī,دىوان وحشى,Poems,,,,Poems,Q1455
Commonplace book of Persian and Turkish poetry,,,,,,Persian poetry,Q18530
Jāmiʻ al-ḥikāyāt va lavāmiʻ al-rivāyāt,جامع الحکاىات و لوامع الرواىات,Javāmiʻ al-ḥikāyāt va lavāmiʻ al-rivāyāt,جوامع الحکاىات و لوامع الرواىات,,,Javāmiʻ al-ḥikāyāt va lavāmiʻ al-ravāyāt,Q48574
Sharḥ-i Fārsī-i Nahj al-balāghah,شرح فارسى نهج البلاغه,Sharḥ Nahj al-balāghah,شرح نهج البلاغة,,,Sharḥ Nahj al-balāghah,
Hāz̲ā Kitāb-i Nujūm-i Baṭlamyūs; Risālah-i Muʻīnīyah dar ʻilm-i hayʾat,هذا کتاب نجوم بطلمىوس,Sharḥ-i S̲amarah-i Baṭlamyūs,شرح ثمره بطلمىوس,,,Sharḥ-i S̲amarah-i Baṭlamyūs,
Kitāb-i Rāmāyana,کتاب راماىن,Rāmāyaṇa,,,,Rāmāyaṇa,Q27562
Ṣad dar] ... [etc.,,,,,,Ṣad dar,
Gulistān-i Saʻdī Shīrāzī,گلستان سعدى شىرازى,Gulistān,گلستان,,,Gulistān,Q3702
Hasht bihisht,هشت بهشت,,,,,Hasht bihisht,
Futūḥ al-ḥaramayn,فتوح الحرمين,,,Futūḥ al-Ḥaramayn,Q18613,,
Makhzan al-bukāʼ fī muṣībat Sayyid al-Shuhadāʼ,مخزن البكاء في مصيبة سيد الشهداء,Makhzan al-bukāʼ,مخزن البكاء,,,Makhzan al-bukāʼ,
Kitāb-i Jāmiʻ-i ʻAbbāsī,کتاب جامع عباسى,,,,,Kitāb-i Jāmiʻ-i ʻAbbāsī,
Rubāʻīyāt] ... [etc.,رباعيات,,,,,Poetry,Q1330
Dīvān-i Ḥāfiẓ Shīrazī,دىوان حافظ شىرزى,Dīvān,دىوان,,,Dīwān,Q11912
Ṣifāt al-ʻāshiqīn,صفات العاشقين,,,,,Ṣifāt al-ʻāshiqīn,
Gulistān] ... [etc.,گلستان,,,,,Gulistān,Q3702
Hāz̲ā Kitāb-i Ḥayāt al-salāṭīn /,هذا كتاب حيوة السلاطين /,Ḥayāt al-salāṭīn,حيوة السلاطىن,,,Ḥayāt al-salāṭīn,
Muntakhab-i Nafaḥāt al-uns li-Jāmī,منتخب نفحات الانس لجامى,,,,,Muntakhab-i Nafaḥāt al-uns li-Jāmī,
Aḥsan al-qarābādīn,احسن القرابادين,,,,,Aḥsan al-qarābādīn,
Sharḥ-i Dībāchah-ʾi Sikandarnāmah,شرح دىباچۀ سکندرنامه,,,,,Sharḥ-i Dībāchah-ʾi Sikandarnāmah,
Kitāb-i Khamsah /,کتاب خمسه /,Khamsah,خمسه,,,Khamsah,Q18558
Kitāb-i Khamsah,کتاب خمسه,,,,,Kitāb-i Khamsah,
Kitāb-i Aṭʻimah] ... [etc.,کتاب اطعمه,Poems,,,,Poems,Q1455
Min manẓūmāt Sulṭān al-Shuʻarā,من منظومات سلطان الشعرا,Poems,,,,Poems,Q1455
Khamsah-i Ashraf Marāghah,خمسه اشرف مراغه,,,,,Khamsah,Q18558
Dīvān-i Ahlī Shīrāzī,دىوان اهلى شىرازى,Poems,,,,Poems,Q1455
Rubāʻīyāt-i Shaykh Awḥad al-Dīn Kirmānī,رباعيات شىخ اوحد الدىن کرمانى,,,,,Rubāʻīyāt-i Shaykh Awḥad al-Dīn Kirmānī,
Haft awrang,هفت اورنگ,,,,,Haft awrang,Q27579
Daftar-i siyum az Silsalat al-dhahab; Salāmān va Absāl; Khiradʹnāmah-i Iskandarī,دفتر سىم از سلسلة الذهب؛ سلامان و ابسال؛ خرد‌نامه اسکندرى,Haft awrang,,,,Haft awrang,Q27579
"Mas̲navīyāt, muqaṭṭaʻāt, tarjīʻāt, fardīyāt",مثنويات، مقطعات، ترجىعات، فرديات,,,,,Grammatical text,Q6010
Dāstān-i Bahrām bā Lanbak Ābkish,داستان بهرام با لنبک آبکش,Shāhnāmah,,,,Shāhnāmah,Q18627
Manāfiʻ-i kalāgh ...,منافع کلاغ ...,Manāfiʻ al-ḥayawān,,,,Manāfiʻ al-ḥayawān,
Illuminated leaf from the Mūnis al-aḥrār,,Mūnis al-aḥrār fī daqāʾiq al-ashʻār,,,,Mūnis al-aḥrār fī daqāʾiq al-ashʻār,
Page from an album portraying two camel drivers,,,,,,Page from an album portraying two camel drivers,
Page from an album portraying Majnūn with animals in the desert,,,,,,Page from an album portraying Majnūn with animals in the desert,
Portrait of Emperor Akbar in old age,,,,,,Portrait of Emperor Akbar in old age,
Taṣvīr-i Shāh Tīmūr Ṣāḥib-i Qirān /,تصوىر شاه تىمور صاحب قران /,,,,,Taṣvīr-i Shāh Tīmūr Ṣāḥib-i Qirān,
Leaf from the Jāmiʻ al-tavārīkh depicting nine Chinese emperors,,Jāmiʻ al-tavārīkh,,,,Jāmiʻ al-tavārīkh,
Leaf from the Jāmiʻ al-tavārīkh depicting seven Chinese emperors,,Jāmiʻ al-tavārīkh,,,,Jāmiʻ al-tavārīkh,
Portrait of Riz̤ā ʻAbbāsī,,,,,,Portrait of Riz̤ā ʻAbbāsī,
Hādhā Kitāb ʻAjāʼib al-makhlūqāt /,هذا کتاب عجائب المخلوقات /,ʻAjāʼib al-makhlūqāt,عجائب المخلوقات,,,ʻAjāʼib al-makhlūqāt,Q18390
Ẓafarnāmah,,,,,,Ẓafarnāmah,
Jild-i panjum-i ʻAyn al-ḥayāt,جلد پنجم عىن الحياة,ʻAyn al-ḥayāt,عين الحياة,,,ʻAyn al-ḥayāt,
Kamāl al-tawḥīd,كمال التوحيد,,,,,Kamāl al-tawḥīd,
Miftāḥ al-nujūm,مفتاح النجوم,,,,,Miftāḥ al-nujūm,
Taz̲kirat al-shuʻarāʾ,تذکرة الشعراء,,,,,Taz̲kirat al-shuʻarāʼ,
Anīs al-ʻārifīn,انيس العارفين,,,,,Anīs al-ʻārifīn,
Rājiʻ-i mukhtaṣar,راجع مختصر,Jāmiʻ-i mukhtaṣar,جامع مختصر,,,Jamʻ-i mukhtaṣar,
Hāz̲ā Kitāb-i Majmaʻ al-hudá,هذا کتاب مجمع الهدى,Majmaʻ al-hudá,مجمع الهدى,,,Majmaʻ al-hudá,
Kitāb-i Majālis al-vāʻiẓīn ... [etc.,کتاب مجالس الواعظىن,Majālis al-vāʻiẓīn,مجالس الواعظىن,,,Majālis al-vāʻiẓīn,
Hāz̲ā Kitāb-i Mas̲navī-i maʻnavī /,هذا کتاب مثنوى معنوى /,Mas̲navī,مثنوى,,,Mas̲navī,Q27606
Risālah-ʾi Javāhirʹnāmah,رسالۀ جواهر‌نامه,Javāhirʹnāmah,جواهر‌نامه,,,Javāhirnāmah,
Fārsī Makārim al-akhlāq /,فارسى مکارم الاخلاق /,Makārim al-akhlāq,مكارم الاخلاق,,,Makārim al-akhlāq,
Miqbās al-maṣābīḥ,مقباس المصابىح,,,,,Miqbās al-maṣābīḥ,
Is̲bāt al-imāmah,اثبات الامامه,,,,,Is̲bāt al-imāmah,
Majmaʻ al-ṣiyagh /,مجمع الصىغ /,,,,,Majmaʻ al-ṣiyagh,
Miftāḥ al-shifāʾ,مفتاح الشفاء,,,,,Miftāḥ al-shifāʾ,
