row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value,ds_qid
234,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414814Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090341Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124308Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593736Z","Sulṭān al-Qurrāʼ, Muḥammad Ḥusayn ibn Kāẓim",author,سلطان القراء، محمد حسين بن كاظم,,Muḥammad Ḥusayn ibn Kāẓim Sulṭān al-Qurrāʼ,human,Q129453228,,,,
235,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414821Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090355Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124311Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593749Z","Iskandar Munshī, 1560 or 1561-1633 or 1634",author,اسكندر منشي، 1560 or 1561-1633 or 1634,,Iskandar Beg Munshi,human,Q2561872,,,,
236,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414829Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090367Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124315Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593756Z","Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century",author,برجندي، عبد العلي بن محمد بن حسين,http://id.loc.gov/authorities/names/nr93001807,,,,human,ʿAbd-al-ʿAlī Ibn-Muḥammad al Birǧandī,Q114413753,Q457
237,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414840Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090375Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124317Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593781Z","Āz̲ar Baygdilī, Luṭf ʻAlī ibn Āqā Khān, 1134-1195",author,آذر بيگدلي، لطف على بن اقا خان,,Azar Bigdeli,human,Q4116548,,,,
238,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414847Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090390Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124320Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593788Z","Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",author,طوسى، ناصر الدين محمد ابن محمد,http://id.loc.gov/authorities/names/n82136884,,,,human,Nasir al-Din al-Tusi,Q302835,Q2837
239,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414855Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090402Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124324Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593796Z","Jāmī, 1414-1492",author,جامى,,,,,human,Jami,Q312458,Q3803
240,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414865Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090411Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124326Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593807Z","ʻAṭṭār, Farīd al-Dīn, -approximately 1230",author,عطار، فريد الدين، .نحو ١٢٣٠,,,,,human,Attar of Nishapur,Q194091,Q18697
241,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414905Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090433Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124329Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593814Z","Selim I, Sultan of the Turks, 1470-1520",author,"سليم I, Sultan of the Turks, 1470-1520",,Selim I,human,Q494660,,,,
242,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414914Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090448Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124332Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593821Z","Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,نظامي گنجوي,,,,,human,Nizami Ganjavi,Q234908,Q16480
243,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414924Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090456Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124335Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593832Z","Dawlatshāh Samarqandī, -approximately 1494",author,دولتشاه سمرقندي,,Dawlatshah Samarqandi,human,Q6411722,,,,
