title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_titles,standard_title
De consolatione philosophiae; De mirabilis mundi; Grammatical treatise ?; Unidentified theological treatise; Miscellany,,,,De consolatione philosophiae; De mirabilibus mundi; Grammar; Theology; Miscellany,De consolatione philosophiae; De mirabilibus mundi; Grammar; Theology; Miscellany
De corpore et sanguine Domini,,,,De corpore et sanguine Domini,De corpore et sanguine Domini
De die iudicii,,,,De die iudicii,De die iudicii
De duobus amantibus,,,,De duobus amantibus,De duobus amantibus
De duodecim abusionibus saeculi,,,,De duodecim abusivis,De duodecim abusivis
De excellentibus ducibus exterarum gentium,,,,De excellentibus ducibus exterarum gentium,De excellentibus ducibus exterarum gentium
De finibus,,,,De finibus,De finibus
De forma honestae vitae; De institutione monachorum,,,,De forma honestae vitae; De institutione monachorum,De forma honestae vitae; De institutione monachorum
De heresis adversus chirstainum fidem,,,,De heresis adversus christianum fidem,De heresis adversus christianum fidem
De humana miseria,,,,De humana miseria,De humana miseria
De intellectu,,,,De intellectu,De intellectu
De ira Dei,,,,De ira Dei,De ira Dei
De legibus,,,,De legibus,De legibus
De libero arbitrio,,,,De libero arbitrio,De libero arbitrio
De locis et mirabilibus mundi,,,,De locis et mirabilibus mundi,De locis et mirabilibus mundi
De ludo schacchorum seu de moribus hominum et officiis nobilium ... etc,,,,Liber super ludo scachorum,Liber super ludo scachorum
De medicina equorum,,,,De medicina equorum,De medicina equorum
De miseria condicionis humane,,,,De Miseria Condicionis Humane,De Miseria Condicionis Humane
De miseriis curialium,,,,De miseriis curialium,De miseriis curialium
De morte Hieronymi ad Damasum,,,,De morte Hieronymi ad Damasum,De morte Hieronymi ad Damasum
De morte Valerii Martialis,,,,De morte Valerii Martialis,De morte Valerii Martialis
De natura rerum,,De natura rerum.,,De natura rerum,De natura rerum
De officiis,,,,De officiis,De officiis
De opificio Dei,,,,De opificio Dei,De opificio Dei
De origine rerum,,,,De origine rerum,De origine rerum
De ortu et obitu sanctorum,,,,De ortu et obitu Patrum,De ortu et obitu Patrum
De patriarchis,,,,De patriarchis,De patriarchis
De perversitate quorundam religiosorum,,,,De perversitate quorundam religiosorum,De perversitate quorundam religiosorum
De processione Spiritus sancti,,,,De processione Spiritus sancti,De processione Spiritus sancti
De quattuor virtutibus caritatis (On the four virtues of charity),,,,De quattuor virtutibus caritatis,De quattuor virtutibus caritatis
De rota verae et falsae religionis,,,,De rota verae et falsae religionis,De rota verae et falsae religionis
De sermone domini in monte habito (On the sermon on the mount) and other treatises; De superbia (On pride) and other treatises; Expositio dominice orationis (Exposition on the lord's prayer),,,,Sermons; De superbia; Orationes,Sermons; De superbia; Orationes
De simplicibus,,,,De simplicibus,De simplicibus
De spectaculis,,,,De spectaculis,De spectaculis
De summo bono,,,,De summo bono,De summo bono
De tribus diebus,,,,De tribus diebus,De tribus diebus
De vera religione,,,,De vera religione,De vera religione
De verbis apostolis,,,,De verbis apostolis,De verbis apostolis
De viris illustribus urbis Romae,,,,De viris illustribus urbis Romae,De viris illustribus urbis Romae
De vita christiana,,,,Vita christiana,Vita christiana
De vita contemplativa,,,,De vita contemplativa,De vita contemplativa
De vita contemplativa et activa,,,,De vita contemplativa,De vita contemplativa
Decretals,,,,Decretals,Decretals
Decretum,,,,Decretals,Decretals
Decretumor Concordantia discordantium canonum,,,,Decretum Gratiani,Decretum Gratiani
Defensio Civitatis Neapolitane Petri Gravina Canonici Neapolitani Carmen quo Perthenope alloquitur,,,,Defensio Civitatis Neapolitanae,Defensio Civitatis Neapolitanae
"Del bene de la vechiezza, Italian translation of De bono senectutis, made by Anchise Straccha of Bolzano (fl. 17th century)",,,,Libro del bene della Vecchiezza,Libro del bene della Vecchiezza
Der ordo iudiciarius,,,,Ordo iudiciarius,Ordo iudiciarius
Devotional book,,,,Devotional book,Devotional book
Devotional exercises on the life of Christ for the seven days of the week,,,,Devotional book,Devotional book
Devotional miscellany,,,,Devotional book,Devotional book
Dialogi,,,,Dialogues,Dialogues
Dialogorum libri IV,,,,Dialogues,Dialogues
"Diary and book of accounts, circa 1654-1666, written from Bedfordshire (Petenhall), Cambridgeshire (Tadlow), Portsmouth, and Windsor Parke near London?",,,,Accounts book,Accounts book
Dicta aliquorum philosophorum,,,,Liber de dictis philosophorum antiquorum,Liber de dictis philosophorum antiquorum
Distinctiones alphabeticae,,,,Distinctiones,Distinctiones
Diurnal,,,,Diurnal,Diurnal
Divina Commedia,,,,Divine Comedy,Divine Comedy
Divinae institutiones,,,,Divinae institutiones,Divinae institutiones
Dīwān Tāj al-ʻārifīn wa-sulṭān al-ʻāshiqīn min al-shuʻarāʼ bi-lā muʻāriḍ ʻUmar ibn Fāriḍ,ديوان تاج العارفين وسلطان العاشقين من الشعراء بلا معارض عمر بن فارض.,Poems,,Poems,Poems
Drawing of Two Men with Fragments of Quran Leaf Pasted On,,,,Qurʼan,Qurʼan
Débat sur le roman de la rose,,,,"The Debate on the ""Romance of the Rose""","The Debate on the ""Romance of the Rose"""
Eiusdem de humana miseria incipit,,,,De Miseria Condicionis Humane,De Miseria Condicionis Humane
Elementa mathematica in libros XV,,,,Elementa mathematica,Elementa mathematica
Elementarium doctrinae rudimentum,,,,Elementarium doctrinae rudimentum,Elementarium doctrinae rudimentum
Enarrationes in psalmos (Expositions on the psalms); Initials (ABC); Prayer,,,,Expositions on the psalms; Prayer,Expositions on the psalms; Prayer
Encheridyon Laurenti pysani presbiteri,,,,Enchiridion,Enchiridion
Enchyridion,,,,Enchiridion,Enchiridion
Enchyridion syxti pictagorici,,,,Enchiridion,Enchiridion
Epigrammata,,,,Epigrammata,Epigrammata
Epistle,,,,Epistles,Epistles
Epistles,,,,Epistles,Epistles
"Epistles of St. Paul, with commentary",,Bible.,,Epistles of St. Paul,Epistles of St. Paul
Epistola Sancti Augustini,,,,Epistles of St. Augustine,Epistles of St. Augustine
Epistola ad Nepotianum,,,,Epistola ad Nepotianum; Epistles,Epistola ad Nepotianum; Epistles
Epistola pertinenti ad la perfectione de la vita contemplationeand other writings.,,,,Epistles,Epistles
Epistolae,,,,Epistles,Epistles
Epistolae S. Pauli et Senecae,,,,Epistles of St. Paul; Epistles of Seneca,Epistles of St. Paul; Epistles of Seneca
Epistolae ad Brutum,,,,Ad Brutum,Ad Brutum
"Epistolae de morte, de magnificentiis, et de miraculis S. Hieronymi",,,,Epistles,Epistles
Epistolae in the Italian translation of Bartolomeo Fontio of Florence (1445-1513),,,,Epistles,Epistles
Epistolae morales ad Lucilium,,,,Epistulae morales ad Lucilium,Epistulae morales ad Lucilium
Epistoli Senece ad beatum Paulum apostolum et eius ad Senecam,,,,Epistolae Senecae ad Paulum et Pauli,Epistolae Senecae ad Paulum et Pauli
Epistula ad Raymundum,,,,Epistula ad Raymundum,Epistula ad Raymundum
Epistulae morales ad Lucilium,,,,Epistulae morales ad Lucilium,Epistulae morales ad Lucilium
Epitaph,,,,Epitaph,Epitaph
Epitome Rerum Romanorum: Libri IV,,,,Epitome Rerum Romanorum,Epitome Rerum Romanorum
Epitome historiarum Trogi Pompeii,,,,Epitome historiarum Trogi Pompeii,Epitome historiarum Trogi Pompeii
Epodon,,,,Epodon,Epodon
Ex Johanne andree super hieronymiano ubi de cupiditate prelatorum edificandi tractat,,,,De conscientia aedificandi,De conscientia aedificandi
Explicit liber de memoria & reminiscentia. Incipit liber de sompno & vigilia,,,,De memoria et reminiscentia; De Somno et vigilia,De memoria et reminiscentia; De Somno et vigilia
Expositio in Job,,,,Expositio in Job,Expositio in Job
Expositio in libros Posteriorum Aristotelis,,,,Commentary on the Posterior Analytics,Commentary on the Posterior Analytics
"Expositio super ""Beati immaculati""",,,,Commentary on the Psalms,Commentary on the Psalms
Expositio super epistolam Pauli ad Romanos,,Commentary on the Epistle to the Romans,,"Commentary on the Epistle to the Romans; Epistles
","Commentary on the Epistle to the Romans; Epistles
"
Exposition of 2 Kings 17:15-16,,,,Commentary on Kings,Commentary on Kings
Exposito Libri Numerorum,,,,Commentary on Numbers,Commentary on Numbers
Extracts from the Glossa Ordinaria,,,,Glossa Ordinaria,Glossa Ordinaria
Facta et dicta memorabilia,,,,Factorum et dictorum memorabilium libri IX,Factorum et dictorum memorabilium libri IX
Factorum et dictorum memorabilium libri IX ...et al,,,,Factorum et dictorum memorabilium libri IX,Factorum et dictorum memorabilium libri IX
Ferial Psalter and Hymnal,,,,Psalter; Hymnal,Psalter; Hymnal
Flores; religious miscellany,,,,Flores; miscellany,Flores; miscellany
Florigelium,,,,Florilegium,Florilegium
"Florilegium, here ""Superbia""",,,,Florilegium,Florilegium
Formulae spiritalis,,,,Formulae Spiritalis Intellegentiae,Formulae Spiritalis Intellegentiae
Fragments from a Gradual,,,,Gradual,Gradual
Garin le Loherain,,,,Garin le Loherain,Garin le Loherain
Geometria,,,,Geometria,Geometria
Georgica,,,,Georgics,Georgics
Georgics,,,,Georgics,Georgics
Geste de Monglane,,Geste de Garin de Monglane.,,Geste de Garin de Monglane,Geste de Garin de Monglane
"Giant Bible, Atlantic Bible",,,,Bible,Bible
Girbert de Mez,,,,Girbert de Metz,Girbert de Metz
Glossa Ordinaria (Incunable leaf),,,,Glossa Ordinaria,Glossa Ordinaria
Glossary,,,,Glossary,Glossary
Glossed Canon Law,,,,Canon law,Canon law
Gospel lectionary,,,,Lectionary,Lectionary
Gradual,,,,Gradual,Gradual
Gradual and Antiphonary,,,,Gradual; Antiphonary,Gradual; Antiphonary
"Gradual, Sanctoral Cycle",,,,Gradual,Gradual
Graecismus,,,,Graecismus,Graecismus
Gregorialis,,,,Gregorialis,Gregorialis
Hādhā Kitāb Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn,هذا كتاب حصن الحصين من كلام سيد المرسلين.,Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn,,"Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn
","Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn
"
Hecyra,,,,Hecyra,Hecyra
Here begynneth matins of oure ladi,,,,Book of hours,Book of hours
Hexameron,,,,Hexameron,Hexameron
Hieron sive Opusculum de tyrannide,,,,De tyrannide,De tyrannide
Historia Ecclesiastica Gentis Anglorum,,,,Historia ecclesiastica,Historia ecclesiastica
Historia Francorum extract:Life of Saint Brictius of Tours,,,,Historia Francorum,Historia Francorum
Historia Francorum extracts,,,,Historia Francorum,Historia Francorum
Historia Romana,,Breviarium historiae Romanae,,"Breviarium historiae Romanae
","Breviarium historiae Romanae
"
Historia Scholastica,,,,Historia Scholastica,Historia Scholastica
Historia destructionis Troiae,,,,Historia destructionis Troiae,Historia destructionis Troiae
Historia ecclesiastica,,,,Historia ecclesiastica,Historia ecclesiastica
Historia scholastica,,,,Historia Scholastica,Historia Scholastica
Histories,,,,History,History
History,,,,History,History
"History of France and England during the reigns of Henry IV, Henry V, Henry VI",,,,History of France; History of England,History of France; History of England
Homeliae de tempore,,,,Homeliae de tempore,Homeliae de tempore
Homeliae in Evangelia,,,,Homilies on the Gospels,Homilies on the Gospels
Homeliarum in Ezechielem,,,,Homilies on Ezekiel,Homilies on Ezekiel
Homilarium,,,,Homiliary,Homiliary
Homiliae in Evangelia,,,,Homilies on the Gospels,Homilies on the Gospels
Homiliary,,,,Homiliary,Homiliary
Homilies on Ezechiel,,,,Homilies on Ezekiel,Homilies on Ezekiel
Homilies on the Gospels,,,,Homilies on the Gospels,Homilies on the Gospels
Homily,,,,Homilies,Homilies
Horae Beatae Virginis Mariae,,Book of hours.,,Book of hours,Book of hours
Horae Beatae Virginis Mariae cum Calendario (Book of Hours with Calendar),,Book of hours,,Book of hours,Book of hours
Horologium Sapientiae,,,,Horologium Sapientiae,Horologium Sapientiae
