name_as_recorded,role,instance_of,authorized_label,structured_value
"Bracciolini, Poggio, 1380-1459.",associated name,human,Poggio Bracciolini,Q318254
"Bretherton, George",associated name,human,George Bretherton,Q120442556
"Broomall, Henry Lewis, 1860-1930",former owner,human,Henry Lewis Broomall,Q120442557
"Bruni, Leonardo, 1369-1444",associated name,human,Leonardo Bruni,Q314488
"Burgh, Hubert de, -1243",author,human,"Hubert de Burgh, 1st Earl of Kent",Q1381324
"Burgh, Hubert de, -1243.",author,human,"Hubert de Burgh, 1st Earl of Kent",Q1381324
"C.A. Stonehill, Inc.",former owner,organization,"C.A. Stonehill, Inc.",Q120442739
"Caesarius, of Arles, Saint, 470?-542.",associated name,human,Caesarius of Arles,Q304832
"Campofregoso, Paolo di, 1427-1498",associated name,human,Paolo Fregoso,Q2325125
"Canonici, Matteo Luigi, 1727-1805",associated name,human,Matteo Luigi Canonici,Q55226394
"Capranica, Dominicus, 1400-1458",associated name,human,Domenico Capranica,Q572802
"Caracciolo, Tristano, approximately 1435-1528?.",author,human,Tristano Caracciolo,Q1324187
"Caresini, Rafaino, 1314?-1390.",author,human,Rafaino Caresini,Q41568536
"Carlier, Gilles.",associated name,human,Gilles Carlier,Q115217720
"Cassian, John, approximately 360-approximately 435.",associated name,human,John Cassian,Q313795
Cathaolic Church.,author,organization,Catholic Church,Q9592
Catholic Church.,author,organization,Catholic Church,Q9592
"Catholic Church. Archdiocese of Mainz (Rhineland-Palatinate, Germany).",associated name,organization,Roman Catholic Archdiocese of Mainz,Q47194649
Catholic Church. Diocese of Würzburg (Germany). Synod.,associated name,organization,Roman Catholic Diocese of Würzburg,Q250224
"Cavalca, Domenico, -1342.",author,human,Domenico Cavalca,Q3712952
"Celotti, Luigi, approximately 1768-approximately 1846",former owner,human,Luigi Celotti,Q113774991
Charles S. Boesen (Firm),former owner,organization,Charles S. Boesen (Firm),Q120442740
Chartreuse de Montrieux,former owner,organization,Chartreuse de Montrieux-le-Vieux,Q2961270
Chartreuse du Val de bénédiction,former owner,organization,Cloître de la Chartreuse du Val de Bénédiction,Q107126810
"Cherubino da Spoleto, Franciscan",author,human,Cherubino da Spoleto,Q18945146
Christian M. Nebehay (Firm),former owner,organization,Christian M. Nebehay (Firm),Q120442741
"Christie, Manson & Woods",former owner,organization,Christie's,Q503176
"Cicero, Marcus Tullius",author,human,Cicero,Q1541
"Cicero, Marcus Tullius.",associated name,human,Cicero,Q1541
"Colonne, Guido delle, active 13th century.",author,human,Guido delle Colonne,Q1248842
"Compagnia de disciplinati della misericordia del Salvatore (Florence, Italy),",author,organization,Compagnia de disciplinati della misericordia del Salvatore,Q120442742
Compagnia del Gonfalone de Roma.,author,organization,Compagnia del Gonfalone de Roma,Q120442743
"Conradus, de Brundelsheim, -1321.",author,human,Conradus de Brundelsheim,Q116486795
"Crescentia, Saint, -approximately 300.",associated name,human,Crescentia,Q1139673
"Daffyd, ap Philip",author,human,Daffyd ap Philip,Q120442558
"Dares, Phrygius.",associated name,human,Dares Phrygius,Q544378
"Dati, Gregorio, 1362-1436.",author,human,Gregorio Dati,Q3776498
"Defensor, active 7th century.",author,human,Defensor of Ligugé,Q54670812
"Despine, Claude Joseph Constant, 1807-1873",former owner,human,Claude Joseph Constant Despine,Q61475440
"Dictys, Cretensis.",associated name,human,Dictys Cretensis,Q475001
"Diego de Carrione, Fernando, active approximately 1470",author,human,Fernando Diego de Carrione,Q120442559
"Diemeringen, Otto von, -1398",associated name,human,Otto von Diemeringen,Q2041165
"Diemeringen, Otto von, -1398.",associated name,human,Otto von Diemeringen,Q2041165
"Domenico, da Montecchiello, active 1354-1358",associated name,human,Domenico da Montecchiello,Q3713293
Douglas Cockerell & Son (Firm),associated name,organization,Douglas Cockerell & Son,Q120442744
"Duns Scotus, John, approximately 1266-1308",author,human,Duns Scotus,Q190089
"Durand, Guillaume, approximately 1230-1296.",associated name,human,Guillaume Durand,Q2329414
E.P. Goldschmidt & Co.,former owner,organization,E.P. Goldschmidt & Co.,Q120442745
Enluminures (Firm),former owner,organization,Enluminures,Q120442746
"Ess, Leander van, 1772-1847",former owner,human,Johann Heinrich van Ess,Q1810643
"Eugene III, Pope, -1153",author,human,Eugene III,Q167610
"Eusebius, of Cremona, Saint, -approximately 423.",author,human,Eusebius of Cremona,Q24013788
"Evans, R. H. 1777-1857",former owner,human,Robert Harding Evans,Q1755391
"Faber, Abraham",author,human,Abraham Faber,Q67198306
"Fenwick, Katherine Somerset Wyttenbach, 1823-1913",former owner,human,Katherine Somerset Wyttenbach Fenwick,Q120442560
"Fenwick, Thomas FitzRoy Phillipps, 1856-1938",former owner,human,Thomas FitzRoy Phillipps Fenwick,Q75889469
Ferdinand Roten Incorporated,former owner,organization,Ferdinand Roten Incorporated,Q120442747
Florence (Italy),author,city,Florence,Q2044
"Francesco Sforza, Duke of Milan, 1401-1466.",associated name,human,Francesco I Sforza,Q310536
