row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",Dutch,dut,,,Dutch,Q7411
59,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Middle English translated from the Middle French,enm,Middle English;Middle French,Q36395;Q1473289,,
60,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Middle English, Breviary fragment is in Latin",enm,Middle English;Latin,Q36395;Q397,,
61,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Middle English, accompanying material is in Latin",enm,Middle English;Latin,Q36395;Q397,,
62,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Middle English, the fragment of Canon law is in Latin",enm,Middle English;Latin,Q36395;Q397,,
63,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Middle French,frm,,,Middle French,Q1473289
64,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Portuguese with laid-in map of Mexico City in Spanish,por,Portuguese;Spanish,Q5146;Q1321,,
65,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Primarily in Latin, with accompanying prayers in Catalan",lat;cat,Latin;Catalan,Q397;Q7026,,
66,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Spanish,spa,,,Spanish,Q1321
67,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",cat,cat,,,Catalan,Q7026
68,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",cze,cze,,,Czech,Q9056
69,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",dut,dut,,,Dutch,Q7411
70,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",eng,eng,,,English,Q1860
71,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",enm,enm,,,Middle English,Q36395
72,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",enm;frm,enm;frm,Middle English;Middle French,Q36395;Q1473289,,
73,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",fre,fre,,,French,Q150
74,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",frm,frm,,,Middle French,Q1473289
75,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",ger,ger,,,German,Q188
76,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",grc,grc,,,Ancient Greek,Q35497
77,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",gre,gre,,,Greek,Q9129
78,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",ita,ita,,,Italian,Q652
79,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",lat,lat,,,Latin,Q397
80,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",lat;eng,lat;eng,,,Latin;English,Q397;Q1860
81,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",per,per,,,Persian,Q9168
82,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",por,por,Portuguese,Q5146,,
83,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",pro,pro,,,Old Occitan,Q2779185
84,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",spa,spa,,,Spanish,Q1321
