row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
34,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Latin with a few lines of marginalia in Middle English (f. 1),lat,,,Latin;Middle English,Q397;Q36395
35,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Latin with one rubric in Italian (f. 22r),lat;ita,,,Latin;Italian,Q397;Q652
36,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Latin with some German,lat,,,Latin;German,Q397;Q188
37,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Latin with some marginal annotations in Greek,lat;grc,,,Latin;Greek,Q397;Q9129
38,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z","In Latin, and Latin in Greek characters",lat;grc,,,Latin;Greek,Q397;Q9129
39,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z","In Latin, with calendar and some prayers in French",lat;fre,,,Latin;French,Q397;Q150
40,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Latin; liturgical calendar in French,lat;fre,,,Latin;French,Q397;Q150
41,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Latin; liturgical calendar in Latin and French,lat;fre,,,Latin;French,Q397;Q150
42,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Middle English,enm,,,Middle English,Q36395
43,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Middle French,frm,,,Middle French,Q1473289
