title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Here folowythe dyvers good carters wythe fygure of the compas and the shyfte of the sone and moone,,,,Here folowythe dyvers good carters wythe fygure of the compas and the shyfte of the sone and moone,
Heroides,,Heroides,,Heroides,
Heroides,,,,Heroides,
Heures de Nostre Dame; à l'usage de Paris,,Book of hours,,Book of hours,
Heures de Nôtre Dame (use of Troyes and Sens),,Book of hours,,Book of hours,
Hie hebt sich an dÿ vorredt mayster Hannsen von Türocz in das erst puech der ungrischenn kronigkñ dÿ zw dem erbredigenn her͠n͠ tomã seinē aignē p[er]son der khanzlere ist gebesnñ des durichleuchtigstenn fũrstenñ hernñ Mathias zw wngernñ ze Bechem kűnig etc,,Chronica Hungarorum,,Chronica Hungarorum,
Hieronimi presbiteri in expositionis Danielis prophetae,,Commentarii in Danielem,,Commentary on Daniel,
Historia de origine et processu urbis usque ad Carolum magnum extracta de Mari historiarum,,,,Chronicle,
Historia de preliis Alexandri Magni,,Historia de preliis,,Historia de preliis,
Historia illustrissime Domus Austriae,,,,Historia domus Austriae,
Historia scholastica,,Historia scholastica,,,Historia Scholastica
Historia translationis reliquiarum Beati Johannis Baptistae ad civitatem Janu[a]e; Compendio Genuensiu[m] reru[m] gestaru[m,,,,Historia translationis reliquiarum Beati Johannis Baptistae,
"Historia unnd gantz volkommene Beschreibung von dem A° 1525 angefangenen Bauernkrieg unnd desselben endung auch was sich darunder verloffen; durch den Ehrnthafften und wolgelerten Lorentz Friesen von Wergentheim, Frh. Würzburg. Secretarium seeligen mit umbstenden uffgezaichnet und glaubwüdig beschriben worden",,,,Historia und Beschreibung Bauernkrieg ,
Historiarum Florentini populi,,,,Historiarum Florentini populi,
Homiliary,,Homiliary,,,Homiliary
Horae beatae Mariae virginis (Sarum use),,Book of hours,,Book of hours,
Horae beatae Mariae virginis (use of Paris),,Book of hours,,Book of hours,
Horae beatae Mariae virginis (use of Rome),,Book of hours,,Book of hours,
Horae beatae Mariae virginis (use of Sarum),,Book of hours,,Book of hours,
Hore diurne in usum Carthusianorum,,Diurnal,,Diurnal,
Hortulus rosarum,,Hortulus rosarum de valle lacrimarum,,Hortulus rosarum,
Hy hevet sich an die rechte Kunst so wie sich eyn egelicher Bussenmeister reygieren soll,,,,Artillery manual,
Hye hebt sich an ein recht puech und ist auss den juristen pucthern gezogen und sagt von Jesu und von Belyal,,Consolatio peccatorum,,Consolatio peccatorum,
Hymnal,,Hymnary,,,Hymnary
Hymns and prayers for the daily offices,,,,Hymns;prayers,
Hymns for the daily office,,,,Hymns,
Hystoria Magni Alexandri regis,,Historia de preliis,,Historia de preliis,
Hystoria nichodemi de passione christi,,Gospel of Nicodemus,,Gospel of Nicodemus,
Hādhihi al-adʻiyah manqūlah min kalām Abī al-Ḥasan al-Ḥasanī al-Shādhilī,هذه الادعية منقولة من كلام ابي الحسن الحسني الشاذلي,Adʻiyah manqūlah min kalām Abī al-Ḥasan al-Ḥasanī al-Shādhilī,ادعية منقولة من كلام ابي الحسن الحسني الشاذلي,Adʻiyah manqūlah min kalām Abī al-Ḥasan al-Ḥasanī al-Shādhilī,
Hādhihi al-qaṣīdah al-musammāh bi-Lāmīyat al-ʻajam / lil-Ṭughrāʼī,هذه القصيدة المسماة بلامية العجم / للطغرائي,Lāmīyat al-ʻajam,لامية العجم,Lāmīyat al-ʻajam,
Hādhihi awāʼil khuṭbat Tafsīr al-Baghawī,هذه اوائل خطبة تفسير البغوي,Maʻālim al-tanzīl,معالم التنزيل,Maʻālim al-tanzīl,
Hādhā Sharḥ al-Waraqāt fī al-uṣūl / lil-Imām al-ʻAllāmah Jalāl al-Dīn al-Maḥallī al-Shāfiʻī,هذا شرح الورقات في الاصول / للامام العلامة جلال الدين المحلي الشافعي,Sharḥ al-Waraqāt,شرح الورقات,Sharḥ al-Waraqāt,
Hādhā al-kitāb min Tafsīr al-kalām al-qadīm al-dāʼim / taʼlīf ʻallāmat zamānih al-Shaykh ʻAbd al-Razzāq ibn Jamāl al-Dīn Abī al-Ghanāʼim al-Qāshānī,هذا الكتاب من تفسير الكلام القديم الدائم / تأليف علامة زمانه الشيخ عبد الرزاق بن جمال الدين أبي الغنائم القاشاني,,,Hādhā al-kitāb min Tafsīr al-kalām al-qadīm al-dāʼim,
Hādhā al-kitāb yabḥath fī al-lughah /,,,,Hādhā al-kitāb yabḥath fī al-lughah,
Hādhā al-kitāb yabḥathu fī al-lughah al-ʻArabīyah /,,,,Hādhā al-kitāb yabḥathu fī al-lughah al-ʻArabīyah,
Hādhā kitāb Anwār al-malakūt fī sharḥ al-Yāqūt / lil-Imām al-ʻĀlim al-Fāḍil Jamāl al-Millah wa-al-ḥaqq wa-al-Dīn al-Ḥasan ibn al-Shaykh Sadīd al-Dīn Yūsuf ibn al-Muṭahhar,,Anwār al-malakūt fī sharḥ al-Yāqūt,,Anwār al-malakūt fī sharḥ al-Yāqūt,
Hādhā kitāb Maghāzāt al-Nabī ṣallá Allāhu ʻalayhi wa-sallam wa-al-shamāʼil wa-al-siyar / li-Ibn Sayyid al-Nās al-Yaʻmurī,,ʻUyūn al-athar fī funūn al-maghāzī wa-al-shamāʼil wa-al-siyar,,ʻUyūn al-athar fī funūn al-maghāzī wa-al-shamāʼil wa-al-siyar,
Hādhā kitāb al-Muntaqā fī al-aḥkām ʻan khayr al-anām /,هاذا كتاب المنتقا في الاحكام عن خير الانام /,Muntaqá fī al-aḥkām al-sharʻīyah min kalām Khayr al-barīyah,منتقى في الاحكام الشرعية من كلام خير البرية,Muntaqá fī al-aḥkām al-sharʻīyah min kalām Khayr al-barīyah,
Iesu [Chris]ti passionis et resurrectionis ære signatæ monume[n]ta; Ad modu[m] Ill[ust]ri[simi] et R.P.D. Euangelista Ballato Montis Oliueti Abbati meretissimo / Mattheus Florimus D. D.,,,,Passion and resurrection of Jesus Christ,
Il viazo di Soria,,,,Il viazo di Soria,
Imagines sepvlcrorum & epitaphiorvm inscriptiones antiquae,,,,Imagines sepulcrorum et epitaphiorum inscriptiones antiquae,
In hoc codice continentur Helianus De instruendis aciebus et Onosander De optimo imperatore,,,,De instruendis aciebus;De optimo imperatore,
Incipit p[ro]log[us] Rufini in eccl[es]iastica historia,,Ecclesiastical history,,Ecclesiastical history,
Incipit speculum beati bernardi abbatis ...,,,,Speculum monachorum,
Incipit summa penitencie edita a magistro Francisco quondam ...,,,,Summa penitentiae,
Incom[i]nicia il tractato de septe peccati mortali overo capitali composto et co[m]pilato dallo reverendissimo in christo padre Frate Antonino archiepiscopo di Firenze,,Confessionale,,Confessional,
Indem namen der heylig[e]n,,Consolatio peccatorum,,Consolatio peccatorum,
Indulgence,,,,,Indulgence
"Inferno XXIV, 64-135",,Divina commedia,,Inferno,
Institucion de la regla y hermandad de la Cofadria del Sanctissimo Sacramento,,,,Institucion de la regla y hermandad de la Cofadria del Sanctissimo Sacramento,
Instructions to give safe passage to Colin de Beauchamp and his family,,,,Instructions to give safe passage,
Introduction to heraldry,,,,Introduction to heraldry,
Investitura pro Joanne Francisco Carretto super octava parte Rocchaeoverani,,,,Investiture,
Iunii Iuvenalis Aquinatis poete satyrici,,Works,,Works,
Iunii Iuvenalis Aquinatis satyricorum poetarum facetissimi et gravissimi libri satyrarum principium foeliciter,,Saturae,,Saturae,
Japanese Buddhist sutras: handscroll,,,,Japanese Buddhist sutras,
Justini historici in Pompeii Trogi historias liber,,Historiae Philippicae,,Historiae Philippicae,
Jónsbók,,,,,Jónsbók
Khulāṣat siyar Sayyid al-bashar,خلاصة سير سيد البشر,,,Khulāṣat siyar Sayyid al-bashar,
Kitab-ı usûl-i melhame,كتاب اصول ملحمه,,,Kitab-ı usûl-i melhame,
Kitāb Dīwān al-ṣabābah,كتاب ديوان الصبابة,Poems,,Poems,
Kitāb Fatḥ al-jawād bi-sharḥ Manẓūmat Ibn al-ʻImād / taṣnīf al-Shaykh al-Imām al-ʻĀlim al-ʻAllāmah shaykhinā wa-mawlānā Abū al-ʻAbbās al-Shihāb Aḥmad al-Ramlī al-Anṣārī al-Khazrajī,كتاب فتح الجواد بشرح منظومة ابن العماد / تصنيف الشيخ الامام العالم العلامة شيخنا ومولانا ابو العباس الشهاب احمد الرملي الانصاري الخزرجي,Fatḥ al-jawād bi-sharḥ Manẓūmat Ibn al-ʻImād,فتح الجواد بشرح منظومة ابن العماد,Fatḥ al-jawād bi-sharḥ Manẓūmat Ibn al-ʻImād,
Kitāb Faḍl al-jalad ʻinda faqd al-walad / li-Ḥāfiẓ al-ʻaṣr wa-khātimat al-ḥuffāẓ al-Jalāl al-Suyūṭī,,Faḍl al-jalad ʻinda faqd al-walad,,Faḍl al-jalad ʻinda faqd al-walad,
Kitāb Inbāʼ al-adhkiyāʼ bi-ḥayāt al-anbiyāʼ / li-Ḥāfiẓ al-ʻaṣr wa-khātimat al-ḥuffāẓ al-Imām al-ʻAllāmah Jalāl al-Dīn al-Suyūṭī,,Inbāʼ al-adhkiyāʼ bi-ḥayāt al-anbiyāʼ,,Inbāʼ al-adhkiyāʼ bi-ḥayāt al-anbiyāʼ,
Kitāb Mufarriḥ al-nafs / taṣnīf al-Imām al-ʻālim al-fāḍil Sharaf al-Dīn Abī Naṣr Muḥammad ibn ʻUmar ibn Abī al-Futūḥ al-Baghdādī thumma al-Māridīnī al-maʻrūf bi-Ibn al-Marah,كتاب مفرح النفس / تصنيف الإمام العالم الفاضل شرف الدين أبي نصر محمد بن عمر بن أبي الفتوح البغدادي ثم المارديني المعروف بابن المره,Mufarriḥ al-nafs,مفرح النفس,Mufarriḥ al-nafs,
Kitāb Mukhtaṣar al-Sharāʼiʻ /,كتاب مختصر الشرائع /,Mukhtaṣar al-Sharāʼiʻ,مختصر الشرائع,Mukhtaṣar al-Sharāʼiʻ,
Kitāb Munyat al-muftī / taṣnīf al-Shaykh al-Imām al-ʻĀlim al-Fāḍil al-ʻAllāmah Jamāl al-Dīn Muftī al-muslimīn Yūsuf ibn Abī Asʻad ibn Aḥmad al-Sijistānī,كتاب منية المفتي / تصنيف الشيخ الامام العالم الفاضل العلامة جمال الدين مفتي المسلمين يوسف بن ابي اسعد بن احمد السجستاني,Munyat al-muftī,منية المفتي,Munyat al-muftī,
Kitāb Nihāyat al-marām,كتاب نهاية المرام,Nihāyat al-marām,نهاية المرام,Nihāyat al-marām,
Kitāb Qawāʻid al-Shaykh al-Saʻīd al-Shahīd al-Awwal,,Qawāʻid wa-al-fawāʼid,,Qawāʻid wa-al-fawāʼid,
Kitāb Shams ṣughrá,كتاب شمس صغرى,Shams ṣughrá,شمس صغرى,Shams ṣughrá,
Kitāb Sihām al-iṣābah fī al-daʻawāt al-mujābah / taʼlīf al-Shaykh al-Imām al-ʻAllāmah al-Shaykh Jalāl al-Dīn al-Suyūṭī,كتاب سهام الإصابة في الدعوات المجابة / تأليف الشيخ الامام العلامة الشيخ جلال الدين السيوطي,Sihām al-iṣābah fī al-daʻawāt al-mujābah,سهام الإصابة في الدعوات المجابة,Sihām al-iṣābah fī al-daʻawāt al-mujābah,
Kitāb Tarjamat thaghr Dimyāṭ al-maḥrūs wa-mā waqaʻa bihā min ʻahd Nūḥ ʻalayhi al-salām ilá ākhir dawlat al-Turk min Kitāb al-ʻAnāṣir li-majālis al-Malik al-Nāṣir,كتاب ترجمة ثغر دمياط المحروس وما وقع بها من عهد نوح عليه السلام الى آخر دولة الترك من كتاب العناصر لمجالس الملك الناصر,ʻAnāṣir li-majālis al-Malik al-Nāṣir,عناصر لمجالس الملك الناصر,ʻAnāṣir li-majālis al-Malik al-Nāṣir,
Kitāb Tuḥfat al-ʻarūs wa-fākihat al-nufūs / taʼlīf al-Shaykh al-Imām Abī Muḥammad ʻAbd Allāh ibn al-Shaykh Abū ʻAbd Allāh Muḥammad ibn Aḥmad ibn Muḥammad al-Tijānī,كتاب تحفة العروس وفاكهة النفوس / تأليف الشيخ الإمام أبي محمد عبد الله بن الشيخ أبو عبد الله محمد بن أحمد بن محمد التجاني,Tuḥfat al-ʻarūs wa-fākihat al-nufūs,تحفة العروس وفاكهة النفوس,Tuḥfat al-ʻarūs wa-fākihat al-nufūs,
Kitāb al-Arbaʻīn ʻan arbaʻīn min arbaʻīn li-arbaʻīn fī arbaʻīn / taʼlīf al-Imām al-Ḥāfiẓ Muḥaddith al-Shām Nāṣir al-Sunnah afḍal al-Mutaʼakhkhirīn awḥad al-ʻUlamāʼ ʻAlī ibn al-Ḥasan ibn Hibat Allāh ibn ʻAbd Allāh ibn al-Ḥusayn ibn ʻAsākir al-Dimashqī al-Shāfiʻī,كتاب الاربعين عن اربعين من اربعين لاربعين في اربعين / تأليف الإمام الحافظ محدث الشام ناصر السنة افضل المتأخرين اوحد العلماء علي بن الحسن بن هبة الله بن عبد الله بن الحسين بن عساكر الدمشقي الشافعي,Arbaʻīn al-buldānīyah ʻan arbaʻīn min arbaʻīn li-arbaʻīn fī arbaʻīn,اربعين البلدانية عن اربعين من اربعين لاربعين في اربعين,Arbaʻīn al-buldānīyah ʻan arbaʻīn min arbaʻīn li-arbaʻīn fī arbaʻīn,
Kitāb al-Hidāyah,كتاب الهداية,Hidāyah,هداية,Hidāyah,
Kitāb al-Kashf ʻan mujāwazat hādhihi al-ummah al-alf / taʾlīf al-Imām aʻĀlim al-ʻAllāmah al-Ḥāfiẓ al-Mujtahid Abī Bakr ibn ʻAbd al-Raḥmān Jalāl al-Dunyā wa-al-Dīn al-Suyūṭī al-Shāfiʻī,,Kashf ʻan mujāwazat hādhihi al-ummah al-alf,,Kashf ʻan mujāwazat hādhihi al-ummah al-alf,
Kitāb al-Riyāḍ fī al-sharāʾiʻ al-Islāmīyah /,,Riyāḍ,,Riyāḍ,
Kitāb al-Sukkardān wa-ʻajāʼib al-buldān / taʼlīf al-Shaykh al-Imām al-ʻĀlim al-ʻAllāmah al-ʻUmda Shihāb al-Dīn Abū al-ʻAbbās Aḥmad al-shahīr bi-Ibn Abī Ḥajalah al-Tilimsānī,كتاب السكردان وعجائب البلدان / تأليف الشيخ الامام العالم العلامة العمدة شهاب الدين ابو العباس احمد الشهير بان ابي حجلة التلمساني,Sukkardān al-sulṭān,سكردان السلطان,Sukkardān al-sulṭān,
Kitāb al-Tawḍīḥ sharḥ Muqaddimat Abī al-Layth / taʼlīf al-Shaykh al-Imām al-ʻĀlim al-Allāmah Muṣṭafá ibn Zakarīyā ibn Aydughmush al-Qaramānī,كتاب التوضيح شرح مقدمة ابي الليث / تأليف الشيخ الامام العالم العلامة مصطفى بن زكريا بن اي دغمش القرماني,Tawḍīḥ sharḥ Muqaddimat Abī al-Layth,توضيح شرح مقدمة ابي الليث,Tawḍīḥ sharḥ Muqaddimat Abī al-Layth,
Kitāb al-Wasāyil ilá maʻrifat al-awāyil / lil-ʻAllāmah Jalāl al-Dīn al-Suyūṭī,كتاب الوسايل الى معرفة الاوايل / للعلامة جلال الدين السيوطي,Wasāʼil ilá maʻrifat al-awāʼil,وسائل الى المعرفة الاوائل,Wasāʼil ilá maʻrifat al-awāʼil,
Kitāb al-Wāfī ʻalá madhhab al-Imām Abī Ḥanīfah,كتاب الوافي على مذهب الإمام أبي حنيفة,Wāfī fī al-furūʻ,الوافي في الفروع,Wāfī fī al-furūʻ,
Kitāb al-maʻānī al-daqīqah fī idrāk al-ḥaqīqah / li-Ḥāfiẓ al-ʻaṣr wa-khātimat al-ḥuffāẓ al-Jalāl al-Suyūṭī,,Maʻānī al-daqīqah fī idrāk al-ḥaqīqah,,Maʻānī al-daqīqah fī idrāk al-ḥaqīqah,
Kitāb al-rawḍah /,,Rawḍah,,Rawḍah,
Kitāb al-risālah al-mawsūʻah bi-al-alfīyah /,,Risālah al-mawsūʻah bi-al-alfīyah,,Risālah al-mawsūʻah bi-al-alfīyah,
Kitāb al-ʻuqūd wa-al-ijārah,,ʻUqūd wa-al-ijārah,,ʻUqūd wa-al-ijārah,
Kitāb al-Ṣurāḥ,كتاب الصراح,Ṣurāḥ min al-Ṣiḥāḥ,صراح من الصحاح,Ṣurāḥ min al-Ṣiḥāḥ,
Kitāb baʻḍ shurūḥāt dīnīyah fī al-sharīʻah al-Islāmīyah,,,,Kitāb baʻḍ shurūḥāt dīnīyah fī al-sharīʻah al-Islāmīyah,
Kitāb dalīl al-bayān,,Dalīl al-bayān,,Dalīl al-bayān,
Kitāb dhikrá al-Shīʻah fī aḥkām al-sharīʻah /,,Dhikrá al-Shīʻah fī aḥkām al-sharīʻah,,Dhikrá al-Shīʻah fī aḥkām al-sharīʻah,
Kitāb durūs fī sharāʼiʻ al-Islām,,Durūs fī sharāʼiʻ al-Islām,,Durūs fī sharāʼiʻ al-Islām,
Kitāb fann al-bayān /,,Fann al-bayān,,Fann al-bayān,
Kitāb fī al-lughah /,,,,Kitāb fī al-lughah,
Kitāb fī al-lughah al-ʻArabīyah /,,,,Kitāb fī al-lughah al-ʻArabīyah,
Kitāb fī ikhtilājāt al-aʻḍāʼ wa-mā qīla fī dhālik /,كتاب في اختلاجات الاعضاء وما قيل في ذال /,,,Kitāb fī ikhtilājāt al-aʻḍāʼ wa-mā qīla fī dhālik,
Kitāb khuṭab ʻAlī ibn Abī Ṭālib,,Khuṭab ʻAlī ibn Abī Ṭālib,,Khuṭab ʻAlī ibn Abī Ṭālib,
Kitāb mafātīḥ sharāʾiʻ al-Islām /,,Mafātīḥ sharāʾiʻ al-Islām,,Mafātīḥ sharāʾiʻ al-Islām,
Kitāb man lā yaḥḍuruhu al-faqīh /,,Man lā yaḥḍuruhu al-faqīh,,Man lā yaḥḍuruhu al-faqīh,
Kitāb masālik al-afhām fī tanqīḥ sharāʾiʻ al-Islām,,Masālik al-afhām,,Masālik al-afhām,
Kitāb masālik al-afhām fī tanqīḥ sharāʾiʻ al-Islām /,,Masālik al-afhām,,Masālik al-afhām,
Kitāb muqaddimat ibn al-Ḥājib fī al-ṣarf wa-al-naḥw maʻa sharḥihimā,,Muqaddimat ibn al-Ḥājib,,Muqaddimat ibn al-Ḥājib,
Kitāb niẓām fī al-lughah /,,Niẓām fī al-lughah,,Niẓām fī al-lughah,
Kitāb qawāʻid al-aḥkām fī masāʾil al-ḥalāl wa-al-ḥarām /,,Qawāʻid al-aḥkām fī masāʾil al-ḥalāl wa-al-ḥarām,,Qawāʻid al-aḥkām fī masāʾil al-ḥalāl wa-al-ḥarām,
Kitāb rasāʾil ʻilm al-uṣūl /,,,,Kitāb rasāʾil ʻilm al-uṣūl,
Kitāb shurūṭ al-ṣiyyām wa-uṣūl al-Islām,,Shurūṭ al-ṣiyyām wa-uṣūl al-Islām,,Shurūṭ al-ṣiyyām wa-uṣūl al-Islām,
Kitāb tadhkirat al-fuqahāʾ /,,Tadhkirat al-fuqahāʾ,,Tadhkirat al-fuqahāʾ,
Kitāb ḥalīyat al-muʻāshirīn /,,Ḥalīyat al-muʻāshirīn,,Ḥalīyat al-muʻāshirīn,
Kitāb Ṣiḥāḥ al-Jawharī,كتاب صحاح الجوهري،,Ṣiḥāḥ,صحاح,Ṣiḥāḥ,
Kitāb ṣalawāt ḥasaba al-sharīʻah al-Islāmīyah fī Ramaḍān wa-ghayrihi wa-uṣūl al-dīn,,,,Kitāb ṣalawāt ḥasaba al-sharīʻah al-Islāmīyah fī Ramaḍān wa-ghayrihi wa-uṣūl al-dīn,
Kitāb Ṭabaqāt al-aqṭāb fī dhikr awliyāʼ Allāh taʻālá wa-aqwālihim wa-aḥwālihim ilá intihāʼ ājālihim / taʼlīf al-Shaykh al-Imām al-ʻĀlim al-ʻAllāmah Taqī al-Dīn al-Subkī,كتاب طبقات الاقطاب في ذكر اولياء الله تعالى واقوالهم واحوالهم الى انتهاء آجالهم / تأليف الشيخ الامام العالم العلامة تقي الدين السبكي,Ṭabaqāt al-aqṭāb,طبقات الاقطاب,Ṭabaqāt al-aqṭāb,
Kitāb-i Khamsah-ʼi Mawlānā Nūr al-Dīn ʻAbd al-Raḥmān Jāmī,كتاب خمسۀ مولانا نور الدين عبد الرحمن جامي,Khamsah,خمسه,Khamsah,
Kitāb-i Sharh-i Mūjiz,کتاب شره موجز,Sharḥ Mūjiz al-Qānūn,شرح موجز القانون,Sharḥ Mūjiz al-Qānūn,
Kitāb-i ashʻār-i malik al-shuʻārāʼ Amīr Muʻizzī,كتاب اشعار ملك الشعراء أمير معزي,Dīvān,ديوان,Dīvān,
Koran,,Qurʼan,,,Qurʼan
Ktaba d-mazmore d-Dawid,,Bible,,Bible,
Ktaba d-tašʻyata d-Yaldat ʼAlaha Maryam,,,,Ktaba d-tašʻyata d-Yaldat ʼAlaha Maryam,
Ktaba d-ṣemḥe; d-ʾitaw(hi) ʻal turaṣ mamlla ʾUrhaya,,,,Ktaba d-ṣemḥe; d-ʾitaw(hi) ʻal turaṣ mamlla ʾUrhaya,
Kumārasaṁbhava,,,,Kumārasaṁbhava,
Kāvyadarśa,,,,Kāvyadarśa,
Kāśikātilaka Mokṣalakṣmīvilāsa,,,,Kāśikātilaka Mokṣalakṣmīvilāsa,
Kāśikāvr̥tti,,,,Kāśikāvr̥tti,
L'arbre des batailles,,,,,Arbre des batailles
L'art de chasser aux oiseaux,,De arte venandi cum avibus,,De arte venandi cum avibus,
L. Ann. Senecae Tragoediae,,Tragedies,,Tragedies,
"La Teseide, with notes by Pietro Andrea di Bassi",,Teseida,,Teseida,
La doctrine auz simples gens,,,,La doctrine auz simples gens,
"La prima parte della espugnatione delle città, e fortezze",,,,Della espugnatione delle città e fortezze,
La regola tel beatissimo doctore Messer Santo Geronimo; la quale mando a Eustochio nobilissima vergine,,Regula monacharum ad Eustochium sacram deo verginem,,Regula monacharum ad Eustochium sacram deo verginem,
La seconde partie de la tr[an]slacion et exposition du livre de mons. Saint Augustin de la cité de Dieu,,De civitate Dei,,De civitate Dei,
La sfera,,,,,La sfera
La vasiliade,,,,La vasiliade,
Laelius de amicitia and other works,,Laelius de amicitia,,Laelius de amicitia,
Laws promulgated for Bavaria in 1346,,,,Laws,
Lawāmiʻ al-asrār fī sharḥ Maṭāliʻ al-anwār,لوامع الاسرار في شرح مطال الانوار,Lawāmiʻ al-asrār fī sharḥ Maṭāliʻ al-anwār,لوامع الاسرار في شرح مطال الانوار,Lawāmiʻ al-asrār fī sharḥ Maṭāliʻ al-anwār,
Le Mvrtoleide /,,,,Le Murtoleide,
Le décameron,,Decamerone,,Decamerone,
Le fatiche de Hercule,,Fatiche d'Ercole,,Fatiche d'Ercole,
Le livre de lamentations,,,,Le livre de lamentations,
Le prince; de Nicolas Macchiavel dedié au magnifique seigneur Laurens de Medicis traduist ditalien en vulgaire françois,,Principe,,The prince,
Le quistioni Tusculanae,,Tusculanae disputationes,,Tusculanae disputationes,
Le roman de Tristan en prose,,Roman de Tristan en prose,,Roman de Tristan en prose,
Le roman de la rose,,,,Le livre de lamentations,
Le royaume de Dieu,,,,Le royaume de Dieu,
Le sphere de monde; proprement dicte Cosmographie,,De mundi sphæra,,De mundi sphæra,
Le testament maistre Jehan de Mehun,,,,Testament,
Leaf from Ghistelles book of hours,,,,Book of hours,
Leaf from missal,,,,Missal,
Leaf from pontifical of Michel Guibé,,,,Pontifical,
Leaf from the Koran,,Qurʼan,,Qurʼan,
Leaf of Bible of Mirmellus Arnandi,,,,Bible,
Leaves from a medieval Bible,,,,Bible,
Lectionary,,Lectionarium missae,,,Lectionary
Lectionary for matins,,Lectionarium officii,,Lectionary,
Lectionary of the Gospels,,Bible,,,Lectionary
Lectionary of the Gospels in Greek,,Bible,,Lectionary,
Lectionary of the New Testament Acts and Epistles in Greek,,Bible,,Lectionary,
Lectionary of the gospels,,Lectionarium missae,,,Lectionary
Lectura arboris genealogiae regum Hispaniae; & specialiter in recta linea Regum Castellae et Legiois,,,,Lectura arboris genealogiae regum Hispaniae,
Leggi degli Accademici Humoristi,,,,Leggi degli Accademici Humoristi,
Leonardi de bello italico adversus gothos gesto,,De bello italico adversus Gothos,,De bello italico adversus Gothos,
"Les deux livres de Geber intitulez le sommaire de perfection, traduictz de la version latine en langage francoys, avec la paraphrase ou plustost interpretion (sic) / par G. D. N. 1562",,,,Sommaire de perfection,
"Les divines institutions de Lactance Firmian contre les Gentilz et ydolatres, dediées à l'Empereur Constantin le grant",,Divinae institutiones,,Divinae institutiones,
Les diz moraulx des philosophes; translattez de lattin en francois par noble homme Messire Guillemme de Tignonville,,,,Les diz moraulx des philosophes,
Les droys feodaulx extraictz et reduictz dallement en langue romayne ou francoyse /; par moy soubscript. Lan 1532. De Lescut,,,,Les droys feodaulx extraictz et reduictz dallement en langue romayne ou francoyse,
Les décades,,Ab urbe condita,,Ab urbe condita,
Letter from Pope Innocent IV to the Abbot and chapter of the Monastery of St. Berthin,,,,Letter from Pope Innocent IV to the Abbot and chapter of the Monastery of St. Berthin,
Letter patent,,,,Letter patent,
Letters patent; citing the rights and privileges of the king as Duke of Lancaster,,,,Letters patent,
Leviticus with the ordinary gloss,,Bible,,Bible;Leviticus,
Li acerba; opera di Cicco d'Ascoli,,,,Li acerba,
Li triumphi del eximio poeta Francisco Petrarcha,,Trionfi,,Trionfi,
Libellus naturalium exemplorum de fide contra vanos et curiosos philosophos,,,,Libellus naturalium exemplorum de fide contra vanos et curiosos philosophos,
Liber Valerii Maximi factorum et dictorum memorabilium ad Tyberium imperatorem,,Factorum et dictorum memorabilium libri IX,,Factorum et dictorum memorabilium libri IX,
Liber beati Bernardi de laude nove miliae ad milites Templi,,De laude nove miliae ad milites Templi,,De laude nove miliae ad milites Templi,
Liber confessionum Augustini,,Confessiones,,Confessions,
Liber de Trinitate beate,,De Trinitate,,De Trinitate,
Liber de generatione et corruptione,,De generatione et corruptione,,De generatione et corruptione,
Liber de regimine principum; editum a fratre Egidio de Roma Ordinis Sancti Augustini,,De regimine principum,,De regimine principum,
Liber divine doctrine / date per ... Sancte virginis Katherine de Senis,,Libro della divina dottrina,,Libro della divina dottrina,
Liber evangelistarum,,Bible,,Bible,
Liber exhortationum beati Augustini episcopi ad Julianum comitem,,Contra Julianum,,Contra Julianum,
Liber machabaeorum,,Bible,,Book of Maccabees,
Liber orationum,,,,Liber orationum,
Liber primus Iustiniani De summa Trinitate et fide Catholica,,Codex (Corpus juris civilis),,Corpus juris civilis,
Liber processionum conventus Augustinianarum S. Sebastiani,,Processionale,,Processionale,
Liber ruralium commodorum,,Ruralia commoda,,,Ruralia commoda
"Liber sextus Decretalium, with the glosses of Joannes Andreae",,Liber sextus Decretalium,,Liber sextus Decretalium,
Liber statutorum et legum Venetorum,,"Laws, etc. (Statuta Veneta)",,Statuta Veneta,
Libri confessionum Aurelii Augustini,,Confessiones,,Confessions,
Libri quattuor fratris Arnoldi Socrini Flutteri adversus quaedam pestilentissima dogmata Martini Lutheri,,,,Libri quattuor fratris Arnoldi Socrini Flutteri adversus quaedam pestilentissima dogmata Martini Lutheri,
Libro de l'osservanza de le cerimonie de la Chiesa di Santo Marco de la Città di Vinetia,,,,Libro de l'osservanza de le cerimonie de la Chiesa di Santo Marco,
License; granting a monopoly in Canada,,,,License,
Life of Catherine of Alexandria in verse,,,,Life of Catherine of Alexandria,
Litterae executoriales,,,,Litterae executoriales,
Liturgical Psalter with calendar,,Psalter,,Psalter,
Liturgy of St. Basil in Greek,,Liturgy of St. Basil,,Liturgy of St. Basil,
"Lives of SS. Anselm, Odo, Majolus, Odilo and Hugo",,,,Vitas,
Lives of the fathers,,,,,Lives of the fathers
Livre de la chass; with Llull's Livre de l'ordre de chevalerie,,,,Livre de la chass;Livre de l'ordre de chevalerie,
"Lo present libre o blasó de les armes; en lo qual estan continuades les armes dels reys, ducs, comptes, e barons, la major part de aq[ue]lls axi de España y de Francia y parts de Itàlia",,,,Lo present libre o blasó de les armes,
