title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb al-fiqh,,,,Text on jurisprudence,Q64062,,
al-Juzʼ al-awwal min Kitāb Qawāʻid al-aḥkām fī maʻrifat al-ḥalāl wa-al-ḥarām,الجزء الاول من كتاب قواعد الاحكام في معرفة الحلال والحرام,Qawāʻid al-aḥkām fī maʻrifat al-ḥalāl wa-al-ḥarām,قواعد الاحكام في معرفة الحلال والحرام,Qawāʻid al-aḥkām fī maʻrifat al-ḥalāl wa-al-ḥarām,Q103551,,
Sharḥ Qawāʻid al-ʻAllāmah al-Ḥillī,شرح قواعد العلامة الحلي,,,Texts on Islamic law,Q12197,,
al-Qawānīn al-muḥkamah,القوانين المحكمة,,,al-Qawānīn al-muḥkamah,Q103552,,
al-Qawānīn al-muḥkamah,,,,al-Qawānīn al-muḥkamah,Q103552,,
al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,الروضة البهية في شرح اللمعة الدمشقية,Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,روضة البهية في شرح اللمعة الدمشقية,al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,Q103553,,
Second half of al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,,Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,روضة البهية في شرح اللمعة الدمشقية,Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,Q103554,,
al-Juzʼ al-awwal min al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Shahīdiyah al-Dimashqīyah,الجزء الاول من الروضة البهية في شرح اللمعة الشهيدية الدمشقية,Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,روضة البهية في شرح اللمعة الدمشقية,Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,Q103554,,
al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,,,,al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah,Q103553,,
Taʻlīqat /,تعليقة /,Zaharāt al-dhawīyah fī al-Rawḍah al-bahīyah,زهرات الذوية في الروضة البهية,Zaharāt al-dhawīyah fī al-Rawḍah al-bahīyah,Q103555,,
al-Zaharāt al-dhawīyah fī al-Rawḍah al-bahīyah,الزهرات الذوية في الروضة البهية,Zaharāt al-dhawīyah fī al-Rawḍah al-bahīyah,زهرات الذوية في الروضة البهية,Zaharāt al-dhawīyah fī al-Rawḍah al-bahīyah,Q103555,,
Ḥāshiyat Āqā Jamāl bar Sharḥ Lumʻah,حاشية آقا جمال بر شرح لمعة,,,Texts on Islamic law,Q12197,,
Ḥāshiyat Āqā Ḥusayn Khuwānsārī bar Sharḥ Lumʻah,حاشية آقا حسين خوانساري بر شرح لمعة,,,Texts on Islamic law,Q12197,,
Ḥāshiyah ʻalá al-Rawḍah al-bahīyah,,,,Texts on Islamic law,Q12197,,
Taqrīrāt dar uṣūl,تقرىرات در اصول,,,Texts on Islamic law,Q12197,,
Risālah fī al-istiṣḥāb /,رسالة في الاستصحاب /,,,Texts on Islamic law,Q12197,,
Riyāḍ al-masāʼil fī taḥqīq al-aḥkām bi-al-dalāʼil,رياض المسائل في تحقيق الاحكام بالدلائل,Riyāḍ al-masāʼil fī taḥqīq al-aḥkām bi-al-dalāʼil,رياض المسائل في تحقيق الاحكام بالدلائل,Riyāḍ al-masāʼil fī taḥqīq al-aḥkām bi-al-dalāʼil,Q103556,,
al-Mujallad al-awwal min Riyāḍ al-masāʼil fī taḥqīq al-aḥkām bi-al-dalāʼil,المجلد الاول من رياض المسائل في تحقيق الاحكام بالدلائل,Riyāḍ al-masāʼil fī taḥqīq al-aḥkām bi-al-dalāʼil,رياض المسائل في تحقيق الاحكام بالدلائل,Riyāḍ al-masāʼil fī taḥqīq al-aḥkām bi-al-dalāʼil,Q103556,,
Hādhā Kitāb Sharḥ kabīr /,هذا كتاب شرح كبير /,Riyāḍ al-masāʼil fī taḥqīq al-aḥkām bi-al-dalāʼil,رياض المسائل في تحقيق الاحكام بالدلائل,Riyāḍ al-masāʼil fī taḥqīq al-aḥkām bi-al-dalāʼil,Q103556,,
al-Sarāʼir al-ḥāwī fī taḥrīr al-fatāwī,,,,Texts on Islamic law,Q12197,,
al-Rābiʻ min al-Taʻlīq al-kabīr /,الرابع من التعليق الكبير /,Taʻlīqah al-kabīrah,تعليقة الكبيرة,Texts on Islamic law,Q12197,,
Kitāb ʻUyūn al-madhāhib /,كتاب عيون المذاهب /,ʻUyūn al-madhāhib al-arbaʻah,عيون المذاهب الاربعة,ʻUyūn al-madhāhib al-arbaʻah,Q103557,,
Kashf al-asrār ʻammā khafiya min al-afkār,,,,Texts on Islamic law,Q12197,,
Mafātīḥ al-ghayb ... [etc.,مفاتيح الغيب ... الخ,,,Texts on Islamic law,Q12197,,
Kitāb al-Nihāyah fī al-fiqh /,كتاب النهاية في الفقه /,Nihāyah fī al-fiqh,نهاية في الفقه,Nihāyah fī al-fiqh,Q103558,,
Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār ... [etc.,طوالع الانوار من مطالع الانظار ... الخ,,,Texts on Islamic law,Q12197,,
al-Fawāʼid al-Ḥāʼirīyah ; Risālah fī al-istiṣḥāb ... [etc.,الفوائد الحائرية ؛ رسالة في الاستصحاب ... الخ,,,Texts on Islamic law,Q12197,,
Sharḥ Mukhtaṣar Mawlānā Abī Jaʻfar al-Ṭaḥāwī,شرح مختصر مولانا ابي جعفر الطحاوي,,,Texts on Islamic law,Q12197,,
al-Mūjiz al-ḥāwī li-taḥrīr al-fatāwī ... [etc.,الموجز الحاوي لتحرير الفتاوي ... الخ,,,Texts on Islamic law,Q12197,,
Ḥāshiyat ʻUddah,حاشية عدة,,,Texts on Islamic law,Q12197,,
al-Wāfiyah,,,,Texts on Islamic law,Q12197,,
Ḥāshiyah-i /,حاشىه /,,,Texts on Islamic law,Q12197,,
Sharḥ Wāfiyah /,شرح وافية /,,,Texts on Islamic law,Q12197,,
Sharḥ al-Waraqāt,,,,Sharḥ al-Waraqāt,Q39418,,
Ḥāshiyah ʻalá al-Waraqāt,,,,Texts on Islamic law,Q12197,,
Wasāʼil al-najāh,وسائل النجاة,,,Texts on Islamic law,Q12197,,
al-Zahrah al-bāriqah li-maʻrifat aḥwāl al-majāz wa-al-ḥaqīqah,الزهرة البارقة لمعرفة احوال المجاز والحقيقة,,,Texts on Islamic law,Q12197,,
Zubdat al-uṣūl /,زبدة الاصول /,,,Zubdat al-uṣūl,Q103559,,
Zubdat al-uṣūl,,,,Zubdat al-uṣūl,Q103559,,
Sharḥ Zubdah li-Shaykh Bahāʼ,شرح زبدة لشيخ بهاء,,,Texts on Islamic law,Q12197,,
Sharḥ ʻalá Naẓm Zubdat al-uṣūl,شرح على نظم زبدة الاصول,,,Texts on Islamic law,Q12197,,
al-ʻIqd al-munaẓẓam lil-ḥukkām min al-ʻuqūd wa-al-aḥkām,العقد المنظم للحكام من العقود والاحكام,,,Texts on Islamic law,Q12197,,
Collection of Shiʻite law texts,,,,Texts on Islamic law,Q12197,,
al-Gharawīyah fī sharḥ al-Jaʻfarīyah ... [etc,الغروية في شرح الجعفرية ... الخ,,,Texts on Islamic law,Q12197,,
Panj risālah ast /,پنج رساله است /,Works,اعمال,Works,Q5989,,
Shiʻite miscellany,,,,,,Shia texts,Q67267
Four Arabic and Persian texts,,,,Texts on Islamic law,Q12197,,
Ṣilah wa-al-ʻāʼidah fī ṭarīqat ʻamal al-munāsakhāt bi-jāmiʻah wāḥidah ... [etc,صلة والعائدة في طريقة عمل المناسخات بجامعة واحدة ... الخ,,,Texts on Islamic law,Q12197,,
Minhāj fī al-fiqh,منهاج في الفقه,Minhāj al-ṭālibīn,منهاج الطالين,Text on jurisprudence,Q64062,,
al-Mafrūḍ ʻalá muʼaddī al-furūḍ min ʻilm al-tawḥīd wa-rubʻ al-ʻibādah /,المفروض على مؤدي الفروض من علم التوحيد وربع العبادة /,,,Texts on Islamic law,Q12197,,
Ṣafwat al-Zubad,صفوة الزبد,,,Texts on Islamic law,Q12197,,
Kitāb taʼlīf al-imām shaykh mashāyikh al-Islām al-ʻallāmah Aḥmad ibn Qāsim al-ʻUbbādī al-Azharī ḥawāshin ʻalá Sharḥ al-Minhāj lil-imām al-muḥaqqiq Shihāb al-millah wa-al-dīn Aḥmad ibn Ḥajar al-Haythamī,كتاب تأليف الامام شيخ مشايخ الاسلام العلامة احمد بن قاسم العبادي الازهري حواش على شرح المنهاج للامام المحقق شهاب الملة والدين احمد بن حجر الهيثمي,Ḥāshiyah ʻalá Tuḥfat al-muḥtāj bi-sharḥ al-Minhāj taʼlīf Aḥmad ibn Ḥajar al-Haythamī,,Texts on Islamic law,Q12197,,
Ḥāshiyah ʻalá Tuḥfat al-muḥtāj bi-sharḥ al-Minhāj taʼlīf Aḥmad ibn Ḥajar al-Haythamī,,,,Texts on Islamic law,Q12197,,
Kitāb mawsūm bi-Manhaj al-ṭullāb /,كتاب موسوم بمنهج الطلاب /,Manhaj al-ṭullāb,منهج الطلاب,Texts on Islamic law,Q12197,,
Kitāb Kashf al-ghummah ʻan jamīʻ al-ummah /,كتاب كشف الغمة عن جميع الامة /,Kashf al-ghummah ʻan jamīʻ al-ummah,كشف الغمة عن جميع الامة,Texts on Islamic law,Q12197,,
Kitāb Kanz al-Rāghibīn sharḥ Minhāj al-ṭālibīn /,كتاب كنز الراغبين شرح منهاج الطالبين /,Sharḥ Minhāj al-ṭālibīn,شرح منهاج الطالبين,Sharḥ Minhāj al-ṭālibīn,Q12257,,
al-Juzʼ al-thālith min Kitāb al-Rawḍah al-mubārakah,الجزء الثالث من كتاب الروضة المباركة,Rawḍat al-ṭālibīn,روضة الطالبين,Texts on Islamic law,Q12197,,
Tuḥfat al-muḥtāj bi-sharḥ al-Minhāj,تحفة المحتاج بشرح المنهاج,,,Tuḥfat al-muḥtāj bi-sharḥ al-Minhāj,Q103560,,
Sharḥ-i Mughnī-i Manṣūr-i Qāʼānī,شرح مغني منصور قاءاني,Sharḥ al-Mughnī fī uṣūl al-fiqh,شرح المغني في اصول الفقه,Sharḥ al-Mughnī fī uṣūl al-fiqh,Q103550,,
Incomplete text on Islamic law,,,,Texts on Islamic law,Q12197,,
Sharḥ Ibn al-Ḥājib /,شرح ابن الحاجب /,Tuḥfat al-masʼūl fī sharḥ Mukhtaṣar Muntahá al-sūl,تحفة المسؤول في شرح مختصر منتهى السول,Texts on Islamic law,Q12197,,
Mukhtaṣar Rawḍat al-nāẓir wa-jannat al-munāẓir /,مختصر روضة الناظر وجنة المناظر /,Mukhtaṣar Rawḍat al-nāẓir,مختصر روضة الناظر,Texts on Islamic law,Q12197,,
Mawāhib al-jalīl fī sharḥ Mukhtaṣar al-Shaykh Khalīl,,,,Texts on Islamic law,Q12197,,
Sharḥ Mukhtaṣar Khalīl,,,,Sharḥ Mukhtaṣar Khalīl,Q103548,,
Ismāʻ al-ṣumm fī ithbāt al-sharaf min qibal al-umm,,,,Texts on Islamic law,Q12197,,
Taḥrīr al-kalām fī masāʼil al-iltizām,,,,Texts on Islamic law,Q12197,,
al-Jawāhir al-zakīyah fī ḥall alfāẓ al-Ashmāwīyah,,,,Texts on Islamic law,Q12197,,
al-Yawāqīt al-thamīnah fīmā intamá li-ālim al-Madīnah,,,,Texts on Islamic law,Q12197,,
al-Muhadhdhab fī al-madhhab,,,,Texts on Islamic law,Q12197,,
al-Majmūʻ fī sharḥ al-Mudhahhab,,,,Texts on Islamic law,Q12197,,
