title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Directions for priests,,,,,,Pastoral text,Q39947
Geometrical propositions,,,,,,Geometry text,Q12727
Exempla; Homilies; Life of Catherine of Siena,,,,,,Exempla;Homilies;Life of Catherine of Siena,Q39142;Q1246;Q39144
Margarita decreti,,,,,,Margarita decreti,Q39599
Opus pacis,,,,,,Opus pacis,Q39658
Selections from De re rustica,,De re rustica,,,,De re rustica,Q39765
"Selections from Cicero, Scriptores historiae Augustae and Petrarch",,,,,,Latin texts,Q39764
Excerpt from Giorgio Valla's De expetendis et fugiendis rebus opus,,,,,,De expetendis et fugiendis rebus opus,Q39381
Grammatical treatises,,,,,,Grammatical texts,Q38407
Penitentiarius,,,,,,Penitential,Q40015
Miscellany with St. Patrick's Purgatory,,,,,,Miscellany;Saint Patrick's Purgatory,Q3673;Q38394
"Petrus Aureoli, Compendium sacre scripture",,Compendium sensus litteralis totius sacrae Scripturae,,,,Compendium sensus litteralis totius Sacrae Scripturae,Q6054
Pastoral miscellany,,,,,,Pastoral texts,Q38403
Commentaries on Peter Lombard,,,,,,Commentary on Lombard,Q39255
Evidentiae contra Durandum,,,,,,Evidentiae contra Durandum,Q39379
Sermons and selections from Meditationes de passione Christi,,,,,,Meditationes de Passione Christi,Q20020
Book of John Mandeville,,Itinerarium,,,,Travels of Sir John Mandeville;Itinerarium,Q39846;Q1340
Crypto-Catholic Shrewsbury prayer book,,,,,,Prayer book,Q1486
Book of Hours: selected leaves,,,,,,Book of hours,Q795
Antiphonal,,Antiphonary (Augustinian),,Antiphonary,Q654,,
