row_index,workflow_history,place_as_recorded,structured_value
39,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","Florence?, Italy",http://vocab.getty.edu/tgn/7000457|http://vocab.getty.edu/tgn/1000080
40,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",France,http://vocab.getty.edu/tgn/1000070
41,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",France (?),http://vocab.getty.edu/tgn/1000070
42,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","France, Anjou?",http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7017069
43,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","France, Brittany",http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7024267
44,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","France, Dauphiné",http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7007764
45,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","France, Franche Comté (?)",http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7645440
46,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","France, Normandy",http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7002886
47,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","France, Northern",http://vocab.getty.edu/tgn/1000070
48,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","France, Picardy",http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7002890
49,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",France?,http://vocab.getty.edu/tgn/1000070
50,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",France? Netherlands?,http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7016845
51,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","France?, Champagne?",http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7658604
52,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",Germany,http://vocab.getty.edu/tgn/7000084
53,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",Germany (?),http://vocab.getty.edu/tgn/7000084
54,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","Germany,",http://vocab.getty.edu/tgn/7000084
55,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","Germany, Bavaria",http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/7003669
56,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","Germany, Bavaria or west Austria?",http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/7003669|http://vocab.getty.edu/tgn/1000062
57,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Germany, Lorraine",http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/7024272
58,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.184Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Germany, Rhineland",http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/7003683
59,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Germany, Rhineland, upper",http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/7003683
60,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Germany, Thuringia",http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/7024274
