title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
al-Mujallad al-thānī min Sharḥ Sharḥ wa-ikhtiṣār Sharḥ al-Asbāb /,المجلد الثاني من شرح شرح واختصار شرح الاسباب /,Sharḥ Sharḥ wa-ikhtiṣār Sharḥ al-Asbāb,شرح شرح واختصار شرح الاسباب,,,,
Nuzʹhat al-naẓar fī ḥāl al-shams wa-al-qamar,نزهة النظر في حال الشمس والقمر,,,,,,
Ḥāshiyah ʻalá Sharḥ Shamsīyah,حاشية على شرح شمسية,,,,,,
Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,تحرير القواعد المنطقية في شرح الرسالة الشمسية,,,Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,Q108587,,
Hādhā Sharḥ al-sabʻ āyāt,هذا شرح السبع آيات,Sharḥ al-sabʻ āyāt,شرح السبع آيات,,,,
Mūjiz fī al-ṭibb,موجز في الطب,Mūjiz al-Qānūn,موجز القانون,Mūjiz al-Qānūn,Q39496,,
Sharḥ al-Jighmīnī fī al-hayʼah /,شرح الجغميني في الهيئة /,Sharḥ al-Mulakhkhaṣ fī al-hayʼah,شرح الملخص في الهيئة,Sharḥ al-Mulakhkhaṣ fī al-hayʼah,Q108586,,
Kitāb al-Taṣrīḥ bi-al-maknūn fī tanqīḥ al-Qānūn /,كتاب التصريح بالمكنون في تنقيح القانون /,Taṣrīḥ bi-al-maknūn fī tanqīḥ al-Qānūn,تصريح بالمكنون في تنقيح القانون,,,,
Taqāwīm al-sayyārah wa-al-aʻmāl al-zījīyah,تقاوىم السىارة والاعمال الزىجىة,,,,,,
Hādhā Kitāb matn al-Nuzʹhah,هذا كتاب متن النزهة,Nuzʹhat al-nuẓẓār fī ʻilm al-ghubār,نزهة النظار في علم الغبار,,,,
