name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Nīsābūrī, al-Ḥasan ibn Muḥammad, active 15th century",author,نيسابوري، الحسن بن محمد,,,,,,,human,al-Ḥasan ibn Muḥammad Nīsābūrī,Q131398902,Q68351
"Ṣūfī, ʻAbd al-Raḥmān ibn ʻUmar, 903-986",author,صوفي، عبد الرحمن بن عمر,,,,,,,human,Abd al-Rahman al-Sufi,Q11075,Q27986
"Dawwānī, Muḥammad ibn Asʻad, 1426 or 1427-1512 or 1513",author,دواني، محمد بن اسعد,,,,,,,human,Jalal al-Din Davani,Q4116938,Q40510
"Saʻīdī, Mīr Abū al-Fatḥ ibn Makhdūm, active 16th century",author,سعيدي، مير ابو الفتح ابن مخدوم,,,,,,,human,Mīr Abū al-Fatḥ ibn Makhdūm Saʻīdī,Q129951591,Q54220
"Avicenna, 980-1037",author,ابن سينا,,,,,,,human,Avicenna,Q8011,Q2845
"Irbilī, Muḥammad ibn al-Khaṭīb",author,اربلي، محمد بن الخطيب,,human,Muḥammad ibn al-Khaṭīb Irbilī,Q136458554,DSNAME8985,Q108561,,,,
"ʻAlī ibn Riḍwān, -approximately 1068",author,عل بن رضوان,,human,Ali ibn Ridwan,Q287492,DSNAME8986,Q108562,,,,
"Tirmānīnī, Aḥmad ibn ʻAbd al-Karīm, d. 1876",author,,,,,,,,,,,
"Harawī, Muḥammad ibn Yūsuf, active 16th century",author,هروي، محمد بن يوسف، active 16th century,,human,Muhammad ibn Yusuf al-Harawi,Q4116947,DSNAME8978,Q108554,,,,
"Shirwānī, Kamāl ibn Mahdī Qulī, active 17th-18th century",scribe,شرواني، كمال بن مهدي قلي، active 17th-18th century,,,,,,,,,,
"Mīr Zāhid, Muḥammad ibn Muḥammad, -1689 or 1690",author,مير زاهد، محمد بن محمد، -1689 or 1690,,human,Muḥammad ibn Muḥammad Mīr Zāhid,Q20423296,DSNAME8987,Q108563,,,,
"Nafīs ibn ʻIwaḍ, -approximately 1449",author,نفيس بن عوض، -approximately 1449,,,,,,,human,Nafīs ibn ʻIwaḍ,Q120599075,Q41312
"Khān Mullā, Muḥammad Ḥusayn, -1795 or 1796",author,خان ملا، محمد حسين، -1795 or 1796,,human,Muḥammad Ḥusayn Khān Mullā,Q136458555,DSNAME8988,Q108564,,,,
"Kāshif al-Ghiṭāʼ, Hādī, 1872 or 1873-1942",former owner,كاشف ال غطاء، هادي,,human,Hadi Kashif al-Ghita,Q12249586,DSNAME8989,Q108525,,,,
"Ibn al-Ḥanbalī, Muḥammad ibn Ibrāhīm, 1502 or 1503-1563",author,ابن الحنبلي، محمد بن ابراهيم,,,,,,,human,Razi al-Din ibn al-Hanbali,Q5728875,Q54317
"Siyālkūtī, ʻAbd al-Ḥakīm ibn Shams al-Dīn, -1656",author,سيالكوتي، عبد الحكيم بن شمس الدين,,,,,,,human,ʻAbd al-Ḥakīm ibn Shams al-Dīn Siyālkūtī,Q129951519,Q54171
"Qūjawī, Dāwūd ibn Kamāl, -1541 or 1542",author,قوجوي، داود بن كمال,,,,,,,human,Dāwūd ibn Kamāl Qūjawī,Q130374962,Q54776
"Sijzī, Aḥmad ibn Muḥammad, -1084 or 1085",author,سجزي، احمد بن محمد,,,,,,,human,Sijzi,Q2829280,Q54927
"Āmulī, Muḥammad ibn Maḥmūd, -1352 or 1353",author,,,,,,,,human,Muhammad ibn Mahmud Amuli,Q3296224,Q49031
"Ṭabīb, ʻAlī ibn Muḥammad, 17th cent",author,,,,,,,,,,,
"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311",author,,,,,,,,human,Qutb al-Din al-Shirazi,Q729903,Q12301
