holding_institution_ds_qid,holding_institution_wikidata_label,ds_id,source_data_type,filename,holding_institution_institutional_id,institutional_id_location_in_source,record_last_updated,call_number,link_to_institutional_record,title,iiif_manifest_url,dated,manifest_generated_at
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9661,marc-xml,20250128-huntington-marcxml.xml,.b18618868,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1101,https://catalog.huntington.org/record=b1861886,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46050/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9662,marc-xml,20250128-huntington-marcxml.xml,.b1861887x,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1102,https://catalog.huntington.org/record=b1861887,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:45902/manifest.json,true,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9663,marc-xml,20250128-huntington-marcxml.xml,.b18618881,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1104,https://catalog.huntington.org/record=b1861888,"Book of Hours, use of Rome, and a Prayerbook :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46280/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9594,marc-xml,20250128-huntington-marcxml.xml,.b18201210,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 111,https://catalog.huntington.org/record=b1820121,Poems :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:9873/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9650,marc-xml,20250128-huntington-marcxml.xml,.b18618753,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 112,https://catalog.huntington.org/record=b1861875,Scale of perfection :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49427/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9685,marc-xml,20250128-huntington-marcxml.xml,.b18619113,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1121,https://catalog.huntington.org/record=b1861911,Hymnal for vespers :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:47984/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9664,marc-xml,20250128-huntington-marcxml.xml,.b18618893,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1123,https://catalog.huntington.org/record=b1861889,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48177/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9665,marc-xml,20250128-huntington-marcxml.xml,.b1861890x,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1124,https://catalog.huntington.org/record=b1861890,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48032/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9666,marc-xml,20250128-huntington-marcxml.xml,.b18618911,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1125,https://catalog.huntington.org/record=b1861891,"Book of Hours, Sarum use :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48524/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9667,marc-xml,20250128-huntington-marcxml.xml,.b18618923,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1126,https://catalog.huntington.org/record=b1861892,"Book of Hours, use of Amiens :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48579/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9668,marc-xml,20250128-huntington-marcxml.xml,.b18618935,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1127,https://catalog.huntington.org/record=b1861893,"Book of Hours, in Dutch :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48476/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9669,marc-xml,20250128-huntington-marcxml.xml,.b18618947,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1128,https://catalog.huntington.org/record=b1861894,"Book of Hours, use of Paris :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48625/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9670,marc-xml,20250128-huntington-marcxml.xml,.b18618959,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1129,https://catalog.huntington.org/record=b1861895,"Book of hours, use of Paris, in French :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48556/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9860,marc-xml,20250128-huntington-marcxml.xml,.b18620917,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 113,https://catalog.huntington.org/record=b1862091,"Brut Chronicle, in English :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49418/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9611,marc-xml,20250128-huntington-marcxml.xml,.b18489928,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1130,https://catalog.huntington.org/record=b1848992,"Book of Hours, use of Paris :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48491/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9671,marc-xml,20250128-huntington-marcxml.xml,.b18618960,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1131,https://catalog.huntington.org/record=b1861896,"Book of Hours, use of the congregation of Windesheim :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48669/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9672,marc-xml,20250128-huntington-marcxml.xml,.b18618972,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1132,https://catalog.huntington.org/record=b1861897,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48469/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9673,marc-xml,20250128-huntington-marcxml.xml,.b18618984,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1133,https://catalog.huntington.org/record=b1861898,"Book of Hours, use of Paris :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48941/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9674,marc-xml,20250128-huntington-marcxml.xml,.b18618996,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1134,https://catalog.huntington.org/record=b1861899,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48693/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9675,marc-xml,20250128-huntington-marcxml.xml,.b18619009,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1135,https://catalog.huntington.org/record=b1861900,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50883/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9676,marc-xml,20250128-huntington-marcxml.xml,.b18619010,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1136,https://catalog.huntington.org/record=b1861901,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48864/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9677,marc-xml,20250128-huntington-marcxml.xml,.b18619022,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1137,https://catalog.huntington.org/record=b1861902,"Book of Hours, use of Besançon[?] :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48962/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9678,marc-xml,20250128-huntington-marcxml.xml,.b18619034,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1138,https://catalog.huntington.org/record=b1861903,"Book of hours, use of Paris[?] :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48922/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9679,marc-xml,20250128-huntington-marcxml.xml,.b18619046,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1139,https://catalog.huntington.org/record=b1861904,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48711/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9613,marc-xml,20250128-huntington-marcxml.xml,.b18498723,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20201204,mssHM 114,https://catalog.huntington.org/record=b1849872,Piers Plowman; Mandeville; Troilus; etc. :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:31197/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9680,marc-xml,20250128-huntington-marcxml.xml,.b18619058,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1140,https://catalog.huntington.org/record=b1861905,"Devotions, in Dutch :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48917/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9681,marc-xml,20250128-huntington-marcxml.xml,.b1861906x,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1141,https://catalog.huntington.org/record=b1861906,"Book of Hours, use of Bescançon :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48998/manifest.json,false,2025-01-28T22:27:26.126326400Z
