row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
32,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Ottoman Turkish,ota,,,Ottoman Turkish,Q36730
33,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Ottoman Turkish with titles and vocabulary in Persian,ota,Ottoman Turkish;Persian,Q36730;Q9168,,
34,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Ottoman Turkish with two pages in Arabic,ota,Ottoman Turkish;Arabic,Q36730;Q13955,,
35,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Ottoman with translations from Arabic; inserts in Persian laid in,ota,,,Ottoman Turkish;Arabic;Persian,Q36730;Q13955;Q9168
36,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Pahlavi and Persian,pal,Middle Persian;Persian,Q32063;Q9168,,
37,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian,per,,,Persian,Q9168
38,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian,ara,,,Persian,Q9168
39,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian and Arabic,per,,,Persian;Arabic,Q9168;Q13955
40,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian translations and commentary with Arabic source-text,per,,,Persian;Arabic,Q9168;Q13955
41,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian with Arabic source-text,per,,,Persian;Arabic,Q9168;Q13955
