title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
Taṣrīḥ fī sharḥ Tashrīḥ al-aflāk,تصريح في شرح تشريح الافلاك.,,,,Taṣrīḥ fī sharḥ Tashrīḥ al-aflāk
Three treatises on astronomy and arithmetic],,,,,Treatises on astronomy and arithmetic
Translation from the French into Persian of Jean Manesca's Six Courses of French Lessons,,,,,Six Courses of French Lessons
Treatise on composing letters],,,,Treatise on composing letters,
Tuhfe-yi Șāhidī],تحفه شاهدى,,,,Tuhfe-yi Șāhidī
Tuḥfat al-mulūk,تحفة الملوك.,,,,Tuḥfat al-mulūk
Tuḥfat al-ʻirfān,تحفة العرفان.,,,,Tuḥfat al-ʻirfān
Two Persian miniatures,,,,,Two Persian miniatures
Two illustrations from Qurʼānic stories],,,,,Two illustrations from Qurʼānic stories
Two mounted Qurʼān leaves],,Qurʼan.,قرآن.,,Qurʼan
Two works on astronomy in Persian,,,,,Two works on astronomy in Persian
Uṣūl al-handasah wa-al-ḥisāb /,اصول الهندسة والحساب /,Elements.,,Elements,
Uṣūl al-handasah wa-al-ḥisāb. Fī bayān al-murabbaʻāt,اصول الهندسة والحساب. في بيان المربعات.,Elements.,,Elements,
Vaṣiyyet,وصيت.,Vasiyyetname,,,Vasiyyetname
Vendidad Sade],,Avesta.,,,Avesta
Vīdēvdād],,Avesta.,,,Avesta
Wooden writing tablet for teaching grammar and religion],,,,,Wooden writing tablet
Ziyārat-i ʻĀshūrāʼ,ز&#٬٠٦كك؛ارات عاشوراء.,,,Ziyārat-i ʻĀshūrāʼ,
Zād al-maʻād,زاد المعاد.,,,,Zād al-maʻād
Zīj,زيج.,,,,Zīj
Zīj-i sulṭānī],زيج سلطانى,,,,Zīj-i sulṭānī
al-Abjad],الأبجد.,,,,al-Abjad
al-Jabr wa al-muqābalah,الجبر والمقابلة.,,,,al-Jabr wa al-muqābalah
al-Juzʼ al-awwal,الجزء الاول.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-khāmis,الجزء الخامس.,Qurʼan.,قرآن.,,Qurʼan
al-Juzʼ al-khāmis wa-al-ʻishrūn,الجزء الخامس والعشرون.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-khāmis ʻashar min al-rabʻah al-sharīfah,الجزء الخامس عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-khāmis ʻashar],الجزء الخامس عشر.,Qurʼan.,قرآن.,,Qurʼan
al-Juzʼ al-rābiʻ,الجزء الرابع.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-rābiʻ wa-al-ʻishrūn,الجزء الرابع والعشرون.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-rābiʻ ʻashar,الجزء الرابع عشر.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-rābiʻ ʻashar min al-rabʻah al-sharīfah,الجزء الرابع عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-sābiʻ wa-al-ʻishrūn,الجزء السابع والعشرون.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-sādis,الجزء السادس.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-sādis ʻashar,الجزء السادس عشر.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-thālith ʻashar,الجزء الثالث عشر.,Qurʼan.,قرآن.,,Qurʼan
al-Juzʼ al-thāmin,الجزء الثامن.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-thāmin wa-al-ʻishrūn,الجزء الثامن والعشرون.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-thāmin ʻashar,الجزء الثامن عشر.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-thāmin ʻashar],الجزء الثامن عشر.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-thānī wa-al-ʻishrūn,الجزء الثاني والعشرون.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-thānī wa-al-ʻishrūn],الجزء الثاني والعشرون.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-tāsiʻ,الجزء التاسع.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-tāsiʻ ʻashar,الجزء التاسع عشر.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-ʻishrūn,الجزء العشرون.,Qurʼan.,قرآن.,,Qurʼan
al-Juzʼ al-ḥādī wa-al-ʻishrūn],الجزء الحادي والعشرون.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ al-ḥādī ʻashar,الجزء الحادي عشر.,Qurʼan.,قرآن.,,Qurʼan
al-Juzʼ al-ḥādī ʻashr,الجزء الحادي عشر.,Qurʼan.,قرآن.,Qurʼan,
al-Juzʼ... min kitāb Tārīkh madīnat Dimashq,الجزء...من كتاب تاريخ مدينة دمشق.,Tārīkh madīnat Dimashq.,تاريخ مدينة دمشق.,,Tārīkh madīnat Dimashq
al-Kāfiyah,الكافية,Kāfiyah,كافية,,Kāfiyah
al-Maqāmāt,المقامات.,,,,al-Maqāmāt
al-Mujallad al-rābiʻ min al-mathnawī al-maʻnawī al-hādī ilá ṣirāṭ al-sawī,المجّلد الرابع من المثنوي المعنوي الهادي الى صراط السوي.,Mas̲navī.,مثنوى.,Mas̲navī,
al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة.,,,Sharḥ al-Jaghmīnī,
al-Mulāḥaẓah al-intiqādiyah fī al-sīrah al-Muḥammadīyah,الملاحظة الانتقادية في السيرة المحمدية.,,,,al-Mulāḥaẓah al-intiqādiyah fī al-sīrah al-Muḥammadīyah
al-Muqaddimah al-Ghaznawīyah,المقدمة الغزنوية.,,,,al-Muqaddimah al-Ghaznawīyah
