title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb al-Durr al-naḍīd fī sharḥ takhmīs al-Qaṣīd taṣnīf al-Shaykh al-Imām al-ʻĀlim Ibn al-ʻAbbās al-Baṣīr /,,كتاب الدر النضيد في شرح تخميس القصيد تصنيف الشيخ الامام العالم ابن العباس البصير /,Durr al-naḍīd fī sharḥ takhmīs al-Qaṣīd,در النضيد في شرح تخميس القصيد,,,Durr al-naḍīd fī sharḥ takhmīs al-Qaṣīd,Q11763
Maṭlaʻ al-nayyirayn wa-baʻḍ rasāʼil al-Qīrāṭī,,مطلع النيرين وبعض رسائل القيراطي,Maṭlaʻ al-nayyirayn,مطلع النيرين,,,Maṭlaʻ al-nayyirayn,Q11934
Kitāb Rashf al-manhilayn,,كتاب رشف المنهلين,Rashf al-manhilayn,رشف المنهلين,,,Rashf al-manhilayn,Q12235
al-Jazl al-muʻtamad al-mufīd,,الجزل المعتمد المفيد,,,,,Jazl al-muʻtamad al-mufīd,Q11955
al-Jalīs al-laṭīf wa-al-nadīm al-ẓarīf ... [etc,,الجليس اللطيف والنديم الظريف ... الخ,,,Jalīs al-laṭīf wa-al-nadīm al-ẓarīf,Q11701,,
Majmūʻat ashʻār mukhtalifah,,مجموعة اشعارمختلفة,,,,,Majmūʻat ashʻār mukhtalifah,Q11818
Kitāb Kanz al-dhakhāʼir wa-hadīyat al-musāfir ilá al-nūr al-sāfir sharḥ al-Tāʼīyah al-Subkīyah /,,كتاب كنز الذخائر وهدية المسافر الى النور السافر شرح التائية السبكية /,Kanz al-dhakhāʼir wa-hadīyat al-musāfir ilá al-nūr al-sāfir sharḥ al-Tāʼīyah al-Subkīyah,کنز الذخائر وهدية المسافر الى النور السافر شرح التائية السبکية,,,Kanz al-dhakhāʼir wa-hadīyat al-musāfir ilá al-nūr al-sāfir sharḥ al-Tāʼīyah al-Subkīyah,Q12078
Hāz̲ā Qaṣīdah-i Qasṭallānī,,هذا قصيده قسطلانى,Mukhammasāt al-Qasṭallānī,مخمسات القسطلاني,,,Arabic poetry,Q12007
Kitāb Izālat al-ʻubūs ʻan Qaṣīdat Ibn ʻArūs,,کتاب ازالة العبوس عن قصيدة ابن عروس,Izālat al-ʻubūs ʻan Qaṣīdat Ibn ʻArūs,ازالة العبوس عن قصيدة ابن عروس,,,Izālat al-ʻubūs ʻan Qaṣīdat Ibn ʻArūs,Q12116
al-Durr al-munaẓẓam fī madḥ al-ḥabīb al-aʻẓam,,الدر المنظم في مدح الحبيب الاعظم,,,,,Durr al-munaẓẓam fī madḥ al-ḥabīb al-aʻẓam,Q11797
Hādhā al-Dīwān Rawḍat al-ʻirfān wa-nuzʹhat al-insān,,هذا الديوان روضة العرفان ونزهة الانسان,Rawḍat al-ʻirfān wa-nuzʹhat al-insān,روضة العرفان ونزهة الانسان,,,Rawḍat al-ʻirfān wa-nuzʹhat al-insān,Q12255
Hādhā Dīwān Fatḥ Allāh al-Baylūnī,,هذا ديوان فتح الله البيلوني,Dīwān,ديوان,,,Diwan,Q11912
Dīwān] /,,ديوان /,,,Diwan,Q11912,,
Hādhā al-Kitāb Sharḥ lil-Qaṣīdah al-Dālīyah,,هذا الكتاب شرح للقصيدة الدالية,Sharḥ lil-Qaṣīdah al-Dālīyah,شرح للقصيدة الدالية,,,Sharḥ lil-Qaṣīdah al-Dālīyah,Q11901
Kitāb Manāyiḥ al-alṭāf fī madāyiḥ al-ashrāf /,,كتاب منايح الالطاف في مدايح الاشراف /,Manāyiḥ al-alṭāf fī madāyiḥ al-ashrāf,منايح الالطاف في مدايح الاشراف,,,Manāyiḥ al-alṭāf fī madāyiḥ al-ashrāf,Q12151
Hādhā Dīwān ʻAbd Allāh al-Shabrāwī,,هذا ديوان عبد الله الشبراوي,Manāyiḥ al-alṭāf fī madāyiḥ al-ashrāf,منايح الالطاف في مدايح الاشراف,,,Manāyiḥ al-alṭāf fī madāyiḥ al-ashrāf,Q12151
Badr al-majāmīʻ,,بدر المجاميع,,,,,Badr al-majāmīʻ,Q12233
al-Durr al-muntaẓam bi-al-shiʻr al-multazam fī madḥ al-Nabī /,,الدر المنتظم بالشعر الملتزم في مدح النبي /,,,,,Durr al-muntaẓam bi-al-shiʻr al-multazam fī madḥ al-Nabī,Q12039
Dīwān /,,ديوان,,,,,Diwan,Q11912
Collection of Arabic poems,,,,,,,Arabic poetry,Q12007
Muẓhir al-barakāt,,مظهر البرکات,,,,,Muẓhir al-barakāt,Q12084
Majmūʻat ashʻār fī madḥ sayyidī Aḥmad al-Badawī,,مجموعة اشعار في مدح سيدي احمد البدوي,,,,,Majmūʻat ashʻār fī madḥ sayyidī Aḥmad al-Badawī,Q12051
al-Anwār al-qamarīyah sharḥ al-Qaṣīdah al-Maqqarīyah,,الانوار القمرية شرح القصيدة المقرية,,,,,al-Anwār al-qamarīyah sharḥ al-Qaṣīdah al-Maqqarīyah,Q11695
Tarjīʻ al-aṭyār bi-muraqqiṣ al-ashʻār /,,ترجيع الاطيار بمرقص الاشعار /,,,,,Tarjīʻ al-aṭyār bi-muraqqiṣ al-ashʻār,Q11738
Two Arabic poems,,,,,,,Two poems,Q11684
Hādhā Dīwān Abī al-Safā ibn Abī al-Wafā al-ʻIrāqī,,هذا ديوان ابي السفا بن ابي الوفا العراقي,Dīwān,ديوان,,,Diwan,Q11912
Kitāb al-Nawāfiḥ al-ʻiṭrīyah wa-al-lawāqiḥ al-fiṭrīyah al-mushtamilah ʻalá al-nafaḥāt al-sirrīyah wa-madāʼiḥ Khayr al-Barīyah,,كتاب النوافح العطرية واللواقح الفطرية المشتملة على النفحات السرية ومدائح خير البرية,Nawāfiḥ al-ʻiṭrīyah wa-al-lawāqiḥ al-fiṭrīyah al-mushtamilah ʻalá al-nafaḥāt al-sirrīyah wa-madāʼiḥ Khayr al-Barīyah,نوافح العطرية واللواقح الفطرية المشتملة على النفحات السرية ومدائح خير البرية,,,Nawāfiḥ al-ʻiṭrīyah wa-al-lawāqiḥ al-fiṭrīyah al-mushtamilah ʻalá al-nafaḥāt al-sirrīyah wa-madāʼiḥ Khayr al-Barīyah,Q12244
Majmūʻ laṭīf ḥāwī min kull shiʻr ẓarīf wa-fīhi min kalām Ibn al-Darrā wa-Turjumān al-ashwāq,,مجموع لطيف حاوي من کل شعر ظريف وفيه من کلام ابن الدرا وترجمان الاشواق,,,,,Majmūʻ laṭīf ḥāwī min kull shiʻr ẓarīf wa-fīhi min kalām Ibn al-Darrā wa-Turjumān al-ashwāq,Q11982
Majmūʻah shiʻrīyah muntakhabah min al-kitāb al-mashhūr al-musammá al-Badr al-sāfir ʻan uns al-musāfir ... [etc,,مجموعة شعرية منتخبة من الكتاب المشهور المسمى البدر السافر عن انس المسافر ... الخ,,,Majmūʻah shiʻrīyah muntakhabah min al-kitāb al-mashhūr al-musammá al-Badr al-sāfir ʻan uns al-musāfir,Q11846,,
Hādhā Takhmīs ʻalá Qaṣīdat ʻAbd Allāh al-Shabrāwī,,هذا تخميس على قصيدة عبد الله الشبراوي,Takhmīs ʻalá Qaṣīdat ʻAbd Allāh al-Shabrāwī,تخميس على قصيدة عبدالله الشبراوي,,,,
Majmuʻat qaṣāʼid /,,مجموعة قصائد,,,,,Majmuʻat qaṣāʼid,Q11781
al-Taḥdīth ʻan nāzilat al-ḥadīth,,التحديث عن نازلة الحديث,,,,,Taḥdīth ʻan nāzilat al-ḥadīth,Q12201
Hādhihi Qaṣīdat al-marḥūm al-Ḥājj Aḥmad al-Kabbāshī,,هذه قصيدة المرحوم الحاج احمد الكباشي,Qaṣīdah,قصيدة,,,Arabic poetry,Q12007
Qiṭaʻ min al-manẓūmāt al-sabʻ,,قطع من المنظومات السبع,,,,,Qiṭaʻ min al-manẓūmāt al-sabʻ,Q11816
Majmūʻat alghāz wa-nawādir,,مجموعة الغاز ونوادر,,,,,Majmūʻat alghāz wa-nawādir,Q11872
Majmūʻat ashghāl al-mūsīqah wa-al-nawbāt al-sabʻah wa-al-uṣūlāt al-ithnayn wa-sabʻīn uṣūl,,مجموعة اشغال الموسيقة والنوبات السبعة والاصولات الاثنين وسبعين اصول,,,,,Majmūʻat ashghāl al-mūsīqah wa-al-nawbāt al-sabʻah wa-al-uṣūlāt al-ithnayn wa-sabʻīn uṣūl,Q12172
Safīnah /,,سفينة /,,,,,Safīnah,Q11921
al-Samīr al-anīs idha ghuliba al-muḥibb wa-al-jalīs; aw Taballuj al-azʹhār ʻan thughūr ʻarāʼis al-ashʻār,,السمير الانيس اذ غلب المحب والجليس,,,Samīr al-anīs idha ghuliba al-muḥibb wa-al-jalīs,Q39904,,
Majmūʻat qaṣāʼid wa-ashʻār wa-mawwālāt wa-ghayr dhālik,,مجموعة قصائد واشعار وموالات وغير ذلك,,,,,Majmūʻat qaṣāʼid wa-ashʻār wa-mawwālāt wa-ghayr dhālik,Q11898
Collection of Arabic poems and miscellany,,,,,,,Arabic poetry,Q12007
Collection of Arabic texts in three fragments,,,,,,,Arabic texts,Q12258
Kitāb Kalīlah wa-Dimnah,,کتاب کليلة ودمنة,Kalīlah wa-Dimnah,كليلة ودمنة,,,Kalila and Demna,Q18367
al-Juzʼ al-awwal min Kitāb al-Aghānī,,الجزء الاول من كتاب الاغاني,Kitāb al-Aghānī,كتاب الاغاني,,,Kitāb al-Aghānī,Q12189
Mukhtār al-Aghānī fī al-akhbār wa-al-tahānī,,مختار الاغاني في الاخبار والتهاني,Kitāb al-Aghānī,كتاب الاغاني.مختارات,,,Kitāb al-Aghānī,Q12189
Hādhā Kitāb Mufīd al-ʻulūm wa-mubīd al-humūm /,,هذا كتاب مفيد العلوم ومبيد الهموم /,Mufīd al-ʻulūm wa-mubīd al-humūm,مفيد العلوم ومبيد الهموم,,,Mufīd al-ʻulūm wa-mubīd al-humūm,Q11924
Kitāb Yatīmat al-dahr fī maḥāsin ahl al-ʻaṣr /,,كتاب يتيمة الدهر في محاسن اهل العصر /,Yatīmat al-dahr fī maḥāsin ahl al-ʻaṣr,يتيمة الدهر في محاسن اهل العصر,,,Yatīmat al-dahr fī maḥāsin ahl al-ʻaṣr,Q11801
al-Qism al-thānī min Yatīmat al-dahr fī shuʻarāʼ al-ʻaṣr /,,القسم الثاني من يتيمة الدهر في شعراء العصر /,Yatīmat al-dahr,يتيمة الدهر,,,Yatīmat al-dahr,Q11706
Kitāb al-Tamthīl wa-al-muḥāḍarah,,کتاب التمثيل والمحاضرة,Tamthīl wa-al-muḥāḍarah,تمثيل والمحاضرة,,,Tamthīl wa-al-muḥāḍarah,Q12141
al-Risālah al-jiddīyah li-Ibn Zaydūn al-Andulusī wa-sharḥuhā /,,الرسالة الجدية لابن زيدون الاندلسي وشرحها /,,,,,Risālah al-jiddīyah li-Ibn Zaydūn al-Andulusī wa-sharḥuhā,Q11789
Hādhā Kitāb Bahjat al-majālis wa-anīs al-mujālis /,,هذا كتاب بهجة المجالس وانيس المجالس /,Bahjat al-majālis wa-anīs al-mujālis,بهجة المجالس وانيس المجالس,,,Bahjat al-majālis wa-anīs al-mujālis,Q12245
Ḥāshiyat Maqāmāt al-Ḥarīrī /,,حاشية مقامات الحريري /,,,,,Ḥāshiyah,Q11900
Ḥāshiyah laṭīfah ʻalá baʻḍ alfāẓ waqaʻat fī al-Maqāmāt al-Ḥarīrīyah,,حاشية لطيفة على بعض الفاظ وقعت في المقامات الحريرية,Intiṣāf bayna Ibn Barrī wa-Ibn al-Khashshāb fī kalāmihima ʻalá al-Maqāmāt,انتصاف بين ابن بري وابن الخشاب في كلامهم على المقامات,,,Ḥāshiyah,Q11900
Maqāmāt Abū al-Qạsim Maḥmūd ibn ʻUmar al-Zamakhsharī,,مقامات ابو القسم محمود بن عمر الزمخشري,Maqāmāt al-Zamakhsharī,مقامات الزمخشري,,,Maqāmāt al-Zamakhsharī,Q12011
Kitāb Aṭbāq al-dhahab /,,كتاب اطباق الذهب /,Aṭbāq al-dhahab,اطباق الذهب,,,Aṭbāq al-dhahab,Q12186
Sharḥ Gulistān,,شرح کلستان,,,,,Sharḥ-i Gulistān,Q12104
Sukkardān al-sulṭān,,سكردان السلطان,,,,,Sukkardān al-sulṭān,Q11844
Hādhā Kitāb Mukhtaṣar al-Mustaṭraf alladhī ḥuwiya min kull fann mustaẓraf,,هذا كتاب مختصر المستطرف الذي حوي من كل فن مستظرف,Mukhtaṣar al-Mustaṭraf fī kull fann mustaẓraf,مختصر المستطرف في کل فن مستظرف,,,Mukhtaṣar al-Mustaṭraf fī kull fann mustaẓraf,Q11855
Kitāb Rawḍ al-ādāb /,,كتاب روض الاداب /,Rawḍ al-ādāb,روض الاداب,,,Rawḍ al-ādāb,Q11785
Tuḥfat al-aṣḥāb wa-nuzʹhat dhawī al-albāb,,تحفة الاصحاب ونزهة ذوي الالباب,,,,,Tuḥfat al-aṣḥāb wa-nuzʹhat dhawī al-albāb,Q11814
Kitāb Yatīmat al-dahr,,کتاب يتيمة الدهر,Yatīmat al-dahr,يتيمة الدهر,,,Yatīmat al-dahr,Q11706
Rayḥānat al-alibbā wa-zahrat al-ḥayāh al-dunyā /,,ريحانة الالبا وزهرة الحياة الدنيا /,,,,,Rayḥānat al-alibbā wa-zahrat al-ḥayāh al-dunyā,Q11804
Riḥlat al-shitāʼ wa-al-ṣayf /,,رحلة الشتاء والصيف /,,,,,Riḥlat al-shitāʼ wa-al-ṣayf,Q11644
Kitāb Tāj al-majāmīʻ /,,كتاب تاج المجاميع /,Tāj al-majāmīʻ,تاج المجاميع,,,Tāj al-majāmīʻ,Q12239
Kitāb Surūr al-muhaj wa-al-albāb fī rasāyil al-aḥbāb,,كتاب سرور المهج والالباب في رسايل الاحباب,Surūr al-muhaj wa-al-albāb fī rasāʼil al-aḥbāb,سرور المهج والالباب في رسائل الاحباب,,,Surūr al-muhaj wa-al-albāb fī rasāʼil al-aḥbāb,Q11913
Kitāb al-Mukhtār fī maḥāsin al-ashʻār wa-nawādir al-akhbār,,کتاب المختار في محاسن الاشعار ونوادر الاخبار,Mukhtār fī maḥāsin al-ashʻār wa-nawādir al-akhbār,مختار في محاسن الاشعار ونوادر الاخبار,,,Mukhtār fī maḥāsin al-ashʻār wa-nawādir al-akhbār,Q12079
Collection of Arabic stories and sayings,,,,,,,Arabic stories,Q11636
Hyakki yagyō emaki /,,百鬼夜行絵卷 /,,,,,Hyakki yagyō emaki,Q12736
Expositio super novem lectiones mortuorum] /,,,,,Expositio super novem lectiones mortuorum,Q12797,,
Tōiki dentō mokuroku; Kōfukuji Shōmon Eichō shū,,東域傳燈目錄,,,Tōiki dentō mokuroku,Q40051,,
Raihei Kanshi shashin /,,来聘韓使写真 /,,,,,Raihei Kanshi shashin,Q12735
Gospels,,,,,,,Gospels,Q6034
The Canterbury tales,,,,,,,Canterbury Tales,Q12793
Missal,,,Missal (Princeton University Library. Manuscript. Garrett MS. 37),,,,Missal,Q662
Sermones Sancti Augustini Episcopi,,,In Evangelium Iohannis tractatus,,,,Sermons,Q1400
Evsebii Caesariensis De Evangelica Praeparatione Liber,,,De evangelica praeparatione,,,,Praeparatio evangelica,Q12782
Liber dialogorvm,,,Dialogi,,,,Dialogi,Q12724
Expositio in evangelium Mathei,,,Expositio in Matthaeum,,,,Biblical expositions,Q12749
Expositio Haimonis svper ysaiam Prophetam,,,Annotatio libri Isaiae prophetae,,,,Biblical expositions,Q12749
"Miscellany; containing 42 scientific and other texts, most notably by Robert Grosseteste, Bishop of Lincoln",,,,,Miscellany,Q3673,,
Decretum,,,,,,,Decretals,Q1447
Astronomical miscellany,,,,,,,Astronomical texts,Q3129
Diodori Siculi Historiarum Priscarum /,,,Bibliotheca historica,,,,Bibliotheca historica,Q12787
De Consolatione Philosophie /,,,De consolatione philosophiae,,,,De consolatione philosophiae,Q2832
Le gouuernement des rois et princes terriens. Le liure de bonnes meurs / [Jacques Legrand,,,,,Le governement des rois et princes terriens,Q12772,,
Confessio amantis,,,,,,,Confessio amantis,Q12732
Revelations] /,,,Revelationes,,Revelations,Q1480,,
Chronica de rebus Glastoniensis,,,Cronica,,,,Chronica de rebus Glastoniensis,Q12795
Cronica Venetiarum /,,,,,,,Cronica Venetiarum,Q12748
De consuetudinibus et conditionibus orientalium regionum] /,,,Travels of Marco Polo,,Travels of Marco Polo,Q12758,,
Theological miscellany,,,,,,,Theological texts,Q822
Lectionary of prophets,,,,,,,Lectionary,Q663
Institutionum Arithmeticorum /,,,De institutione arithmetica,,,,De institutione arithmetica,Q12744
Libro de capitoli della compagnia della fraternita di santo bernardo la quale si raguna alla badia a septimo ... [etc,,,,,Capitoli della compagnia della fraternita di santo bernardo la quale si raguna alla badia a septimo,Q12746,,
"Old Testament. Ezekiel, xix.12-xxxix.29",,,Bible,,,,Bible;Old Testament;Book of Ezekiel,Q661;Q664;Q1342
"Deed for sale of five arouras of land, at a cost of 200 silver drachmas, near the village of Bacchias in the topos of Pouatb",,,,,,,Deed of sale,Q12738
Receipt for the brewing tax (ζυτηρά),,,,,,,Tax receipt,Q12764
"Deed for a gift made by Iohannis, commander of Ravenna and his wife Stefania to Iohannia, abbess of the monastary of San Giovanni Battista (called ad Navicula)",,,,,,,Deed,Q1319
Book of the Dead,,,,,,,Book of the Dead,Q12780
"New Testament. Gospel of St. Matthew and a bilingual Greek/Coptic text, Doxology V 1-39",,,Bible,,,,Bible;New Testament;Gospel of Matthew,Q661;Q655;Q1389
Letter with monastic connections,,,,,,,Letter,Q1454
Letter,,,,,,,Letter,Q1454
Franciscan antiphonary,,,Antiphonary (Princeton University. Library. Manuscript. Princeton MS. 125),,,,Antiphonary,Q654
Essays,,,Essays,,,,Essays,Q12740
Ouidius de remediis amoris ... [etc,,,,,Ouidius de remediis amoris,Q12767,,
De fallaciis que sepius occurrunt in sacra pagina ... [etc,,,,,De fallaciis,Q12743,,
Qaṣīdah ... [etc,,قصيدة ... الخ,,,Qaṣīdah,Q12120,,
Kitāb al-Mubhij ... [etc,,كتاب المبهج ... الخ,,,Kitāb al-Mubhij,Q11834,,
Kitāb Mukhtaṣar Sirāj al-tawḥīd al-bāhij al-nūn ... [etc,,كتاب مختصر سراج التوحيد الباهج النون ... الخ,,,Mukhtaṣar Sirāj al-tawḥīd al-bāhij al-nūn,Q11933,,
Maqāmat fatḥ Qandīyah ... [etc,,مقامة فتح قندية ... الخ,,,Maqāmat fatḥ Qandīyah,Q11994,,
Hādhā Kitāb Ḥilyat al-Kuramā wa-bahjat al-nudamā ... [etc,Hadiths,هذا كتاب حلية الكرما وبهجة الندما ... الخ,,,Hadiths,Q11863,,
Kitāb Hadīyat al-faqīr li-Ḥaḍrat al-Wazīr /,,كتاب هدية الفقير لحضرة الوزير /,Hadīyat al-faqīr li-Ḥaḍrat al-Wazīr,هدية الفقير لحضرة الوزير,,,Hadīyat al-faqīr li-Ḥaḍrat al-Wazīr,Q12232
Hādhā Kitāb ʻllm al-tārīkh ʻalá al-tamām wa-al-kamāl,,هذا كتاب علم التاريخ على التمام والكمال,ʻllm al-tārīkh ʻalá al-tamām wa-al-kamāl,علم التاريخ على التمام والكمال,,,ʻllm al-tārīkh ʻalá al-tamām wa-al-kamāl,Q11677
Safīnat al-najāh muḥtawiyah ʻalá biḍāʻah muzjāh min al-fawāyid al-muntaqāh,,سفينة النجاه محتوية على بضاعة مزجاه من الفوايد المنتقاة,,,,,Safīnat al-najāh muḥtawiyah ʻalá biḍāʻah muzjāh min al-fawāyid al-muntaqāh,Q12142
Tafāʼ lā dhāt al-shifā fī sīrat al-Nabī thumma al-khulafā ... [etc,,تفاء لا ذات الشفا في سيرة النبي ثم الخلفا ... الخ,,,Tafāʼ lā dhāt al-shifā fī sīrat al-Nabī thumma al-khulafā,Q12254,,
Matn shamāʼil al-muṣṭafá ... [etc,,متن شمائل المصطفى ... الخ,,,Matn shamāʼil al-muṣṭafá,Q11673,,
Hādhā Kitāb Sharḥ al-Miʻrāj ... [etc,,هذا كتاب شرح المعراج ... الخ,,,Sharḥ al-Miʻrāj,Q12227,,
Kitāb fīhi khalq Ādam wa-Ḥawwá ... [etc,,كتاب فيه خلق آدم وحوى ... الخ,,,Kitāb fīhi khalq Ādam wa-Ḥawwá,Q11783,,
Sharḥ al-ʻAwāmil al-miʼah] ... [etc,,شرح العوامل المائة ... الخ,,,Sharḥ al-ʻAwāmil al-miʼah,Q11889,,
Qaṣīdat al-Burdah] ... [etc,,قصيدة البردة ... الخ,,,Qasīdat al-Burda,Q11937,,
Sharḥ al-Unmūdhaj] ... [etc,,شرح الانموذج ... الخ,,,Sharḥ al-Unmūdhaj,Q12214,,
Miṣbāḥ fī al-naḥw] ... [etc,,مصباح في النحو ... الخ,,,Miṣbāḥ fī al-naḥw,Q11875,,
Hādhā Kitāb al-Miṣbāḥ ... [etc,,هذا كتاب المصباح ... الخ,,,Hādhā Kitāb al-Miṣbāḥ,Q11873,,
Kitāb al-Miṣbāḥ ... [etc,,كتاب المصباح ... الخ,,,Kitāb al-Miṣbāḥ,Q11744,,
Kashf al-Wāfiyah fī sharḥ al-Kāfiyah] ... [etc,,كشف الوافية في شرح الكافية ... الخ,,,Kashf al-Wāfiyah fī sharḥ al-Kāfiyah,Q11786,,
Kitāb al-Shāfiyah lil-ṣarf ... [etc,,كتاب الشافية للصرف ... الخ,,,Shāfiyah,Q11634,,
Sharḥ ʻalá al-Taṣrīf al-ʻIzzī] ... [etc,,شرح على التصريف العزي ... الخ,,,Sharḥ al-Taṣrīf al-ʻIzzī,Q12052,,
Hādhā Kitāb Sharḥ ʻAwāmil al-Jurjānī ... [etc,,,,,Sharḥ ʻAwāmil al-Jurjānī,Q12097,,
Iʻrāb ʻan qawāʻid al-iʻrāb ... [etc,,اعراب عن قواعد الاعراب ... الخ,,,,,Iʻrāb ʻan qawāʻid al-iʻrāb,Q12242
Hādhā Kitāb Marāḥ ... [etc,,هذا كتاب المراح ... الخ,,,Marāḥ,Q12207,,
Amthilah ... [etc,Arabic grammatical text,امثلة ... الخٍ,,,Arabic grammatical text,Q27591,,
Kitāb al-Hārūnīyah ... [etc,,كتاب الهارونية ... الخ,,,Kitāb al-Hārūnīyah,Q12087,,
Sharḥ al-Azʹharīyah. Wa-Sharḥ al-Miṣbāḥ fī al-naḥw,,شرح الازهرية. وشرح المصباح في النحو,,,,,Sharḥ al-Azʹharīyah,Q11998
Āṭah'li ve Zeynîzade ve Birgivî şerhi,Arabic grammatical text,آطه‌لي وزيني‌زادة وبرغي شرح,,,Arabic grammatical text,Q27591,,
Tabyīn al-qawāʻid al-sadīd fī tarjamat al-ʻAwāmil al-jadīd ... [etc,,تبيين القواعد السديد في ترجمة العوامل الجديد ... ت,,,Tabyīn al-qawāʻid al-sadīd fī tarjamat al-ʻAwāmil al-jadīd,Q12042,,
