title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Hādhā Dīwān Saʻd al-Dīn ibn al-Shaykh Muḥyī al-Dīn al-ʻArab ṣāḥib al-Futūḥāt al-Makkīyah,,هذا ديوان سعد الدين بن الشيخ محيي الدين العرب صاحب الفتوحات المكية,Dīwān,ديوان,,,Diwan,Q11912
Dīwān sayyidunā Saʻd al-Dīn ibn sayyidunā Muḥyī al-Dīn al-ʻArab,,ديوان سيدنا سعد الدين بن سيدنا محيي الدين العرب,Dīwān,ديوان,,,Diwan,Q11912
Hādhā Kitāb Bulūgh al-murād ʻalá Bānat Suʻād /,,هذا كتاب بلوغ المراد على بانت سعاد /,Bulūgh al-murād ʻalá Bānat Suʻād,بلوغ المراد على بانت سعاد,,,Bulūgh al-murād,Q11709
Hādhā Kitāb Sharḥ al-Muʻallaqāt ʻalá al-tamām wa-al-kamāl,,هذا كتاب شرح المعلقات على التمام والكمال,Sharḥ al-Muʻallaqāt,شرح المعلقات,,,Sharḥ al-Muʻallaqāt,Q12013
Kitāb al-Mukhtār,,كتاب المختار,Mukhtār lil-fatwá,مختار للفتوى,,,Mukhtār lil-fatwá,Q11891
Mashāriq al-anwār al-nabawīyah min ṣiḥāḥ al-akhbār al-Muṣṭafawīyah,,مشارق الانوار النبوية من صحاح الاخبار المصطفوية,,,,,Mashāriq al-anwār al-nabawīyah min ṣiḥāḥ al-akhbār al-Muṣṭafawīyah,Q11895
al-Mufaṣṣal /,,المفصل /,,,,,Mufaṣṣal,Q12226
Kitāb al-Nabḍ al-ṣaghīr li-Jālīnūs wa-sharḥi-hi li-Abī al-Faraj ibn al-qaff al-masīḥī,,كتاب النبض الصغير لجالينوس وشرحه لابي الفرج بن القف المسيحي,Tafsīr Kitāb al-Nabḍ al-ṣaghīr,تفسير كتاب النبض الصغير,,,Tafsīr Kitāb al-Nabḍ al-ṣaghīr,Q11654
Kitāb Zubdat al-minḥah fī ʻilmay al-ʻilāj wa-al-ṣiḥḥah. Kitāb Risālat al-Shuhdah fī takmīl muqaddimat al-Zubdah,,كتاب زبدة المنحة في علمي العلاج والصحة. كتاب رسالة الشهدة في تكميل مقدمة الزبدة,Works,اعمال,,,Works,Q5989
Kitāb Mā lā yasaʻu al-ṭabīb jahluh /,,كتاب ما لا يسع الطبيب جهله /,Mā lā yasaʻu al-ṭabīb jahluh,ما لا يسع الطبيب جهله,,,Mā lā yasaʻu al-ṭabīb jahluh,Q12253
