title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Awāʼil al-kutub al-sittah. Thabat al-shaykh Muḥammad Ḥayāh al-Sindī al-aṣl al-Madanī ... [etc.,اوائل الكتب الستة. ثبت الشيخ محمد حياة السندي الاصل المدني,,,,,,
Kitāb Multaqá al-abḥur,كتاب ملتقى الابحر,Multaqá al-abḥur,ملتقى الابحر,Multaqá al-abḥur,Q18509,,
Uṣūl al-fiqh /,اصول الفقه /,,,Texts on jurisprudence,Q64059,,
Kitāb al-mughnī min uṣūl al-fiqh fī madhhab Abī Ḥanīfah,كتاب المغني من اصول الفقه في مذهب ابي حنيفة,Mughnī fī uṣūl al-fiqh,مغني في اصول الفقه,Mughnī fī uṣūl al-fiqh,Q63879,,
Kitāb al-Mughnī fī al-uṣūl /,كتاب المغني في الاصول /,Mughnī fī uṣūl al-fiqh,مغني في اصول الفقه,Mughnī fī uṣūl al-fiqh,Q63879,,
al-Manẓūmah al-Khayrīyah fī al-aḥkām al-fiqhīyah,,,,,,,
Zubdat al-fawāʼid,,,,,,,
Murʻī lil-muqīmīn wa-murḍī lil-musāfirīn,,,,,,,
Aḥkām al-janāʼiz,,,,,,,
Fatāwá al-nawādir,,,,Fatāwá,Q12221,,
Majmaʻ al-fatāwá,,,,Majmaʻ al-fatāwá,Q11871,,
Sharḥ ʻalá kitāb fī al-fiqh al-ḥanafī,,,,,,,
Manāqib al-Imām al-Aʻẓam,,,,,,,
Tāj al-tarājim fī ṭabaqāt al-ḥanafīyah,,,,,,,
ʻUqūd al-jumān fī manāqib al-Imām al-aʻẓam Abī Ḥanīfah al-Nuʻmān,,,,,,,
Katāʼib aʻlām al-akhyār min fuqahāʼ madhhab al-Nuʻmān al-mukhtār,,,,,,,
ʻIqd al-laʼālī wa-al-marjān fī tarjamat al-Imām Abī Ḥanīfah al-Nuʻmān,,Kawākib al-munīrah al-mujtamaʻah fī tarājim al-mujtahidīn al-aʼimmah al-arbaʻah,,,,,
Sharḥ al-Fiqh al-akbar,,,,Sharḥ al-Fiqh al-akbar,Q63868,,
Ghamz ʻuyūn al-baṣāʼir ʻalá maḥāsin al-Ashbāh wa-al-naẓāʼir,,,,,,,
ḥāwī masāʼil al-Munyah,,,,,,,
Hādhā al-Kitāb Ṣadr al-Sharīʻah /,هذا الكتاب صدر الشريعة /,Sharḥ al-Wiqāyah,شرح الوقاية,Sharḥ al-Wiqāyah,Q11990,,
Ḥall al-mawāḍiʻ al-mughlaqah min Wiqāyat al-riwāyah fī masāʼil al-Hidāyah,حل المواضع المغلقة من وقاية الرواية في مسائل الهداية,Sharḥ al-Wiqāyah,شرح الوقاية,Sharḥ al-Wiqāyah,Q11990,,
Ṣadr al-Sharīʻah,صدر الشريعة,Sharḥ al-Wiqāyah,شرح الوقاية,Sharḥ al-Wiqāyah,Q11990,,
Sharḥ al-Wiqāyah,شرح الوقاية,,,Sharḥ al-Wiqāyah,Q11990,,
Hādhā Kitāb Ṣadr al-Sharīʻah,هذا كتاب صدر الشريعة,Sharḥ al-Wiqāyah,شرح الوقاية,Sharḥ al-Wiqāyah,Q11990,,
Kitāb Ṣadr al-Sharīʻah,كتاب صدر الشريعة,Sharḥ al-Wiqāyah,شرح الوقاية,Sharḥ al-Wiqāyah,Q11990,,
Mohammadan law,,Sharḥ al-Wiqāyah,شرح الوقاية,Sharḥ al-Wiqāyah,Q11990,,
Dhakhīrat al-ʻuqbá,ذخيرة العقبى,,,Dhakhīrat al-ʻuqbá,Q63880,,
Sharḥ Ṣadr al-Sharīʻah /,شرح صدر الشريعة /,Dhakhīrat al-ʻuqbá,ذخيرة العقبى,Dhakhīrat al-ʻuqbá,Q63880,,
