ds_label,ds_qid,tgn_label,tgn_id,wikidata_label,wikidata_qid
Cyprus,Q7209,Kypriakí Dimokratía,1000112,Cyprus,Q229
Czech Republic,Q38180,Česko,1001780,Czech Republic,Q213
Czechoslovakia,Q38181,Československo,1000065,Czechoslovakia,Q33946
Cádiz,Q42458,Cádiz,7007512,Cádiz,Q15682
Cîteaux,Q38161,Cîteaux,7656279,Cîteaux Abbey,Q843261
Dagestan,Q40042,Dagestan,7011494,Dagestan,Q5118
Dalmatia,Q42074,Dalmatia,2087680,Dalmatia,Q5211528
Damascus,Q11626,Dimashq,7002261,Damascus,Q3766
Danzig,Q76329,Gdańsk,7007660,Gdańsk,Q1792
Dauphiné,Q1310,Dauphiné,7007764,Dauphiné,Q151999
Deccan,Q121,Deccan,7001693,Deccan,Q117190935
Delft,Q16420,Delft,7006804,Delft,Q690
Delhi,Q48703,Delhi,7001535,Delhi,Q1353
Denmark,Q38185,Danmark,1000066,Denmark,Q35
Dewsbury,Q38186,Dewsbury,1029049,Dewsbury,Q525508
Dieppe,Q38187,Dieppe,7008922,Dieppe,Q183557
Dijon,Q19896,Dijon,7008224,Dijon,Q7003
Dixton,Q17529,Dixton,7026610,Dixton,Q906614
Diyarbakır,Q11622,Diyarbakır,7002338,Diyarbakır,Q83387
Dorset,Q1286,Dorset,7011961,Dorset,Q23159
Douai,Q7793,Douai,7008458,Douai,Q193826
Drayton,Q8379,Drayton,7031272,Drayton,Q2784198
Dresden,Q42462,Dresden,7004455,Dresden,Q1731
Duderstadt,Q38188,Duderstadt,7005933,Duderstadt,Q498596
Dumyāţ,Q76333,Damietta,7001099,Dumyāţ,Q189383
Département de Saône-et-Loire,Q42464,Département de Saône-et-Loire,7002962,Saône-et-Loire,Q12736
Département de Seine-et-Marne,Q38184,Département de Seine-et-Marne,7002973,Seine-et-Marne,Q12753
Département de Tarn-et-Garonne,Q8031,Département de Tarn-et-Garonne,7003218,Tarn-et-Garonne,Q12779
Département de l'Aveyron,Q42463,Aveyron,7002906,Département de l'Aveyron,Q3216
Département de l'Essonne,Q42492,Département de l'Essonne,7002935,Essonne,Q3368
Département de l'Eure,Q38183,Département de l'Eure,7002936,Eure,Q3372
Département de la Loire,Q19902,Département de la Loire,7002958,Loire,Q12569
Département de la Seine-Maritime,Q38182,Département de la Seine-Maritime,7002988,Seine-Maritime,Q12758
Département des Alpes-de-Haute-Provence,Q42489,Département des Alpes-de-Haute-Provence,7017065,Alpes-de-Haute-Provence,Q3131
Département des Bouches-du-Rhône,Q66913,Département des Bouches-du-Rhône,7002915,Bouches-du-Rhône,Q3240
Département du Tarn,Q5483,Département du Tarn,7003217,Tarn,Q12772
East Anglia,Q1291,East Anglia,7012973,East Anglia,Q580631
East Flanders,Q38189,Oost-Vlaanderen,7003457,East Flanders,Q1114
Eastern Europe,Q38190,Eastern Europe,4003756,Eastern Europe,Q27468
Eastern France,Q38191,Eastern France,8716310,France,Q142
Eastern Mediterranean,Q3658,Eastern Mediterranean,7593196,Eastern Mediterranean,Q3301962
Edinburgh,Q38192,Edinburgh,7009546,Edinburgh,Q23436
Edirne,Q52680,Edirne,7002317,Edirne,Q43387
Egypt,Q3086,Miṣr,7016833,Egypt,Q79
Eichstätt,Q66915,Eichstätt,7004613,Eichstätt,Q252772
Elchingen,Q6989,Elchingen,4003589,Elchingen,Q503169
Emilia,Q20365,Emilia,7015397,Emilia,Q1135779
Emilia-Romagna,Q1100,Emilia-Romagna,7008516,Emilia-Romagna,Q1263
England,Q133,England,7002445,England,Q21
Enkhuizen,Q66898,Enkhuizen,7007064,Enkhuizen,Q9918
Epirus,Q38193,Ípiros,7030329,Epirus,Q565751
Erfurt,Q6983,Erfurt,7024031,Erfurt,Q1729
Erzurum,Q63767,Erzurum,7017539,Erzurum,Q122803
Essen,Q38194,Essen,7004905,Essen,Q2066
Essex,Q38195,Essex,7008131,Essex,Q23240
Estonia,Q38196,Eesti,7006540,Estonia,Q191
Ethiopia,Q3655,Ityop'iya,7000489,Ethiopia,Q115
Europe,Q1290,Europe,1000003,Europe,Q46
Extremadura,Q66900,Extremadura,7003837,Extremadura,Q5777
Fabriano,Q38197,Fabriano,7004004,Fabriano,Q13145
Fagnano Olona,Q76284,Fagnano Olona,1044553,Fagnano Olona,Q39365
Fano,Q38198,Fano,7003987,Fano,Q13142
Ferrara,Q1299,Ferrara,7004264,Ferrara,Q13362
Figueras,Q42483,Figueres,1062024,Figueras,Q6839
Firfol,Q42083,Firfol,7649731,Firfol,Q740480
Fivizzano,Q6980,Fivizzano,1044626,Fivizzano,Q52233
Flanders,Q126,Flanders,7024097,County of Flanders,Q157070
Flanders (region),Q100357,Vlaams Gewest,7018236,Flemish Region,Q9337
Florence,Q3084,Firenze,7000457,Florence,Q2044
Foligno,Q38199,Foligno,7005040,Foligno,Q20436
Fontainebleau,Q17519,Fontainebleau,7008005,Fontainebleau,Q182872
Fontevrault-l'Abbaye,Q68011,Fontevraud-l'Abbaye,7008488,Fontevrault-l'Abbaye,Q632276
Fotheringhay,Q66886,Fotheringhay,4004017,Fotheringhay,Q2688940
France,Q122,France,1000070,France,Q142
Franche-Comté,Q38200,Franche-Comté,7645440,Franche-Comté,Q16394
Francia Orientalis,Q27482,Francia Orientalis,7024345,East Francia,Q153080
Franken,Q19893,Franken,7012456,Franconia,Q150907
Freising,Q38201,Freising,7013338,Freising,Q6998
Friedrichstadt,Q76330,Friedrichstadt,1039143,Friedrichstadt,Q21065
"Frioul, Port du",Q38332,"Frioul, Port du",7645514,Marseille,Q23482
Friuli,Q5009,Friuli,7008895,Friuli,Q160570
Friuli-Venezia Giulia,Q38202,Friuli-Venezia Giulia,7002993,Friuli Venezia Giulia,Q1250
Fulda,Q12704,Fulda,7005294,Fulda,Q3963
Fumane,Q76260,Fumane,4004145,Fumane,Q47121
Gazzuolo,Q76325,Gazzuolo,1044782,Gazzuolo,Q43011
Geneva,Q42496,Genève,7007279,Geneva,Q71
Genoa,Q7800,Genova,7008546,Genoa,Q1449
Ger,Q38203,Ger,7647352,Ger,Q685416
Germany,Q131,Deutschland,7000084,Germany,Q183
Ghent,Q16408,Gent,7007887,Ghent,Q1296
Gjirokastër,Q48700,Gjirokastër,7010755,Gjirokastër,Q173690
Glastonbury,Q12695,Glastonbury,7011239,Glastonbury,Q210891
Gloucester,Q17527,Gloucester,7011128,Gloucester,Q170497
Goa,Q38204,Goa,7018161,Goa,Q1171
Gorizia,Q76324,Gorizia,7005526,Gorizia,Q6596
Gradara,Q42488,Gradara,7008870,Gradara,Q206990
Granada,Q3081,Granada,7007703,Granada,Q8810
Grasse,Q66906,Grasse,7008767,Grasse,Q173705
Gravesend,Q26526,Gravesend,7011614,Gravesend,Q676689
Graz,Q3650,Graz,7003097,Graz,Q13298
Greece,Q16421,Ellás,1000074,Greece,Q41
Grenoble,Q38205,Grenoble,7008759,Grenoble,Q1289
Gualdo Tadino,Q68005,Gualdo Tadino,7005046,Gualdo Tadino,Q20457
Guatemala,Q66885,Guatemala,7005493,Guatemala,Q774
Gubbio,Q38206,Gubbio,7005048,Gubbio,Q20458
Gwent,Q38207,Gwent,7008046,Gwent,Q1376956
Gévaudan,Q66910,Gévaudan,4004160,Gévaudan,Q514081
Görlitz,Q76338,Görlitz,7012813,Görlitz,Q4077
"Hague, The",Q74820,̔s-Gravenhage,7006810,The Hague,Q36600
Hainaut,Q38208,Hainaut,1003757,Hainaut,Q3125766
"Hainaut, Province de",Q1300,"Hainaut, Province de",7007877,Hainaut,Q1129
Halych,Q74808,Halych,1053938,Halych,Q146450
Hamadan,Q48701,Hamadan,7002115,Hamadān,Q28587
Hamburg,Q20352,Hamburg,7005289,Hamburg,Q1055
Hampshire,Q38209,Hampshire,7008139,Hampshire,Q67531563
Hanover,Q54969,Hannover,7013260,Hanover,Q1715
Hanshan,Q12697,Hanshan,8203227,Hanshan,Q113491255
Hartmannswiller,Q76328,Hartmannswiller,7643144,Hartmannswiller,Q332078
"Hautecombe, Abbaye de",Q38331,"Hautecombe, Abbaye de",1100048,Hautecombe Abbey,Q63524
Hebron,Q11621,Al-khalīl,7029354,Hebron,Q168225
Henan,Q12710,Henan,7016672,Henan,Q43684
Herat,Q3092,Herāt,7002243,Herat,Q45313
Herefordshire,Q66917,Herefordshire,7008143,Herefordshire,Q23129
Hesse,Q38210,Hessen,7003678,Hesse,Q1199
Highland,Q17522,Highland,7008082,Highland,Q208279
Hildesheim,Q19892,Hildesheim,7005248,Hildesheim,Q3185
Holland,Q1295,Holland,1003759,Holland,Q102911
Hollfeld,Q38211,Hollfeld,1039662,Hollfeld,Q503048
Holy Roman Empire,Q38212,Holy Roman Empire,7024415,Holy Roman Empire,Q12548
Honduras,Q38213,Honduras,7005554,Honduras,Q783
Horgau,Q54972,Horgau,7163517,Horgau,Q532260
Huejotzingo,Q66904,Huejotzingo de Nieva,4005179,Huejotzingo,Q20204317
Huete,Q42460,Huete,1062082,Huete,Q1827689
Hungary,Q19897,Magyarország,7006278,Hungary,Q28
Huy,Q38214,Huy,7007896,Huy,Q207095
Huysburg,Q38215,Huysburg,4005207,Huysburg,Q1639470
Hyderābād,Q48685,Hyderabad,7001541,Hyderābād,Q1361
Iberian Peninsula,Q10828,"Ibérica, Península",7016676,Iberian Peninsula,Q12837
Iceland,Q38216,Ísland,1000077,Iceland,Q189
Illasi,Q76277,Illasi,1044938,Illasi,Q48474
India,Q138,Bhārat,7000198,India,Q668
Indonesia,Q38217,Indonesia,1000116,Indonesia,Q252
Ingolstadt,Q3653,Ingolstadt,7017035,Ingolstadt,Q3004
Ioannina,Q27490,Ioánnina,7011082,Ioannina,Q183199
Iran,Q2822,Īrān,7000231,Iran,Q794
Iraq,Q3090,Al-ʻIrāq,1000118,Iraq,Q796
Ireland,Q17520,Ireland,1000078,Ireland,Q27
Isfahan,Q18350,Eşfahān,7017459,Isfahan,Q42053
Isola della Scala,Q76291,Isola della Scala,1044966,Isola della Scala,Q47874
Israel,Q74800,Yisra'el,1000119,Israel,Q801
Istanbul,Q11605,İstanbul,7002473,Istanbul,Q406
Italy,Q134,Italia,1000080,Italy,Q38
Itchingfield,Q17523,Itchingfield,7461740,Itchingfield,Q2278583
Japan,Q12707,Nihon,1000120,Japan,Q17
Java,Q42456,Java,7003695,Java,Q3757
Jerusalem,Q11620,Yerushalayim,7001371,Jerusalem,Q1218
Johanngeorgenstadt,Q66925,Johanngeorgenstadt,1037009,Johanngeorgenstadt,Q32063218
Kandahar,Q38414,Kandahār,7002248,Kandahar,Q45604
Kandy,Q68001,Kandy,7002518,Kandy,Q203197
Karahisar,Q63768,Karahisar,7716074,Karahisar,Q1728904
Karaman,Q11627,Karaman,7002550,Karaman,Q262579
Karaman (province),Q11623,Karaman,7018458,Karaman Province,Q482975
Karasu,Q74814,Karasu,1086557,Karasu,Q1012874
Karlsruhe,Q54975,Karlsruhe,7004424,Karlsruhe,Q1040
Kashan,Q48698,Kashan,1079129,Kāshān,Q240475
Kashi,Q52693,Kashgar,7008915,Kashi,Q170521
Kashmir,Q18345,Kashmir,7029388,Kashmir,Q43100
"Kashmir, Vale of",Q27478,"Kashmir, Vale of",1111685,Kashmir Valley,Q2361576
Kastamonu,Q11616,Kastamonu,7002555,Kastamonu,Q155915
Kayseri,Q11614,Kayseri,7002465,Kayseri,Q48338
Kazan',Q38218,Kazan',7015156,Kazan,Q900
Kent,Q1294,Kent,7008153,Kent,Q23298
Keswick,Q38219,Keswick,7010161,Keswick,Q1025076
Khwārezm,Q11618,Khwārezm,8698237,Khwarazm,Q182647
Kitzbühel,Q42472,Kitzbühel,7003244,Kitzbühel,Q264665
Kolkata,Q48690,Kolkata,7030776,Kolkata,Q1348
Konstanz,Q20351,Konstanz,7005174,Constance,Q3834
Korea,Q12696,Korea,7059230,Korea,Q18097
Kronstadt,Q38220,Brașov,7004272,Brașov,Q82174
Kurdistan,Q74796,Kurdistan,1003770,Kurdistan,Q41470
Kyustendil,Q52687,Kyustendil,7018071,Kyustendil,Q189305
L'Aquila,Q38222,L'Aquila,7004067,L'Aquila,Q3476
La Haye-du-Puits,Q66901,La Haye-du-Puits,1033665,La Haye-du-Puits,Q988095
La Rioja,Q66911,La Rioja,7002789,La Rioja,Q5727
Lahore,Q27479,Lahore,7001560,Lahore,Q11739
Lambach,Q26524,Lambach,7003278,Lambach,Q686750
Lancashire,Q20358,Lancashire,7008154,Lancashire,Q23077
Landkreis Eichstätt,Q4993,Landkreis Eichstätt,7077299,Eichstätt district,Q10491
Langres,Q19895,Langres,7008343,Langres,Q203293
Languedoc,Q38221,Languedoc,7002884,Languedoc,Q206221
Laon,Q4334,Laon,7010220,Laon,Q167141
Latium,Q1285,Latium,7594274,Latium,Q1048669
Lazio,Q1302,Lazio,7003080,Lazio,Q1282
Lazise,Q76287,Lazise,1045047,Lazise,Q46935
Le Conquet,Q38223,Le Conquet,7634755,Le Conquet,Q326149
Le Mans,Q66897,Le Mans,7008494,Le Mans,Q1476
Lebanon,Q11611,Lubnān,1000126,Lebanon,Q822
Leeuwarden,Q38225,Leeuwarden,7007006,Leeuwarden,Q25390
Legnago,Q76273,Legnago,7003270,Legnago,Q48027
Leicestershire,Q1301,Leicestershire,7008155,Leicestershire,Q67533246
Leipzig,Q6988,Leipzig,7017167,Landkreis Leipzig,Q6308
Lendinara,Q76315,Lendinara,1045059,Lendinara,Q34390
