ds_label,ds_qid,ds_id,type,wikidata_label,wikidata_qid
Lew David Feldman,Q17664,DSNAME2455,Personal (Name Authority),Lew David Feldman,Q120691901
Lewis L. Gould,Q1126,DSNAME309,Personal (Name Authority),Lewis L. Gould,Q112391468
Liang Lan,Q12858,DSNAME2049,Personal (Name Authority),Liang Lan,Q45426155
Liang Qian,Q12835,DSNAME2026,Personal (Name Authority),Liang Qian,Q45426199
Liberale da Verona,Q20193,DSNAME2876,Personal (Name Authority),Liberale da Verona,Q1374872
Librairie Damascène Morgand,Q1843,DSNAME608,Corporate (Name Authority),Librairie Damascène Morgand,Q116784968
Librairie Tross,Q20053,DSNAME2728,Corporate (Name Authority),Librairie Tross,Q114242602
Library of the Dominicans of Paris,Q20076,DSNAME2755,Corporate (Name Authority),Library of the Dominicans of Paris,Q122873663
Libreria antiquaria Hoepli,Q16520,DSNAME2215,Corporate (Name Authority),Libreria antiquaria Hoepli,Q3831782
Libreria antiquaria Mediolanum,Q16468,DSNAME2160,Corporate (Name Authority),Libreria antiquaria Mediolanum,Q120442751
Libreria la Bibliofila,Q16674,DSNAME2374,Corporate (Name Authority),Libreria la Bibliofila,Q123285058
Liechtenstein State Library,Q42007,DSNAME5562,Corporate (Name Authority),Liechtenstein State Library,Q964098
Lietbertus of Saint-Ruf,Q41133,DSNAME4688,Personal (Name Authority),Lietbertus of Saint-Ruf,Q6544348
Lima Public Library,Q42233,DSNAME5760,Corporate (Name Authority),Lima Public Library,Q69487598
Lin You,Q12854,DSNAME2045,Personal (Name Authority),Lin You,Q11105614
Linda Ehrsam Voigts,Q1129,DSNAME312,Personal (Name Authority),Linda Ehrsam Voigts,Q66985346
Ling Yunhan,Q12842,DSNAME2033,Personal (Name Authority),Ling Yunhan,Q122949436
Lionardo di Paolo Adimari,Q7318,DSNAME1377,Personal (Name Authority),Lionardo di Paolo Adimari,Q116235269
"Lionel Tollemache, 4th Earl of Dysart",Q416,DSNAME143,Personal (Name Authority),"Lionel Tollemache, 4th Earl of Dysart",Q6555815
Lippo Vanni,Q41806,DSNAME5361,Personal (Name Authority),Lippo Vanni,Q966135
Lisa Kiser,Q42234,DSNAME5761,Personal (Name Authority),Lisa Kiser,Q125930833
Lisa Norris Elkins,Q20295,DSNAME2984,Personal (Name Authority),Lisa Norris Elkins,Q122873507
Liu Jingshao,Q12833,DSNAME2024,Personal (Name Authority),Liu Jingshao,Q45672380
Liu Lian,Q12857,DSNAME2048,Personal (Name Authority),Liu Lian,Q10900194
Liu Sanwu,Q12838,DSNAME2029,Personal (Name Authority),Liu Sanwu,Q10899334
Liu Song,Q12834,DSNAME2025,Personal (Name Authority),Liu Song,Q10899697
Liu Zhi,Q12853,DSNAME2044,Personal (Name Authority),Liu Zhi,Q122949523
