row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
34,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284582Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576897Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594795Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731214Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091089Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187209Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226089Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835626Z","Guo, Kui, d. 1365",author,"郭奎, d. 1365",,Guo Kui,human,Q45424337,,,
35,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284586Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576907Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594803Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731220Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091095Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187223Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226101Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835667Z","Hale, Matthew, 1609-1676",former owner,,http://id.loc.gov/authorities/names/n50018613,Matthew Hale,human,Q130059,,,
36,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284591Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576911Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594806Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731229Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091101Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187237Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226113Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835781Z","Hanaoka, Seishū, 1760-1835",author,"華岡青洲, 1760-1835",http://id.loc.gov/authorities/names/n88091783,Hanaoka Seishū,human,Q1376935,,,
37,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284594Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576914Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594809Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731238Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091111Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187256Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226128Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835805Z","Hayashi, Shihei, 1738-1793",author,"林 子平, 1738-1793",http://id.loc.gov/authorities/names/n82000980,Hayashi Shihei,human,Q382306,,,
38,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284597Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576918Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594814Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731246Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091128Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187271Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226140Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835813Z","Hayashi, Shihei, 1738-1793",author,"林子平, 1738-1793",http://id.loc.gov/authorities/names/n82000980,Hayashi Shihei,human,Q382306,,,
39,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284602Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576928Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594817Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731256Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091144Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187285Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226152Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835820Z","He, Jingming, 1483-1521",author,"何景明, 1483-1521",http://id.loc.gov/authorities/names/nr96022079,He Jingming,human,Q10886251,,,
40,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284605Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576931Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594821Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731263Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091154Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187303Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226176Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835831Z","Hiersemann, Karl Wilhelm, 1854-1924",former owner,,,Karl Wilhelm Hiersemann,human,Q1473427,,,
41,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284608Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576937Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594824Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731269Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091164Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187317Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226275Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835838Z","Hodson, Lawrence W",former owner,,,Laurence William Hodson,human,Q116378155,,,
42,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284616Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576942Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594827Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731278Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091170Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187330Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226327Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835845Z","Hou, Fu, 14th/15th cent",author,"侯復, 14th/15th cent",,Hou Fu,human,Q45575747,,,
43,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284619Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576944Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594830Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731286Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091184Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187347Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226382Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835855Z","Hŏ, Nansŏrhŏn, 1563-1589",author,"許 蘭雪軒, 1563-1589",http://id.loc.gov/authorities/names/n81055101,Heo Nanseolheon,human,Q464558,,,
44,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284622Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576949Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594833Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731291Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091193Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187361Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226436Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835861Z","Hu, Kui, ca. 1331-ca. 1405",author,"胡奎, ca. 1331-ca. 1405",,Hu Kui,human,Q45414026,,,
45,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284627Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576953Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594835Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731313Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091199Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187375Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226481Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835868Z","Hu, Yan, 1361-1443",author,"胡儼, 1361-1443",http://id.loc.gov/authorities/names/no2002094865,Hu Yan,human,Q45426240,,,
46,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284630Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576955Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594842Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731319Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091210Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187396Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226499Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835879Z","Huang, Huai, jin shi 1397",author,"黃淮, jin shi 1397",http://id.loc.gov/authorities/names/n83214562,Huang Huai,human,Q3492957,,,
47,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284636Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576961Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594845Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731324Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091215Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187411Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226547Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835903Z","Huangfu, Xiao, 1497-1546",author,"皇甫〓, 1497-1546",http://id.loc.gov/authorities/names/nr96021163,Huangfu Xiao,human,Q16076162,,,
48,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284639Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576964Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594848Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731337Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091221Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187425Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226591Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835916Z","Huth, Alfred Henry, 1850-1910",former owner,,http://id.loc.gov/authorities/names/n83017299,Alfred Henry Huth,human,Q15706103,,,
49,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284642Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576967Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594854Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731343Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091231Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187713Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226685Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835923Z","Huth, Henry, 1815-1878",former owner,,http://id.loc.gov/authorities/names/n83139105,Henry Huth,human,Q15438897,,,
50,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284650Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576975Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594857Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731349Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091237Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187929Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226782Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835930Z","Inglis, J. C",former owner,,,J. C. Inglis,human,Q123005845),,,
51,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284653Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576978Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594859Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731368Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091251Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187956Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226807Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835940Z","Jiang, Zhi, 12th cent",author,"江贄, 12th cent",,Jiang Zhi,human,Q123005872,,,
52,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284656Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577032Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594864Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731374Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091261Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187979Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226951Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835946Z","Kanō, Gensen, 1685−1751",author,"狩野元仙, 1685−1751",,Kanō Gensen,human,Q123005896,,,
53,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284667Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577038Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594867Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731383Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091272Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187995Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.227011Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835953Z","Katsh, Abraham Isaac, 1908-1998",former owner,,http://id.loc.gov/authorities/names/n80020435,Abraham I. Katsh,human,Q30053249,,,
54,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284671Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577041Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594870Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731394Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091287Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188012Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.227027Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835962Z","Kawaguchi, Shinnin, 1736-1811",author,"河口信任, 1736-1811",http://id.loc.gov/authorities/names/n88153838,Shinnin Kawaguchi,human,Q9336056,,,
55,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284674Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577045Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594875Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731400Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091302Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188033Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.227050Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835969Z","Laifu, shi, 14th cent",author,"來復, shi, 14th cent",,Shi Laifu,human,Q45440391,,,
56,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284682Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577052Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594878Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731405Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091308Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188048Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.228051Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835975Z","Liang, Lan, -1410",author,"梁蘭, d. 1410",http://id.loc.gov/authorities/names/n81113559,Liang Lan,human,Q45426155,,,
57,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284686Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577054Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594881Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731431Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091314Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188061Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.228850Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836065Z","Liang, Qian, 1366-1418",author,"梁潛, 1366-1418",http://id.loc.gov/authorities/names/no2002094864,Liang Qian,human,Q45426199,,,
58,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284689Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577058Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594888Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731437Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091333Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188084Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229125Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836092Z","Libri, Guillaume, 1803-1869",former owner,,http://id.loc.gov/authorities/names/n91076026,,,,human,Guglielmo Libri Carucci dalla Sommaja,Q1251586
59,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284693Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577063Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594890Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731443Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091339Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188099Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229139Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836100Z","Lill, Hans",former owner,,,Hans Lill,human,Q122949367,,,
60,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284696Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577066Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594893Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731457Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091469Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188119Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229152Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836115Z","Lin, You, 14th/15th cent",author,"林右, 14th/15th cent",,Lin You,human,Q11105614,,,
61,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284699Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577070Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594899Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731462Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091477Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188137Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229170Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836122Z","Ling, Yunhan, active 14th century",author,"凌雲翰, 14th cent",http://id.loc.gov/authorities/names/n83214573,Ling Yunhan,human,Q122949436,,,
62,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284706Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577078Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594902Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731471Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091656Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188152Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229183Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836128Z","Liu, Jingshao, 1517-1578",author,"劉景韶, 1517-1578",,Liu Jinghao,human,Q45672380,,,
63,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284710Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577081Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594905Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731482Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091665Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188171Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229194Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836167Z","Liu, Lian, 1348-1379",author,"劉璉, 1348-1379",http://id.loc.gov/authorities/names/no2002110141,Liu Lian,human,Q10900194,,,
64,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284713Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577086Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594910Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731487Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091671Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188187Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229216Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836175Z","Liu, Sanwu, 1312-approximately 1399",author,"劉三吾, 1312-approximately 1399",http://id.loc.gov/authorities/names/nr95022721,Liu Sanwu,human,Q10899334,,,
65,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284759Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577096Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594913Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731493Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091676Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188201Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229227Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836193Z","Liu, Song, 1321-1381",author,"劉崧, 1321-1381",http://id.loc.gov/authorities/names/no2002081305,Liu Song,human,Q10899697,,,
66,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284770Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577099Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594916Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731504Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091697Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188218Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229239Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836384Z","Liu, Zhi, 14th/15th cent",author,劉廌 14th/15th cent,,Liu Zhi,human,Q122949523,,,
