title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Liber sententiarum,,,,,,Liber sententiarum,Q1322
Tractatus de veneno spirituali,,,,,,De veneno spirituali,Q5987
Consilium,,,,,,Consilium,Q5983
De medicina equorum,,,,,,De medicina equorum,Q5967
"""A viro prudente...""",,,,,,A viro prudente,Q5968
Receipt against sickness that comes of cold,,,,,,Receipt,Q5981
Regulae parvorum; gramalicales,,,,Grammatical text,Q6010,,
Chronicle fragments (Fragment Kenneth Spencer Research Library. MS P579),,,,,,Chronicle,Q1475
De uno confessore,,,,,,De uno confessore,Q5994
On buying and selling,,,,,,On buying and selling,Q5998
"Grant in frankalmoigne of land and building material for sustaining 4 monks who will sing masses for the souls of Henry II, his sons, and de Burgh",,,,,,Grant,Q5982
Confirmation,,,,,,Confirmation,Q5990
Confirmation of grants,,,,,,Grant,Q5982
Deed of exchange,,,,,,Deed,Q1319
Quit claim,,,,,,Quitclaim,Q6018
Grant in frankalmoigne,,,,,,Grant,Q5982
Confirmation of sale,,,,,,Sale,Q6029
Grant in frankalmoigne of the tithes from all his assarts in his forest of Grosmont for the good of his soul and that of his wife,,,,,,Grant,Q5982
"Grant in frankalmoigne, three acres of land from Grosmont for no return",,,,,,Grant,Q5982
"Grant in frankalmoigne, six acres in Grosmont",,,,,,Grant,Q5982
"Grant in frankalmoigne, six acres in Grosmont for no return",,,,,,Grant,Q5982
Grant,,,,,,Grant,Q5982
"Leaf containing psalms 136 (137), 137 (138), 138 (139)",,,,,,Psalms,Q5972
"Leaf containing ""Splendor paternae gloriae"" / Ambrose of Milan",,,,,,Splendor paternae gloriae,Q6046
Leaf from an antiphonary (Manuscript Kenneth Spencer Research Library. MS R29),,,,,,Antiphonary,Q654
Legend of the Cross,,,,,,Legend of the cross,Q5958
"Genealogical roll chronicle from Lucius Septimius Severus to Uther Pendragon, incomplete",,,,,,Genealogy,Q5953
La sfera /,,,,,,La sfera,Q6016
Carta executoria de hidalguía de Lazaro de Adarve,,,,Carta ejecutoria,Q3718,,
Vosper hours,,,,Vosper hours;Book of hours,;Q795,,
