File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20260520-subjects-chicago-marc.csv,Austria,fast,a,http://id.worldcat.org/fast/fst01204901,,,,Austria,http://id.worldcat.org/fast/1204901,Q2798
20260520-subjects-chicago-marc.csv,Church history--Early works to 1800,0,a--v,,,,,Church history;Early works,http://id.worldcat.org/fast/860740;http://id.worldcat.org/fast/1411636,Q38895;Q300
20260520-subjects-chicago-marc.csv,Église--Histoire--Ouvrages avant 1800,6,a--x--v,,,,,Church history;Early works,http://id.worldcat.org/fast/860740;http://id.worldcat.org/fast/1411636,Q38895;Q300
20260520-subjects-chicago-marc.csv,Church history,fast,a,(OCoLC)fst00860740,,,,Church history,http://id.worldcat.org/fast/860740,Q38895
20260520-subjects-chicago-marc.csv,"Manuscripts, Latin",0,a,,,,,"Manuscripts, Latin",http://id.worldcat.org/fast/1008395,Q210
20260520-subjects-chicago-marc.csv,Church year sermons--Early works to 1800,0,a--v,,,,,Church year sermons;Early works,http://id.worldcat.org/fast/861151;http://id.worldcat.org/fast/1411636,Q38857;Q300
20260520-subjects-chicago-marc.csv,Sermons pour l'année liturgique--Ouvrages avant 1800,6,a--v,,,,,Church year sermons;Early works,http://id.worldcat.org/fast/861151;http://id.worldcat.org/fast/1411636,Q38857;Q300
20260520-subjects-chicago-marc.csv,Church year sermons,fast,a,(OCoLC)fst00861151,,,,Church year sermons,http://id.worldcat.org/fast/861151,Q38857
20260520-subjects-chicago-marc.csv,"Manuscripts, Arabic",fast,a,(OCoLC)fst01008278,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
20260520-subjects-chicago-marc.csv,Manuscripts--Italy,0,a--z,http://id.loc.gov/authorities/subjects/sh2010100561,,,,Manuscripts;Italy,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1204565,Q331;Q249
20260520-subjects-chicago-marc.csv,Humanism--15th century,0,a--y,,,,,Humanism;Fifteenth century,http://id.worldcat.org/fast/963520;http://id.worldcat.org/fast/923962,Q3037;Q154
20260520-subjects-chicago-marc.csv,Humanism,fast,a,http://id.worldcat.org/fast/fst00963520,,,,Humanism,http://id.worldcat.org/fast/963520,Q3037
20260520-subjects-chicago-marc.csv,Nobility--Spain--Aragon--Early works to 1800,0,a--z--z--v,,,,,Nobility;Spain--Aragon;Early works,http://id.worldcat.org/fast/1038255;http://id.worldcat.org/fast/1227604;http://id.worldcat.org/fast/1411636,Q164;Q4227;Q300
20260520-subjects-chicago-marc.csv,Criminal law--Early works to 1800,0,a--v,,,,,Criminal law;Early works,http://id.worldcat.org/fast/883328;http://id.worldcat.org/fast/1411636,Q4291;Q300
20260520-subjects-chicago-marc.csv,Criminal law,fast,a,http://id.worldcat.org/fast/fst00883328,,,,Criminal law,http://id.worldcat.org/fast/883328,Q4291
20260520-subjects-chicago-marc.csv,Spain--Aragon,fast,a--z,http://id.worldcat.org/fast/fst01227604,,,,Spain--Aragon,http://id.worldcat.org/fast/1227604,Q4227
20260520-subjects-chicago-marc.csv,Leases--Spain--Toledo,0,a--z--z,,,,,Leases;Spain--Toledo,http://id.worldcat.org/fast/995047;http://id.worldcat.org/fast/1204571,Q26980;Q7141
20260520-subjects-chicago-marc.csv,Leases,fast,a,http://id.worldcat.org/fast/fst00995047,,,,Leases,http://id.worldcat.org/fast/995047,Q26980
20260520-subjects-chicago-marc.csv,Spain--Toledo,fast,a--z,http://id.worldcat.org/fast/fst01204571,,,,Spain--Toledo,http://id.worldcat.org/fast/1204571,Q7141
20260520-subjects-chicago-marc.csv,Contracts--Spain--Early works to 1800,0,a--z--v,,,,,Contracts;Spain;Early works,http://id.worldcat.org/fast/876969;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636,Q5905;Q343;Q300
20260520-subjects-chicago-marc.csv,Leases--Spain--Early works to 1800,0,a--z--v,,,,,Leases;Spain;Early works,http://id.worldcat.org/fast/995047;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636,Q26980;Q343;Q300
20260520-subjects-chicago-marc.csv,Plasencia Region (Spain)--History,0,a--x,,,,,Spain--Plasencia Region;History,http://id.worldcat.org/fast/1350257;http://id.worldcat.org/fast/958235,Q68097;Q6879
20260520-subjects-chicago-marc.csv,Contracts,fast,a,http://id.worldcat.org/fast/fst00876969,,,,Contracts,http://id.worldcat.org/fast/876969,Q5905
20260520-subjects-chicago-marc.csv,Spain--Plasencia Region,fast,a--z,http://id.worldcat.org/fast/fst01350257,,,,Spain--Plasencia Region,http://id.worldcat.org/fast/1350257,Q68097
20260520-subjects-chicago-marc.csv,"France--History--Charles VIII, 1483-1498--Sources",0,a--x--y--v,,,,,France;History;Sources,http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q152;Q6879;Q2769
