id,manuscript,groups,source_date,source_title,source_catalog_or_lot_number,institution,sale_selling_agent,sale_seller_or_holder,sale_buyer,sale_sold,sale_date,sale_price,titles,authors,dates,artists,scribes,languages,materials,places,uses,missing_authority_names,folios,num_columns,num_lines,height,width,alt_size,miniatures_fullpage,miniatures_large,miniatures_small,miniatures_unspec_size,initials_historiated,initials_decorated,manuscript_binding,manuscript_link,other_info,provenance,created_at,created_by,updated_at,updated_by,approved,deprecated,unverified_legacy_record,superceded_by_id,draft,coordinates
284098,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS181,"","","","",,,"",Lectionary (Lectionary),"",s. IX/X (800 to 999);  890-910 (890 to 910),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 05) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:05pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284099,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS182,"","","","",,,"",Breviary (Breviary),"",s. XI (1000 to 1099);  1000-1099 (1000 to 1099),"","",Latin (Latin),Parchment (parchment),"France, Europe (France?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 06) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:06pm,roseamcc,false,false,false,,false,"(46.0,2.0)"
284100,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS183,"","","","",,,"",Breviary (Breviary),"",s. XI (1000 to 1099);  1000-1099 (1000 to 1099),"","",Latin (Latin),Parchment (parchment),"France, Europe (France?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 07) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:07pm,roseamcc,false,false,false,,false,"(46.0,2.0)"
284101,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS184,"","","","",,,"",Sacramentary (Sacramentary),"",s. XI (1000 to 1099);  1000-1099 (1000 to 1099),"","",Latin (Latin),Parchment (parchment),"France, Europe (France?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 08) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:07pm,roseamcc,false,false,false,,false,"(46.0,2.0)"
284102,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS185,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 09) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:08pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284103,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS186,"","","","",,,"",Sacramentary (Sacramentary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 11) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:09pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284104,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS193,"","","","",,,"",Antiphonal (Antiphonal),"",s. XV (1400 to 1499);  1400-1499 (1400 to 1499),"","",Latin (Latin),Parchment (parchment),"Italy, Europe (Italy)","",0,,,,,,,,,,,,,,,,"Humberd, Charles D., Dr. (Price in English pounds on the recto, suggesting that the leaf may have been a gift to Conception Abbey from Dr. Charles D. Humberd (1876-1966) of Bernard, Missouri (buried in West Union, Indiana).); Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 41) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:09pm,roseamcc,false,false,false,,false,"(42.8333,12.8333)"
284105,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS194,"","","","",,,"","Bible, N.T., John (Bible); Bible, N.T., John (New Testament); Bible, N.T., John (Gospel of John)","",s. XV (1400 to 1499);  1400-1499 (1400 to 1499),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Came to Conception Abbey from its motherhouse, Engelberg in Switzerland.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 42) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:11pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284106,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS195,"","","","",,,"",Psalter (Psalter),"",s. XIV (1300 to 1399);  1300-1399 (1300 to 1399),"","",Latin (Latin),Parchment (parchment),"Netherlands, Low Countries, Europe (Netherlands)","",1,,,,,,,,,,,,,,,,"(Purchased ca. 2000 from a book dealer.); Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 43) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:11pm,roseamcc,false,false,false,,false,"(52.5,5.75)"
284107,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS196,"","","","",,,"","Bible, O.T. (Bible); Bible, O.T. (Old Testament)","",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Germany, Europe (Germany)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 37) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:12pm,roseamcc,false,false,false,,false,"(51.5,10.5)"
