name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,label-correct,structured_value
"Maximilian II, Holy Roman Emperor, 1527-1576",author,,,human,"Maximilian II, Holy Roman Emperor","Maximilian II, Holy Roman Emperor",Q150862
"Maximus, bp. of Turin",author,,,human,Maximus of Turin,Maximus of Turin,Q1230495
"Maximus, of Turin, Saint, active 4th century-5th century",author,,http://viaf.org/viaf/7309730,human,Maximus of Turin,Maximus of Turin,Q1230495
Maximus of Turin,author,,,human,Maximus of Turin,Maximus of Turin,Q1230495
"Maydānī, Aḥmad ibn Muḥammad, -1124",author,ميداني، احمد بن محمد، -1124,,human,Aḥmad Ibn-Muḥammad al- Maidānī,Aḥmad Ibn-Muḥammad al- Maidānī,Q5669370
"Maydānī, Aḥmad ibn Muḥammad, -1124",author,ميداني، احمد بن محمد، 1124,,human,Aḥmad Ibn-Muḥammad al- Maidānī,Aḥmad Ibn-Muḥammad al- Maidānī,Q5669370
"Maydānī, Aḥmad ibn Muḥammad, -1124",author,ميداني، احمد بن محمد، 1124,,human,Aḥmad Ibn-Muḥammad al- Maidānī,Aḥmad Ibn-Muḥammad al- Maidānī,Q5669370
"Maydānī, Aḥmad ibn Muḥammad, -1124",author,ميداني، احمد بن محمد، -1124,,human,Aḥmad Ibn-Muḥammad al- Maidānī,Aḥmad Ibn-Muḥammad al- Maidānī,Q5669370
Mayer Sulzberger,former owner,,,human,Mayer Sulzberger,Mayer Sulzberger,Q6797076
Mayer Sulzberger.,former owner,,,human,Mayer Sulzberger,Mayer Sulzberger,Q6797076
Mayfair Rare Books and Manuscripts,former owner,,,organization,Mayfair Rare Books and Manuscripts,Mayfair Rare Books and Manuscripts,Q123285061
"Mayner, Joseph",former owner,,,human,Joseph Mayner,Joseph Mayner,Q122873496
"Māzandarānī, ʻAbd al-Wahhāb al-Ḥusaynī, active 1828",scribe,مازندرانى، عبد الوهاب الحسينى،,,human,"Māzandarānī, ʻAbd al-Wahhāb al-Ḥusaynī, active 1828",ʻAbd al-Wahhāb al-Ḥusaynī al-Māzandarānī,Q123581760
"Mazzolla Vicentino, Calisto",author,,,human,Calisto Mazzolla Vicentino,Calisto Mazzolla Vicentino,Q116453188
"McClenahan, Jean P., 1908-1994",former owner,,,human,Jean P. McClenahan,Jean P. McClenahan,Q114242529
"McKenna, John D., of Plainfield, New Jersey",former owner,,,human,"McKenna, John D., of Plainfield, New Jersey",John D. McKenna,Q123274797
"McRay, John",former owner,,http://id.loc.gov/authorities/names/n91021176,human,John McRay,John McRay,Q75228011
"McRoberts, David",former owner,,http://id.loc.gov/authorities/names/n88624141,human,David McRoberts,David McRoberts,Q95002340
"McRoberts, David",former owner,,,human,David McRoberts,David McRoberts,Q95002340
"Meckenlocher, Fridericus, de Wendelstein",associated name,,,human,Fridericus Meckenlocher,Fridericus Meckenlocher,Q120442573
"Meckenlocher, Fridericus, de Wendelstein.",associated name,,,human,Fridericus Meckenlocher,Fridericus Meckenlocher,Q120442573
"Medici, Alamanno de'",author,,,human,Alamanno de' Medici,Alamanno de' Medici,Q116181729
"Medici, Bernardo de'",author,,,human,Bernardo Antonio de' Medici,Bernardo Antonio de' Medici,Q3638756
"Medici, Bivigliano de'",author,,,human,Bivigliano de' Medici,Bivigliano de' Medici,Q116454937
"Medici, Carlo de'",author,,,human,Carlo de' Medici,Carlo de' Medici,Q2507940
"Medici, Fabrizio de'",author,,,human,Fabrizio de' Medici,Fabrizio de' Medici,Q116453200
