File,material_as_recorded,authorized_label,structured_value,ds_qid
materials.csv,"paper, charts ;",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, coats of arms",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, col. ill",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, col. ill.",paper,http://vocab.getty.edu/aat/300014109,Q31
20240718-materials-vassar-marc-enriched.csv,"paper, col. illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
20240718-materials-vassar-marc-enriched.csv,"paper, col. illuminations ; 220 x 150 (130 x 90) mm bound to 230 x 160 mm",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, color, illustrations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, colored illustrations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, color illustrations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, color illustrations, coats of arms",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, color illustrations, music",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, color illustrations ;",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, diagrams",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, ill",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, ill.",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, ill., 6 maps",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, ill. (some col.)",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illumination",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illuminations, maps, charts",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illuminations, maps, charts ;",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illuminations;",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illuminations ;",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illustrated",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illustration",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illustrations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illustrations, music",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illustrations ;",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, illustrations (some color)",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, maps",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, music",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, oriental",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, orn: initial with crude profile",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, orn: initial with crude profile.",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, parchment",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,Q31;Q33
materials.csv,"paper, parchment.",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,Q31;Q33
materials.csv,"paper, seals",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, slight pen-work ornament",paper,http://vocab.getty.edu/aat/300014109,Q31
