place_as_recorded,authorized_label,structured_value,ds_qid
"Asti, Italy",Asti;Italy,http://vocab.getty.edu/tgn/7005610;http://vocab.getty.edu/tgn/1000080,Q74816;Q134
"Astorga, Spain",Astorga;Spain,http://vocab.getty.edu/tgn/7007313;http://vocab.getty.edu/tgn/1000095,Q16413;Q129
Athēnēsin,Athens,http://vocab.getty.edu/tgn/7001393,Q38145
Athēnēsin,Athens,http://vocab.getty.edu/tgn/7001393,Q38145
Athēnēsin :,Athens,http://vocab.getty.edu/tgn/7001393,Q38145
Athens,Athens,http://vocab.getty.edu/tgn/7001393,Q38145
Augsburg,Augsburg,http://vocab.getty.edu/tgn/7004324,Q4997
"Augsburg, Austria",Augsburg;Austria,http://vocab.getty.edu/tgn/7004324;http://vocab.getty.edu/tgn/1000062,Q4997;Q132
"Augsburg, Germany",Augsburg;Germany,http://vocab.getty.edu/tgn/7004324;http://vocab.getty.edu/tgn/7000084,Q4997;Q131
"Augsburg?, Germany",Augsburg;Germany,http://vocab.getty.edu/tgn/7004324;http://vocab.getty.edu/tgn/7000084,Q4997;Q131
Austria,Austria,http://vocab.getty.edu/tgn/1000062,Q132
"Austria, Austria",Austria,http://vocab.getty.edu/tgn/1000062,Q132
"Austria, Austria (?)",Austria,http://vocab.getty.edu/tgn/1000062,Q132
"Austria, Austria (Gastein)",Austria;Badgastein,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/1025441,Q132;Q38150
"Austria, Austria (Waldhausen)",Austria;Waldhausen,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/8713458,Q132;Q38322
"Austria, Salzburg",Austria;Salzburg,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7003256,Q132;Q7509
"Austria, Salzburg, Austria (?)",Austria;Salzburg,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7003256,Q132;Q7509
"Austria, Southern Austria",Austria,http://vocab.getty.edu/tgn/1000062,Q132
"Austria, Tirol",Austria;Tyrol,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7003029,Q132;Q12709
"Austria, Tyrol",Austria;Tyrol,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7003029,Q132;Q12709
"Austria, Tyrol ?",Austria;Tyrol,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7003029,Q132;Q12709
"Austria, Tyrol (?)",Austria;Tyrol,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7003029,Q132;Q12709
"Austria, Vienna",Austria;Vienna,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7003321,Q132;Q3078
"Austria; Bohemia (Czech Republic), Austria or Bohemia",Austria;Bohemia;Czech Republic,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006470;http://vocab.getty.edu/tgn/1001780,Q132;Q7503;Q38180
