name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_qid_add,ds_id_add,instance_of,authorized_label,structured_value,ds_qid
"Leo I, Pope, -461",author,,,human,Leo I,Q43954,Q42701,DSNAME6009,,,,
"León, Luis de, 1527-1591",author,,,human,Luis de León,Q450246,Q42702,DSNAME6010,,,,
"Lisón y Biedma, Mateo de, active 17th century",author,,,human,Mateo de Lisón y Biedma,Q127510498,Q42703,DSNAME6011,,,,
Livy,author,,,,,,,,human,Titus Livius,Q2039,Q1947
"Loaysa Girón, García de, 1542-1599",former owner,,,human,Garcia de Loaysa Giron,Q1493986,Q42704,DSNAME6012,,,,
"Lopes, Fernão, approximately 1380-",author,,,human,Fernão Lopes,Q704519,Q42705,DSNAME6013,,,,
"López de Ayala, Pedro, 1332-1407",author,,,human,Pero López de Ayala,Q81678,Q42706,DSNAME6014,,,,
"López Ossorio, Juan",author,,,human,Juan López Ossorio,Q127510490,Q42707,DSNAME6015,,,,
"Lucian, of Samosata",author,,,,,,,,human,Lucian of Samosata,Q177847,Q41157
"Luis, de Granada, 1504-1588",author,,,human,Luis de Granada,Q608713,Q42708,DSNAME6016,,,,
"Lyell, James P. R. 1871-1948",former owner,,http://id.loc.gov/authorities/names/nr97040618,,,,,,human,James Lyell,Q18529888,Q4455
"MacCarthy-Reagh, comte de Toulouse, 1744-1811",former owner,,,human,Justin MacCarthy Reagh,Q18528203,Q42709,DSNAME6017,,,,
"Marbode, Bishop of Rennes, 1035?-1123",author,,,human,Marbodius of Rennes,Q654307,Q42710,DSNAME6018,,,,
"Mariano, da Firenze, -1523",author,,,human,Mariano da Firenze,Q43222686,Q42711,DSNAME6019,,,,
"Martini, Giuseppe, 1870-1944",former owner,,http://id.loc.gov/authorities/names/nr99009017,,,,,,human,Giuseppe Martini,Q98834332,Q1497
"Martini, Giuseppe, 1870-1944.",former owner,,http://id.loc.gov/authorities/names/nr99009017,,,,,,human,Giuseppe Martini,Q98834332,Q1497
"Medici, Lorenzino de', 1514-1548",author,,,human,Lorenzino de' Medici,Q1050480,Q42712,DSNAME6020,,,,
"Medina, Bartolomé de, 1527 or 1528-1580",author,,,human,Bartolomé de Medina,Q809544,Q42713,DSNAME6021,,,,
"Mena, Juan de, 1411-1456",author,,,human,Juan de Mena,Q388140,Q42714,DSNAME6022,,,,
"Mendoza, Francisco de, -1566",author,,,human,Francisco Mendoza de Bobadilla,Q662239,Q42715,DSNAME6023,,,,
"Mīr Khvānd, Muḥammad ibn Khāvandshāh, 1433-1498",author,,,human,Mīr-Khvānd,Q1377629,Q42716,DSNAME6024,,,,
"Moffitt, James K. 1865-1955",former owner,,,human,James K. Moffitt,Q120691893,Q42717,DSNAME6025,,,,
"Moffitt, James K. 1865-1955.",former owner,,,human,James K. Moffitt,Q120691893,Q42717,DSNAME6025,,,,
"Moffitt, Pauline Fore",former owner,,,human,Pauline Fore Moffitt,Q127510461,Q42718,DSNAME6026,,,,
"Mongaston, Juan de",author,,,human,Juan de Mongaston,Q127510496,Q42719,DSNAME6027,,,,
