item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131477751,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.471",manuscript containing Book of Hours,DS11888,Q51028,Q51029,Ohio State University,Spec.Rare.MS.MR.Frag.471
http://www.wikidata.org/entity/Q131477634,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.472",manuscript containing Homiliary,DS11889,Q51031,Q51032,Ohio State University,Spec.Rare.MS.MR.Frag.472
http://www.wikidata.org/entity/Q131477752,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.473",manuscript containing Bible (glossed)Collectanea in Epistolas S. Pauli (Magna Glossatura),DS11890,Q51034,Q51035,Ohio State University,Spec.Rare.MS.MR.Frag.473
http://www.wikidata.org/entity/Q131477754,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.474",manuscript containing Historia Scholastica,DS11891,Q51037,Q51038,Ohio State University,Spec.Rare.MS.MR.Frag.474
http://www.wikidata.org/entity/Q131477635,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.475",manuscript containing Gradual,DS11892,Q51040,Q51041,Ohio State University,Spec.Rare.MS.MR.Frag.475
http://www.wikidata.org/entity/Q131477756,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.476",manuscript containing Gradual,DS11893,Q51043,Q51044,Ohio State University,Spec.Rare.MS.MR.Frag.476
http://www.wikidata.org/entity/Q131477763,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.477",manuscript containing Unidentified Latin word list,DS11894,Q51046,Q51047,Ohio State University,Spec.Rare.MS.MR.Frag.477
http://www.wikidata.org/entity/Q131477765,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.478",manuscript containing Scriptum super libros sententiarum,DS11895,Q51049,Q51050,Ohio State University,Spec.Rare.MS.MR.Frag.478
http://www.wikidata.org/entity/Q131477769,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.479",manuscript containing Book of Hours,DS11896,Q51052,Q51053,Ohio State University,Spec.Rare.MS.MR.Frag.479
http://www.wikidata.org/entity/Q131477771,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.480",manuscript containing Book of Hours,DS11897,Q51055,Q51056,Ohio State University,Spec.Rare.MS.MR.Frag.480
http://www.wikidata.org/entity/Q131477758,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.481",manuscript containing Book of Hours,DS11898,Q51058,Q51059,Ohio State University,Spec.Rare.MS.MR.Frag.481
http://www.wikidata.org/entity/Q131477760,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.482",manuscript containing Choir Breviary,DS11899,Q51061,Q51062,Ohio State University,Spec.Rare.MS.MR.Frag.482
http://www.wikidata.org/entity/Q131477761,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.483",manuscript containing Book of Hours,DS11900,Q51064,Q51065,Ohio State University,Spec.Rare.MS.MR.Frag.483
http://www.wikidata.org/entity/Q131477773,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.484",manuscript containing Missal (noted),DS11901,Q51067,Q51068,Ohio State University,Spec.Rare.MS.MR.Frag.484
http://www.wikidata.org/entity/Q131477775,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.485",manuscript containing Quaestiones super totum cursum logicae Porphyrii et Philosophi cum explanatione textus secundum mentum Doctoris subtilis Scoti,DS11902,Q51070,Q51071,Ohio State University,Spec.Rare.MS.MR.Frag.485
http://www.wikidata.org/entity/Q131477777,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.486",manuscript containing Missal,DS11903,Q51073,Q51074,Ohio State University,Spec.Rare.MS.MR.Frag.486
http://www.wikidata.org/entity/Q131477779,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.487",manuscript containing Antiphonal,DS11904,Q51076,Q51077,Ohio State University,Spec.Rare.MS.MR.Frag.487
http://www.wikidata.org/entity/Q131477780,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.488",manuscript containing Missal,DS11905,Q51079,Q51080,Ohio State University,Spec.Rare.MS.MR.Frag.488
http://www.wikidata.org/entity/Q131477782,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.489",manuscript containing Noted Missal,DS11906,Q51082,Q51083,Ohio State University,Spec.Rare.MS.MR.Frag.489
http://www.wikidata.org/entity/Q131477784,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.490",manuscript containing Choir book,DS11907,Q51085,Q51086,Ohio State University,Spec.Rare.MS.MR.Frag.490
