item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138106194,"Williamstown, Massachusetts, Williams College, Codex Mss 016",manuscript containing [Flores ex veris dictis],DS25495,https://search.digital-scriptorium.org/catalog/DS25495,Q98211,Q98212,Williams College,Codex Mss 016
http://www.wikidata.org/entity/Q138106202,"Williamstown, Massachusetts, Williams College, Codex Mss 017",manuscript containing [Allegoriae Novi Testamenti].,DS25496,https://search.digital-scriptorium.org/catalog/DS25496,Q98214,Q98215,Williams College,Codex Mss 017
http://www.wikidata.org/entity/Q138106204,"Williamstown, Massachusetts, Williams College, Codex Mss 018",manuscript containing Del chiostro dell anima,DS25497,https://search.digital-scriptorium.org/catalog/DS25497,Q98217,Q98218,Williams College,Codex Mss 018
http://www.wikidata.org/entity/Q138106205,"Williamstown, Massachusetts, Williams College, Codex Mss 019",manuscript containing [Legenda aurea],DS25498,https://search.digital-scriptorium.org/catalog/DS25498,Q98220,Q98221,Williams College,Codex Mss 019
http://www.wikidata.org/entity/Q138106207,"Williamstown, Massachusetts, Williams College, Codex Mss 020",manuscript containing De metrica arte,DS25499,https://search.digital-scriptorium.org/catalog/DS25499,Q98223,Q98224,Williams College,Codex Mss 020
http://www.wikidata.org/entity/Q138106208,"Williamstown, Massachusetts, Williams College, Codex Mss 021",manuscript containing [Opera],DS25500,https://search.digital-scriptorium.org/catalog/DS25500,Q98226,Q98227,Williams College,Codex Mss 021
http://www.wikidata.org/entity/Q138106209,"Williamstown, Massachusetts, Williams College, Codex Mss 022",manuscript containing [Opera],DS25501,https://search.digital-scriptorium.org/catalog/DS25501,Q98229,Q98230,Williams College,Codex Mss 022
http://www.wikidata.org/entity/Q138106211,"Williamstown, Massachusetts, Williams College, Codex Mss 023",manuscript containing Divina commedia,DS25502,https://search.digital-scriptorium.org/catalog/DS25502,Q98232,Q98233,Williams College,Codex Mss 023
http://www.wikidata.org/entity/Q138105965,"Williamstown, Massachusetts, Williams College, Codex Mss 024",manuscript containing [Horae B.V.M. use of Tournai],DS25503,https://search.digital-scriptorium.org/catalog/DS25503,Q98235,Q98236,Williams College,Codex Mss 024
http://www.wikidata.org/entity/Q138105966,"Williamstown, Massachusetts, Williams College, Codex Mss 025",manuscript containing [Armenian psalter and hymns],DS25504,https://search.digital-scriptorium.org/catalog/DS25504,Q98238,Q98239,Williams College,Codex Mss 025
http://www.wikidata.org/entity/Q138106212,"Williamstown, Massachusetts, Williams College, Codex Mss 026",manuscript containing [Horae B.V.M. use of Paris],DS25505,https://search.digital-scriptorium.org/catalog/DS25505,Q98241,Q98242,Williams College,Codex Mss 026
http://www.wikidata.org/entity/Q138106214,"Williamstown, Massachusetts, Williams College, Codex Mss 027",manuscript containing Aristotelis ethicorum.,DS25506,https://search.digital-scriptorium.org/catalog/DS25506,Q98244,Q98245,Williams College,Codex Mss 027
