item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131478268,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.245",manuscript containing Book of Hours,DS11664,Ohio State University,Spec.Rare.MS.MR.Frag.245
http://www.wikidata.org/entity/Q131478270,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.246",manuscript containing Book of Hours,DS11665,Ohio State University,Spec.Rare.MS.MR.Frag.246
http://www.wikidata.org/entity/Q131478273,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.247",manuscript containing Ecclesiastical synodal statutes,DS11666,Ohio State University,Spec.Rare.MS.MR.Frag.247
http://www.wikidata.org/entity/Q131478275,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.248",manuscript containing Missal,DS11667,Ohio State University,Spec.Rare.MS.MR.Frag.248
http://www.wikidata.org/entity/Q131478276,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.249",manuscript containing Breviary,DS11668,Ohio State University,Spec.Rare.MS.MR.Frag.249
http://www.wikidata.org/entity/Q131477788,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.250",manuscript containing Noted Missal,DS11669,Ohio State University,Spec.Rare.MS.MR.Frag.250
http://www.wikidata.org/entity/Q131750002,"Lawrence, Kansas, University of Kansas, MS C145",manuscript containing Sermoni alli soi frati heremitani,DS1167,University of Kansas,2959862|MS C145
http://www.wikidata.org/entity/Q131478279,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.251",manuscript containing Noted Missal,DS11670,Ohio State University,Spec.Rare.MS.MR.Frag.251
http://www.wikidata.org/entity/Q131478281,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.252",manuscript containing Noted Missal,DS11671,Ohio State University,Spec.Rare.MS.MR.Frag.252
http://www.wikidata.org/entity/Q131478283,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.253",manuscript containing Breviary,DS11672,Ohio State University,Spec.Rare.MS.MR.Frag.253
http://www.wikidata.org/entity/Q131478284,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.254",manuscript containing Missal,DS11673,Ohio State University,Spec.Rare.MS.MR.Frag.254
http://www.wikidata.org/entity/Q131478286,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.255",manuscript containing De laudibus beatae Mariae virgine libri IXX,DS11674,Ohio State University,Spec.Rare.MS.MR.Frag.255
http://www.wikidata.org/entity/Q131478288,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.256",manuscript containing Bible (Glossed),DS11675,Ohio State University,Spec.Rare.MS.MR.Frag.256
http://www.wikidata.org/entity/Q131478291,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.257",manuscript containing Book of Hours,DS11676,Ohio State University,Spec.Rare.MS.MR.Frag.257
http://www.wikidata.org/entity/Q131478293,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.258",manuscript containing Book of Hours,DS11677,Ohio State University,Spec.Rare.MS.MR.Frag.258
http://www.wikidata.org/entity/Q131478294,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.259",manuscript containing Acta Sanctorum,DS11678,Ohio State University,Spec.Rare.MS.MR.Frag.259
http://www.wikidata.org/entity/Q131478296,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.260",manuscript containing Sermones Sensati,DS11679,Ohio State University,Spec.Rare.MS.MR.Frag.260
http://www.wikidata.org/entity/Q131750003,"Lawrence, Kansas, University of Kansas, MS C147",manuscript containing Decretals and other fragments /,DS1168,University of Kansas,2959864|MS C147
http://www.wikidata.org/entity/Q131477790,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.261",manuscript containing Noted Breviary,DS11680,Ohio State University,Spec.Rare.MS.MR.Frag.261
http://www.wikidata.org/entity/Q131477792,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.262",manuscript containing Vitae Sanctorum,DS11681,Ohio State University,Spec.Rare.MS.MR.Frag.262
http://www.wikidata.org/entity/Q131478298,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.263",manuscript containing Decretales,DS11682,Ohio State University,Spec.Rare.MS.MR.Frag.263
http://www.wikidata.org/entity/Q131477793,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.264",manuscript containing Bible,DS11683,Ohio State University,Spec.Rare.MS.MR.Frag.264
http://www.wikidata.org/entity/Q131477794,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.265",manuscript containing Bible (lectern),DS11684,Ohio State University,Spec.Rare.MS.MR.Frag.265
http://www.wikidata.org/entity/Q131477796,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.266",manuscript containing Missal,DS11685,Ohio State University,Spec.Rare.MS.MR.Frag.266
http://www.wikidata.org/entity/Q131477797,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.267",manuscript containing Unidentified theological treatise,DS11686,Ohio State University,Spec.Rare.MS.MR.Frag.267
http://www.wikidata.org/entity/Q131477798,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.268",manuscript containing Institutiones Justiniani,DS11687,Ohio State University,Spec.Rare.MS.MR.Frag.268
http://www.wikidata.org/entity/Q131478300,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.269",manuscript containing Novo Compilatio Decretalium,DS11688,Ohio State University,Spec.Rare.MS.MR.Frag.269
http://www.wikidata.org/entity/Q131478301,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.270",manuscript containing Bible (Giant),DS11689,Ohio State University,Spec.Rare.MS.MR.Frag.270
http://www.wikidata.org/entity/Q131750004,"Lawrence, Kansas, University of Kansas, MS C158",manuscript containing A collection of mediaeval devotional works in Italian,DS1169,University of Kansas,2959873|MS C158
http://www.wikidata.org/entity/Q131478303,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.271",manuscript containing Libri Quattuor Sententiarum,DS11690,Ohio State University,Spec.Rare.MS.MR.Frag.271
http://www.wikidata.org/entity/Q131478305,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.272",manuscript containing Scriptum super Sententiarum,DS11691,Ohio State University,Spec.Rare.MS.MR.Frag.272
