item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q132169938,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.57",manuscript containing Coronica del rey don Henrriq[ue] terçero de este nonbre en Castilla que dixeron el doliente /,DS12729,"University of California, Berkeley",991048032839706532|BANC MS UCB 143 v.57
http://www.wikidata.org/entity/Q132169939,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.132","manuscript containing Coronica de Nauarra la qual acabo, el Principe Don Carlos de Aragon y Nauarra en el año 1454",DS12730,"University of California, Berkeley",991048032879706532|BANC MS UCB 143 v.132
http://www.wikidata.org/entity/Q132169940,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.66",manuscript containing Cria[do] dela casa real,DS12731,"University of California, Berkeley",991048032919706532|BANC MS UCB 143 v.66
http://www.wikidata.org/entity/Q132169942,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.27",manuscript containing Martirolog[ia] de vitis sanctorum,DS12732,"University of California, Berkeley",991048032959706532|BANC MS UCB 143 v.27
http://www.wikidata.org/entity/Q132169943,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.34",manuscript containing Chronicon,DS12733,"University of California, Berkeley",991048032999706532|BANC MS UCB 143 v.34
http://www.wikidata.org/entity/Q132169945,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.40",manuscript containing Arquitectu[ra,DS12734,"University of California, Berkeley",991048033019706532|BANC MS UCB 143 v.40
http://www.wikidata.org/entity/Q132169946,"Berkeley, California, University of California, Berkeley, BANC MS UCB 291",manuscript containing Miniature depicting the Pentecost with illuminated border,DS12735,"University of California, Berkeley",991048048999706532|BANC MS UCB 291
http://www.wikidata.org/entity/Q132169947,"Berkeley, California, University of California, Berkeley, 4MS BL1111.32.P4 1800z",manuscript containing Selections from various Indian sacred texts translated into Persian; India,DS12736,"University of California, Berkeley",4MS BL1111.32.P4 1800z|991048063689706532
http://www.wikidata.org/entity/Q132169944,"Berkeley, California, University of California, Berkeley, 4MS PK6443 1800z",manuscript containing Unidentified Persian fragments,DS12737,"University of California, Berkeley",4MS PK6443 1800z|991048063769706532
http://www.wikidata.org/entity/Q132169948,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.120",manuscript containing Legal commonplace book of terms dealing primarily with civil law,DS12738,"University of California, Berkeley",991048067989706532|BANC MS UCB 143 v.120
http://www.wikidata.org/entity/Q132169950,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.79",manuscript containing De las antigüedades de España,DS12739,"University of California, Berkeley",991048073809706532|BANC MS UCB 143 v.79
http://www.wikidata.org/entity/Q132169951,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.80",manuscript containing Discurso,DS12740,"University of California, Berkeley",991048077379706532|BANC MS UCB 143 v.80
http://www.wikidata.org/entity/Q132169953,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.84","manuscript containing El castigo mereçido, y amistad pagada; discurso nautico /",DS12741,"University of California, Berkeley",991048077419706532|BANC MS UCB 143 v.84
http://www.wikidata.org/entity/Q132169954,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.86",manuscript containing Poesías recopiladas,DS12742,"University of California, Berkeley",991048078119706532|BANC MS UCB 143 v.86
http://www.wikidata.org/entity/Q132169955,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.88","manuscript containing Este es el epitome del compendio historial de Estevan de Garibay, recopilado por Don Antonio Pellicer de Ossau ; Apuntamientos dela coronica del emperador Carlos 5 escrita por fr. Prudencio de Sandoual, coronista año 1604",DS12743,"University of California, Berkeley",991048078699706532|BANC MS UCB 143 v.88
http://www.wikidata.org/entity/Q132169956,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.91",manuscript containing Sonetos y canciones de Fran[cis]co de Figueroa,DS12744,"University of California, Berkeley",991048078739706532|BANC MS UCB 143 v.91
http://www.wikidata.org/entity/Q132169957,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.92",manuscript containing Desengaño de Rey.; Dialogos entre Rey poderosso Reyno aflixido consejero dessapasionado ofrecidos a V[uestra] Mag[esta]d /,DS12745,"University of California, Berkeley",991048078789706532|BANC MS UCB 143 v.92
http://www.wikidata.org/entity/Q132169958,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.176",manuscript containing Varios,DS12746,"University of California, Berkeley",991048093349706532|BANC MS UCB 143 v.176
http://www.wikidata.org/entity/Q132169421,"Berkeley, California, University of California, Berkeley, 4MS BP187.5.I4.Z6 1815",manuscript containing Treatise about the true appearance of praying places; India,DS12747,"University of California, Berkeley",4MS BP187.5.I4.Z6 1815|991048111249706532
http://www.wikidata.org/entity/Q132169423,"Berkeley, California, University of California, Berkeley, BANC MS UCB 175","manuscript containing Quittance, 1466, of Hans von Erschenn",DS12748,"University of California, Berkeley",991048133309706532|BANC MS UCB 175
http://www.wikidata.org/entity/Q132169424,"Berkeley, California, University of California, Berkeley, BANC MS UCB 176","manuscript containing Land title, 1480 July 9, to the city of Molsheim",DS12749,"University of California, Berkeley",991048133359706532|BANC MS UCB 176
http://www.wikidata.org/entity/Q132169425,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.69-76",manuscript containing Sucesos notables,DS12750,"University of California, Berkeley",991048141209706532|BANC MS UCB 143 v.69-76
http://www.wikidata.org/entity/Q132169426,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.96",manuscript containing Algunas obras en verso en lengua española e italiana de las que compuso el diuino Fran[cis]co de Figueroa gentilhombre contino del Rey N[uestro] S[eño]r y natural de Alcala de Henares,DS12751,"University of California, Berkeley",991048141509706532|BANC MS UCB 143 v.96
