item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131749879,"Lawrence, Kansas, University of Kansas, MS A35","manuscript containing La regola de frati minori in volgare [and other Italian religious works, including the Laudi of Jacopone da Todi",DS1114,Q6201,Q6202,University of Kansas,2955145|MS A35
http://www.wikidata.org/entity/Q131749880,"Lawrence, Kansas, University of Kansas, MS A15",manuscript containing Trattato de'sette vitii capitali cioè de peccati mortali,DS1115,Q6204,Q6205,University of Kansas,2955275|MS A15
http://www.wikidata.org/entity/Q131749882,"Lawrence, Kansas, University of Kansas, MS A19","manuscript containing Liber scintillarum, De virtutibus et vitiis, and other collections of excerpts and religious tracts /",DS1116,Q6207,Q6208,University of Kansas,2955284|MS A19
http://www.wikidata.org/entity/Q131749810,"Lawrence, Kansas, University of Kansas, MS B17","manuscript containing Hagiographical accounts of Saint Vitus, Saint Modestus and Saint Crescentia",DS1117,Q6210,Q6211,University of Kansas,2955434|MS B17
http://www.wikidata.org/entity/Q131749883,"Lawrence, Kansas, University of Kansas, MS B19","manuscript containing Laudes, sermones, miracula, exempla, etc. de Beata Maria Virgine",DS1118,Q6213,Q6214,University of Kansas,2955435|MS B19
http://www.wikidata.org/entity/Q131749884,"Lawrence, Kansas, University of Kansas, MS B20",manuscript containing Vita del beato S. Giovanni Battista; Libro della stultizia ovvero della spirituale battaglia,DS1119,Q6216,Q6217,University of Kansas,2955436|MS B20
http://www.wikidata.org/entity/Q131749885,"Lawrence, Kansas, University of Kansas, MS B21","manuscript containing Itinerary, Naples-Paris-Sermoneta",DS1120,Q6219,Q6220,University of Kansas,2955437|MS B21
http://www.wikidata.org/entity/Q131749886,"Lawrence, Kansas, University of Kansas, MS B45",manuscript containing Observationes in regularum ordinis Sancti Dominici,DS1121,Q6222,Q6223,University of Kansas,2955452|MS B45
http://www.wikidata.org/entity/Q131749887,"Lawrence, Kansas, University of Kansas, MS B44",manuscript containing Sermones quadragesimales,DS1122,Q6225,Q6226,University of Kansas,2955470|MS B44
http://www.wikidata.org/entity/Q131749888,"Lawrence, Kansas, University of Kansas, MS B61",manuscript containing Registrum brevium and other legal texts,DS1123,Q6228,Q6229,University of Kansas,2955481|MS B61
http://www.wikidata.org/entity/Q131749889,"Lawrence, Kansas, University of Kansas, MS J4:1",manuscript containing Antiphonari,DS1124,Q6231,Q6232,University of Kansas,2955964|MS J4:1
http://www.wikidata.org/entity/Q131749890,"Lawrence, Kansas, University of Kansas, MS J5:1",manuscript containing Antiphonary,DS1125,Q6234,Q6235,University of Kansas,2955965|MS J5:1
http://www.wikidata.org/entity/Q131749891,"Lawrence, Kansas, University of Kansas, MS J6:3:A5",manuscript containing Leaf containing the first Sunday after Pentecost,DS1126,Q6237,Q6238,University of Kansas,2955967|MS J6:3:A5
http://www.wikidata.org/entity/Q131749892,"Lawrence, Kansas, University of Kansas, MS J6:1:1","manuscript containing Leaf from large choir-book beginning ""Jubilate Deo""",DS1127,Q6240,Q6241,University of Kansas,2955968|MS J6:1:1
http://www.wikidata.org/entity/Q131749893,"Lawrence, Kansas, University of Kansas, MS B110",manuscript containing Sermones et miscellanea,DS1128,Q6243,Q6244,University of Kansas,2956178|MS B110
http://www.wikidata.org/entity/Q131749894,"Lawrence, Kansas, University of Kansas, MS B63",manuscript containing Sermones de vitiis et de penitentia,DS1129,Q6246,Q6247,University of Kansas,2956193|MS B63
http://www.wikidata.org/entity/Q131749895,"Lawrence, Kansas, University of Kansas, MS B74",manuscript containing Spirto gentil magnanimo et sublime ...,DS1130,Q6249,Q6250,University of Kansas,2956199|MS B74
http://www.wikidata.org/entity/Q131749896,"Lawrence, Kansas, University of Kansas, MS B92",manuscript containing Compendium theologicae veritatis /,DS1131,Q6252,Q6253,University of Kansas,2956227|MS B92
http://www.wikidata.org/entity/Q131749897,"Lawrence, Kansas, University of Kansas, MS E263",manuscript containing Super Matheum cum tabula in fine /,DS1132,Q6255,Q6256,University of Kansas,2956353|MS E263
http://www.wikidata.org/entity/Q131749898,"Lawrence, Kansas, University of Kansas, MS G18",manuscript containing Quaestionum canonisticarum collectio Aragonensis,DS1133,Q6258,Q6259,University of Kansas,2956366|MS G18
http://www.wikidata.org/entity/Q131749899,"Lawrence, Kansas, University of Kansas, MS G50",manuscript containing Steinhardt Antiphonary,DS1134,Q6261,Q6262,University of Kansas,2956368|MS G50
http://www.wikidata.org/entity/Q131749900,"Lawrence, Kansas, University of Kansas, MS C91",manuscript containing Homilies on the Gospels by St Gregory the Great and commentaries on the passion of Christ by Herman Appeldorn,DS1135,Q6264,Q6265,University of Kansas,2956536|MS C91
http://www.wikidata.org/entity/Q131749901,"Lawrence, Kansas, University of Kansas, MS C92",manuscript containing Leaf from Kalendar for September-October,DS1136,Q6267,Q6268,University of Kansas,2956537|MS C92
http://www.wikidata.org/entity/Q131749902,"Lawrence, Kansas, University of Kansas, MS C105","manuscript containing Book of the Gospels, incomplete",DS1137,Q6270,Q6271,University of Kansas,2956553|MS C105
http://www.wikidata.org/entity/Q131749903,"Lawrence, Kansas, University of Kansas, MS E58",manuscript containing Compendium [sensus litteralis totius] Sacrae Scripturae,DS1138,Q6273,Q6274,University of Kansas,2956666|MS E58
http://www.wikidata.org/entity/Q131749904,"Lawrence, Kansas, University of Kansas, MS C24",manuscript containing A collection of Italian lyric poetry; primarily Petrarch's Canzoniere,DS1139,Q6276,Q6277,University of Kansas,2956687|MS C24
http://www.wikidata.org/entity/Q131749905,"Lawrence, Kansas, University of Kansas, MS C26",manuscript containing De resuscitatione Christi,DS1140,Q6279,Q6280,University of Kansas,2956696|MS C26
http://www.wikidata.org/entity/Q131749906,"Lawrence, Kansas, University of Kansas, MS C27",manuscript containing Villacucca cartulary,DS1141,Q6282,Q6283,University of Kansas,2958440|MS C27
http://www.wikidata.org/entity/Q131749907,"Lawrence, Kansas, University of Kansas, MS A16",manuscript containing Book of hours,DS1142,Q6285,Q6286,University of Kansas,2958458|MS A16
http://www.wikidata.org/entity/Q131749908,"Lawrence, Kansas, University of Kansas, MS C198",manuscript containing Compendium moralitatum; Abiciendum est peccatum quia nidus est dyaboli /,DS1143,Q6288,Q6289,University of Kansas,2959511|MS C198
http://www.wikidata.org/entity/Q131749909,"Lawrence, Kansas, University of Kansas, MS C196",manuscript containing List of salutations,DS1144,Q6291,Q6292,University of Kansas,2959513|MS C196
http://www.wikidata.org/entity/Q131749910,"Lawrence, Kansas, University of Kansas, MS C195",manuscript containing Librum aurore /,DS1145,Q6294,Q6295,University of Kansas,2959516|MS C195
http://www.wikidata.org/entity/Q131749911,"Lawrence, Kansas, University of Kansas, MS C46","manuscript containing Two treatises on the nobility by Werner Rolevinck and Jean Gerson, and selected passages from Poggio Bracciolini's Invectivae",DS1146,Q6297,Q6298,University of Kansas,2959519|MS C46
http://www.wikidata.org/entity/Q131749912,"Lawrence, Kansas, University of Kansas, MS C49",manuscript containing Sententiae /,DS1147,Q6300,Q6301,University of Kansas,2959522|MS C49
http://www.wikidata.org/entity/Q131749913,"Lawrence, Kansas, University of Kansas, MS C54",manuscript containing Liber beati Ysidori episcopi qui appelatur sumum bonum,DS1148,Q6303,Q6304,University of Kansas,2959526|MS C54
http://www.wikidata.org/entity/Q131749914,"Lawrence, Kansas, University of Kansas, MS C56",manuscript containing Medical recipes,DS1149,Q6306,Q6307,University of Kansas,2959528|MS C56
http://www.wikidata.org/entity/Q131749915,"Lawrence, Kansas, University of Kansas, MS C57",manuscript containing Libro dil transito e de li dignissimi miracoli del glorioso e excelente doctore Misser Sancto Jeronimo,DS1150,Q6309,Q6310,University of Kansas,2959530|MS C57
http://www.wikidata.org/entity/Q131749916,"Lawrence, Kansas, University of Kansas, MS C58",manuscript containing Epistola beati Eusebii discipuli ... de morte gloriosissimi Jheronimi doctoris eximii,DS1151,Q6312,Q6313,University of Kansas,2959531|MS C58
http://www.wikidata.org/entity/Q131749917,"Lawrence, Kansas, University of Kansas, MS C61","manuscript containing Divinae institutiones, incomplete /",DS1152,Q6315,Q6316,University of Kansas,2959535|MS C61
http://www.wikidata.org/entity/Q131749918,"Lawrence, Kansas, University of Kansas, MS C62",manuscript containing Tractatus super Cantica Canticorum. Expositio super Psalumum XXVIII,DS1153,Q6318,Q6319,University of Kansas,2959536|MS C62
http://www.wikidata.org/entity/Q131749919,"Lawrence, Kansas, University of Kansas, MS C64",manuscript containing Dieta salutis,DS1154,Q6321,Q6322,University of Kansas,2959538|MS C64
http://www.wikidata.org/entity/Q131749920,"Lawrence, Kansas, University of Kansas, MS C65",manuscript containing Collection of religious and theological treatises,DS1155,Q6324,Q6325,University of Kansas,2959539|MS C65
http://www.wikidata.org/entity/Q131749991,"Lawrence, Kansas, University of Kansas, MS C66",manuscript containing La mistica theolozia dellamore divino,DS1156,Q6327,Q6328,University of Kansas,2959543|MS C66
http://www.wikidata.org/entity/Q131749992,"Lawrence, Kansas, University of Kansas, MS C67",manuscript containing Von Warsagen auss vil puechern in Kurtz begriffen,DS1157,Q6330,Q6331,University of Kansas,2959544|MS C67
http://www.wikidata.org/entity/Q131749993,"Lawrence, Kansas, University of Kansas, MS C68",manuscript containing De vita tirannica /,DS1158,Q6333,Q6334,University of Kansas,2959547|MS C68
http://www.wikidata.org/entity/Q131749994,"Lawrence, Kansas, University of Kansas, MS C69",manuscript containing Commentarium Biblicum,DS1159,Q6336,Q6337,University of Kansas,2959548|MS C69
http://www.wikidata.org/entity/Q131749995,"Lawrence, Kansas, University of Kansas, MS C70",manuscript containing Quid sit annus solaris,DS1160,Q6339,Q6340,University of Kansas,2959549|MS C70
http://www.wikidata.org/entity/Q131749996,"Lawrence, Kansas, University of Kansas, MS C71",manuscript containing Barzizza and other works,DS1161,Q6342,Q6343,University of Kansas,2959550|MS C71
http://www.wikidata.org/entity/Q131749997,"Lawrence, Kansas, University of Kansas, MS C82",manuscript containing Sermones,DS1162,Q6345,Q6346,University of Kansas,2959588|MS C82
http://www.wikidata.org/entity/Q131749998,"Lawrence, Kansas, University of Kansas, MS C90",manuscript containing Del risco cioe iÌƒmensa letitia de la gloriosa nostra donÌƒa: alma v[er]zene Maria. ComaÌƒdameÌƒte X [versified]. Articoli ... de la fide [versified,DS1163,Q6348,Q6349,University of Kansas,2959601|MS C90
http://www.wikidata.org/entity/Q131749999,"Lawrence, Kansas, University of Kansas, MS C126",manuscript containing Latin treatises on religious matters,DS1164,Q6351,Q6352,University of Kansas,2959603|MS C126
