row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
690,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z","Agostino della Scarperia, d. 1340.",author,,,human,Agostino da Scarperia,Q3606836
691,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Agostino della Scarperia.,author,,,human,Agostino da Scarperia,Q3606836
692,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Ahmad ibn Muhammad Rasis,author,,,human,Ahmad ibn Muhammad al-Razi,Q8192126
693,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Ailred of Rievaulx,author,,,human,Aelred of Rievaulx,Q380845
694,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.091167200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z","Aken, Hein van.",author,,,human,Hein van Aken,Q2395779
695,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.091167200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z","Alagona, Arthelouche de.",author,,,human,Artelouche de Alagona,Q53561928
696,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.091167200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Alain Chartier,author,,,human,Alain Chartier,Q982038
699,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.091167200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Alan of Lille,author,,,human,Alain de Lille,Q4313
700,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.091167200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Alanus ab Insulis,author,,,human,Alain de Lille,Q4313
701,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.091167200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z","Albert Figdor, 1843-1927",former owner,,,human,Albert Figdor,Q1552207
