row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
5874,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.882997200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.298157Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Simeon Monachus.,author,,,human,Symeon of Durham,Q940417
5876,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.882997200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.298157Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Simon Mepham (Simon Meopham),author,,,human,Simon Mepeham,Q3484377
5877,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.882997200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.298157Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Simon de Cremona,author,,,human,Simon of Cremona,Q16205160
5878,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.882997200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.298157Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Simone Fidati da Cascia d. 1348.,author,,,human,Simon of Cascia,Q2384461
5879,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.882997200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.298157Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Simone Serdini,author,,,human,Simone Serdini,Q27681105
5886,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.883997300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.298157Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Sir Francis Sharp Powell,former owner,,,human,"Sir Francis Powell, 1st Baronet",Q7526723
5893,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.883997300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.298157Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Sir John Mandeville,author,,,human,John Mandeville,Q24766
5900,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.883997300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.298157Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Sir Thomas Littleton,author,,,human,Thomas de Littleton,Q7795482
5901,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.883997300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.299164200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.407663900Z",Sir Thomas Phillipps (1792-1872) (MS 9292),former owner,,,human,Thomas Phillipps,Q2147709
5913,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.883997300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.299164200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z","Sir Thomas Phillipps (1792-1872), his n. 5861",former owner,,,human,Thomas Phillipps,Q2147709
5931,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.883997300Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.300159100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z","Sir Thomas Phillipps (1792-1872), his n. 9677",former owner,,,human,Thomas Phillipps,Q2147709
5948,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.884997200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.300159100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z","Sir Thomas Phillipps, his MS 9391.",former owner,,,human,Thomas Phillipps,Q2147709
5960,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.884997200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.300159100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.723677700Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z",Sir Thomas Smith,author,,,human,Thomas Smith,Q3525572
5962,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.884997200Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.301158900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z",Sir Thomas Wilford,author,,,human,Sir Thomas Wilford,Q76329039
5986,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.885996900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.301158900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z",Sixtus IV,author,,,human,Sixtus IV,Q163514
5990,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.885996900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.301158900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z","Smith, William fl. 1596.",author,,,human,William Smith,Q8018559
5991,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.885996900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.301158900Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z","Smyth, John 1567-1640.",author,,,human,John Smith,Q6258360
6118,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.889009600Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.304153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.219823200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.470613200Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.408664300Z","Sold by Leo S. Olschki (Florence), 1907",former owner,,,organization,Leo S. Olschki Editore,Q3229594
6183,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.890004600Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.309153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Solinus,author,,,human,Gaius Julius Solinus,Q520487
6184,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.890004600Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.309153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Solinus, C. Julius 3rd cent?",author,,,human,Gaius Julius Solinus,Q520487
6204,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.309153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Sozomenus of Pistoia 1387-1458.,author,,,human,Zomino da Pistoia,Q21545952
6206,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.309153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Speciano, Cesare.",author,,,human,Cesare Speciano,Q3665544
6207,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.309153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Spenser, Edmund 1552?-1599.",author,,,human,Edmund Spenser,Q4352055
6221,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.309153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Statius,author,,,human,Publius Papinius Statius,Q243203
6222,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.309153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Statius, P. Papinius (Publius Papinius)",author,,,human,Publius Papinius Statius,Q243203
6223,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.309153300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.724677500Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Stefano Tegliacci,author,,,human,Stefan Teglatije,Q64779125
6226,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Stephanus Marcilleti,author,,,human,Stefano Marcilleti,Q41616923
6227,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Stephen Langton,author,,,human,Stephen Langton,Q465329
6228,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Stephen Langton (Stephanus Langton),author,,,human,Stephen Langton,Q465329
6229,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Stephen Whitney Phoenix (1839-1881).,former owner,,,human,S. Whitney Phoenix,Q94355904
6230,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Strabo,author,,,human,Strabo,Q45936
6231,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Stuart, Bérault seigneur d'Aubigny ca. 1452-1508.",author,,,human,"Bernard Stewart, 4th Lord of Aubigny",Q2747051
6234,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Suetonius,author,,,human,Suetonius,Q10133
6235,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Suetonius (Gaius Suetonius Tranquillus),author,,,human,Suetonius,Q10133
6236,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Suetonius ca. 69-ca. 122.,author,,,human,Suetonius,Q10133
6238,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Sulpicius Severus,author,,,human,Sulpicius Severus,Q336704
6239,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Sulpitius Verulanus, Joannes 15th cent.",author,,,human,Giovanni Sulpizio da Veroli,Q5563993
6240,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Sumner, Charles, 1811-1874",former owner,,,human,Charles Sumner,Q1066198
6241,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.891003100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Suriano, Michele fl. 1558-1573.",author,,,human,Michele Suriano,Q82948837
6257,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.892001900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",T. Harrison Garrett (d. 1888).,former owner,,,human,Thomas Harrison Garrett,Q73896539
6260,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.892001900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Tacitus,author,,,human,Tacitus,Q2161
6261,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.892001900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z","Tacitus, Cornelius.",author,,,human,Tacitus,Q2161
6264,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.892001900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Tancredus Bononiensis,author,,,human,Tancred of Bologna,Q2392869
6266,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.892001900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Terence,author,,,human,Terence,Q172048
6267,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.892001900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Terence.,author,,,human,Terence,Q172048
6268,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.892001900Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.310155200Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.725676900Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.220822400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.471613100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.411664900Z",Thaddeus de Parma,author,,,human,Thaddeus of Parma,Q2408399
