name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Charles IX, King of France, 1550-1574",author,,http://id.loc.gov/authorities/names/n85048544,human,Charles IX of France,Q134309
"Charles V, Holy Roman Emperor, 1500-1558",author,,http://id.loc.gov/authorities/names/n79112289,human,"Charles V, Holy Roman Emperor",Q32500
"Charles VII, King of France, 1403-1461",author,,http://id.loc.gov/authorities/names/n50036472,human,Charles VII of France,Q133372
"Charles VIII, King of France, 1470-1498",author,,http://id.loc.gov/authorities/names/n82158482,human,Charles VIII of France,Q134452
"Chasles, M. 1793-1880",former owner,,http://id.loc.gov/authorities/names/n86860104,human,Michel Chasles,Q318067
"Chastellain, Georges, 1405?-1475",author,,http://id.loc.gov/authorities/names/n81090775,human,Georges Chastellain,Q957427
"Chastellar, Gregory de",author,,,human,Gregory de Chastellar,Q116272265
"Cheney, Edward, 1803-1884",former owner,,http://id.loc.gov/authorities/names/no98108800,human,Edward Cheney,Q19039655
"Chiriacus, de Fulgineo",scribe,,http://id.loc.gov/authorities/names/nr2006008995,human,Chiriacus de Fulgineo,Q116272287
"Chrewczer, Cristoferus",former owner,,,human,Cristoferus Chrewczer,Q116272340
"Chrewczer, Pangracius",former owner,,,human,Pangracius Chrewczer,Q116272350
"Church, John",former owner,,http://id.loc.gov/authorities/names/n82117996,human,John Church,Q116067165
"Churchill, Robert",former owner,,http://id.loc.gov/authorities/names/n94093432,human,Robert Churchill,Q116067854
"Ciarfalli, Antonio",author,,,human,Antonio Ciarfalli,Q116272347
"Cicero, Marcus Tullius",author,,http://id.loc.gov/authorities/names/n79032166,human,Cicero,Q1541
Cistercians,author,,http://id.loc.gov/authorities/names/n81025943,organization,Cistercians,Q166861
Città di Castello (Italy). Podestà,author,,,organization,Città di Castello,Q20413
"Civaleri, Pietro, Conte",former owner,,,human,Pietro Civaleri,Q116319517
"Claret de La Tourrette, Jacques-Annibal, 1692-1776",former owner,,,human,Jacques Annibal Claret de La Tourrette,Q105071302
"Clarke, Adam, approximately 1762-1832",former owner,,http://id.loc.gov/authorities/names/n50072969,human,Adam Clarke,Q3292302
"Clarke, William",former owner,,http://id.loc.gov/authorities/names/n78071205,human,William Clarke,Q24075912
"Claudianus, Claudius",author,,http://id.loc.gov/authorities/names/n80098606,human,Claudian,Q205947
"Claustris, Agnes de",author,,,human,Agnes de Claustris,Q116272273
"Clement VII, Pope, 1478-1534",author,,http://id.loc.gov/authorities/names/n88002890,human,Clement VII,Q83159
"Cnipius, Johannes, -1586",author,,http://id.loc.gov/authorities/names/no2006044348,human,Johannes Cnipius,Q20752901
"Cofradía del Señor Sant Pedro martyr (Palencia, Spain)",author,,,organization,Confraternity of St. Peter martyr (Palencia),Q116731023
"Cohen, Abraham, 1887-1951",former owner,,,human,Abraham Cohen,Q4668808
"Collins, Mary Schell, 1864-1948",former owner,,,human,Mary Schell Collins,Q116272333
"Colman, Francis, -1733",former owner,,http://id.loc.gov/authorities/names/nr91025925,human,Francis Colman,Q75399420
"Colonne, Guido delle, active 13th century",author,,http://id.loc.gov/authorities/names/n50033870,human,Guido delle Colonne,Q1248842
"Compeggio, Tommaso, 1483-1564",former owner,,,human,Tommaso Compeggio,Q116319861
Concini family,author,,,organization,Concini family,Q116706324
"Confraternita della Santa Croce (Lucca, Italy)",author,,,organization,Confraternita della Santa Croce in Lucca,Q116695022
Confrerie de Sainte-Euladie et de Saint-Gênes,author,,,organization,Confraternity of Saint Eulalia and Saint Gênes,Q116695011
Conradus de Solto,author,,,human,Conradus de Solto,Q116270240
Consejo de Inquisición (Spain),author,,http://id.loc.gov/authorities/names/n83046831,organization,Grand Inquisitor of Spain,Q24349070
"Contarini, Gasparo, 1483-1542",author,,http://id.loc.gov/authorities/names/n88095633,human,Gasparo Contarini,Q728931
"Contarinus, Magister",author,,,human,Magister Contarinus,Q116323409
"Cooke, Robert, -1592",author,,http://id.loc.gov/authorities/names/no89014196,human,Robert Cooke,Q116074334
Coptic Church,author,,http://id.loc.gov/authorities/names/n79107736,organization,Coptic Orthodox Church,Q198998
"Cornelius, Father, S.J",author,,,human,John Cornelius,Q6227148
"Corner, Giovanni, 1647-1722",author,,http://id.loc.gov/authorities/names/nr00001577,human,Giovanni II Cornaro,Q1226634
"Cosci, Francesco",author,,,human,Francesco Cosci,Q114860576
"Cosman, Madeleine Pelner",former owner,,http://id.loc.gov/authorities/names/n99835106,human,Madeleine Cosman,Q15486045
"Cosson, Charles Alexander, baron de",former owner,,http://id.loc.gov/authorities/names/n88677147,human,Charles Alexander de Cosson,Q47542851
"Cosson, Claude Augustin, baron de, 1877-",former owner,,,human,Claude Augustin de Cosson,Q116320156
"Council of Basel (1431-1449 : Basel, Switzerland)",author,,http://id.loc.gov/authorities/names/n79129626,organization,Council of Basel,Q694141
"Cron, B. S",former owner,,http://id.loc.gov/authorities/names/no2016075605,human,B.S. Cron,Q116074537
"Croy, Philippe de, 1496-1549",former owner,,,human,Philippe II de Croÿ,Q935822
"Cuntius, Leonhardus",former owner,,,human,Leonhardus Cuntius,Q116322478
Curia episcopalis Senensis,author,,,organization,Roman Catholic Archdiocese of Siena,Q111439511
"Curnieu, Charles Louis Adélaïde Henri Matheron, baron de, approximately 1811-1871",former owner,,http://id.loc.gov/authorities/names/nr96033055,human,Charles Louis Adelaïde Henri Matheron Curnieu,Q116272270
"Curtius, Lancinus",former owner,,,human,Lancino Curti,Q21207681
"Cynthius, Laurentius",author,,,human,Laurentius Cynthius,Q116322997
"Dallas, Robert, Sir, 1756-1824",former owner,,http://id.loc.gov/authorities/names/no90009753,human,Robert Dallas,Q7343367
"Danès, Pierre, 1497-1577",author,,http://id.loc.gov/authorities/names/n84115396,human,Pierre Danes,Q3384615
"Danūkh, Saʻīd",former owner,,,human,Saʻīd Danūkh,Q116323226
