row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
642,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rabaʻī, ʻĪsá ibn Ibrāhīm, -1087 or 1088",author,ربعي، عيسى بن ابراهيم، -1087 or 1088,,ʿĪsā b. Ibrāhīm al-Rabaʿī,human,Q61626919,,,
643,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rajabī, ʻAlī Muḥammad, active 19th century",scribe,,,,,,,,
644,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rajrajāʼī, Muḥammad ibn Ismaʻīl, active 16th century",scribe,رجرجائي، محمد بن اسمعيل، active 16th century,,,,,,,
645,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rashīdī, Aḥmad ʻArafah ibn Aḥmad ʻArafah",scribe,رشيدي، احمد عرفة بن احمد عرفة,,,,,,,
646,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rashīdī, Muḥammad ibn Salāmah, active 19th century",author,رشيدي، محمد بن سلامة، active 19th century,,Muḥammad ibn Salāmah Rashīdī,human,Q121322487,,,
647,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rashīdī, Muḥammad ibn Salāmah, active 19th century",scribe,رشيدي، محمد بن سلامة، active 19th century,,Muḥammad ibn Salāmah Rashīdī,human,Q121322487,,,
648,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rashīdī, Muḥammad ibn Salāmah, active 19th century",author,رشيدي محمد بن سلامة، active 19th century,,Muḥammad ibn Salāmah Rashīdī,human,Q121322487,,,
649,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rashīdī, ʻAbd al-Raḥmān ibn Muḥammad, active 14th century",author,رشيدي، عبد الرحمن بن محمد، 14th century,,,,,,,
650,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rassām, ʻAbd al-Fattāḥ ibn Abī Bakr, active 16th century",author,رسام، عبد الفتاح بن ابي بكر، active 16th century,,,,,,,
651,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ravignani, Benintendi, approximately 1317-approximately 1360",author,,http://id.loc.gov/authorities/names/no2019066768,Benintendi Ravegnani,human,Q16531977,,,
652,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rayḥān Āghā ibn ʻAbd Allāh, -1606",author,ريحان آغا بن عبد الله، -1606,,,,,,,
653,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Renouard, Ant. Aug. 1765-1853",former owner,,,Antoine-Augustin Renouard,human,Q2853443,,,
654,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rolle, Richard, 1290?-1349",author,,http://id.loc.gov/authorities/names/n79045084,Richard Rolle,human,Q2345308,,,
655,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Roloff, Friedrich Wilhelm, 1714-1741",former owner,,,Friedrich Wilhelm Roloff,human,Q55916138,,,
658,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rūdānī, Muḥammad ibn Muḥammad, 1627 or 1628-1682 or 1683",author,روداني، محمد بن محمد، 1627 or 1628-1682 or 1683,http://id.loc.gov/authorities/names/nr90008302 http://id.loc.gov/authorities/names/nr90008302 http://viaf.org/viaf/sourceID/LC%7cnr90008302,Mohammed al-Rudani,human,Q6893439,,,
657,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rūmī, Aḥmad ibn ʻAbd al-Qādir, -1631",author,رومي، احمد بن عبد القادر، -1631,http://id.loc.gov/authorities/names/nr95013930,Aḥmad Ibn-ʿAbd-al-Qāhir ar- Rūmī,human,Q113782405,,,
659,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rūmī, Nūḥ ibn Muṣṭafá, -1659 or 1660",author,رومي، نوح بن مصطفى، -1659 or 1660,,,,,,,
656,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Rushdī, Muḥammad, active 19th century",scribe,رشدي، محمد، active 19th century,,,,,,,
743,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣabbāgh, Aḥmad ibn Muṣṭafá, -1749",author,صباغ، احمد بن مصطفى، -1749؟,,,,,,,
744,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣabbāgh, Muḥammad ibn Muḥammad, active 16th century",author,صباغ، محمد بن محمد، active 16th century,,,,,,,
876,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.532318300Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣabbān, Muḥammad ibn ʻAlī, -1791 or 1792",author,صبان، محمد بن علي، -1791 or 1792,http://id.loc.gov/authorities/names/n85091885,Muḥammad ibn ʻAlī Ṣabbān,human,Q122946988,,,
751,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣābūnī, Aḥmad ibn Maḥmūd, -1184",author,صابوني، احمد بن محمود، -1184,,Nur al-Din al-Sabuni,human,Q25451999,,,
660,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Sabʻī, ʻAbd Allāh ibn Muḥammad, active 19th century",scribe,سبعي، عبد الله بن محمد، active 19th century,,,,,,,
877,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.532318300Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣadr al-Dīn al-Qūnawī, Muḥammad ibn Isḥāq, -1273 or 1274",author,صدر الدين القونوي، محمد بن اسحاق، -1273 or 1274,http://id.loc.gov/authorities/names/n84011667 http://id.loc.gov/authorities/names/n84011667 http://viaf.org/viaf/sourceID/LC%7cn84011667,Sadr al-Din al-Qunawi,human,Q770298,,,
878,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.532318300Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣadr al-Shahīd, ʻUmar ibn ʻAbd al-ʻAzīz, 1090 or 1091-1141",author,صدر الشهيد، عمر بن عبد العزيز، 1090 or 1091-1141,http://id.loc.gov/authorities/names/n80157539,Ṣadr al-Shahīd,human,Q31299422,,,
745,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣafadī, Khalīl ibn Aybak, approximately 1297-1363",author,صفدي، خليل بن ايبك، approximately 1297-1363,,"Ṣafadī, Khalīl ibn Aybak",human,Q12220160,,,
746,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣafatī, Muḥammad ibn Aḥmad, active 13th century",author,صفتي، محمد بن احمد، active 13th century,,,,,,,
747,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣafawī, Ḥusayn ibn Abī al-Suʻūd",author,صفوي، حسين بن ابي السعود,,,,,,,
748,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣaffūrī, ʻAlī ibn ʻAbd al-Raḥmān",author,صفوري، علي بن عبد الرحمن,,,,,,,
879,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.532318300Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Ṣafī al-Dīn ʻAbd al-Muʼmin,author,صفي الدين عبد المؤمن,,,,,,,
749,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.949442600Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.142793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Ṣafrāwī, ʻAbd al-Raḥmān ibn ʻAbd al-Majīd, 1149-1238 or 1239",author,صفراوي، عبد الرحمن بن عبد المجيد، 1149-1238 or 1239,,,,,,,
