row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bruges?, Belgium",,,Bruges;Belgium,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bruges?, Flanders",,,Bruges;Flanders,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/7024097
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Brussels, Flanders",,,Brussels;Flanders,http://vocab.getty.edu/tgn/7007868;http://vocab.getty.edu/tgn/7024097
35,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Burgundy, France",,,Burgundy;France,http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
36,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Burgundy?, France",,,Burgundy;France,http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
37,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Cambrai, diocese of, France (northeastern)",,,Cambrai;France,http://vocab.getty.edu/tgn/7008456;http://vocab.getty.edu/tgn/1000070
38,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z",Central Italy,,,Central Italy,http://vocab.getty.edu/tgn/4005361
39,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Châlons, France",,,Châlons;France,http://vocab.getty.edu/tgn/7657983;http://vocab.getty.edu/tgn/1000070
40,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Cirencester?, England",,,Cirencester;England,http://vocab.getty.edu/tgn/7011127;http://vocab.getty.edu/tgn/7002445
41,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Cologne, Germany",,,Cologne;Germany,http://vocab.getty.edu/tgn/7004446;http://vocab.getty.edu/tgn/7000084
42,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z",Cologne?,,,Cologne,http://vocab.getty.edu/tgn/7004446
