title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
al-Juzʼ al-thānī min Tasʹhīl al-hidāyah wa-taḥṣīl al-Kifāyah /,الجزء الثاني من تسهيل الهداية وتحصيل الكفاية /,Tasʹhīl al-hidāyah wa-taḥṣīl al-Kifāyah.,تسهيل الهداية وتحصيل الکفاية.,Tasʹhīl al-hidāyah wa-taḥṣīl al-Kifāyah,
al-Kashfīyah ʻalá Sharḥ al-ʻAḍudīyah ... etc,الكشفية على شرح العضدية ... الخ.,,,Kashfīyah ʻalá Sharḥ al-ʻAḍudīyah,
al-Kawākib al-durrīyah ʻalá al-Arbaʻīn al-Jawharīyah /,الكواكب الدرية على الاربعين الجوهرية /,,,Kawākib al-durrīyah ʻalá al-Arbaʻīn al-Jawharīyah,
al-Khulāṣah,الخلاصة.,Sharḥ Alfīyat Ibn Mālik,شرح على الفية ابن مالك في علم العربية,Sharḥ Alfīyat Ibn Mālik,
al-Khulāṣah fī maʻrifat al-ḥadīth ... etc,الخلاصة في معرفة الحديث ... الخ.,,,Khulāṣah fī maʻrifat al-ḥadīth,
al-Kitāb al-mabsūṭ,الکتاب المبسوط.,Mabsūṭ,مبسوط,Mabsūṭ,
al-Laṭāyif al-nūrīyah fī al-minaḥ al-Damanhūrīyah,اللطايف النورية في المنح الدمنهورية.,,,Laṭāyif al-nūrīyah fī al-minaḥ al-Damanhūrīyah,
al-Lumʻah al-sanīyah fī ḥall alfāẓ al-Ājurrūmīyah,اللمعة السنية في حل الفاظ الاجرومية.,,,Lumʻah al-sanīyah fī ḥall alfāẓ al-Ājurrūmīyah,
al-Lumʻah fī ajwibat al-asʼilah al-sabʻah /,اللمعة في اجوبة الاسئلة السبعة /,,,Lumʻah fī ajwibat al-asʼilah al-sabʻah,
al-Lumʻah fī khuṣūṣīyāt yawm al-Jumʻah /,اللمعة في خصوصيات يوم الجمعة /,,,Lumʻah fī khuṣūṣīyāt yawm al-Jumʻah,
al-Luʼluʼ al-naẓīm /,اللؤلؤ النظيم /,Luʼluʼ al-naẓīm fī rawm al-taʻallum wa-al-taʻlīm,لؤلؤ النظيم في روم التعلم والتعليم,Luʼluʼ al-naẓīm fī rawm al-taʻallum wa-al-taʻlīm,
al-Maḥāsin al-mujtamaʻah fī faḍl faḍāyil al-khulafāʼ al-arbaʻah /,المحاسن المجتمعة في فضل فضايل الخلفاء الاربعة /,,,Maḥāsin al-mujtamaʻah fī faḍl faḍāyil al-khulafāʼ al-arbaʻah,
al-Manāhij al-wāfiyah fī sharḥ al-Shāfiyah /,المناهج الوافية في شرح الشافية /,,,Manāhij al-wāfiyah fī sharḥ al-Shāfiyah,
al-Manhaj al-mubīn fī sharḥ al-Arbaʻīn,المنهج المبين في شرح الاربعين.,,,Manhaj al-mubīn fī sharḥ al-Arbaʻīn,
al-Manhal al-sākib fī maʻrifat taḥrīk al-kawākib,المنهل الساکب في معرفة تحريك الکواکب.,,,Manhal al-sākib fī maʻrifat taḥrīk al-kawākib,
al-Manhal al-ʻadhb al-mustaṭāb fī kayfīyat al-ʻamal bi-al-asṭurlāb /,المنهل العذب المستطاب في كيفية العمل بالاسطرلاب /,,,Manhal al-ʻadhb al-mustaṭāb fī kayfīyat al-ʻamal bi-al-asṭurlāb,
al-Manẓūmah al-Nasafīyah fī al-khilāfīyāt,المنظومة النسفية في الخلافيات.,,,Manẓūmah al-Nasafīyah fī al-khilāfīyāt,
al-Maqṣūrah al-Duraydīyah wa-sharḥuhā,المقصورة الدريدية وشرحها.,,,Maqṣūrah al-Duraydīyah wa-sharḥuhā,
al-Mawāhib al-mudhdhakharah fī tafsīr khawātim Sūrat al-Baqarah /,المواهب المذخرة في تفسير خواتم سورة البقرة /,,,Mawāhib al-mudhdhakharah fī tafsīr khawātim Sūrat al-Baqarah,
al-Minhāj fī sharḥ Muslim ibn al-Ḥajjāj,المنهاج في شرح مسلم بن الحجاج.,,,Minhāj fī sharḥ Muslim ibn al-Ḥajjāj,
al-Mudawwanah,المدونة.,Mudawwanah.,مدونة.,Mudawwanah,
al-Mufarrij,المفرج.,,,Mufarrij,
al-Mufaṣṣal /,المفصل /,,,Mufaṣṣal,
al-Muhadhdhab fī al-hijāʼ min dhayl Shifāʼ al-qurrāʼ,المهذب في الهجاء من ذيل شفاء القراء.,,,Muhadhdhab fī al-hijāʼ min dhayl Shifāʼ al-qurrāʼ,
al-Muḥīṭ ʻalá madhhab al-Imām al-Aʻẓam Abī Ḥanīfah al-Nuʻmān ibn Thābit,المحيط على مذهب الامام الاعظم ابي حنيفة النعمان بن ثابت.,Muḥīṭ,محيط,Muḥīṭ,
al-Mujallad al-thānī min Kitāb al-Kāfī fī al-fiqh /,المجلد الثاني من كتاب الكافي في الفقه /,Kāfī fī al-fiqh.,کافي في الفقه.,Kāfī fī al-fiqh,
al-Munaqqaḥāt al-mashrūḥah,المنقحات المشروحة.,,,Munaqqaḥāt al-mashrūḥah,
al-Munqidh ʻan al-ḍalāl /,المنقذ عن الضلال /,Munqidh min al-ḍalāl,منقذ من الضلال,Munqidh min al-ḍalāl,
al-Muṭawwal,المطول.,,,Muṭawwal,
al-Muʻjam al-wajīz min aḥādīth al-Rasūl al-ʻazīz,المعجم الوجيز من احاديث الرسول العزيز.,,,Muʻjam al-wajīz min aḥādīth al-Rasūl al-ʻazīz,
al-Naṣīḥah al-īmānīyah fī faḍīḥat al-millah al-Naṣrānīyah,النصيحة الايمانية في فضيحة الملة النصرانية.,,,Naṣīḥah al-īmānīyah fī faḍīḥat al-millah al-Naṣrānīyah,
al-Nuzʹhah al-zahīyah fī aḥkām al-ḥammām al-sharʻīyah wa-al-ṭibbīyah /,النزهة الزهية في احكام الحمام الشرعية والطبية /,,,Nuzʹhah al-zahīyah fī aḥkām al-ḥammām al-sharʻīyah wa-al-ṭibbīyah,
al-Qānūn fī al-ṭibb,القانون في الطب,,,Qānūn fī al-ṭibb,
al-Qaṣīdah al-mubārakah,القصيدة المباركة,Burdah,بردة,Burdah,
al-Qaṣīdah al-mulaqqabah bi-Ḥirz al-amānī wa-wajh al-tahānī,القصيدة الملقبة بحرز الاماني ووجه التهاني,Ḥirz al-amānī wa-wajh al-tahānī,حرز الاماني ووجه التهاني,Ḥirz al-amānī wa-wajh al-tahānī,
al-Qawl al-maqbūl fīmā yuddaʻá fīhi bi-al-majhūl /,القول المقبول فيما يدعي فيه بالمجهول /,,,Qawl al-maqbūl fīmā yuddaʻá fīhi bi-al-majhūl,
al-Qism al-thānī min Yatīmat al-dahr fī shuʻarāʼ al-ʻaṣr /,القسم الثاني من يتيمة الدهر في شعراء العصر /,Yatīmat al-dahr.,يتيمة الدهر.,Yatīmat al-dahr,
al-Qurʼān,القرآن.,Qurʼan.,قرآن.,,Qurʼan
al-Qurʼān,,Qurʼan.,قرآن.,,Qurʼan
al-Radd al-muṣān li-mā aftá bi-hi Riḍwān,الرد المصان لما افتى به رضوان.,,,Radd al-muṣān li-mā aftá bi-hi Riḍwān,
al-Rawḍ al-unuf /,الروض الانف /,,,Rawḍ al-unuf,
al-Risālah al-istidlālīyah ... etc,الرسالة الاستدلالية ... الخ..,,,Risālah al-istidlālīyah,
