title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Kashf al-mushkilāt /,كشف المشكلات /,Kashf al-mushkil min ḥadīth al-Ṣaḥīḥayn.,كشف المشكل من حديث الصحيحين.,,
Kashf al-Wāfiyah fī sharḥ al-Kāfiyah ... etc,كشف الوافية في شرح الكافية ... الخ.,,,Kashf al-Wāfiyah fī sharḥ al-Kāfiyah,
Kawkab al-Rawḍah,كوكب الروضة,,,Kawkab al-Rawḍah,
Khulāṣat al-bayān fī kayfīyat thubūt Ramaḍān /,خلاصة البيان في كيفية ثبوت رمضان /,,,,
Khuṭab al-Imām ʻAlī wa-mukātabātihi wa-Qiṣaṣ al-anbiyāʼ,خطب الامام علي ومكاتباته وقصص الانبياء.,,,,
Kifāyat al-mutaṭabbib wa-nihāyat al-mutaʼaddib /,كفاية المتطبب ونهاية المتأدب /,,,Kifāyat al-mutaṭabbib wa-nihāyat al-mutaʼaddib,
Kitāb Abniyat al-abwāb wa-al-ʻalāmāt ... etc,كتاب ابنية الابواب والعلامات ... الخ.,,,,
Kitāb al-Aḥjār al-mulūkīyah ... etc,كتاب الاحجار الملوكية ... الخ,,,Kitāb al-Aḥjār al-mulūkīyah,
Kitāb al-Alfīyah fī ʻilm al-ḥadīth /,كتاب الالفية في علم الحديث /,Alfīyat al-ʻIrāqī,الفية العراقي,Alfīyat al-ʻIrāqī,
Kitāb al-Arbaʻīn al-mughniyah bi-funūnihā ʻan al-muʻīn /,كتاب الاربعين المغنية بفنونها عن المعين /,Arbaʻīn al-mughniyah bi-funūnihā ʻan al-muʻīn,اربعين المغنية بفنونها عن المعين,Arbaʻīn al-mughniyah bi-funūnihā ʻan al-muʻīn,
Kitāb al-Arbaʻīn fī mabānī al-Islām wa-qawāʻid al-aḥkām ... etc,كتاب الاربعين في مباني الاسلام وقواعد الاحكام ... الخ.,,,Arbaʻīn fī mabānī al-Islām wa-qawāʻid al-aḥkām,
Kitāb al-Āyah al-kubrá fī sharḥ qiṣṣat al-isrā /,كتاب الاية الكبرى في شرح قصة الاسرا /,Āyah al-kubrá fī sharḥ qiṣṣat al-isrāʼ.,آية الکبرى في شرح قصة الاسراء.,Āyah al-kubrá fī sharḥ qiṣṣat al-isrāʼ,
Kitāb al-Barq al-wāmiḍ fī sharḥ Yāʼīyah Ibn al-Fāriḍ /,كتاب البرق الوامض في شرح يائية ابن الفارض /,Barq al-wāmiḍ fī sharḥ Yāʼīyah Ibn al-Fāriḍ,برق الوامض في شرح يائية ابن الفارض,Barq al-wāmiḍ fī sharḥ Yāʼīyah Ibn al-Fāriḍ,
Kitāb al-Burhān fī ʻalāmāt Mahdī ākhir al-zamān /,كتاب البرهان في علامات مهدي آخر الزمان /,Burhān fī ʻalāmāt Mahdī ākhir al-zamān,برهان في علامات مهدي آخر الزمان,Burhān fī ʻalāmāt Mahdī ākhir al-zamān,
Kitāb al-Ḍawʼ,كتاب الضوء.,Ḍawʼ al-Miṣbāḥ,ضوء المصباح,Ḍawʼ al-Miṣbāḥ,
Kitāb al-Dhakhāyir al-Ashrafīyah fī al-alghāz al-Ḥanafīyah /,كتاب الذخاير الاشرفية في الالغاز الحنفية /,Dhakhāʼir al-Ashrafīyah fī alghāz al-Ḥanafīyah,ذخائرالاشرفية في الغاز الحنفية,Dhakhāʼir al-Ashrafīyah fī alghāz al-Ḥanafīyah,
Kitāb al-Durar al-muntathirah fī al-aḥādīth al-mushtahirah / taʼlīf Jalāl al-Dīn ibn al-Kamāl al-Suyūṭī,"كتاب الدرر المنتثره في الاحاديث المشتهره / تأليف جلال الدين بن الكمال
				السيوطي.",Durar al-muntathirah fī al-aḥādīth al-mushtahirah,درر المنتثرة في الاحاديث المشتهرة,Durar al-muntathirah fī al-aḥādīth al-mushtahirah,
Kitāb al-Durr al-manẓūm fī-mā warada fī Miṣr min mawjūd wa-maʻdūm /,کتاب الدر المنظوم فيما ورد في مصر من موجود ومعدوم.,Durr al-manẓūm fī-mā warada fī Miṣr min mawjūd wa-maʻdūm,در المنظوم فيما ورد في مصر من موجود ومعدوم,Durr al-manẓūm fī-mā warada fī Miṣr min mawjūd wa-maʻdūm,
Kitāb al-Durr al-naḍīd fī sharḥ al-qaṣīd,كتاب الدر النضيد في شرح القصيد.,Durr al-naḍīd fī sharḥ al-qaṣīd,در النضيد في شرح القصيد,Durr al-naḍīd fī sharḥ al-qaṣīd,
Kitāb al-Durr al-naḍīd fī sharḥ takhmīs al-Qaṣīd taṣnīf al-Shaykh al-Imām al-ʻĀlim Ibn al-ʻAbbās al-Baṣīr /,"كتاب الدر النضيد في شرح تخميس القصيد تصنيف الشيخ الامام العالم ابن العباس
				البصير /",Durr al-naḍīd fī sharḥ takhmīs al-Qaṣīd,در النضيد في شرح تخميس القصيد,Durr al-naḍīd fī sharḥ takhmīs al-Qaṣīd,
Kitāb al-Fatḥ al-mubīn bi-sharḥ al-Arbaʻīn /,كتاب الفتح المبين بشرح الاربعين /,,,Fatḥ al-mubīn bi-sharḥ al-Arbaʻīn,
Kitāb al-Fawāyid al-bahīyah ʻalá al-Durar al-sanīyah fī naẓm al-sīrah al-zakīyah /,كتاب الفوايد البهية على الدرر السنية في نظم السيرة الزكية /,"Fawāyid al-bahīyah ʻalá al-Durar al-sanīyah fī naẓm al-sīrah
				al-zakīyah",فوايد البهية على الدرر السنية في نظم السيرة الزکية,Fawāyid al-bahīyah ʻalá al-Durar al-sanīyah fī naẓm al-sīrah al-zakīyah,
Kitāb al-Futūḥāt al-Makkīyah fī tarājim al-sādah al-aʼimmah al-Qushayrīyah /,كتاب الفتوحات المكية في تراجم السادة الائمة القشيرية /,"Futūḥāt al-Makkīyah fī tarājim al-sādah al-aʼimmah
				al-Qushayrīyah",فتوحات المکية في تراجم السادة الائمة القشيرية,Futūḥāt al-Makkīyah fī tarājim al-sādah al-aʼimmah al-Qushayrīyah,
Kitāb al-Ghanī fī sharḥ al-Mughnī fī ʻilm al-naḥw /,كتاب الغني في شرح المغني في علم النحو /,Sharḥ al-Mughnī,شرح المغني,Sharḥ al-Mughnī,
Kitāb al-Ḥamāsah /,كتاب الحماسة /,,,Kitāb al-Ḥamāsah,
Kitāb Alḥān al-sawājiʻ /,كتاب الحان السواجع /,Alḥān al-sawājiʼ,الحان السواجئ,Alḥān al-sawājiʼ,
Kitāb al-Hārūnīyah ... etc,كتاب الهارونية ... الخ.,,,Kitāb al-Hārūnīyah,
Kitāb al-Ḥāwī,کتاب الحاوي.,Ḥāwī al-kabīr fī al-furūʻ.,حاوي الكبير في الفروع.,Ḥāwī al-kabīr fī al-furūʻ,
Kitāb al-Ḥāwī / lil-Imām Najm al-Dīn ʻAbd al-Ghaffār al-Qazwīnī al-Shāfiʻī,كتاب الحاوي / للامام نجم الدين عبد الغفار القزويني الشافعي.,Ḥāwī al-ṣaghīr,حاوي الصغير,Ḥāwī al-ṣaghīr,
Kitāb al-Ifādah al-muqniʻah fī qirāʼāt al-aʼimmah al-arbaʻah,كتاب الافادة المقنعة في قراءات الائمة الاربعة.,Ifādah al-muqniʻah fī qirāʼāt al-aʼimmah al-arbaʻah,افادة المقنعة في قراءات الائمة الاربعة,Ifādah al-muqniʻah fī qirāʼāt al-aʼimmah al-arbaʻah,
Kitāb al-Iqnāʻ fī al-lughah,كتاب الاقناع في اللغة,Iqnāʻ li-mā ḥuwiya taḥta al-qināʻ,اقناع لما حوي تحت القنماع,Iqnāʻ li-mā ḥuwiya taḥta al-qināʻ,
Kitāb al-Ishāʻah li-ashrāṭ al-sāʻah /,كتاب الاشاعة لاشراط الساعة /,Ishāʻah li-ashrāṭ al-sāʻah,اشاعة لاشراط الساعة,Ishāʻah li-ashrāṭ al-sāʻah,
Kitāb al-Iʻlām bi-sharḥ aḥādīth sayyid al-anām /,كتاب الاعلام بشرح احاديث سيد الانام /,Iʻlām bi-sharḥ aḥādīth sayyid al-anām,اعلام بشرح احاديث سيد الانام,Iʻlām bi-sharḥ aḥādīth sayyid al-anām,
Kitāb al-Iʻlān bi-al-mukhtār min riwāyāt al-Qurʼān fī al-qirāʼāt al-sabʻ /,كتاب الاعلان بالمختار من روايات القرآن في القراءات السبع /,"Iʻlān bi-al-mukhtār min riwāyāt al-Qurʼān fī al-qirāʼāt
				al-sabʻ",اعلان بالمختار من روايات القرآن في القراآت السبع,Iʻlān bi-al-mukhtār min riwāyāt al-Qurʼān fī al-qirāʼāt al-sabʻ,
Kitāb al-Iʻrāb al-Qurʼān /,كتاب الاعراب القرآن /,Mushkil iʻrāb al-Qurʼān,مشكل اعراب القرآن,Mushkil iʻrāb al-Qurʼān,
Kitāb al-Iʻtiṣām bi-al-ʻuzlah /,كتاب الاعتصام بالعزلة /,Iʻtiṣām bi-al-ʻuzlah,اعتصام بالعزلة,Iʻtiṣām bi-al-ʻuzlah,
Kitāb al-Jalīs al-ṣāliḥ al-kāfī wa-al-anīs al-nāṣiḥ al-shāfī /,كتاب الجليس الصالح الكافي والانيس الناصح الشافي /,Jalīs wa-al-anīs,جليس والانيس,Jalīs wa-al-anīs,
Kitāb al-Jawhar al-aṣīl al-muntazaʻ sharḥuhu min Maʻālim al-tanzīl /,كتاب الجوهر الاصيل المنتزع شرحه من معالم التنزيل /,Jawhar al-aṣīl al-muntazaʻ sharḥuhu min Maʻālim al-tanzīl,جوهر الاصيل المنتزع شرحه من معالم التنزيل,Jawhar al-aṣīl al-muntazaʻ sharḥuhu min Maʻālim al-tanzīl,
Kitāb al-Jazarīyah /,كتاب الجزرية /,Muqaddimah al-Jazarīyah fī al-tajwīd,مقدمة الجزرية في التجويد,Muqaddimah al-Jazarīyah fī al-tajwīd,
Kitāb al-juzʼ al-awwal min Ṣaḥīḥ /,كتاب الجزء الاول من صحيح /,Ṣaḥīḥ.,صحيح.,Ṣaḥīḥ,
Kitāb al-Kāfī fī ʻilmay al-arūḍ wa-al-qawāfī ... etc,كتاب الكافي في علمي الاروض والقوافي ... الخ.,,,Kitāb al-Kāfī fī ʻilmay al-arūḍ wa-al-qawāfī,
Kitāb al-Kifāyah ḥafīyah li-rāghib al-ḥafāyah /,كتاب الكفاية حفية لراغب الحفاية /,Kifāyat al-muʻānī fī naẓm ḥurūf al-maʻānī,کفاية المعاني في نظم حروف المعاني,Kifāyat al-muʻānī fī naẓm ḥurūf al-maʻānī,
Kitāb al-lktifāʼ,كتاب اللكتفاء.,Iktifāʼ fī maghāzī al-Muṣṭafá.,اكتفاء في مغازي المصطفى.,Iktifāʼ fī maghāzī al-Muṣṭafá,
Kitāb al-Madkhal /,كتاب المدخل /,Madkhal,مدخل,Madkhal,
Kitāb al-Majālis,كتاب المجالس.,Majālis,مجالس,Majālis,
Kitāb al-Malāḥin /,كتاب الملاحن /,Malāḥin,ملاحن,Malāḥin,
Kitāb al-Manẓūmah fī al-fiqh ʻalá madhhab al-Imām al-Aʻẓam Abī Ḥanīfah al-Nuʻmān ibn Thābit al-Kūfī /,"كتاب المنظومة في الفقه على مذهب الامام الاعظم ابي حنيفة النعمان بن ثابت
				الكوفي /",Manẓūmah al-Nasafīyah fī al-khilāfīyāt,منظومة النسفية في الخلافيات,Manẓūmah al-Nasafīyah fī al-khilāfīyāt,
Kitāb al-Maqāṣid al-ṣāliḥah fī sharḥ shay min ʻulūm al-Fātiḥah ... etc,كتاب المقاصد الصالحة في شرح شي من علوم الفاتحة ... الخ.,,,Maqāṣid al-ṣāliḥah fī sharḥ shay min ʻulūm al-Fātiḥah,
Kitāb al-Maṭāliʻ al-saʻīdah fī sharḥ al-Farīdah /,كتاب المطالع السعيدة في شرح الفريدة /,Maṭāliʻ al-saʻīdah fī sharḥ al-Farīdah,مطالع السعيدة في شرح الفريدة,Maṭāliʻ al-saʻīdah fī sharḥ al-Farīdah,
Kitāb al-Mawāʻiẓ wa-al-iʻtibār bi-dhikr al-khiṭaṭ wa-al-āthār,کتاب المواعظ والاعتبار بذکر الخطط والاثار.,Mawāʻiẓ wa-al-iʻtibār bi-dhikr al-khiṭaṭ wa-al-āthār.,مواعظ والاعتبار بذكر الخطط والآثار.,Mawāʻiẓ wa-al-iʻtibār bi-dhikr al-khiṭaṭ wa-al-āthār,
Kitāb al-milal wa-al-niḥal /,كتاب الملل والنحل /,Milal wa-al-niḥal,ملل والنحل,Milal wa-al-niḥal,
Kitāb al-Miṣbāḥ ... etc,كتاب المصباح ... الخ.,,,Kitāb al-Miṣbāḥ,
Kitāb al-Mubhij ... etc,كتاب المبهج ... الخ.,,,Kitāb al-Mubhij,
Kitāb al-Mukhtār,كتاب المختار,Mukhtār lil-fatwá,مختار للفتوى,Mukhtār lil-fatwá,
Kitāb al-Mukhtār fī maḥāsin al-ashʻār wa-nawādir al-akhbār,کتاب المختار في محاسن الاشعار ونوادر الاخبار.,Mukhtār fī maḥāsin al-ashʻār wa-nawādir al-akhbār,مختار في محاسن الاشعار ونوادر الاخبار,Mukhtār fī maḥāsin al-ashʻār wa-nawādir al-akhbār,
Kitāb al-Munqidh min al-halakah fī dafʻ al-samāʼīyah al-muhlikah /,كتاب المنقذ من الهلكة في دفع السمائية المهلكة /,Munqidh min al-halakah fī dafʻ maḍārr al-sumūm al-muhlikah.,منقذ من الهلکة في دفع مضار السموم المهلکة.,Munqidh min al-halakah fī dafʻ maḍārr al-sumūm al-muhlikah,
Kitāb al-Muwashshaḥah fī ʻilm al-ʻArabīyah /,كتاب الموشحة في علم العربية /,Muwashshaḥah fī al-naḥw,موشحة في النحو,Muwashshaḥah fī al-naḥw,
Kitāb al-Nabḍ al-ṣaghīr li-Jālīnūs wa-sharḥi-hi li-Abī al-Faraj ibn al-qaff al-masīḥī,كتاب النبض الصغير لجالينوس وشرحه لابي الفرج بن القف المسيحي,Tafsīr Kitāb al-Nabḍ al-ṣaghīr,تفسير كتاب النبض الصغير,Tafsīr Kitāb al-Nabḍ al-ṣaghīr,
Kitāb al-Nāsikh wa-al-mansūkh ... etc,كتاب الناسخ والمنسوخ ... الخ.,,,Kitāb al-Nāsikh wa-al-mansūkh,
Kitāb al-Nāsikh wa-al-mansūkh fī al-ḥadīth,کتاب الناسخ والمنسوخ في الحديث.,Nāsikh wa-al-mansūkh fī al-ḥadīth.,ناسخ والمنسوخ في الحديث.,Nāsikh wa-al-mansūkh fī al-ḥadīth,
Kitāb al-Nawāfiḥ al-ʻiṭrīyah wa-al-lawāqiḥ al-fiṭrīyah al-mushtamilah ʻalá al-nafaḥāt al-sirrīyah wa-madāʼiḥ Khayr al-Barīyah,"كتاب النوافح العطرية واللواقح الفطرية المشتملة على النفحات السرية ومدائح
				خير البرية","Nawāfiḥ al-ʻiṭrīyah wa-al-lawāqiḥ al-fiṭrīyah al-mushtamilah ʻalá
				al-nafaḥāt al-sirrīyah wa-madāʼiḥ Khayr al-Barīyah","نوافح العطرية واللواقح الفطرية المشتملة على النفحات السرية ومدائح خير
				البرية",Nawāfiḥ al-ʻiṭrīyah wa-al-lawāqiḥ al-fiṭrīyah al-mushtamilah ʻalá al-nafaḥāt al-sirrīyah wa-madāʼiḥ Khayr al-Barīyah,
Kitāb al-Nukat al-wafīyāt fī aḥkām al-ḥummayāt /,كتاب النكة الوفيات في احكام الحميات /,Nukat al-wafīyāt fī aḥkām al-ḥummayāt.,نکت الوفيات في احکام الحميات,Nukat al-wafīyāt fī aḥkām al-ḥummayāt,
Kitāb al-Nuqāyah ... etc,كتاب النقاية ... الخ.,,,Nuqāyah,
Kitāb al-Nūr al-wahhāj fī al-kalām ʻalá al-isrāʼ wa-al-miʻrāj /,كتاب النور الوهاج في الكلام على الاسراء والمعراج /,Nūr al-wahhāj fī al-kalām ʻalá al-isrāʼ wa-al-miʻrāj.,نور الوهاج في الکلام على الاسراء والمعراج.,Nūr al-wahhāj fī al-kalām ʻalá al-isrāʼ wa-al-miʻrāj,
Kitāb al-qānūn fī ʻilm al-ṭibb,كتاب القانون في علم الطب.,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb,
Kitāb al-Qawl al-kāfī bi-sharḥ al-Kāfī /,كتاب القول الكافي بشرح الكافي /,Qawl al-wāfī bi-sharḥ al-Kāfī,قول الوافي بشرح الكافي,Qawl al-wāfī bi-sharḥ al-Kāfī,
Kitāb al-Qawl al-mubdiʻ fī sharḥ al-Muqniʻ ... etc,كتاب القول المبدع في شرح المقنع ... الخ.,,,Qawl al-mubdiʻ fī sharḥ al-Muqniʻ,
Kitāb al-Qūt bi-sharḥ al-Yāqūt fī faḍl shahr Ramaḍān /,كتاب القوت بشرح الياقوت في فضل شهر رمضان /,Qūt bi-sharḥ al-Yāqūt,قوت بشرح الياقوت,Qūt bi-sharḥ al-Yāqūt,
Kitāb al-Raḥmah fī al-ṭibb wa-al-ḥikmah,کتاب الرحمة في الطب والحکمة.,Raḥmah fī al-ṭibb wa-al-ḥikmah,رحمة في الطب والحكمة,Raḥmah fī al-ṭibb wa-al-ḥikmah,
Kitāb al-Riyāḍ al-anīqah fī al-nikāt wa-al-ashʻār al-raqīqah,کتاب الرياض الانيقة في النکات والاشعار الرقيقة.,Riyāḍ al-anīqah fī al-nikāt wa-al-ashʻār al-raqīqah,رياض الانيقة في النكات والاشعار الرقيقة,Riyāḍ al-anīqah fī al-nikāt wa-al-ashʻār al-raqīqah,
Kitāb al-Riyāḍāt al-zāhirāt fī al-ghazawāt wa-al-sarāyāt al-nabawīyāt /,كتاب الرياضات الزاهرات في الغزوات والسرايات النبويات /,"Riyāḍāt al-zāhirāt fī al-ghazawāt wa-al-sarāyāt
				al-nabawīyāt.",رياضيات الزاهرات في الغزوات والسرايات النبويات.,Riyāḍāt al-zāhirāt fī al-ghazawāt wa-al-sarāyāt al-nabawīyāt,
Kitāb al-Sāmī fī al-asāmī /,كتاب السامى في الاسامي /,Sāmi fī al-asāmī,سامي في الاسامي,Sāmi fī al-asāmī,
Kitāb al-Shāfī fī sharḥ Musnad al-Shāfiʻī /,كتاب الشافي في شرح مسند الشافعي /,,,Kitāb al-Shāfī fī sharḥ Musnad al-Shāfiʻī,
Kitāb al-Shāfiyah lil-ṣarf ... etc,كتاب الشافية للصرف ... الخ.,,,Kitāb lil-ṣarf,
Kitāb al-Shamāyil fī al-aḥādīth al-Nabawīyah /,كتاب الشمايل في الاحاديث النبوية /,Shamāʼil,شمائل,Shamāʼil,
Kitāb al-Shifāʼī bi-badīʻ al-iktifā /,كتاب الشفائي ببديع الاكتفا /,Shifāʼ fī badīʻ al-iktifāʼ.,شفاء في بديع الاکتفاء.,Shifāʼ fī badīʻ al-iktifāʼ,
Kitāb al-Shukr wa-mā ruwiya fīh /,كتاب الشكر وما روي فيه /,Kitāb al-Shukr,کتاب الشکر,Kitāb al-Shukr,
Kitāb al-Siyāsah fī maʻrifat al-riyāsah al-maʻrūf bi-Sirr al-asrār ... etc,كتاب السياسة في معرفة الرياسة المعروف بسر الاسرار ... الخ.,,,Siyāsah fī maʻrifat al-riyāsah al-maʻrūf bi-Sirr al-asrār,
Kitāb al-Tabṣirah wa-al-tadhkirah fī ʻilm al-ḥadīth /,كتاب التبصرة والتذكرة في علم الحديث /,Alfīyat al-ʻIrāqī,الفية العراقي,Alfīyat al-ʻIrāqī,
Kitāb al-Tamthīl wa-al-muḥāḍarah,کتاب التمثيل والمحاضرة.,Tamthīl wa-al-muḥāḍarah,تمثيل والمحاضرة,Tamthīl wa-al-muḥāḍarah,
Kitāb al-Taqrīb wa-al-taysīr li-maʻrifat sunan al-bashīr al-nadhīr fī ʻilm al-ḥadīth /,كتاب التقريب والتيسير لمعرفة سنن البشير النذير في علم الحديث /,"Taqrīb wa-al-taysīr li-maʻrifat sunan al-bashīr al-nadhīr fī ʻilm
				al-ḥadīth",تقريب والتيسير لمعرفة سنن البشير النذير في علم الحديث,Taqrīb wa-al-taysīr li-maʻrifat sunan al-bashīr al-nadhīr fī ʻilm al-ḥadīth,
Kitāb al-Taysīr fī ʻilm al-qirāʼāt,كتاب التيسير في علم القراءات.,,,Kitāb al-Taysīr fī ʻilm al-qirāʼāt,
Kitāb al-Tibyān fī ādāb ḥamalat al-Qurʼān /,كتاب التبيان في آداب حملة القرآن /,Tibyān fī ādāb ḥamalat al-Qurʼān,تبيان في آداب حملة القرآن,Tibyān fī ādāb ḥamalat al-Qurʼān,
Kitāb al-Tibyān fī mā ḥalla min maʼkūl al-ḥayawān /,كتاب التبيان في ما حل من مأكول الحيوان /,Tibyān li-mā yaḥullu wa-yaḥrumu min al-ḥayawān,تبيان لما يحل ويحرم من الحيوان,Tibyān li-mā yaḥullu wa-yaḥrumu min al-ḥayawān,
Kitāb al-Wāfiyah fī sharḥ al-Kāfiyah /,كتاب الوافية في شرح الكافية /,Kashf al-Wāfiyah fī sharḥ al-Kāfiyah,كشف الوافية في شرح الكافية,Kashf al-Wāfiyah fī sharḥ al-Kāfiyah,
Kitāb al-Wasāyil fī furūq al-masāʼil /,كتاب الوسايل في فروق المسائل /,Wasāʼil fī furūq al-masāʼil,وسائل في فروق المسائل,Wasāʼil fī furūq al-masāʼil,
Kitāb al-Wasāyil fī maʻrifat al-Awāyil /,كتاب الوسايل في معرفة الاوايل /,Wasāʼil ilá maʻrifat al-Awāʼil,وسائل الى معرفة الاوائل,Wasāʼil ilá maʻrifat al-Awāʼil,
Kitāb al-Wasāyil ilá maʻrifat al-Awāyil /,كتاب الوسايل الى معرفة الاوايل /,Wasāʼil ilá maʻrifat al-Awāʼil,وسائل الى معرفة الاوائل,Wasāʼil ilá maʻrifat al-Awāʼil,
Kitāb al-Wasīlah fī ṣināʻat al-hawāʼī /,كتاب الوسيلة في صناعة الهواي /,Wasīlah fī ṣināʻat al-hawāʼī,وسيلة في صناعة الهواي,Wasīlah fī ṣināʻat al-hawāʼī,
Kitāb al-Witrīyāt wa-maʻdin al-anwārāt fī amdāḥ al-Nabī,کتاب الوتريات ومعدن الانوارات في امداح النبي.,Witrīyāt wa-maʻdin al-anwārāt fī amdāḥ al-Nabī,وتريات ومعدن الانوارات في امداح النبي,Witrīyāt wa-maʻdin al-anwārāt fī amdāḥ al-Nabī,
Kitāb al-Yawāqīt wa-al-durar bi-sharḥ Sharḥ Nukhbat Ibn Ḥajar /,كتاب اليواقيت والدرر بشرح شرح نخبة ابن حجر /,Yawāqīt wa-al-durar fī sharḥ Sharḥ Nukhbat Ibn Ḥajar.,يواقيت والدرر في شرح شرح نخبة ابن حجر.,Yawāqīt wa-al-durar fī sharḥ Sharḥ Nukhbat Ibn Ḥajar,
Kitāb al-Zuhd,کتاب الزهد.,Zuhd,زهد,Zuhd,
Kitāb al-ʻAlam fī tafsīr al-lamam /,كتاب العلم في تفسير اللمم /,ʻAlam fī tafsīr al-lamam,علم في تفسير اللمم,ʻAlam fī tafsīr al-lamam,
Kitāb al-ʻArf al-nadī fī sharḥ qaṣīdat Ibn al-Wardī /,كتاب العرف الندي في شرح قصيدة ابن الوردي /,ʻArf al-nadī fī sharḥ qaṣīdat Ibn al-Wardī,عرف الندي في شرح قصيدة ابن الوردي,ʻArf al-nadī fī sharḥ qaṣīdat Ibn al-Wardī,
Kitāb al-ʻibar wa-dīwān al-mubtadá wa-al-khabar fī ayyām al-ʻArab wa-al-ʻAjam wa-al-Barbar,کتاب العبر وديوان المبتدا والخبر في ايام العرب والعجم والبربر,Kitāb al-ʻibar.,كتاب العبر.,Kitāb al-ʻibar,
Kitāb al-ʻIqd al-farīd fī ʻuluw al-asānīd /,كتاب العقد الفريد في علو الاسانيد /,ʻIqd al-farīd fī ʻuluw al-asānīd,عقد الفريد في علو الاسانيد,ʻIqd al-farīd fī ʻuluw al-asānīd,
Kitāb Arbaʻīn al-maḥkah /,كتاب اربعين المحكة /,Kitāb ʻUṣfūrī,کتاب عصفوري,Kitāb ʻUṣfūrī,
Kitāb Arbaʻīn ḥadīth /,كتاب اربعين حديث /,,,Arbaʻīn ḥadīth,
Kitāb Aṭbāq al-dhahab /,كتاب اطباق الذهب /,Aṭbāq al-dhahab,اطباق الذهب,Aṭbāq al-dhahab,
Kitāb Bahjat al-nāẓīrīn wa-āyāt al-mustadillīn /,كتاب بهجة الناظيرين وآيات المستدلين /,Bahjat al-nāẓīrīn wa-āyāt al-mustadillīn,بهجة الناظرين وآيات المستدلين,Bahjat al-nāẓīrīn wa-āyāt al-mustadillīn,
Kitāb Bahjat al-Shaykh ʻAbd al-Qādir al-Kīlānī,كتاب بهجة الشيخ عبد القادر الكيلاني.,"Bahjat al-asrār wa-maʻdin al-anwār fī manāqib ʻAbd al-Qādir
				al-Jīlī.",بهجة الاسرار ومعدن الانوار في مناقب عبد القادر الجيلي.,Bahjat al-asrār wa-maʻdin al-anwār fī manāqib ʻAbd al-Qādir al-Jīlī,
Kitāb Baḥr al-fawāyid /,كتاب بحر الفوايد /,Baḥr al-fawāʼid,بحرالفوائد,Baḥr al-fawāʼid,
Kitāb Bughyat al-wuʻāh fī ṭabaqāt al-lughawīyīn wa-al-nuḥāh /,كتاب بغية الوعاه في طبقات اللغويين والنحاه /,Bughyat al-wuʻāh fī ṭabaqāt al-lughawīyīn wa-al-nuḥāh.,بغية الوعاة في طبقات اللغويين والنحاة.,Bughyat al-wuʻāh fī ṭabaqāt al-lughawīyīn wa-al-nuḥāh,
Kitāb Dalīl al-ṭālib li-nayl al-maṭālib /,كتاب دليل الطالب لنيل المطالب /,Dalīl al-ṭālib li-nayl al-maṭālib,دليل الطالب لنيل المطالب,Dalīl al-ṭālib li-nayl al-maṭālib,
Kitāb Dīwān ... etc,كتاب ديوان ... الخ.,Poems.,شعر.,Poems,
Kitāb Durrat al-asrār wa-maʻdin al-anwār fī taqyīd baʻḍ mā li-sayyidnā wa-ṣafwat al-abrār sayyidī Abī al-Ḥasan ʻAlī ibn ʻAbd Allāh ibn ʻAbd al-Jabbār al-Shādhilī,"كتاب درة الاسرار ومعدن الانوار في تقييد بعض ما لسيدنا وصفوة الابرار سيدي
				ابي الحسن علي بن عبد الله بن عبد الجبار الشاذلي.",Durrat al-asrār wa-tuḥfat al-abrār,درة الاسرار وتحفة الابرار,Durrat al-asrār wa-tuḥfat al-abrār,
Kitāb Fatḥ al-mubdiʻ fī sharḥ al-Muqniʻ /,كتاب فتح المبدع في شرح المقنع /,Fatḥ al-mubdiʻ fī sharḥ al-Muqniʻ,فتح المبدع في شرح المقنع,Fatḥ al-mubdiʻ fī sharḥ al-Muqniʻ,
Kitāb Fatḥ al-ʻalīm al-sattār al-munajjī ʻalá qiṣṣat al-mawlid lil-ʻAllāmah Jaʻfar al-Barzanjī /,"كتاب فتح العليم الستار المنجي على قصة المولد للعلامة جعفر البرزنجي
				/","Fatḥ al-ʻalīm al-sattār al-munajjī ʻalá qiṣṣat al-mawlid lil-ʻAllāmah
				Jaʻfar al-Barzanjī",فتح العليم الستار المنجي على قصة المولد للعلامة جعفر البرزنجي,Fatḥ al-ʻalīm al-sattār al-munajjī ʻalá qiṣṣat al-mawlid lil-ʻAllāmah Jaʻfar al-Barzanjī,
Kitab fī al-fiqh,کتاب في الفقه.,,,,
Kitāb fī al-fiqh,كتاب في الفقه.,,,Kitāb fī al-fiqh,
Kitāb fī al-sunan /,كتاب في السنن /,,,Kitāb fī al-sunan,
Kitāb fīhi khalq Ādam wa-Ḥawwá ... etc,كتاب فيه خلق آدم وحوى ... الخ.,,,Kitāb fīhi khalq Ādam wa-Ḥawwá,
