subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
"Sigismund II Augustus, King of Poland, 1520-1572.",0,a;b;c;d,http://id.loc.gov/authorities/names/n83073801,"Sigismund II Augustus, King of Poland, 1520-1572",http://id.worldcat.org/fast/113495,Q6897
"Sigismund II Augustus, King of Poland, 1520-1572.",fast,a;b;c;d,http://id.worldcat.org/fast/113495,"Sigismund II Augustus, King of Poland, 1520-1572",http://id.worldcat.org/fast/113495,Q6897
"Ṣiḥāḥ (Jawharī, Ismāʻīl ibn Ḥammād)",fast,a,(OCoLC)fst01373350,"Ṣiḥāḥ (Jawharī, Ismāʻīl ibn Ḥammād)",http://id.worldcat.org/fast/1373350,Q38694
"Sint-Pietersabdij (Ghent, Belgium)",0,a,,"Sint-Pietersabdij (Ghent, Belgium)",http://id.worldcat.org/fast/575015,Q38776
"Sīrat Rasūl Allāh (Ibn Hishām, ʻAbd al-Malik)",fast,a,(OCoLC)fst01358100,"Sīrat Rasūl Allāh (Ibn Hishām, ʻAbd al-Malik)",http://id.worldcat.org/fast/1358100,Q11132
"Sīrat Rasūl Allāh (Ibn Hishām, ʻAbd al-Malik)",fast,a,(OCoLC)fst01358100,"Sīrat Rasūl Allāh (Ibn Hishām, ʻAbd al-Malik)",http://id.worldcat.org/fast/1358100,Q11132
Sita (Hindu deity),0,a;c,http://id.loc.gov/authorities/names/n2016248551,Sita (Hindu deity),http://id.worldcat.org/fast/1141519,Q26905
Sita (Hindu deity),fast,a;c,http://id.worldcat.org/fast/1141519,Sita (Hindu deity),http://id.worldcat.org/fast/1141519,Q26905
Śītalā (Hindu deity),fast,a;c,http://id.worldcat.org/fast/1185155,Śītalā (Hindu deity),http://id.worldcat.org/fast/1185155,Q26767
Śītalā (Hindu deity),0,a;c,http://id.loc.gov/authorities/names/n2014211030,Śītalā (Hindu deity),http://id.worldcat.org/fast/1185155,Q26767
Siva (Hindu deity),0,a;c,http://id.loc.gov/authorities/names/nb2017001158,Siva (Hindu deity),http://id.worldcat.org/fast/1119826,Q26681
Siva (Hindu deity),fast,a;c,http://id.worldcat.org/fast/1119826,Siva (Hindu deity),http://id.worldcat.org/fast/1119826,Q26681
Siva (Hindu deity)--Early works to 1800,0,a;c--x,,Siva (Hindu deity);Early works,http://id.worldcat.org/fast/1119826;http://id.worldcat.org/fast/1411636,Q26681;Q300
Siva (Hindu deity)--Early works to 1800,0,a;c--v,,Siva (Hindu deity);Early works,http://id.worldcat.org/fast/1119826;http://id.worldcat.org/fast/1411636,Q26681;Q300
"Sixtus IV, Pope, 1414-1484",0,a;c;d,,"Sixtus IV, Pope, 1414-1484",http://id.worldcat.org/fast/199677,Q38777
Socrates,0,a,http://id.loc.gov/authorities/names/n79055329,Socrates,http://id.worldcat.org/fast/35600,Q7738
Socrates,fast,a,http://id.worldcat.org/fast/35600,Socrates,http://id.worldcat.org/fast/35600,Q7738
Socrates.,0,a,http://id.loc.gov/authorities/names/n79055329,Socrates,http://id.worldcat.org/fast/35600,Q7738
Socrates.,fast,a,http://id.worldcat.org/fast/35600,Socrates,http://id.worldcat.org/fast/35600,Q7738
"Soderini, Piero, 1452-1522",fast,a;d,http://id.worldcat.org/fast/140988,"Soderini, Piero, 1452-1522",http://id.worldcat.org/fast/140988,Q7941
"Soderini, Piero, 1452-1522",0,a;d,http://id.loc.gov/authorities/names/n84183374,"Soderini, Piero, 1452-1522",http://id.worldcat.org/fast/140988,Q7941
