title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add
One-Hundredth and Thirteenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Fourteenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Fifteenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Sixteenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Seventeenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Eighteenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Nineteenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Twentieth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Twenty-First Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Twenty-Second Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Twenty-Third Miracle of Jesus,,,,Miracles of Jesus,Q100793
"Princeton Ethiopic Manuscript No. 42: The Cycle of Kings (Awədä Nägäśət), Collection of Divination Texts",,,,Cycle of Kings;Divination texts,Q27675;Q100807
"Magical Prescription against Evil Eye, Epilepsy, Thieves, and Successful Delivery",,,,Magical texts,Q38350
Magical Prescription (Upside Down) to Aid Conceiving a Child,,,,Magical texts,Q38350
Hasab (calculations?) Concerning the Sick Person,,,,,
Magical Prayer to Draw a Woman Back After She Went With Another Man,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer to Cause the Drowning of Demons,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer for Gaining Respect and Favor,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer to Cause the Binding of Demons,,,,Prayer;Magical texts,Q20014;Q38350
"Prayer for Protecting Suckling Infants, Containing the Legend of Susenyos",,,,Prayer,Q20014
Magical Prescription and Prayer for Protection from Thieves and Bandits,,,,Magical text,Q100808
Magical Prayer to Make It Impossible for Other Men to Approach One's Woman,,,,Prayer;Magical texts,Q20014;Q38350
"Magical Prescription against Typhoid, Cancer, and Leprosy",,,,Magical text,Q100808
Magical Prayer for Gaining Love and Respect from Kings and Officials and People Everywhere,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer for Protection of Property,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prescription against Stroke,,,,Magical text,Q100808
Magical Prayer for Protection,,,,Prayer;Magical texts,Q20014;Q38350
Magical Prayer Using Archangel Michael's Magical Names (Asmat),,,,Prayer;Magical texts,Q20014;Q38350
Anqäs Concerning the Fate of a Man Thrown Into Prison,,,,Anqäs,Q100809
"Anqäs Concerning (Unidentified, Illegible)",,,,Anqäs,Q100809
Anqäs Concerning Power,,,,Anqäs,Q100809
Anqäs Concerning Age,,,,Anqäs,Q100809
Anqäs Concerning Deceit,,,,Anqäs,Q100809
Anqäs Concerning Journeys,,,,Anqäs,Q100809
Anqäs Concerning the Coming of Sickness and Death,,,,Anqäs,Q100809
Anqäs Concerning the Coming of Enemies,,,,Anqäs,Q100809
Anqäs Concerning Long-Distance Business,,,,Anqäs,Q100809
Anqäs Concerning Daily Subsistence,,,,Anqäs,Q100809
Anqäs Concerning the Loss of Property or Money,,,,Anqäs,Q100809
Anqäs Concerning Conflicts,,,,Anqäs,Q100809
Anqäs Concerning Messages and Appropriate Messengers,,,,Anqäs,Q100809
Anqäs Concerning How to Find Property or Money,,,,Anqäs,Q100809
Anqäs Concerning Having or Not Having a Child,,,,Anqäs,Q100809
Anqäs Concerning Sickness,,,,Anqäs,Q100809
The Numerical Value of the Letters of the Ge'ez Alphabet,,,,Numerological text,Q100810
Hasabä Səns Concerning the Fetus,,,,,
