signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.79",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930780,Q309331,DS11498,Spec.Rare.MS.MR.Frag.79,Spec.Rare.MS.MR.Frag.79,,https://catalog.digital-scriptorium.org/entity/Q49859,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.80",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930780,Q309331,DS11499,Spec.Rare.MS.MR.Frag.80,Spec.Rare.MS.MR.Frag.80,,https://catalog.digital-scriptorium.org/entity/Q49862,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.81",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q150|Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930780,Q309331,DS11500,Spec.Rare.MS.MR.Frag.81,Spec.Rare.MS.MR.Frag.81,,https://catalog.digital-scriptorium.org/entity/Q49865,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.82",manuscript containing Prayer book,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q651,,,,Q7411,Prayer book,Prayer book,https://catalog.digital-scriptorium.org/entity/Q1486,,Q126000570|Q125930821,Q309331,DS11501,Spec.Rare.MS.MR.Frag.82,Spec.Rare.MS.MR.Frag.82,,https://catalog.digital-scriptorium.org/entity/Q49868,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.83",manuscript containing Illuminated cutting from a choir book,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Illuminated cutting from a choir book,Choir book|Illumination,https://catalog.digital-scriptorium.org/entity/Q1449|https://catalog.digital-scriptorium.org/entity/Q38390,,Q125930822,Q309331,DS11502,Spec.Rare.MS.MR.Frag.83,Spec.Rare.MS.MR.Frag.83,,https://catalog.digital-scriptorium.org/entity/Q49871,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.84",manuscript containing Illuminated cutting from a Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Illuminated cutting from a Breviary,Breviary|Illumination,https://catalog.digital-scriptorium.org/entity/Q657|https://catalog.digital-scriptorium.org/entity/Q38390,,Q125930775,Q309331,DS11503,Spec.Rare.MS.MR.Frag.84,Spec.Rare.MS.MR.Frag.84,,https://catalog.digital-scriptorium.org/entity/Q49874,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.85",manuscript containing Carta de hidalguia,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1550,1600,https://catalog.digital-scriptorium.org/entity/Q129,,,,Q1321,Carta de hidalguia,Carta ejecutoria,https://catalog.digital-scriptorium.org/entity/Q3718,,Q125930823|Q125930864|Q125930871|Q125930775|Q125930794|Q125930891,Q309331,DS11504,Spec.Rare.MS.MR.Frag.85,Spec.Rare.MS.MR.Frag.85,,https://catalog.digital-scriptorium.org/entity/Q49877,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.86",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1500,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930780,Q309331,DS11505,Spec.Rare.MS.MR.Frag.86,Spec.Rare.MS.MR.Frag.86,,https://catalog.digital-scriptorium.org/entity/Q49880,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.87",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930780,Q309331,DS11506,Spec.Rare.MS.MR.Frag.87,Spec.Rare.MS.MR.Frag.87,,https://catalog.digital-scriptorium.org/entity/Q49883,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.88",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1500,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q125930822|Q125930807|Q125930780,Q309331,DS11507,Spec.Rare.MS.MR.Frag.88,Spec.Rare.MS.MR.Frag.88,,https://catalog.digital-scriptorium.org/entity/Q49886,
